Name	Size	NES	NOM p-value	FDR q-value	Gene Details
LIPID_TRANSPORT	27.0	2.0900598	0.0	0.017594894	APOA4,APOF,APOC3,APOA1,APOA2,LCAT,SLCO2A1,LDLR,APOE,TSPO,PPARA
WOUND_HEALING	43.0	1.9120395	0.0	0.103522696	APOA5,PLG,KNG1,MMRN1,VWF,THBD,TMPRSS6,TFPI,PABPC4,HNF4A,TGFB2,ITGB3
FEMALE_PREGNANCY	27.0	1.7809721	0.0	0.23594576	PRLHR,SCGB1A1,PZP,PTHLH,AGT,CRHBP,HPGD,OXTR,CLIC5,TRO,ADM
BLOOD_COAGULATION	33.0	1.7753391	0.0	0.19009101	PLG,KNG1,MMRN1,VWF,THBD,TMPRSS6,TFPI,PABPC4,HNF4A,ITGB3
COAGULATION	34.0	1.7701542	0.0	0.1631107	PLG,KNG1,MMRN1,VWF,THBD,TMPRSS6,TFPI,PABPC4,HNF4A,ITGB3
LIPOPROTEIN_METABOLIC_PROCESS	30.0	1.5970896	0.023255814	0.24485925	APOA4,APOA1,APOA2,LDLR
MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	72.0	1.5860239	0.0	0.24375206	BAAT,HAO1,SLC27A5,ACOX2,AGXT,ACOT4,PFKFB1,SLC27A2,HPGD,AKR1D1,FTCD,ACOT2,PPARGC1A,ECH1,ECHS1,ADIPOR2,PPARA,HSD3B7,CYP7B1,ACADSB,ABCD2,ACADVL,ACADM
SEXUAL_REPRODUCTION	116.0	-1.7770022	0.0	0.0024387592	NPM2,SMCP,PRM2,KHDRBS3,SPAG1,TSSK6,PNMA1,PRM1,TESK1,HIST1H1T,CCNA1,OAZ3,AKAP4,TSGA10,SPA17,HSPA2,PKDREJ,GGN,THEG,TNP1,DNAJB13,SPAG4,NR6A1,IZUMO1,H1FNT,TSSK3,NME5,ADAM18,DNALI1,SPAG6,HSF2BP,ADAM21,SLC22A16,YBX2,TCFL5,DNAH9,MYCBPAP,CCT6B,SPATA4,ADAM29,WBP2NL,CLGN,BMP15,DDX25,ADAM20,ACR,ADAM2,AKAP3,SOX30,SPAM1,DUSP13,RPL39L,SPO11,RPL10L,MOV10L1,SERPINA5,DMC1,MTL5,PROK2,FOXJ1,USP9Y,SYCP1,DAZL,FSHR,ADAM28
GAMETE_GENERATION	96.0	-1.7207913	0.0	0.010278021	NPM2,PRM2,KHDRBS3,TSSK6,PNMA1,PRM1,TESK1,HIST1H1T,CCNA1,OAZ3,TSGA10,SPA17,HSPA2,GGN,THEG,TNP1,DNAJB13,SPAG4,NR6A1,H1FNT,TSSK3,NME5,ADAM18,SPAG6,HSF2BP,YBX2,TCFL5,DNAH9,MYCBPAP,CCT6B,SPATA4,ADAM29,BMP15,DDX25,SOX30,DUSP13,RPL39L,SPO11,RPL10L,MOV10L1,SERPINA5,DMC1,MTL5,PROK2,FOXJ1,USP9Y,SYCP1,DAZL,FSHR,ADAM28
M_PHASE	99.0	-1.6659861	0.0	0.03447149	CIT,BRSK1,MPHOSPH9,CHEK1,MAD2L2,LIG3,RAD54L,RCC1,CCNA2,BUB1B,NUSAP1,ESPL1,NPM2,AURKA,KIF22,SMC4,NCAPH,KPNA2,BIRC5,RAD51,CCNA1,KIF2C,UBE2C,KNTC1,HSPA2,TPX2,NEK2,CDCA5,PLK1,CDC25C,RAD54B,KIF11,BUB1,CENPE,KIF15,TTK,CETN1,DUSP13,SPO11,STAG3,DMC1,BOLL,MSH4,SYCP1,GML
CELL_CYCLE_PHASE	151.0	-1.6035494	0.0	0.099292375	CIT,BRSK1,MPHOSPH9,POLE,CDKN2A,CHEK1,BCAT1,MAD2L2,LIG3,CDKN1A,RAD54L,RCC1,KRT7,CCNA2,BUB1B,NUSAP1,ESPL1,NPM2,AURKA,KIF22,SMC4,NCAPH,KPNA2,CDC7,BIRC5,RAD51,CCNA1,SKP2,DBF4,KIF2C,UBE2C,KNTC1,HSPA2,TPX2,NEK2,CDCA5,TPD52L1,PLK1,CDKN3,CDC25C,RAD54B,KIF11,USH1C,CENPF,BUB1,CENPE,KIF15,TTK,CETN1,SPDYA,DUSP13,SPO11,STAG3,DMC1,BOLL,MSH4,SYCP1,GML
MEIOTIC_CELL_CYCLE	30.0	-1.5970833	0.0011148272	0.09302019	CHEK1,LIG3,RAD54L,NPM2,RAD51,CCNA1,HSPA2,RAD54B,DUSP13,SPO11,STAG3,DMC1,BOLL,MSH4,SYCP1
