Name	Size	NES	NOM p-value	FDR q-value	Gene Details
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	22.0	2.2280743	0.0	0.0	CYP7A1,BAAT,SLC27A5,SLC10A1,ALB,ACOX2,ABCB11,CYP8B1,SLC27A2,AKR1D1,CYP27A1,HSD3B7,CYP7B1
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	18.0	2.1424065	0.0	0.00162	CYP7A1,BAAT,SLC27A5,ACOX2,ABCB11,CYP8B1,SLC27A2,AKR1D1,CYP27A1,HSD3B7,CYP7B1
REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT	16.0	2.053873	0.0	0.013790347	APOB,APOA5,APOC3,APOA1,APOA2,LDLR,APOE
REACTOME_SIGNALING_BY_BMP	21.0	1.9760047	0.0	0.025774615	GREM2,SMAD7,CHRDL1,ACVR2B,NOG,SMAD5,SKI,UBE2D1,SMAD1,SMAD6,ACVR2A,ZFYVE16,BMPR2,BMPR1A,SMURF1,SMAD4,BMPR1B
REACTOME_TIE2_SIGNALING	17.0	1.971947	0.005586592	0.02133969	ANGPT1,ANGPT4,PIK3R1,ANGPT2,SHC1,TEK,PIK3CB,GRB14
REACTOME_COMPLEMENT_CASCADE	17.0	1.953185	0.0	0.022793803	C8A,MBL2,CFD,CRP,CFH
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_	15.0	1.8224399	0.0	0.08510568	FGB,FGG,VWF,FGA,ITGB3
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	15.0	1.8089327	0.0	0.08360643	FGB,FGG,VWF,FGA,ITGB3
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	16.0	1.7456121	0.0057471264	0.12842669	IVD,MCCC1,DBT,BCAT2,BCKDHB,ACADSB,ALDH6A1,AUH,MCCC2,HIBCH,BCKDHA,ACAT1
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	82.0	1.6936797	0.0	0.17113772	CYP7A1,APOA5,FABP1,APOA1,APOA2,AGT,PPARG,SLC27A1,CTGF,G0S2,PPARGC1B,ALAS1,TEAD1,TRIB3,ABCB4,PPARGC1A,PPARA,HMGCS2,ACADM,YAP1,NCOA1,CPT2,TEAD4,RXRA,NR1D1
REACTOME_PEROXISOMAL_LIPID_METABOLISM	17.0	1.6882912	0.013071896	0.16226752	ACOX2,SLC27A2,IDH1,PHYH,SCP2,AMACR
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	28.0	1.6840281	0.0088495575	0.15242489	PER2,NR3C1,PPARGC1A,PPARA,DBP,NCOA1,RXRA,NR1D1,SERPINE1,NCOR1,PER1,ARNTL2,NCOA3,CRY2,EP300
REACTOME_PKB_MEDIATED_EVENTS	23.0	1.6796074	0.0076923077	0.14595598	PDE3B,PRKAG3,RPS6,EEF2K,AKT2,PRKAA1,PRKAA2,EIF4EBP1,PRKAB2,RPS6KB1,RHEB,PRKAG2,STK11
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	22.0	1.6539654	0.007518797	0.16510107	FGB,FGG,SERPINC1,KNG1,VWF,THBD,FGA,KLKB1,TFPI
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	35.0	1.6411607	0.010526316	0.16804382	FGB,FGG,VWF,MPL,FGA,ADRA2A,ADRA2B,THPO,SHC1,ITGB3
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	18.0	1.5944855	0.032786883	0.21175453	PIK3R1,TRIB3,MAP3K8,AKT2,CD86
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	15.0	-1.61767	0.006090134	0.10922548	MUC13,ST6GAL1,MUC4,MUC5B,MUC15,MUC5AC
