Label,FC
"1,2-dilinoleoyl-GPC",1.130687515
"1,2-dioleoyl-GPC",5.048401119
"1,2-dioleoyl-GPE",2.749885304
"1,2-dipalmitoyl-GPC",3.228852015
"1,2-distearoyl-GPC",75.54335576
"1,5-anhydroglucitol",2.975462734
1-(1-enyl-oleoyl)-GPE,20.24856385
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC,11.82179151
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE,2.144034011
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC,11.17796416
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE,1.112319204
1-(1-enyl-palmitoyl)-2-oleoyl-GPC,55.02486774
1-(1-enyl-palmitoyl)-2-oleoyl-GPE,2.68549059
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC,#DIV/0!
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC,6.058375004
1-(1-enyl-palmitoyl)-GPC,#DIV/0!
1-(1-enyl-palmitoyl)-GPE,4.35334498
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE,6.174146728
1-(1-enyl-stearoyl)-2-linoleoyl-GPE,1.795523049
1-(1-enyl-stearoyl)-2-oleoyl-GPE,5.796962952
1-(1-enyl-stearoyl)-GPE,21.9330498
1-(3-aminopropyl)-2-pyrrolidone,#DIV/0!
1-arachidonoyl-GPC,1.625388156
1-arachidonoyl-GPE,3.709477274
1-arachidonoyl-GPI,11.96561397
1-lignoceroyl-GPC,#DIV/0!
1-linolenoyl-GPC,0.789915779
1-linoleoyl-2-arachidonoyl-GPC,2.472948456
1-linoleoyl-GPC,0.811765232
1-linoleoyl-GPE,1.115794103
1-linoleoyl-GPI,#DIV/0!
1-linoleoylglycerol,2.169110184
1-methylguanidine,#DIV/0!
1-methylhistidine,10.50842866
1-methylimidazoleacetate,1.829144626
1-methylnicotinamide,0.521570167
1-oleoyl-2-linoleoyl-glycerol,0.843805089
1-oleoyl-2-linoleoyl-GPC,1.332727847
1-oleoyl-2-linoleoyl-GPE,0.958286896
1-oleoyl-3-linoleoyl-glycerol,1.232320469
1-oleoyl-GPC,1.85067617
1-oleoyl-GPE,5.025766758
1-oleoyl-GPI,#DIV/0!
1-oleoyl-GPS,#DIV/0!
1-oleoylglycerol,2.076378786
1-palmitoleoyl-2-linoleoyl-GPC,1.325248435
1-palmitoleoyl-2-oleoyl-glycerol,1.010161854
1-palmitoleoyl-3-oleoyl-glycerol,1.325347463
1-palmitoleoyl-GPC,2.301290002
1-palmitoleoylglycerol,2.889479958
1-palmitoyl-2-arachidonoyl-GPC,5.036344972
1-palmitoyl-2-arachidonoyl-GPE,1.650256684
1-palmitoyl-2-linoleoyl-glycerol,0.669680588
1-palmitoyl-2-linoleoyl-GPC,1.321380706
1-palmitoyl-2-linoleoyl-GPE,0.735103136
1-palmitoyl-2-oleoyl-GPC,4.122729061
1-palmitoyl-2-oleoyl-GPE,1.837562065
1-palmitoyl-2-oleoyl-GPG,7.681455643
1-palmitoyl-2-palmitoleoyl-GPC,4.8593559
1-palmitoyl-2-stearoyl-GPC,7.533266996
1-palmitoyl-3-linoleoyl-glycerol,1.105622865
1-palmitoyl-GPC,1.779693819
1-palmitoyl-GPE,4.846315517
1-palmitoyl-GPG,#DIV/0!
1-palmitoyl-GPI,41.13038865
1-stearoyl-2-arachidonoyl-GPC,7.15230481
1-stearoyl-2-arachidonoyl-GPE,2.041860664
1-stearoyl-2-arachidonoyl-GPI,1.314708017
1-stearoyl-2-arachidonoyl-GPS,2.340963855
1-stearoyl-2-linoleoyl-GPC,1.67324722
1-stearoyl-2-linoleoyl-GPE,0.91272372
1-stearoyl-2-oleoyl-GPC,6.537882852
1-stearoyl-2-oleoyl-GPE,3.702230012
1-stearoyl-2-oleoyl-GPS,8.529551342
1-stearoyl-GPC,2.853383741
1-stearoyl-GPE,4.543164798
1-stearoyl-GPI,28.17259625
1-stearoyl-GPS,19.07798761
10-heptadecenoate,2.047098449
10-nonadecenoate,2.504093557
"12,13-DiHOME",1.27956018
12-HETE,7.781439182
15-HETE,5.223191888
15-methylpalmitate,1.747930641
16-hydroxypalmitate,0.772127246
17-methylstearate,1.584024404
2'-deoxycytidine,4.212671454
2'-deoxyguanosine,#DIV/0!
2'-deoxyinosine,#DIV/0!
2'-deoxyuridine,2.631995428
2-aminoadipate,26.77950132
2-aminoheptanoate,2.547663108
2-aminooctanoate,3.449137541
2-hydroxy-3-methylvalerate,#DIV/0!
2-hydroxyadipate,#DIV/0!
2-hydroxybutyrate/2-hydroxyisobutyrate,2.475926145
2-hydroxyglutarate,1.315234486
2-hydroxystearate,2.806532364
2-linoleoylglycerol,3.816741504
2-methylbutyrylcarnitine,2.751952624
2-methylbutyrylglycine,1.072944523
2-methylcitrate/homocitrate,#DIV/0!
2-methylmalonyl carnitine,#DIV/0!
2-oleoylglycerol,3.484891369
2-palmitoleoyl-GPC,3.160687014
2-palmitoyl-GPC,1.509624658
2-stearoyl-GPE,3.662822425
3-(4-hydroxyphenyl)lactate,5.481503492
3-aminoisobutyrate,2.06165876
3-hydroxy-3-methylglutarate,4.160193295
3-hydroxybutyrate,0.997886644
3-hydroxybutyrylcarnitine,0.709832957
3-hydroxyisobutyrate,2.369783104
3-indoxyl,1.499228629
3-methylcytidine,#DIV/0!
3-methylhistidine,22.12333716
3-phosphoglycerate,14.34514893
3-ureidopropionate,1.205219919
4-cholesten-3-one,1.665624008
4-ethylphenylsulfate,#DIV/0!
4-guanidinobutanoate,2.701983238
4-hydroxy-nonenal-glutathione,1.189943218
4-hydroxybutyrate,#DIV/0!
4-imidazoleacetate,1.33360876
4-vinylphenol sulfate,#DIV/0!
5-aminovalerate,#DIV/0!
5-dodecenoate,1.476581834
5-hydroxylysine,#DIV/0!
5-methylthioadenosine,22.2904112
5-oxoproline,15.81628313
6-oxopiperidine-2-carboxylic acid,#DIV/0!
6-phosphogluconate,#DIV/0!
7-hydroxycholesterol,1.206322087
7-methylguanine,4.859946474
"9,10-DiHOME",1.324275261
acetylcarnitine,2.717983634
acetylphosphate,4.625970747
aconitate,4.650389913
adenine,9.450207957
adenosine,2.148896693
adenosine 2'-monophosphate,5.83378132
"adenosine 3',5'-diphosphate",2.842272646
adenosine 3'-monophosphate ,1.474202663
adenosine 5'-diphosphoribose,0.906731771
adenosine 5'-monophosphate,0.232522893
adrenate,1.373292147
alanine,2.96124784
allantoin,1.610645727
alpha-hydroxyisocaproate,#DIV/0!
alpha-hydroxyisovalerate,6.243637879
alpha-ketoglutarate,1.387292803
alpha-tocopherol,0.892207831
anserine,1.908021168
arabitol/xylitol,#DIV/0!
arabonate/xylonate,#DIV/0!
arachidate,1.866461964
arachidonate,3.197875774
arachidonoyl ethanolamide,0.734333228
arginine,5.597517096
argininosuccinate,20.6266799
ascorbate,1.741991423
asparagine,6.423422596
aspartate,4.524876769
azelate,0.778661717
behenoyl sphingomyelin,2.054959387
beta-alanine,4.411649315
beta-guanidinopropanoate,1.077382283
beta-hydroxyisovaleroylcarnitine,2.652078699
beta-muricholate,#DIV/0!
betaine,95.90478438
betaine aldehyde,36.19808304
butyrylcarnitine,6.752751507
C-glycosyltryptophan,3.984218784
campesterol,#DIV/0!
carboxyethyl-GABA,6.046997427
carnitine,1.214944239
carnosine,2.126665275
catechol sulfate,#DIV/0!
cholesterol,1.171509478
choline,5.317751108
choline phosphate,3.404032141
citrate,11.36732316
citrulline,3.243840221
corticosterone,0.969610285
creatine,2.134894591
creatine phosphate,1.916472693
creatinine,3.44258212
cystathionine,#DIV/0!
cysteine,29.08271541
cysteine s-sulfate,#DIV/0!
cysteine sulfinic acid,30.73254093
cystine,88.01843509
cytidine,9.801559016
cytidine 3'-monophosphate,0.775887101
cytidine 5'-diphosphocholine,4.787302507
cytidine 5'-monophosphate,2.213208477
cytidine 5'-monophospho-N-acetylneuraminic acid,3.972703892
cytidine-5'-diphosphoethanolamine,1.541221478
cytosine,1.464779733
decanoylcarnitine,0.66995319
dehydroascorbate,49.54602192
deoxycarnitine,3.771825211
dihomo-linoleate,2.899799625
dihomo-linolenate,2.700037448
dihydoxyphenylalanine,1.606971323
dihydroxyacetone,16.74797776
dimethyl,3.122260847
dimethylarginine,17.99657786
dimethylglycine,1.606581108
docosadienoate,1.897890828
docosahexaenoate,3.535221517
docosapentaenoate,2.324646748
dopamine sulfate,#DIV/0!
eicosapentaenoate,1.708911316
eicosenoate,2.165061756
equol sulfate,#DIV/0!
ergothioneine,1.197811807
erucate,1.52790627
erythronate*,7.199696127
ethylmalonate,2.636611533
flavin adenine dinucleotide,5.516280744
fructose,3.78549095
fumarate,6.011662672
galactitol,#DIV/0!
galactonate,23.8173
gamma-aminobutyrate,5.694863569
gamma-carboxyglutamate,14.28601482
gamma-glutamyl-epsilon-lysine,2.752739524
gamma-glutamylalanine,2.256994735
gamma-glutamylglutamate,1.165830015
gamma-glutamylglutamine,3.516828006
gamma-glutamylglycine,#DIV/0!
gamma-glutamylhistidine,#DIV/0!
gamma-glutamylisoleucine*,2.388411686
gamma-glutamylleucine,1.543662445
gamma-glutamylphenylalanine,#DIV/0!
gamma-glutamylvaline,4.861293272
gamma-tocopherol/beta-tocopherol,1.626386527
gluconate,#DIV/0!
glucose,1.653910382
glucuronate,3.841709497
glutamate,5.670524094
"glutamate, gamma-methyl ester",14.37028452
glutamine,5.844929695
glutarate,21.06827019
glutarylcarnitine,5.170354503
"glutathione, oxidized (GSSG)",1.033842568
"glutathione, reduced (GSH)",0.293320424
glycerate,7.209854554
glycerol,1.362494901
glycerol 3-phosphate,5.943386906
glycerophosphoethanolamine,2.145885662
glycerophosphoglycerol,5.47185888
glycerophosphoinositol*,300.696782
glycerophosphorylcholine,4.916003105
glycine,10.02335562
glycosyl-N-palmitoyl-sphingosine,10.80955391
glycosyl-N-stearoyl-sphingosine,#DIV/0!
glycylleucine,2.494027088
glycylvaline,2.142268176
guanidinoacetate,4.075767378
guanidinosuccinate,2.293611636
guanine,6.107514153
guanosine,4.116758349
guanosine 5'- monophosphate,0.332702492
gulonic acid*,1.632283649
heme,0.335454079
hexadecanedioate,1.14424379
hexanoylcarnitine,2.424676469
hexanoylglycine,0.806606885
hippurate,0.87053793
histamine,3.339792654
histidine,9.591136958
homoarginine,#DIV/0!
homocitrulline,7.574757168
homostachydrine*,0.429198191
hypotaurine,33.73065526
hypoxanthine,11.47876904
imidazole lactate,1.225936554
imidazole propionate,1.348260632
indolelactate,2.202377347
inosine,7.496915232
inosine 5'-monophosphate (IMP),1.127401324
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",6.09827493
isobutyrylcarnitine,2.587902219
isocitrate,0.836341775
isoleucine,4.030114093
isoleucylglycine,1.982576968
isovalerylcarnitine,3.059759772
isovalerylglycine,1.402382092
kynurenate,#DIV/0!
kynurenine,111.740981
lactate,4.479446921
laurylcarnitine,0.892964767
leucine,5.071741642
leucylglycine,1.194499191
linoleate,1.594569
linolenate,1.27495694
linoleoylcarnitine*,3.785080385
lysine,6.817114033
malate,4.615289414
malonylcarnitine,1.900782865
maltose,1.101427392
maltotriose,0.958342309
mannitol/sorbitol,3.619147078
mannose,6.120856401
margarate,2.230690965
mead acid,3.077862653
methionine,4.738960746
methionine sulfoxide,34.90621956
methyl glucopyranoside,#DIV/0!
methylmalonate,4.658494812
methylphosphate,6.04302075
methylsuccinate,1.041580462
myo-inositol,6.377408074
myristate,1.222601119
myristoleate,1.414055346
myristoylcarnitine,1.298931229
N-acetyl-aspartyl-glutamate,#DIV/0!
N-acetyl-beta-alanine,#DIV/0!
N-acetyl-glucosamine 1-phosphate,#DIV/0!
N-acetylalanine,6.295395053
N-acetylarginine,#DIV/0!
N-acetylasparagine,8.294004547
N-acetylaspartate,5.088096163
N-acetylglucosamine 6-phosphate,#DIV/0!
N-acetylglutamate,1.729871665
N-acetylglutamine,3.263503736
N-acetylglycine,0.87108205
N-acetylhistidine,3.496178467
N-acetylleucine,2.422113535
N-acetylmethionine,10.44803848
N-acetylneuraminate,13.96583069
N-acetylphenylalanine,#DIV/0!
N-acetylputrescine,#DIV/0!
N-acetylserine,5.727186502
N-acetyltaurine,1.837005605
N-acetylthreonine,3.202275503
N-alpha-acetylornithine,2.364780345
N-carbamoylaspartate,#DIV/0!
N-delta-acetylornithine,1.992837764
N-formylmethionine,2.298654158
N-formylphenylalanine,#DIV/0!
N-glycolylneuraminate,1.49365261
N-methyl-4-aminobutyric acid,1.281019284
N-monomethylarginine,#DIV/0!
N-palmitoyl-sphinganine,1.838157287
N-palmitoyl-sphingosine,2.451825235
N-palmitoyltaurine,#DIV/0!
N-stearoyltaurine,#DIV/0!
N1-Methyl-2-pyridone-5-carboxamide,2.454852976
N1-methyladenosine,#DIV/0!
N2-acetyllysine/N6-acetyllysine,18.85430036
"N6,N6,N6-trimethyllysine",7.378642451
N6-carboxymethyllysine,#DIV/0!
N6-succinyladenosine,20.67352722
nicotinamide,1.643864744
nicotinamide adenine dinucleotide,4.243548027
nicotinamide riboside,#DIV/0!
nonadecanoate,1.699793545
O-sulfo-L-tyrosine,#DIV/0!
octanoylcarnitine,1.656726133
oleamide,5.678388933
oleate/vaccenate,2.324846824
oleoyl ethanolamide,2.371716069
oleoylcarnitine,3.758769244
ornithine,2.721496426
orotate,1457.865714
orotidine,32.03258535
oxalate,3.328277598
p-cresol sulfate,1.537382483
p-cresol-glucuronide*,2.031245478
palmitate,1.641864603
palmitoleate,1.455531931
palmitoyl dihydrosphingomyelin,2.383500704
palmitoyl ethanolamide,1.601278028
palmitoyl sphingomyelin,3.326034455
palmitoylcarnitine,2.537694512
pantothenate,0.860619737
phenol sulfate,2.743879788
phenylacetylglycine,1.679004553
phenylalanine,6.124252664
phenylalanylglycine,0.793696647
phenyllactate,1.684566646
phosphate,3.610921082
phosphoenolpyruvate,12.14936525
phosphoethanolamine,3.222386831
phosphopantetheine,0.721217315
pipecolate,37.10411674
pro-hydroxy-pro,3.957420198
proline,4.208400534
prolylglycine,5.617138093
propionylcarnitine,1.89479339
pseudouridine,1.908517567
putrescine,11.04197507
pyridoxal,17.66147812
pyridoxamine,3.980762542
pyridoxamine phosphate,13.93955209
pyridoxate,0.969271742
pyroglutamine*,0.882118755
quinolinate,#DIV/0!
retinol,0.448295629
ribitol,#DIV/0!
riboflavin,#DIV/0!
ribonate,#DIV/0!
ribose,#DIV/0!
ribulose,2.632963149
S-adenosylhomocysteine,7.270862551
S-adenosylmethionine,18.08113108
saccharopine,#DIV/0!
salicylate,0.876469727
sarcosine,6.473596729
sebacate,0.99582738
sedoheptulose-7-phosphate,1.829591256
serine,4.298740515
spermidine,2.129999926
sphinganine,1.483892431
sphingomyelin,8.950667111
sphingosine,4.185699369
stachydrine,3.598689278
stearate,1.807691494
stearidonate,1.208742537
stearoyl ethanolamide,0.959509058
stearoyl sphingomyelin,2.063337
stearoylcarnitine,8.292447776
succinate,1.646040899
succinylcarnitine,1.541268418
sucrose,0.527700869
sulfate*,2.066198023
tartronate,3.269521806
taurine,1.314194422
tauro-beta-muricholate,0.052715661
taurochenodeoxycholate,#DIV/0!
taurocholate,0.053826181
taurocyamine,0.833761818
taurodeoxycholate,0.012863039
tauroursodeoxycholate,#DIV/0!
tetradecanedioate,1.334332986
thiamin,18.18876093
thiamin monophosphate,4.297332342
threonate,5.580239428
threonine,8.057099169
thymidine,3.430597525
tiglylcarnitine,#DIV/0!
trans-4-hydroxyproline,3.047232872
trans-urocanate,0.863115737
tricosanoyl,1.523545803
trigonelline,2.05560549
trimethylamine N-oxide,9.510486914
tryptophan,0.591393631
tyrosine,6.057909581
tyrosylglycine,1.330630708
UDP-galactose,49.33675532
UDP-glucose,7.464337619
UDP-glucuronate,1.517052825
UDP-N-acetylgalactosamine,7.975375455
UDP-N-acetylglucosamine,5.853796512
uracil,3.367098194
urate,1.54279217
urea,2.027737684
uridine,8.083970717
uridine 5'-diphosphate,3.284333518
uridine 5'-monophosphate,0.309441224
valine,6.653814118
valylglycine,2.771411665
xanthine,6.341138181
xanthosine,3.702178675
