"","Name",""
"mmu:11648","Akp3","24.4391565205612"
"mmu:76768","Alpi","9.17172628889036"
"mmu:24102","Trex2","8.63867233384933"
"mmu:69036","Zg16","7.86037926836095"
"mmu:13099","Cyp2c40","7.84191190621453"
"mmu:16617","Klk1b24","7.79987637082395"
"mmu:192200","Wfdc12","7.40762606555516"
"mmu:19660","Rbp2","7.39919601722488"
"mmu:242509","Bnc2","7.33294191085388"
"mmu:17121","Mxd3","7.26926912193738"
"mmu:229841","Cenpe","6.77685794765123"
"mmu:14916","Guca2b","6.72641734561928"
"mmu:666339","Muc3","6.72639572662039"
"mmu:14724","Gp1bb","6.6006121050958"
"mmu:12000","Avpr2","6.59204444819458"
"mmu:71819","Kif23","6.58200328917987"
"mmu:22152","Tubb3","6.53942032279644"
"mmu:67687","1700011L22Rik","6.53596616282822"
"mmu:192198","Lrrc4","6.53074752376916"
"mmu:54390","Sit1","6.51393888197306"
"mmu:13828","Epb4.2","6.48332617854961"
"mmu:11441","Chrna7","6.46071413740674"
"mmu:235472","Prtg","6.44178823102281"
"mmu:140557","Smc1b","6.35349997133299"
"mmu:16612","Klk1","6.31800648194733"
"mmu:12062","Bdkrb2","6.30990091888378"
"mmu:71816","Rnf180","6.30834270322247"
"mmu:17910","Myo15","6.26943300113049"
"mmu:20355","Sema4f","6.26899592202593"
"mmu:278097","Armcx6","6.24648707938994"
"mmu:381375","Dfnb59","6.23269845358006"
"mmu:320040","Rnf222","6.22332892991615"
"mmu:16183","Il2","6.22167856343556"
"mmu:286942","Kif19a","6.20835858063111"
"mmu:18125","Nos1","6.18620001181842"
"mmu:330440","Gm766","6.15881557613487"
"mmu:19692","Reg1","6.15881557613487"
"mmu:13011","Cst7","6.15881557613487"
"mmu:67926","Spert","6.15297715946159"
"mmu:68553","Col6a4","6.13665783454688"
"mmu:17312","Clec10a","6.09886129070371"
"mmu:75373","4930597O21Rik","6.09335501564027"
"mmu:20753","Sprr1a","6.08837550521628"
"mmu:71003","Prss41","6.03608071621693"
"mmu:12959","Cryba4","6.01155520675563"
"mmu:19695","Reg3g","6.0072980796276"
"mmu:328643","Vwa5b2","5.96022146436687"
"mmu:233836","Slc5a11","5.90801221037123"
"mmu:14934","Gypa","5.89647894409913"
"mmu:16682","Krt4","5.87243564283765"
"mmu:67709","Reg4","5.84712453856629"
"mmu:227327","B3gnt7","5.84286600017949"
"mmu:20512","Slc1a3","5.82522948333298"
"mmu:241324","Crb2","5.8153663197066"
"mmu:52570","Ccdc69","5.81334450202522"
"mmu:53604","Zpbp","5.81209799643213"
"mmu:21946","Pglyrp1","5.76184719728506"
"mmu:70902","Lpcat2b","5.7377164465298"
"mmu:20271","Scn5a","5.72739936585759"
"mmu:20531","Slc34a2","5.72356768053859"
"mmu:74424","Tmc5","5.67786035719892"
"mmu:17288","Mep1b","5.65917440738393"
"mmu:22264","Prap1","5.65135984115392"
"mmu:338346","Gpr21","5.65120335669999"
"mmu:78354","2210407C18Rik","5.6456957626232"
"mmu:16199","Il9r","5.63277275830004"
"mmu:14365","Fzd3","5.62789436593946"
"mmu:57740","Stk32c","5.59889013094076"
"mmu:69169","Faim3","5.55965492817801"
"mmu:12810","Coch","5.54392986531928"
"mmu:69310","Pacrg","5.54009264543565"
"mmu:108803","4933402P03Rik","5.54009264543565"
"mmu:11847","Arg2","5.53985430913516"
"mmu:270109","Pcnxl2","5.50112811901848"
"mmu:77595","Nup210l","5.47456565430051"
"mmu:320662","Casc1","5.47296072989763"
"mmu:278795","Lrrc10b","5.4545239768855"
"mmu:75507","Pou5f2","5.44686115186503"
"mmu:320825","Samd5","5.44570675164526"
"mmu:12638","Cftr","5.43028669426215"
"mmu:66261","Tm4sf20","5.42378322633666"
"mmu:69983","Sis","5.42378322633666"
"mmu:66809","Krt20","5.42378322633666"
"mmu:69814","Prss32","5.42378322633666"
"mmu:75573","2310007L24Rik","5.41721263170897"
"mmu:19152","Prtn3","5.40967104934922"
"mmu:320679","Samd12","5.37007908207534"
"mmu:93670","Tac4","5.3101640448052"
"mmu:380924","Olfm4","5.3101640448052"
"mmu:18392","Orc1","5.3101640448052"
"mmu:22127","Tsx","5.3101640448052"
"mmu:229459","Dchs2","5.3101640448052"
"mmu:78134","Lpar4","5.30392823025754"
"mmu:228576","Mall","5.30372143665257"
"mmu:319240","9330159N05Rik","5.30370018374456"
"mmu:235180","Fez1","5.28200796744548"
"mmu:14776","Gpx2","5.27190976256617"
"mmu:93702","Pcdhgb5","5.27190976256617"
"mmu:16491","Kcna3","5.2676671911324"
"mmu:72930","Ppp2r2b","5.24703383564769"
"mmu:12228","Btg3","5.22960068833872"
"mmu:68423","Ankrd13d","5.21581783474598"
"mmu:26909","Exo1","5.19436831143105"
"mmu:242285","Sdr16c5","5.19117147448569"
"mmu:74762","Mdga1","5.1877090583498"
"mmu:20147","Rs1","5.18613103742388"
"mmu:282663","Serpinb1b","5.17255677981118"
"mmu:78303","Hist3h2ba","5.16936814885707"
"mmu:432552","Fam71b","5.16907514567089"
"mmu:75604","Tm4sf5","5.16121136340212"
"mmu:30060","Mfi2","5.16121136340212"
"mmu:17063","Muc13","5.16121136340212"
"mmu:12557","Cdh17","5.16121136340212"
"mmu:50795","Sh3bgr","5.16121136340212"
"mmu:14425","Galnt3","5.15759907350359"
"mmu:620648","Gm6169","5.15759907350359"
"mmu:544763","Hbq1b","5.15100932021975"
"mmu:11642","Akap3","5.14960861854861"
"mmu:73893","Tmem202","5.01716222855732"
"mmu:244595","Ces1a","5.01703575658492"
"mmu:100041146","Gm15448","5.00711158333963"
"mmu:53419","Corin","4.99602223224666"
"mmu:93723","Pcdhga11","4.97978334058573"
"mmu:15465","Hrh1","4.97520094443186"
"mmu:105439","Slain1","4.97520094443186"
"mmu:107586","Ovol2","4.93638947888683"
"mmu:240216","E230025N22Rik","4.92892109094875"
"mmu:15364","Hmga2","4.92892109094875"
"mmu:70730","6330409D20Rik","4.89448038812575"
"mmu:83560","Tex14","4.89448038812575"
"mmu:20510","Slc1a1","4.89448038812575"
"mmu:17339","Mip","4.89448038812575"
"mmu:69810","Clec4b1","4.89448038812575"
"mmu:18689","Phxr4","4.89448038812575"
"mmu:19225","Ptgs2","4.89448038812575"
"mmu:171166","Mcoln3","4.89448038812575"
"mmu:14622","Gjb5","4.89448038812575"
"mmu:209590","Il23r","4.89448038812575"
"mmu:74499","Sost","4.88571563516397"
"mmu:75610","2010109A12Rik","4.86986202709544"
"mmu:233038","Nccrp1","4.85041648681234"
"mmu:17868","Mybpc3","4.84996155553005"
"mmu:269615","Plch2","4.84954747415085"
"mmu:30051","Spdef","4.83970524152827"
"mmu:67715","2010106E10Rik","4.83970524152827"
"mmu:226413","Lct","4.83970524152827"
"mmu:70993","Prss54","4.83970524152827"
"mmu:26369","Cetn1","4.83970524152827"
"mmu:16165","Il13ra2","4.83213043929372"
"mmu:235379","Gldn","4.83181362731231"
"mmu:12653","Chgb","4.78877821855966"
"mmu:22403","Wisp2","4.78877821855966"
"mmu:16619","Klk1b27","4.78877821855966"
"mmu:229588","Gm128","4.78358339571342"
"mmu:14221","Fjx1","4.78358339571342"
"mmu:381308","Mnda","4.78135441112963"
"mmu:20618","Sncg","4.771509298101"
"mmu:57394","Tmem27","4.73737807358135"
"mmu:70894","Efcab3","4.73737807358135"
"mmu:74466","4933427G17Rik","4.73737807358135"
"mmu:104080","Nxph4","4.73737807358135"
"mmu:233020","Hipk4","4.73737807358135"
"mmu:58218","Trem3","4.73737807358135"
"mmu:11643","Akap4","4.73737807358135"
"mmu:110805","Foxe1","4.73737807358135"
"mmu:105511","Fam170b","4.73737807358135"
"mmu:53814","Oaz3","4.7354888697703"
"mmu:18285","Odf1","4.7354888697703"
"mmu:13643","Efnb3","4.73540521246324"
"mmu:240063","Zfp811","4.7328572892032"
"mmu:624866","Lekr1","4.73034177506874"
"mmu:54368","Gp9","4.72811645233087"
"mmu:240641","Kif20b","4.72727653560201"
"mmu:99738","Kcnc4","4.69701109890246"
"mmu:58867","Syngr4","4.69542763934698"
"mmu:75677","Cldn22","4.64495733981832"
"mmu:12480","Cd1d2","4.60079953046703"
"mmu:20319","Sfrp2","4.5532455830773"
"mmu:26564","Ror2","4.54894115391735"
"mmu:22144","Tuba3a","4.54069654802855"
"mmu:93961","B3galt5","4.54069654802855"
"mmu:209195","Clic6","4.46719261709103"
"mmu:56419","Diap3","4.4630943718878"
"mmu:80782","Klrb1b","4.45373247220876"
"mmu:69938","Scrn1","4.45231847598215"
"mmu:442803","A830005F24Rik","4.44487839913978"
"mmu:20190","Ryr1","4.43927705677231"
"mmu:216021","Stox1","4.43860537582707"
"mmu:328274","Zfp459","4.43860537582707"
"mmu:66211","Rpl3l","4.42743946445156"
"mmu:69671","Tmem52","4.42743946445156"
"mmu:74918","Iqca","4.42743946445156"
"mmu:241727","Snph","4.42743946445156"
