"Pathway","Total","Expected","Hits","P.Value","Topology","PVal.Z","Topo.Z"
"Pyrimidine metabolism",139,35.033,62,2.5084e-07,1.7257,4.3537,1.7203
"Purine metabolism",237,59.732,92,8.7306e-07,1.435,3.9428,1.1055
"Glutathione metabolism",79,19.911,36,5.3045e-05,1.0377,2.5896,0.26515
"Arginine and proline metabolism",102,25.708,43,9.9973e-05,1.2581,2.3808,0.7312
"Glycosphingolipid biosynthesis - lacto and neolacto series",25,6.3009,15,0.00022027,0.50505,2.1206,-0.86159
"Galactose metabolism",55,13.862,26,0.00028573,2.1429,2.0348,2.6027
"Taurine and hypotaurine metabolism",18,4.5366,10,0.0056182,1.5333,1.0534,1.3134
"Amino sugar and nucleotide sugar metabolism",85,21.423,32,0.0067142,1.4096,0.99468,1.0518
"N-Glycan biosynthesis",51,12.854,21,0.0084319,0.68571,0.91963,-0.47945
"Glycosaminoglycan degradation",22,5.5448,11,0.010342,0.68421,0.85236,-0.48263
"Glycosaminoglycan biosynthesis - chondroitin sulfate",14,3.5285,8,0.010665,1.2857,0.84222,0.78968
"Glycosphingolipid biosynthesis - ganglio series",14,3.5285,8,0.010665,1.6522,0.84222,1.5648
"Glycosphingolipid biosynthesis - globo series",14,3.5285,8,0.010665,1.7778,0.84222,1.8305
"Cysteine and methionine metabolism",65,16.382,25,0.011669,1.0364,0.81259,0.26225
"Fructose and mannose metabolism",59,14.87,23,0.012771,1.075,0.78283,0.34398
"Butirosin and neomycin biosynthesis",7,1.7642,5,0.013245,1.3333,0.77083,0.89041
"Pentose phosphate pathway",49,12.35,19,0.023979,1.3415,0.57527,0.9076
"Glycerophospholipid metabolism",119,29.992,39,0.035595,1.08,0.44512,0.35455
"Cyanoamino acid metabolism",12,3.0244,6,0.05598,1.5,0.29593,1.2429
"Glycine, serine and threonine metabolism",72,18.147,24,0.073247,1.4559,0.20735,1.1496
"Aminoacyl-tRNA biosynthesis",91,22.935,29,0.088044,0.56164,0.14673,-0.74188
"Nicotinate and nicotinamide metabolism",41,10.333,14,0.1269,1.2703,0.026295,0.75701
"Inositol phosphate metabolism",90,22.683,27,0.17234,0.82812,-0.074563,-0.17822
"Alanine, aspartate and glutamate metabolism",58,14.618,18,0.18759,1.1429,-0.1025,0.48751
"Starch and sucrose metabolism",66,16.634,20,0.2033,1.0426,-0.12899,0.27534
"Pantothenate and CoA biosynthesis",34,8.5692,11,0.21752,1.0645,-0.15127,0.3218
"Histidine metabolism",45,11.342,14,0.22381,0.90625,-0.16066,-0.012967
"Glycerolipid metabolism",72,18.147,21,0.25471,1.1351,-0.20328,0.47117
"Riboflavin metabolism",21,5.2927,7,0.26298,1,-0.2138,0.18533
"Mucin type O-Glycan biosynthesis",29,7.309,9,0.29561,0.45,-0.25234,-0.97803
"Phenylalanine metabolism",33,8.3172,10,0.30796,1.4348,-0.26582,1.105
"D-Glutamine and D-glutamate metabolism",8,2.0163,3,0.32643,0.85714,-0.28501,-0.11684
"Sphingolipid metabolism",68,17.138,19,0.3432,1.0377,-0.30152,0.26515
"Phenylalanine, tyrosine and tryptophan biosynthesis",12,3.0244,4,0.3574,2.4,-0.31488,3.1466
"Ubiquinone and other terpenoid-quinone biosynthesis",5,1.2602,2,0.37148,0.75,-0.32761,-0.34347
"Sulfur metabolism",16,4.0326,5,0.37701,0.66667,-0.33248,-0.51974
"beta-Alanine metabolism",51,12.854,14,0.40711,1.0952,-0.35779,0.38678
"One carbon pool by folate",28,7.057,8,0.40989,0.8,-0.36003,-0.23771
"Valine, leucine and isoleucine biosynthesis",13,3.2765,4,0.42259,1.1818,-0.37008,0.56992
"Vitamin B6 metabolism",17,4.2846,5,0.43393,1.65,-0.37881,1.5602
"Biosynthesis of unsaturated fatty acids",29,7.309,8,0.45343,0.90625,-0.39329,-0.012967
"Pyruvate metabolism",65,16.382,17,0.47731,1.1522,-0.4102,0.50721
"Glycolysis / Gluconeogenesis",89,22.431,23,0.4855,1.0339,-0.4158,0.25704
"Terpenoid backbone biosynthesis",38,9.5774,10,0.49934,0.8,-0.42506,-0.23771
"Arachidonic acid metabolism",130,32.765,33,0.51565,0.69737,-0.43566,-0.4548
"Synthesis and degradation of ketone bodies",15,3.7805,4,0.54638,1.4444,-0.45473,1.1254
"Thiamine metabolism",11,2.7724,3,0.55138,0.36364,-0.45773,-1.1607
"Biotin metabolism",7,1.7642,2,0.56035,0.30769,-0.46305,-1.279
"Ascorbate and aldarate metabolism",36,9.0733,9,0.57563,0.8125,-0.47191,-0.21127
"Porphyrin and chlorophyll metabolism",67,16.886,16,0.6463,0.57447,-0.51007,-0.71476
"Folate biosynthesis",31,7.8131,7,0.6987,0.62857,-0.53575,-0.60032
"Ether lipid metabolism",51,12.854,11,0.77489,0.55172,-0.56985,-0.76287
"Citrate cycle (TCA cycle)",51,12.854,11,0.77489,1.0682,-0.56985,0.32955
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis",20,5.0407,4,0.78195,0.35484,-0.57284,-1.1793
"Pentose and glucuronate interconversions",50,12.602,10,0.84657,0.82759,-0.599,-0.17936
"Butanoate metabolism",50,12.602,10,0.84657,0.88571,-0.599,-0.056405
"Glyoxylate and dicarboxylate metabolism",55,13.862,11,0.85518,0.78,-0.60234,-0.28001
"Lysine biosynthesis",7,1.7642,1,0.86937,0.375,-0.60776,-1.1367
"Lysine degradation",74,18.651,15,0.8716,0.69767,-0.6086,-0.45415
"Selenocompound metabolism",33,8.3172,6,0.87482,0.71429,-0.60982,-0.41901
"Steroid biosynthesis",53,13.358,10,0.89423,0.89706,-0.61705,-0.032408
"Lipoic acid metabolism",8,2.0163,1,0.90238,0.44444,-0.62004,-0.98979
"Propanoate metabolism",52,13.106,9,0.93638,0.68293,-0.63222,-0.48534
"Fatty acid elongation",58,14.618,10,0.94622,0.32877,-0.63567,-1.2345
"Linoleic acid metabolism",51,12.854,8,0.9651,1,-0.64218,0.18533
"Tyrosine metabolism",81,20.415,13,0.98384,0.83908,-0.64851,-0.15505
"alpha-Linolenic acid metabolism",35,8.8212,4,0.98768,0.5,-0.64979,-0.87227
"Fatty acid biosynthesis",49,12.35,6,0.99257,1.5,-0.65142,1.2429
"Retinol metabolism",97,24.447,15,0.99341,0.90476,-0.6517,-0.016115
"Metabolism of xenobiotics by cytochrome P450",150,37.805,24,0.99806,0.34862,-0.65324,-1.1925
"Primary bile acid biosynthesis",62,15.626,7,0.99825,0.21739,-0.6533,-1.4701
"Drug metabolism - cytochrome P450",142,35.789,22,0.99851,0.24074,-0.65339,-1.4207
"Drug metabolism - other enzymes",80,20.163,10,0.99857,0.35088,-0.65341,-1.1877
"Valine, leucine and isoleucine degradation",88,22.179,11,0.9991,0.55556,-0.65358,-0.75476
"Tryptophan metabolism",84,21.171,10,0.99932,0.425,-0.65366,-1.0309
"Steroid hormone biosynthesis",127,32.009,18,0.99934,0.65625,-0.65366,-0.54177
"Fatty acid metabolism",88,22.179,7,0.99999,0.8932,-0.65388,-0.040562
