"","Name",""
"cpd:C00328","L-Kynurenine","27.807"
"cpd:C00719","Betaine","24.334"
"cpd:C05422","Dehydroascorbate","12.802"
"cpd:C00576","Betaine aldehyde","9.6766"
"cpd:C00408","Pipecolic acid","9.3476"
"cpd:C00295","Orotic acid","8.7413"
"cpd:C00519","Hypotaurine","8.4718"
"cpd:C00606","3-Sulfinoalanine","8.4005"
"cpd:C01103","Orotidylic acid","8.3501"
"cpd:C00736","Cysteine","7.5865"
"cpd:C00956","Aminoadipic acid","6.9588"
"cpd:C00170","5'-Methylthioadenosine","5.6021"
"cpd:C00489","Glutaric acid","5.5628"
"cpd:C01152","1-Methylhistidine","5.3802"
"cpd:C03406","Argininosuccinic acid","5.0769"
"cpd:C00250","Pyridoxal","4.7652"
"cpd:C01879","Pyroglutamic acid","4.3522"
"cpd:C00597","3-Phosphoglyceric acid","4.1527"
"cpd:C00074","Phosphoenolpyruvic acid","3.6124"
"cpd:C00262","Hypoxanthine","3.2099"
"cpd:C00158","Citric acid","3.1635"
"cpd:C00134","Putrescine","2.9405"
"cpd:C02712","N-Acetyl-L-methionine","2.8664"
"cpd:C00475","Cytidine","2.7307"
"cpd:C00037","Glycine","2.7287"
"cpd:C00135","L-Histidine","2.6246"
"cpd:C00184","Dihydroxyacetone","2.5886"
"cpd:C00147","Adenine","2.5366"
"cpd:C00550","SM(d18:1/18:0)","2.4254"
"cpd:C00299","Uridine","2.3486"
"cpd:C00188","L-Threonine","2.2568"
"cpd:C19670",NA,"2.2339"
"cpd:C00203","Uridine diphosphate-N-acetylgalactosamine","2.2285"
"cpd:C00021","S-Adenosylhomocysteine","2.1716"
"cpd:C00294","Inosine","2.159"
"cpd:C00258","Glyceric acid","2.0063"
"cpd:C00047","L-Lysine","1.9837"
"cpd:C02862","Butyrylcarnitine","1.9635"
"cpd:C00385","Xanthine","1.8961"
"cpd:C00183","L-Valine","1.8764"
"cpd:C00242","Guanine","1.8478"
"cpd:C00152","L-Asparagine","1.8286"
"cpd:C00624","N-Acetyl-L-alanine","1.8143"
"cpd:C00159","D-Mannose","1.7792"
"cpd:C00079","L-Phenylalanine","1.7692"
"cpd:C00082","L-Tyrosine","1.7256"
"cpd:C00137","Myoinositol","1.7202"
"cpd:C00213","Sarcosine","1.6981"
"cpd:C00064","L-Glutamine","1.6888"
"cpd:C00093","Glycerol 3-phosphate","1.6844"
"cpd:C00016","FAD","1.6781"
"cpd:C00334","Gamma-Aminobutyric acid","1.6757"
"cpd:C00043","Uridine diphosphate-N-acetylglucosamine","1.6695"
"cpd:C00122","Fumaric acid","1.6564"
"cpd:C00062","L-Arginine","1.6527"
"cpd:C03672","3-(4-Hydroxyphenyl)lactate","1.6195"
"cpd:C01104","Trimethylamine N-oxide","1.6001"
"cpd:C00029","Uridine diphosphate glucose","1.5945"
"cpd:C01042","N-Acetyl-L-aspartic acid","1.5527"
"cpd:C00217","D-Glutamic acid","1.5492"
"cpd:C00114","Choline","1.5305"
"cpd:C04742","15(S)-HETE","1.5218"
"cpd:C01620","Threonic acid","1.5193"
"cpd:C00123","L-Leucine","1.4743"
"cpd:C00307","Citicoline","1.449"
"cpd:C00186","L-Lactic acid","1.3785"
"cpd:C00227","Acetylphosphate","1.3761"
"cpd:C02170","Methylmalonic acid","1.3705"
"cpd:C00881","Deoxycytidine","1.3613"
"cpd:C00670","Glycerophosphocholine","1.3527"
"cpd:C00099","Beta-Alanine","1.3525"
"cpd:C00387","Guanosine","1.3418"
"cpd:C02242","7-Methylguanine","1.3137"
"cpd:C01081","Thiamine monophosphate","1.3064"
"cpd:C00581","Guanidoacetic acid","1.3064"
"cpd:C00148","L-Proline","1.3057"
"cpd:C00049","L-Aspartic acid","1.2987"
"cpd:C00880","D-Galactonate","1.2986"
"cpd:C02336","beta-D-Fructose","1.2927"
"cpd:C00388","Histamine","1.29"
"cpd:C00065","L-Serine","1.261"
"cpd:C00319","Sphingosine","1.242"
"cpd:C03761","3-Hydroxymethylglutaric acid","1.2394"
"cpd:C16434",NA,"1.1878"
"cpd:C00009","Phosphate","1.1227"
"cpd:C00791","Creatinine","1.1192"
"cpd:C00191","D-Glucuronic acid","1.1107"
"cpd:C01762","Xanthosine","1.1085"
"cpd:C00209","Oxalic acid","1.1063"
"cpd:C02997",NA,"1.0992"
"cpd:C01181","4-Trimethylammoniobutanoic acid","1.097"
"cpd:C00106","Uracil","1.0712"
"cpd:C00588","Phosphorylcholine","1.0642"
"cpd:C05283",NA,"1.0618"
"cpd:C07326","1,5-Anhydrosorbitol","1.0417"
"cpd:C00327","Citrulline","1.0333"
"cpd:C10172",NA,"1.0308"
"cpd:C06429","(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid","1.0221"
"cpd:C00015","Uridine 5'-diphosphate","1.013"
"cpd:C00346","O-Phosphoethanolamine","1.0051"
"cpd:C00214","Thymidine","0.99372"
"cpd:C00534","Pyridoxamine","0.97057"
"cpd:C01157","Hydroxyproline","0.9487"
