"","Name",""
"mmu:17884","Myh4","11.5527582222576"
"mmu:21957","Tnnt3","9.22567275420634"
"mmu:59011","Myoz1","7.99287411763099"
"mmu:20608","Sstr4","7.67584216861853"
"mmu:118446","Gjc3","7.33040542122702"
"mmu:11608","Agtr1b","7.2172695946117"
"mmu:545288","Cyp2c67","7.10828431202568"
"mmu:623279","Dok6","6.86629409927442"
"mmu:18171","Nr1i2","6.82141165303928"
"mmu:627860","Cyp2d37-ps","6.77970053712683"
"mmu:216643","Gabrp","6.69353363118551"
"mmu:243168","Hsd17b13","6.65127144065066"
"mmu:216454","BC089597","6.6493217474386"
"mmu:109272","Mybpc1","6.56673518216765"
"mmu:665205","Gm14327","6.51308770063395"
"mmu:226781","Slc30a10","6.50879497973501"
"mmu:12715","Ckm","6.28752386848376"
"mmu:545798","Tmem233","6.23931525249839"
"mmu:22067","Trpc5","6.11466556576727"
"mmu:14079","Fabp2","6.04363050289537"
"mmu:100041658","Mup7","6.04363050289537"
"mmu:21925","Tnnc2","5.97471288480538"
"mmu:21667","Tdgf1","5.91407839557494"
"mmu:15375","Foxa1","5.82348646210284"
"mmu:15493","Hsd3b2","5.65452077691128"
"mmu:100039054","Mup12","5.65449970018575"
"mmu:17194","Mbl1","5.59767506980097"
"mmu:20254","Scg2","5.56394675950998"
"mmu:20278","Scnn1g","5.53858199718458"
"mmu:381353","Gm996","5.48041645309716"
"mmu:15398","Hoxa13","5.47505155060204"
"mmu:18667","Pgr","5.46333881683273"
"mmu:21786","Tff3","5.46307283089984"
"mmu:258712","Olfr433","5.35196869177019"
"mmu:241431","Xirp2","5.35134527723534"
"mmu:116852","Akr1c20","5.24228809069565"
"mmu:234669","Ces2b","5.24226729427994"
"mmu:386750","Slitrk3","5.2197276025361"
"mmu:76703","Cpb1","5.12444721658358"
"mmu:66808","9030624G23Rik","5.11532183049508"
"mmu:442840","A330017A19Rik","5.03961641624269"
"mmu:67272","Cmtm5","5.00870655957657"
"mmu:230718","Nt5c1a","5.00870655957657"
"mmu:66402","Sln","5.00868540102199"
"mmu:666279","Dspp","4.99785344636742"
"mmu:232966","Zfp114","4.99239965852428"
"mmu:68460","Dhrs7c","4.98692337192141"
"mmu:17927","Myod1","4.98143695797618"
"mmu:382384","Odf3l2","4.98143695797618"
"mmu:216453","Rdh19","4.98143695797618"
"mmu:381531","Mup21","4.98141000850783"
"mmu:12891","Cpne6","4.96423544565491"
"mmu:12968","Cryge","4.95778705013203"
"mmu:13122","Cyp7a1","4.82819055286835"
"mmu:319865","E130114P18Rik","4.82683831436699"
"mmu:103142","Rdh9","4.82002043159081"
"mmu:328783","Mslnl","4.79746163292179"
"mmu:433180","Spink6","4.79746163292179"
"mmu:319191","Hist1h2ai","4.79746163292179"
"mmu:13118","Cyp4a12b","4.79746163292179"
"mmu:269637","Cnpy1","4.68951186725557"
"mmu:382097","Gm1123","4.68951186725557"
"mmu:100559","Ugt2b38","4.68825219529681"
"mmu:268288","Samd3","4.68283968129338"
"mmu:20674","Sox2","4.68283968129338"
"mmu:20387","Sftpa1","4.6694143702198"
"mmu:14805","Grik1","4.6694143702198"
"mmu:69134","Fam25c","4.6694143702198"
"mmu:259066","Olfr520","4.6694143702198"
"mmu:640543","Tgm7","4.6694143702198"
"mmu:77727","6030468B19Rik","4.66266040986901"
"mmu:14472","Gbx2","4.66266040986901"
"mmu:319800","Slc22a30","4.66263389785493"
"mmu:574418","Serinc4","4.6346048640767"
"mmu:110648","Lmx1a","4.6345948976951"
"mmu:11872","Art2b","4.46897771778215"
"mmu:433653","Gm5549","4.46897771778215"
"mmu:14611","Gja3","4.45998803754981"
"mmu:72605","Car10","4.45732082589469"
"mmu:258877","Olfr1395","4.45333443706165"
"mmu:628813","Gm11437","4.45333443706165"
"mmu:434784","Ldoc1","4.45333443706165"
"mmu:242653","Cldn19","4.45333443706165"
"mmu:668066","Gm14418","4.45270254129368"
"mmu:51811","Clec4f","4.45099918005569"
"mmu:93673","Cml2","4.4475291772398"
"mmu:71338","Tprg","4.44647439394085"
"mmu:545366","Cfhr2","4.42580011343199"
"mmu:23893","Grem2","4.3274762375063"
"mmu:547109","Trim43a","4.2832246268436"
"mmu:14419","Gal","4.27878771933858"
"mmu:18159","Nppc","4.27878771933858"
"mmu:100040851","Gm9767","4.27878771933858"
"mmu:100416032","Gm17087","4.27878771933858"
"mmu:16703","Krtap8-1","4.2787680176803"
"mmu:110834","Chrna3","4.27875099585867"
"mmu:20504","Slc17a1","4.27010075595645"
"mmu:22772","Zic2","4.27010075595645"
"mmu:667073","Gm8444","4.27010075595645"
"mmu:626578","Gbp10","4.26137099004281"
"mmu:15379","Onecut1","4.25259870086939"
"mmu:378430","Nanos2","4.25259870086939"
"mmu:70843","Krt28","4.25259870086939"
"mmu:259096","Olfr561","4.25259870086939"
"mmu:329554","Gm826","4.25259870086939"
"mmu:100038468","Gm10684","4.25257277795291"
"mmu:100040563","Dynlt1c","4.19862498171132"
"mmu:18291","Nobox","4.19862498171132"
"mmu:70810","Krt25","4.19862498171132"
"mmu:56519","Defb4","4.19862498171132"
"mmu:100039319","Gm14920","4.19862498171132"
"mmu:432736","Vmn1r209","4.19862498171132"
"mmu:665186","Gm7534","4.19862498171132"
"mmu:665001","Gm14391","4.19862498171132"
"mmu:100041012","Gm3095","4.19860640892391"
"mmu:72240","1600014C23Rik","4.19860640892391"
"mmu:12733","Clcnka","4.19860588918165"
"mmu:319148","Hist1h3c","4.1985881846571"
"mmu:258836","Olfr272","4.19858805864839"
"mmu:71473","8430423G03Rik","4.19858805864839"
"mmu:12311","Calcr","4.18447583826116"
"mmu:381270","March4","4.17896808654388"
"mmu:20731","Spink4","4.16592376177863"
"mmu:17837","Mug2","4.10849566513359"
"mmu:68311","Lypd2","3.9658670942833"
"mmu:232333","Slc6a1","3.9658670942833"
"mmu:13999","Gm14288","3.9658670942833"
"mmu:100503422","Gm19684","3.9658670942833"
"mmu:18632","Pex11b","3.9658670942833"
"mmu:12942","Pcdha11","3.96215266433138"
"mmu:195359","Trim40","3.96208361331985"
"mmu:72431","Ceacam18","3.95500781095411"
"mmu:56702","Hist1h1b","3.95500781095411"
"mmu:16638","Klra7","3.95500781095411"
"mmu:100040883","Vma21-ps","3.95146831872641"
"mmu:14531","Gcm1","3.94964684835012"
"mmu:22238","Ugt2b5","3.94346678757072"
"mmu:230558","C8a","3.94245179027173"
"mmu:239133","Dleu7","3.92750385372981"
"mmu:100303738","D030025P21Rik","3.91904350423776"
"mmu:21743","Inmt","3.91190494429813"
"mmu:30058","Timm8a1","3.90678984029628"
"mmu:242443","Grin3a","3.90354167505148"
"mmu:70417","Megf10","3.8925217124914"
"mmu:20211","Saa4","3.85955613529827"
"mmu:80978","Mrgprh","3.81089782992377"
"mmu:93961","B3galt5","3.77502081958784"
"mmu:12012","Baat","3.71484627689507"
"mmu:214403","Gm4788","3.71005902576606"
"mmu:100043123","Gm11710","3.70164087243268"
"mmu:12307","Calb1","3.70162175045817"
"mmu:15562","Htr4","3.69345421594476"
"mmu:19668","Rbpjl","3.68919896121255"
"mmu:16678","Krt1","3.68919896121255"
"mmu:100038697","Gm10912","3.68919896121255"
"mmu:19208","Ptcra","3.68334941505445"
"mmu:113851","Vmn1r54","3.67666162876059"
"mmu:16637","Klra6","3.67666162876059"
"mmu:257938","Olfr1419","3.67666162876059"
"mmu:432615","Gm11733","3.67666162876059"
"mmu:240131","Lrrc30","3.67666162876059"
"mmu:639634","Aadacl2","3.67666162876059"
"mmu:100417934","Gm9894","3.67664302505432"
"mmu:109342","Slc5a10","3.67663941024071"
"mmu:20704","Serpina1e","3.65526789185084"
"mmu:238055","Apob","3.58505889573483"
"mmu:15112","Hao1","3.55031121853885"
"mmu:11937","Atp2a1","3.47790739428299"
"mmu:94175","Hrg","3.47323939616057"
"mmu:58916","Myot","3.46801052332439"
"mmu:71756","Cpn2","3.46730603941457"
"mmu:11808","Apoa4","3.45534524595621"
"mmu:107141","Cyp2c50","3.44431399717413"
"mmu:110135","Fgb","3.40064366799896"
"mmu:227231","Cps1","3.39848613931264"
