"Pathway","Total","Expected","Hits","P.Value","Topology","PVal.Z","Topo.Z"
"Pyrimidine metabolism",139,77.885,113,1.1161e-10,2.2212,4.0959,1.2736
"Purine metabolism",237,132.8,176,1.0119e-09,2.1073,3.6246,1.0483
"Linoleic acid metabolism",51,28.577,45,6.0536e-07,1.2222,2.2576,-0.70269
"Retinol metabolism",97,54.352,77,8.3274e-07,1.8095,2.1895,0.45911
"Glycerophospholipid metabolism",119,66.679,90,4.6751e-06,1.48,1.8206,-0.19275
"Glycerolipid metabolism",72,40.343,58,8.6075e-06,1.7297,1.6901,0.30126
"Glycosphingolipid biosynthesis - lacto and neolacto series",25,14.008,24,9.8556e-06,1.1919,1.6612,-0.76263
"N-Glycan biosynthesis",51,28.577,43,1.4898e-05,1.1143,1.5729,-0.91621
"Starch and sucrose metabolism",66,36.981,53,2.5435e-05,1.8723,1.4585,0.58337
"Glycosaminoglycan degradation",22,12.327,21,5.0541e-05,1,1.3117,-1.1423
"Glycosphingolipid biosynthesis - globo series",14,7.8446,14,0.00029284,2.2222,0.93611,1.2755
"Glycosphingolipid biosynthesis - ganglio series",14,7.8446,14,0.00029284,2.2609,0.93611,1.352
"Glutathione metabolism",79,44.266,59,0.00039577,1.5472,0.87172,-0.059877
"Ascorbate and aldarate metabolism",36,20.172,30,0.00048479,1.5625,0.82834,-0.029551
"Mucin type O-Glycan biosynthesis",29,16.249,25,0.00052885,0.9,0.80975,-1.3401
"Arginine and proline metabolism",102,57.153,72,0.0015115,1.828,0.58524,0.49557
"Histidine metabolism",45,25.215,35,0.001885,1.6562,0.53803,0.1559
"Arachidonic acid metabolism",130,72.842,89,0.0020375,1.0921,0.5214,-0.96008
"Glycosaminoglycan biosynthesis - chondroitin sulfate",14,7.8446,13,0.0035377,1.4286,0.40344,-0.29449
"beta-Alanine metabolism",51,28.577,38,0.0046868,2.2143,0.34331,1.2598
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis",20,11.207,17,0.006217,1.5806,0.28291,0.0063437
