"Query","Entrez","Symbol","Name","Comment"
"Gnai3","14679","Gnai3","guanine nucleotide binding protein (G protein), alpha inhibiting 3","1"
"Pbsn","54192","Pbsn","probasin","1"
"Cdc45","12544","Cdc45","cell division cycle 45 homolog (S. cerevisiae)","1"
"Scml2","107815","Scml2","sex comb on midleg-like 2 (Drosophila)","1"
"Apoh","11818","Apoh","apolipoprotein H","1"
"Narf","67608","Narf","nuclear prelamin A recognition factor","1"
"Cav2","12390","Cav2","caveolin 2","1"
"Klf6","23849","Klf6","Kruppel-like factor 6","1"
"Scmh1","29871","Scmh1","sex comb on midleg homolog 1","1"
"Cox5a","12858","Cox5a","cytochrome c oxidase, subunit Va","1"
"Tbx2","21385","Tbx2","T-box 2","1"
"Tbx4","21387","Tbx4","T-box 4","1"
"Zfy2","22768","Zfy2","zinc finger protein 2, Y linked","1"
"Ngfr","18053","Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)","1"
"Wnt3","22415","Wnt3","wingless-related MMTV integration site 3","1"
"Wnt9a","216795","Wnt9a","wingless-type MMTV integration site 9A","1"
"Fer","103921","Fer","ferris","1"
"Xpo6","74204","Xpo6","exportin 6","1"
"Tfe3","209446","Tfe3","transcription factor E3","1"
"Axin2","12006","Axin2","axin2","1"
"Brat1","NA","NA","NA","0"
"Gna12","14673","Gna12","guanine nucleotide binding protein, alpha 12","1"
"Slc22a18","18400","Slc22a18","solute carrier family 22 (organic cation transporter), member 18","1"
"Itgb2l","16415","Itgb2l","integrin beta 2-like","1"
"Igsf5","72058","Igsf5","immunoglobulin superfamily, member 5","1"
"Pih1d2","72614","Pih1d2","PIH1 domain containing 2","1"
"Dlat","235339","Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)","1"
"Sdhd","66925","Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein","1"
"Fgf23","64654","Fgf23","fibroblast growth factor 23","1"
"Fgf6","14177","Fgf6","fibroblast growth factor 6","1"
"Ccnd2","12444","Ccnd2","cyclin D2","1"
"Gpr107","277463","Gpr107","G protein-coupled receptor 107","1"
"Nalcn","338370","Nalcn","sodium leak channel, non-selective","1"
"Btbd17","72014","Btbd17","BTB (POZ) domain containing 17","1"
"Slfn4","20558","Slfn4","schlafen 4","1"
"Th","21823","Th","tyrosine hydroxylase","1"
"Ins2","16334","Ins2","insulin II","1"
"Scnn1g","20278","Scnn1g","sodium channel, nonvoltage-gated 1 gamma","1"
"Drp2","13497","Drp2","dystrophin related protein 2","1"
"Tspan32","27027","Tspan32","tetraspanin 32","1"
"Lhx2","16870","Lhx2","LIM homeobox protein 2","1"
"Clec2g","70809","Clec2g","C-type lectin domain family 2, member g","1"
"Gmpr","66355","Gmpr","guanosine monophosphate reductase","1"
"Glra1","14654","Glra1","glycine receptor, alpha 1 subunit","1"
"Mid2","23947","Mid2","midline 2","1"
"Trim25","217069","Trim25","tripartite motif-containing 25","1"
"Dgke","56077","Dgke","diacylglycerol kinase, epsilon","1"
"Scpep1","74617","Scpep1","serine carboxypeptidase 1","1"
"Mnt","17428","Mnt","max binding protein","1"
