Metabolites,q-value
glycine,0.15
N-acetylglycine,0.0859
sarcosine (N-Methylglycine),0.4644
dimethylglycine,0.4664
betaine,0.313
betaine aldehyde,0.2293
serine,0.2032
N-acetylserine,0.3571
threonine,0.1778
N-acetylthreonine,0.4071
alanine,0.3581
N-acetylalanine,0.2899
aspartate,0.1943
asparagine,0.272
N-acetylasparagine,0.3061
N-acetylaspartate (NAA),0.363
glutamate,0.3688
glutamine,0.0792
N-acetylglutamate,0.1118
N-acetylglutamine,0.4435
gamma-aminobutyrate (GABA),0.3371
"glutamate, gamma-methyl ester",0.3171
pyroglutamine*,0.1943
N-methyl-4-aminobutyric acid,0.3171
gamma-carboxyglutamate,0.3694
S-1-pyrroline-5-carboxylate,0.4587
histidine,0.2431
N-acetylhistidine,0.0845
1-methylhistidine,0.0658
3-methylhistidine,0.4173
N-acetyl-3-methylhistidine*,0.349
N-acetyl-1-methylhistidine*,0.0658
cis-urocanate,0.3997
imidazole propionate,0.4664
imidazole lactate,0.2222
1-methylhistamine,0.15
1-methylimidazoleacetate,0.3318
4-imidazoleacetate,0.1778
lysine,0.3174
N2-acetyllysine/N6-acetyllysine,0.3961
"N6,N6,N6-trimethyllysine",0.1621
5-hydroxylysine,0.3813
saccharopine,0.128
2-aminoadipate,0.1511
glutarate (pentanedioate),0.1973
glutarylcarnitine (C5),0.363
pipecolate,0.0495
6-oxopiperidine-2-carboxylic acid,0.1548
phenylalanine,0.15
N-acetylphenylalanine,0.2897
phenyllactate (PLA),0.1787
phenylacetylglycine,0.3448
tyrosine,0.4314
3-(4-hydroxyphenyl)lactate,0.2973
phenol sulfate,0.1202
p-cresol sulfate,0.2321
O-methyltyrosine,0.3779
phenylpropionylglycine,0.2222
p-cresol-glucuronide*,0.313
N-formylphenylalanine,0.3367
tryptophan,0.1689
indolelactate,0.4071
3-indoxyl sulfate,0.3903
kynurenine,0.0657
kynurenate,0.2873
xanthurenate,0.2294
5-hydroxyindoleacetate,0.2321
serotonin,0.2619
C-glycosyltryptophan,0.1262
leucine,0.1695
N-acetylleucine,0.2619
isovalerylglycine,0.1992
isovalerylcarnitine,0.143
beta-hydroxyisovaleroylcarnitine,0.3571
alpha-hydroxyisovalerate,0.1202
methylsuccinate,0.4664
isoleucine,0.0495
N-acetylisoleucine,0.1478
2-methylbutyrylcarnitine (C5),0.4233
2-methylbutyrylglycine,0.1249
tiglylcarnitine,0.2619
2-hydroxy-3-methylvalerate,0.0695
ethylmalonate,0.0705
valine,0.0658
N-acetylvaline,0.15
isobutyrylcarnitine,0.0705
3-hydroxyisobutyrate,0.4664
methylsuccinoylcarnitine (1),0.0742
methionine,0.15
