"Query","Match","HMDB","PubChem","KEGG","Comment"
"1,2-dilinoleoyl-GPC (18:2/18:2)","NA","NA","NA","NA","0"
"1,2-dioleoyl-GPC (18:1/18:1)*","NA","NA","NA","NA","0"
"1,2-dioleoyl-GPE (18:1/18:1)","NA","NA","NA","NA","0"
"1,2-dipalmitoyl-GPC (16:0/16:0)","NA","NA","NA","NA","0"
"1,2-distearoyl-GPC (18:0/18:0)","NA","NA","NA","NA","0"
"1,5-anhydroglucitol (1,5-AG)","NA","NA","NA","NA","0"
"1-(1-enyl-oleoyl)-GPE (P-18:1)*","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-GPC (P-16:0)*","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-GPE (P-18:0)*","NA","NA","NA","NA","0"
"1-(3-aminopropyl)-2-pyrrolidone","NA","NA","NA","NA","0"
"1-arachidonoyl-GPC (20:4)*","NA","NA","NA","NA","0"
"1-arachidonoyl-GPE (20:4)*","NA","NA","NA","NA","0"
"1-arachidonoyl-GPI (20:4)*","NA","NA","NA","NA","0"
"1-lignoceroyl-GPC (24:0)","NA","NA","NA","NA","0"
"1-linolenoyl-GPC (18:3)*","NA","NA","NA","NA","0"
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*","NA","NA","NA","NA","0"
"1-linoleoyl-GPC (18:2)","NA","NA","NA","NA","0"
"1-linoleoyl-GPE (18:2)*","NA","NA","NA","NA","0"
"1-linoleoyl-GPI (18:2)*","NA","NA","NA","NA","0"
"1-linoleoylglycerol (18:2)","NA","NA","NA","NA","0"
"1-methylguanidine","Methylguanidine","HMDB01522","10111","C02294","1"
"1-methylhistidine","1-Methylhistidine","HMDB00001","92105","C01152","1"
"1-methylimidazoleacetate","NA","NA","NA","NA","0"
"1-methylnicotinamide","1-Methylnicotinamide","HMDB00699","457","C02918","1"
"1-oleoyl-2-linoleoyl-glycerol (18:1/18:2)","NA","NA","NA","NA","0"
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*","NA","NA","NA","NA","0"
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*","NA","NA","NA","NA","0"
"1-oleoyl-3-linoleoyl-glycerol (18:1/18:2)","NA","NA","NA","NA","0"
"1-oleoyl-GPC (18:1)","NA","NA","NA","NA","0"
"1-oleoyl-GPE (18:1)","NA","NA","NA","NA","0"
"1-oleoyl-GPI (18:1)*","NA","NA","NA","NA","0"
"1-oleoyl-GPS (18:1)","NA","NA","NA","NA","0"
"1-oleoylglycerol (18:1)","NA","NA","NA","NA","0"
"1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*","NA","NA","NA","NA","0"
"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","NA","NA","NA","NA","0"
"1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*","NA","NA","NA","NA","0"
"1-palmitoleoyl-GPC (16:1)*","NA","NA","NA","NA","0"
"1-palmitoleoylglycerol (16:1)*","NA","NA","NA","NA","0"
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)","NA","NA","NA","NA","0"
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*","NA","NA","NA","NA","0"
"1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*","NA","NA","NA","NA","0"
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","NA","NA","NA","NA","0"
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)","NA","NA","NA","NA","0"
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","NA","NA","NA","NA","0"
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","NA","NA","NA","NA","0"
"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)","NA","NA","NA","NA","0"
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*","NA","NA","NA","NA","0"
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)","NA","NA","NA","NA","0"
"1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*","NA","NA","NA","NA","0"
"1-palmitoyl-GPC (16:0)","NA","NA","NA","NA","0"
"1-palmitoyl-GPE (16:0)","NA","NA","NA","NA","0"
"1-palmitoyl-GPG (16:0)*","NA","NA","NA","NA","0"
"1-palmitoyl-GPI (16:0)*","NA","NA","NA","NA","0"
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)","NA","NA","NA","NA","0"
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)","NA","NA","NA","NA","0"
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","NA","NA","NA","NA","0"
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)","NA","NA","NA","NA","0"
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*","NA","NA","NA","NA","0"
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*","NA","NA","NA","NA","0"
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)","NA","NA","NA","NA","0"
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)","NA","NA","NA","NA","0"
"1-stearoyl-2-oleoyl-GPS (18:0/18:1)","NA","NA","NA","NA","0"
"1-stearoyl-GPC (18:0)","NA","NA","NA","NA","0"
"1-stearoyl-GPE (18:0)","NA","NA","NA","NA","0"
"1-stearoyl-GPI (18:0)","NA","NA","NA","NA","0"
"1-stearoyl-GPS (18:0)*","NA","NA","NA","NA","0"
"10-heptadecenoate (17:1n7)","NA","NA","NA","NA","0"
"10-nonadecenoate (19:1n9)","NA","NA","NA","NA","0"
"12,13-DiHOME","12,13-DHOME","HMDB04705","10236635","C14829","1"
"12-HETE","12-HETE","HMDB06111","5312983","","1"
"15-HETE","15(S)-HETE","HMDB03876","5280724","C04742","1"
"15-methylpalmitate","NA","NA","NA","NA","0"
"16-hydroxypalmitate","NA","NA","NA","NA","0"
"17-methylstearate","NA","NA","NA","NA","0"
"2'-deoxycytidine","Deoxycytidine","HMDB00014","13711","C00881","1"
"2'-deoxyguanosine","Deoxyguanosine","HMDB00085","187790","C00330","1"
"2'-deoxyinosine","Deoxyinosine","HMDB00071","65058","C05512","1"
"2'-deoxyuridine","Deoxyuridine","HMDB00012","13712","C00526","1"
"2-aminoadipate","Aminoadipic acid","HMDB00510","469","C00956","1"
"2-aminoheptanoate","NA","NA","NA","NA","0"
"2-aminooctanoate","DL-2-Aminooctanoic acid","HMDB00991","69522","","1"
"2-hydroxy-3-methylvalerate","2-Hydroxy-3-methylpentanoic acid","HMDB00317","10796774","","1"
"2-hydroxyadipate","2-Hydroxyadipic acid","HMDB00321","193530","C02360","1"
"2-hydroxybutyrate/2-hydroxyisobutyrate","NA","NA","NA","NA","0"
"2-hydroxyglutarate","2-Hydroxyglutarate","HMDB59655","43","C02630","1"
"2-hydroxystearate","NA","NA","NA","NA","0"
"2-linoleoylglycerol (18:2)","NA","NA","NA","NA","0"
"2-methylbutyrylcarnitine (C5)","NA","NA","NA","NA","0"
"2-methylbutyrylglycine","2-Methylbutyrylglycine","HMDB00339","193872","","1"
"2-methylcitrate/homocitrate","NA","NA","NA","NA","0"
"2-methylmalonyl carnitine","NA","NA","NA","NA","0"
"2-oleoylglycerol (18:1)","NA","NA","NA","NA","0"
"2-palmitoleoyl-GPC (16:1)*","NA","NA","NA","NA","0"
"2-palmitoyl-GPC (16:0)*","NA","NA","NA","NA","0"
"2-stearoyl-GPE (18:0)*","NA","NA","NA","NA","0"
"3-(4-hydroxyphenyl)lactate","3-(4-Hydroxyphenyl)lactate","METPA0425",NA,"C03672","1"
"3-aminoisobutyrate","3-Aminoisobutanoic acid","HMDB03911","64956","C05145","1"
"3-hydroxy-3-methylglutarate","3-Hydroxymethylglutaric acid","HMDB00355","1662","C03761","1"
"3-hydroxybutyrate (BHBA)","NA","NA","NA","NA","0"
"3-hydroxybutyrylcarnitine (1)","NA","NA","NA","NA","0"
"3-hydroxybutyrylcarnitine (2)","NA","NA","NA","NA","0"
"3-hydroxyisobutyrate","(S)-3-Hydroxyisobutyric acid","HMDB00023","440873","C06001","1"
"3-indoxyl sulfate","Indoxyl sulfate","HMDB00682","10258","","1"
"3-methylcytidine","NA","NA","NA","NA","0"
"3-methylhistidine","3-Methylhistidine","HMDB00479","64969","C01152","1"
"3-phosphoglycerate","3-Phosphoglyceric acid","HMDB00807","724","C00597","1"
