Sample,207,208,209,243,213,215,217,218
Label,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Tx,HFD_Tx,HFD_Tx,HFD_Tx
"1,2-dilinoleoyl-GPC","6,959,785","6,426,450","7,345,000","9,843,078","7,258,798","9,286,538","8,106,757","9,917,901"
"1,2-dioleoyl-GPC","15,195,066","14,280,182","15,940,232","18,088,672","114,514,272","24,566,752","84,853,176","96,660,232"
"1,2-dioleoyl-GPE","7,420,265","6,666,161","6,518,864","9,541,907","18,461,024","16,529,866","24,078,552","23,831,892"
"1,2-dipalmitoyl-GPC","40,214,876","25,662,664","28,787,720","36,128,764","132,814,000","40,389,620","125,729,120","123,381,808"
"1,2-distearoyl-GPC","607,352","403,157","434,891","764,064","73,913,304","442,321","38,667,672","53,887,028"
"1,5-anhydroglucitol","467,242","184,221","378,080","283,684","1,185,180","582,061","1,028,155","1,112,062"
1-(1-enyl-oleoyl)-GPE,"38,229",,"140,834","111,819","5,181,594","188,809","1,095,499","1,387,355"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC,"2,210,494","1,609,184","1,434,169","2,210,298","32,286,848","2,404,440","27,964,836","25,583,442"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE,"38,305,088","32,818,548","32,487,524","35,993,256","77,994,264","44,268,240","91,895,800","85,158,312"
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC,"101,270","74,732","217,925","203,890","2,631,263","207,388","1,684,622","2,159,104"
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE,"3,407,099","3,507,335","5,038,771","3,635,278","3,293,222","4,407,385","4,552,196","5,086,566"
1-(1-enyl-palmitoyl)-2-oleoyl-GPC,,,,"129,475","11,144,210","100,860","9,652,163","7,600,146"
1-(1-enyl-palmitoyl)-2-oleoyl-GPE,"5,562,256","4,926,729","8,852,456","6,584,362","17,915,048","9,859,764","25,063,936","16,784,752"
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC,,,,,"3,476,386",,"2,783,524","2,101,567"
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC,"354,133","224,026","483,346","360,148","2,869,127","505,287","2,639,445","2,599,048"
1-(1-enyl-palmitoyl)-GPC,,,,,"2,545,960",,"1,361,823","1,401,868"
1-(1-enyl-palmitoyl)-GPE,"1,364,040","688,942","1,151,854","742,049","6,244,779","1,373,018","4,834,657","4,729,698"
