"","X213","X215","X217","X218","X207","X208","X209","X243"
"Label","HFD_Tx","HFD_Tx","HFD_Tx","HFD_Tx","HFD_Veh","HFD_Veh","HFD_Veh","HFD_Veh"
"1,2-dilinoleoyl-GPC ","-0.37199379"," 0.11326914","-0.36731708","-0.35645461","-0.04246255"," 0.21501475"," 0.18193791"," 0.62800621"
"1,2-dioleoyl-GPC ","-0.40619198"," 0.25152249","-0.42266125","-0.36729954","-0.09141925"," 0.26029329"," 0.19841749"," 0.57733875"
"1,2-dioleoyl-GPE ","-0.42777484"," 0.47293862","-0.40663366","-0.39046316","-0.07912208"," 0.19248990"," 0.06634004"," 0.57222516"
"1,2-dipalmitoyl-GPC ","-0.40960647"," 0.14238653","-0.40025808","-0.37808050"," 0.08866308"," 0.20842201"," 0.15807990"," 0.59039353"
"1,2-distearoyl-GPC "," 0.51117681","-0.37239488"," 0.11092012"," 0.62760512","-0.32759595","-0.27197928","-0.30137667"," 0.02364473"
"1,5-anhydroglucitol ","-0.515510012"," 0.484489988","-0.513142507","-0.480767585"," 0.200446403","-0.001447601"," 0.413265161"," 0.412666153"
"1-(1-enyl-oleoyl)-GPE "," 0.3725938"," 0.3618609","-0.4253762","-0.2581992","-0.4964527","-0.4964527"," 0.4384789"," 0.5035473"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC ","-0.32286841"," 0.07640993","-0.31213248","-0.24214852","-0.04649635"," 0.20595376","-0.03584952"," 0.67713159"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE ","-0.45572097"," 0.17082413","-0.43843354","-0.42691766"," 0.03327422"," 0.36476774"," 0.20792704"," 0.54427903"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC ","-0.25669703"," 0.09202562","-0.33016860","-0.18039963","-0.26884046","-0.15217952"," 0.42642819"," 0.66983140"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE ","-0.48213840"," 0.11942844","-0.47124269","-0.45912608","-0.05997147"," 0.35705284"," 0.51786160"," 0.47813575"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC "," 0.52754375","-0.42372003"," 0.56228127"," 0.57627997","-0.42372003","-0.42372003","-0.42372003"," 0.02877511"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE ","-0.4794352"," 0.2827272","-0.4433878","-0.4561235","-0.1108783"," 0.1758093"," 0.5205648"," 0.5107235"
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC "," 0.6482328","-0.3517672"," 0.5763169"," 0.5342863","-0.3517672","-0.3517672","-0.3517672","-0.3517672"
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC ","-0.45098880"," 0.22703838","-0.43462098","-0.38299939","-0.07839296"," 0.03084162"," 0.54901120"," 0.54011093"
"1-(1-enyl-palmitoyl)-GPE ","-0.4989304"," 0.2919892","-0.5119107","-0.4745416"," 0.2087820"," 0.1710928"," 0.4880893"," 0.3254293"
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE ","-0.410297205"," 0.089605386","-0.393889214","-0.350444834"," 0.001158084"," 0.315485854"," 0.158679135"," 0.589702795"
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE ","-0.43009144"," 0.09276360","-0.41199448","-0.38705390","-0.00455526"," 0.27121334"," 0.29980958"," 0.56990856"
"1-(1-enyl-stearoyl)-2-oleoyl-GPE ","-0.3352279"," 0.4109609","-0.3299453","-0.2815159"," 0.0668497"," 0.1887564","-0.3599389"," 0.6400611"
"1-(1-enyl-stearoyl)-GPE "," 0.303743423","-0.041326356","-0.204012240","-0.109091169","-0.234966255","-0.352902654","-0.008542096"," 0.647097346"
"1-arachidonoyl-GPC ","-0.17778879","-0.10518556","-0.18824687","-0.18045414","-0.10549718","-0.08917797"," 0.03459737"," 0.81175313"
"1-arachidonoyl-GPE ","-0.29677540"," 0.15137142","-0.31943909","-0.27193797","-0.10135950"," 0.06505494"," 0.09252470"," 0.68056091"
"1-arachidonoyl-GPI "," 0.1039166"," 0.3594438","-0.2658340","-0.1341902","-0.2658340","-0.2658340","-0.2658340"," 0.7341660"
"1-linolenoyl-GPC ","-0.1344101","-0.1482107","-0.1482107","-0.1427734","-0.1482107","-0.1482107"," 0.0182370"," 0.8517893"
"1-linoleoyl-2-arachidonoyl-GPC ","-0.32915981"," 0.02629004","-0.32697193","-0.30436381","-0.01378872"," 0.12979308"," 0.14736097"," 0.67084019"
