"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"ATP diphosphohydrolase",7,2,61.057,14.286,0.0043058,1,0.062622
"5'-nucleotidase (AMP), extracellular",5,2,61.057,14.286,0.0043058,1,0.062622
"pyruvate carboxylase",9,7,53.009,14.286,0.0047079,1,0.062622
"aspartate 1-decarboxylase",1,1,75.755,14.286,0.0049295,1,0.062622
"B-alanine secretion via secretory vesicle (ATP driven)",1,1,75.755,14.286,0.0049295,1,0.062622
"beta-Alanine exchange",1,1,75.755,14.286,0.0049295,1,0.062622
"Pyridoxal 5-phosphate phosphatase",2,1,75.519,14.286,0.0050807,1,0.062622
"Pyridoxal exchange",1,1,75.519,14.286,0.0050807,1,0.062622
"L-Lysine exchange",2,1,75.248,14.286,0.0052578,1,0.062622
"Biotin exchange",3,1,75.248,14.286,0.0052578,1,0.062622
"biotinidase (biotin), extracellular",3,1,75.248,14.286,0.0052578,1,0.062622
"2-aminoadipate transaminase, irreversible",1,1,75.248,14.286,0.0052578,1,0.062622
"2-oxoadipate shuttle (cytosol/mitochondria)",1,1,75.248,14.286,0.0052578,1,0.062622
"2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)",1,1,75.248,14.286,0.0052578,1,0.062622
"AAPSAS",1,1,75.248,14.286,0.0052578,1,0.062622
"delta1-piperideine-2-carboxylate reductase, perixosomal",1,1,75.248,14.286,0.0052578,1,0.062622
"glutaryl-CoA dehydrogenase (mitochondria)",1,1,75.248,14.286,0.0052578,1,0.062622
"L-aminoadipate-semialdehyde dehydrogenase (NADH)",1,1,75.248,14.286,0.0052578,1,0.062622
"L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial",1,1,75.248,14.286,0.0052578,1,0.062622
"L-lysine oxidase, peroxisomal",1,1,75.248,14.286,0.0052578,1,0.062622
"L-lysine transport, peroxisomal (irreversible)",1,1,75.248,14.286,0.0052578,1,0.062622
"L-pipecolate oxidase, peroxisomal",1,1,75.248,14.286,0.0052578,1,0.062622
"Lysine mitochondrial transport via ornithine carrier",1,1,75.248,14.286,0.0052578,1,0.062622
"PPD2CSPp",1,1,75.248,14.286,0.0052578,1,0.062622
"saccharopine dehydrogenase (NAD, L-glutamate forming), mitochondrial",1,1,75.248,14.286,0.0052578,1,0.062622
"saccharopine dehydrogenase (NADP, L-lysine forming), mitochondrial",1,1,75.248,14.286,0.0052578,1,0.062622
"Uridine exchange",1,1,73.744,14.286,0.006321,1,0.062622
"Guanine exchange",1,1,73.401,14.286,0.0065825,1,0.062622
"Guanine transport",1,1,73.401,14.286,0.0065825,1,0.062622
"5'-nucleotidase (CMP)",1,1,72.51,14.286,0.0072982,1,0.062622
"Cytidine exchange",1,1,72.51,14.286,0.0072982,1,0.062622
"uridine kinase (ATP:Uridine)",1,1,72.51,14.286,0.0072982,1,0.062622
"nucleoside-diphosphatase (UTP), extracellular",7,3,47.32,14.286,0.0080441,1,0.062622
"R group coenzyme a ligase",11,2,51.176,14.286,0.0092066,1,0.062622
"5'-nucleotidase (UMP), extracellular",12,7,48.284,14.286,0.0094351,1,0.062622
"deoxyuridine phosphorylase",3,3,55.355,14.286,0.0098528,1,0.062622
"L-threonine deaminase",3,1,69.697,14.286,0.0099122,1,0.062622
"citrate synthase",7,5,47.42,14.286,0.010324,1,0.062622
"nucleoside-diphosphatase (UDP), extracellular",12,8,44.585,14.286,0.010422,1,0.062622
"alpha-N-Phenylacetyl-L-glutamine exchange",3,2,61.372,14.286,0.011417,1,0.062622
"L-Phenylalanine carboxy-lyase",3,2,61.372,14.286,0.011417,1,0.062622
"L-Tyrosine exchange",3,2,61.372,14.286,0.011417,1,0.062622
"PHEACGLN extracellular transport via diffusion",3,2,61.372,14.286,0.011417,1,0.062622
"Phenethylamine oxidase",3,2,61.372,14.286,0.011417,1,0.062622
"phenylacetate-CoA ligase",3,2,61.372,14.286,0.011417,1,0.062622
"Phenylacetyl-CoA:L-glutamine alpha-N-phenylacetyltransferase",3,2,61.372,14.286,0.011417,1,0.062622
