"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"AGING-RELATED METABOLITES",6,2,50.03,14.286,0.0008538,0.18442,0.076769
"S-ADENOSYLHOMOCYSTEINE HYDROLASE DEFICIENCY",5,2,63.908,14.286,0.0017215,0.37013,0.076769
"ANOXIA ",8,3,60.125,14.286,0.0018856,0.40353,0.076769
"MULTIPLE SCLEROSIS ",39,3,68.275,14.286,0.0020765,0.4423,0.076769
"MALNUTRITION",8,3,69.282,14.286,0.0021086,0.44701,0.076769
"PYRUVATE CARBOXYLASE DEFICIENCY",10,6,46.533,14.286,0.0043784,0.92384,0.076769
"HYPER BETA-ALANINEMIA",1,1,75.755,14.286,0.0049295,1,0.076769
"CANAVAN DISEASE ",2,2,59.182,14.286,0.0051077,1,0.076769
"HEMODIALYSIS ",14,7,43.243,14.286,0.005132,1,0.076769
"2,4-DIENOYL-COA REDUCTASE DEFICIENCY",3,1,75.248,14.286,0.0052578,1,0.076769
"2-HYDROXYGLUTARIC ACIDEMIA (L)",2,1,75.248,14.286,0.0052578,1,0.076769
"GLUTATHIONE SYNTHETASE DEFICIENCY",8,2,65.391,14.286,0.0053718,1,0.076769
"GABA TRANSAMINASE DEFICIENCY",2,2,65.94,14.286,0.0073615,1,0.076769
"ANOREXIA NERVOSA ",7,1,71.735,14.286,0.0079628,1,0.076769
"CELIAC DISEASE ",12,6,46.596,14.286,0.0095136,1,0.076769
"AUTISM ",8,2,55.108,14.286,0.010127,1,0.076769
"INFLAMMATORY DISEASES",2,2,61.372,14.286,0.011417,1,0.076769
"MYOCARDIAL INFARCTION ",4,2,61.372,14.286,0.011417,1,0.076769
"SHORT BOWEL SYNDROME (UNDER ARGININE-FREE DIET)",4,3,46.294,14.286,0.011608,1,0.076769
"HYPERLYSINEMIA II OR SACCHAROPINURIA",3,2,43.212,14.286,0.012142,1,0.076769
"LESCH-NYHAN SYNDROME ",5,4,63.647,14.286,0.012247,1,0.076769
"HYPERTHYROIDISM ",5,2,44.713,14.286,0.012382,1,0.076769
"EARLY MARKERS OF MYOCARDIAL INJURY",14,9,52.78,14.286,0.012869,1,0.076769
"HYPERORNITHINEMIA WITH GYRATE ATROPHY (HOGA)",4,3,54.434,14.286,0.013271,1,0.076769
"HYPERPHENYLALANIEMIA DUE TO GUANOSINE TRIPHOSPHATE CYCLOHYDROLASE DEFICIENCY | HYPERPHENYLALANINEMIA DUE TO 6-PYRUVOYLTETRAHYDROPTERIN SYNTHASE DEFICIENCY (PTPS) | HYPERPHENYLALANINEMIA DUE TO DHPR-DEFICIENCY | HYPERPHENYLALANINEMIA DUE TO PTERIN-4A-CARBINOLAMINE DEHYDRATASE | PHENYLKETONURIA, MOTHER (MPKU)",1,1,66.368,14.286,0.013785,1,0.076769
"HYPERLYSINEMIA I, FAMILIAL | HYPERPIPECOLATEMIA",2,2,63.43,14.286,0.015539,1,0.076769
"BREAST CANCER ",5,1,64.569,14.286,0.016271,1,0.076769
"PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY",3,3,56.564,14.286,0.016747,1,0.076769
"IDIOPATHIC INTRACRANIAL HYPERTENSION ",1,1,63.981,14.286,0.017148,1,0.076769
"PHOSPHOENOLPYRUVATE CARBOXYKINASE DEFICIENCY 2 (PEPCK2)",5,3,47.238,14.286,0.017185,1,0.076769
"ARGININOSUCCINIC ACIDURIA (ASL)",6,5,48.667,14.286,0.017326,1,0.076769
"HYPERBARIC OXYGEN EXPOSURE",9,5,54.984,14.286,0.017753,1,0.076769
"CHRONIC RENAL FAILURE ",13,6,33.895,14.286,0.018486,1,0.076769
"NEONATAL INTRAHEPATIC CHOLESTASIS",12,6,45.108,14.286,0.018704,1,0.076769
"ORNITHINE TRANSCARBAMYLASE DEFICIENCY (OTC)",10,8,44.837,14.286,0.019175,1,0.076769
"CONGENITAL GLUTAMINE DEFICIENCY",1,1,62.621,14.286,0.019308,1,0.076769
"HYPERINSULINISM-HYPERAMMONEMIA SYNDROME",2,1,62.621,14.286,0.019308,1,0.076769
"LYSINURIC PROTEIN INTOLERANCE (LPI)",4,1,62.621,14.286,0.019308,1,0.076769
"2-AMINOADIPIC ACIDURIA | 2-KETOADIPIC ACIDEMIA | ALPHA-AMINOADIPIC ACIDURIA ",1,1,62.176,14.286,0.020054,1,0.076769
"DENGUE FEVER ",3,2,61.717,14.286,0.020386,1,0.076769
"ALCOHOLISM ",6,1,61.748,14.286,0.020791,1,0.076769
"HEART FAILURE ",10,5,50.802,14.286,0.020881,1,0.076769
"XANTHINURIA",2,2,54.87,14.286,0.021991,1,0.076769
"HYPERARGININEMIA ",4,1,61.053,14.286,0.02203,1,0.076769
"MAMMARY TUMOR-BEARING MICE",3,3,49.4,14.286,0.022069,1,0.076769
"2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY",2,2,42.526,14.286,0.022724,1,0.076769
"3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY",4,2,42.526,14.286,0.022724,1,0.076769
"3-METHYLGLUTACONIC ACIDURIA (TYPE I)",3,2,42.526,14.286,0.022724,1,0.076769
"ASPHYXIA [DD]",7,2,42.526,14.286,0.022724,1,0.076769
"CARNITINE-ACYLCARNITINE TRANSLOCASE DEFICIENCY",4,2,42.526,14.286,0.022724,1,0.076769
"CHRONIC PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA AND KEARNS-SAYRE SYNDROM",3,2,42.526,14.286,0.022724,1,0.076769
"GLYCOGEN SYNTHETASE DEFICIENCY",3,2,42.526,14.286,0.022724,1,0.076769
"RESPIRATORY CHAIN DEFICIENCIES",4,2,42.526,14.286,0.022724,1,0.076769
"VERY-LONG-CHAIN ACYL COA DEHYDROGENASE DEFICIENCY (VLCAD)",21,8,34.66,14.286,0.0241,1,0.076769
"FUMARIC ACIDURIA",3,2,46.195,14.286,0.025127,1,0.076769
"REFRACTORY LOCALIZATION-RELATED EPILEPSY ",10,9,49.452,14.286,0.025335,1,0.076769
"STROKE ",5,1,59.218,14.286,0.025558,1,0.076769
"DIFFERENT SEIZURE DISORDERS",24,11,49.336,14.286,0.025598,1,0.076769
"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",4,2,53.71,14.286,0.025971,1,0.076769
"LONG-CHAIN-3-HYDROXYACYL-COA DEHYDROGENASE DEFICIENCY (LCHAD)",10,4,37.09,14.286,0.026016,1,0.076769
"27-HYDROXYLASE DEFICIENCY",2,1,58.475,14.286,0.027096,1,0.076769
"ACUTE MYELOGENOUS LEUKEMIA ",2,1,58.475,14.286,0.027096,1,0.076769
"APOLIPOPROTEIN C-II DEFICIENCY | CHOLESTERYL ESTER STORAGE DISEASE | GLYCOGENOSIS, TYPE IXB",2,1,58.475,14.286,0.027096,1,0.076769
"CONGENITAL DISORDER OF GLYCOSYLATION CDG-IA",2,1,58.475,14.286,0.027096,1,0.076769
"CONGENITAL DISORDER OF GLYCOSYLATION CDG-IB",2,1,58.475,14.286,0.027096,1,0.076769
"CYSTINOSIS",4,1,58.475,14.286,0.027096,1,0.076769
"FISH-EYE DISEASE",2,1,58.475,14.286,0.027096,1,0.076769
"HYPERCHOLESTEROLEMIA ",4,1,58.475,14.286,0.027096,1,0.076769
"HYPERLIPIDAEMIA ",2,1,58.475,14.286,0.027096,1,0.076769
"LECITHIN:CHOLESTEROL ACYLTRANSFERASE DEFICIENCY",1,1,58.475,14.286,0.027096,1,0.076769
"MEVALONIC ACIDURIA",2,1,58.475,14.286,0.027096,1,0.076769
"OCULOCEREBRORENAL SYNDROME OF LOWE",2,1,58.475,14.286,0.027096,1,0.076769
"SMITH-LEMLI-OPITZ SYNDROME ",6,1,58.475,14.286,0.027096,1,0.076769
"TANGIER DISEASE",3,1,58.475,14.286,0.027096,1,0.076769
"ABETALIPOPROTEINEMIA, BASSEN-KORNZWEIG-SYNDROME, ACANTHOCYTOSIS (ABL)",5,3,54.378,14.286,0.027481,1,0.076769
"PROGRESSIVE FAMILIAL INTRAHEPATIC CHOLESTASIS",6,3,54.378,14.286,0.027481,1,0.076769
"CONTINUOUS AMBULATORY PERITONEAL DIALYSIS (CAPD)",15,14,47.466,14.286,0.028368,1,0.076769
"METABOLITES AFFECTED BY EXERCISE",5,4,48.871,14.286,0.028555,1,0.076769
"DIABETIC KETOACIDOSIS ",2,1,57.692,14.286,0.028788,1,0.076769
"OBESITY",2,1,57.692,14.286,0.028788,1,0.076769
"SUCCINYL COA: 3-KETOACID COA TRANSFERASE DEFICIENCY",3,1,57.692,14.286,0.028788,1,0.076769
"SHORT CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (SCAD)",4,3,40.246,14.286,0.030658,1,0.078683
"PROPIONIC ACIDEMIA",8,4,50.618,14.286,0.031437,1,0.078683
"SCHIZOPHRENIA ",26,12,47.129,14.286,0.031811,1,0.078683
"ACUTE SEIZURES ",14,9,48.466,14.286,0.031833,1,0.078683
"GLUTARIC ACIDURIA I",3,2,48.393,14.286,0.031899,1,0.078683
"HEPATIC ENCEPHALOPATHY ",4,1,56.27,14.286,0.032056,1,0.078683
"PREMENSTRUAL DYSPHORIC DISORDER ",3,1,56.27,14.286,0.032056,1,0.078683
"VALPROATE THERAPY: ANTICONVULASANT HYPERSENSITIVITY SYNDROME VALPROATE ASSOCIATED HEPATOTOXICITY",5,2,50.666,14.286,0.033888,1,0.079538
"GLYCOGENOSIS, TYPE III. CORI DISEASE, DEBRANCHER GLYCOGENOSIS",3,2,45.084,14.286,0.03434,1,0.079538
"BETA-THALASSEMIA ",6,2,52.77,14.286,0.035279,1,0.079538
"GLYCOGENOSIS (TYPE IA, IB, IC) | GLYCOGENOSIS, TYPE VI. HERS DISEASE",5,4,42.969,14.286,0.037119,1,0.079538
"CRITICAL ILLNESS (MAJOR TRAUMA, SEVERE SEPTIC SHOCK, OR CARDIOGENIC SHOCK)",6,6,43.337,14.286,0.037352,1,0.079538
"MAPLE SYRUP URINE DISEASE ",9,5,46,14.286,0.037503,1,0.079538
"ADRENOLEUKODYSTROPHY, X-LINKED",6,1,53.963,14.286,0.037928,1,0.079538
"D-BIFUNCTIONAL PROTEIN DEFICIENCY",3,1,53.963,14.286,0.037928,1,0.079538
"INFANTILE REFSUM'S DISEASE",4,1,53.963,14.286,0.037928,1,0.079538
"PEROXISOMAL BIFUNCTIONAL ENZYME DEFICIENCY",2,1,53.963,14.286,0.037928,1,0.079538
"PEROXISOMAL DISORDERS, NEW TYPE, LIVER",7,1,53.963,14.286,0.037928,1,0.079538
"PSEUDO ZELLWEGER -> D-BIFUNCTIONAL PROTEIN DEFICIENCY",2,1,53.963,14.286,0.037928,1,0.079538
"PYRIDOXINE DEPENDENCY WITH SEIZURES",2,1,53.963,14.286,0.037928,1,0.079538
"REFSUM DISEASE ",4,1,53.963,14.286,0.037928,1,0.079538
"ZELLWEGER SYNDROME",8,1,53.963,14.286,0.037928,1,0.079538
"PHENYLKETONURIA ",7,4,48.392,14.286,0.039184,1,0.081137
"HYPERPROLINEMIA, TYPE I",1,1,53.256,14.286,0.039875,1,0.081137
"HAWKINSINURIA",3,1,53.144,14.286,0.040193,1,0.081137
"TYROSINEMIA II | TYROSINEMIA III | TYROSINEMIA, TRANSIENT, OF THE NEWBORN",1,1,53.144,14.286,0.040193,1,0.081137
"CYSTIC FIBROSIS (CF)",4,3,46.835,14.286,0.041232,1,0.081799
"HISTIDINEMIA",2,2,36.578,14.286,0.041575,1,0.081799
"PELLAGRA ",3,2,38.191,14.286,0.041657,1,0.081799
"HYPERORNITHINEMIA-HYPERAMMONEMIA-HOMOCITRULLINURIA [HHH-SYNDROME]",3,2,39.373,14.286,0.042718,1,0.082042
"MYOCARDIAL ISCHEMIA",6,4,37.539,14.286,0.045407,1,0.082042
"DICARBOXYLIC AMINOACIDURIA. GLUTAMATE-ASPARTATE TRANSPORT DEFECT",2,2,42.586,14.286,0.046067,1,0.082042
"D-GLYCERIC ACIDURA | HYPERGLYCINEMIA, NON-KETOTIC",1,1,50.902,14.286,0.046903,1,0.082042
"SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY",3,1,50.902,14.286,0.046903,1,0.082042
"2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY | 3-METHYLGLUTACONIC ACIDURIA, NOVEL SUBTYPE | BENIGN INFANTILE MITOCHONDRIAL MYOPATHY | CYTOCHROME-C-OXIDASE DEFICIENCY | FEEDING: THIAMINE DEFICIENY [DD] | LETHAL INFANTILE MITOCHONDRIAL DISEASE (LIMD) | MITOCHONDRIAL COMPLEX II DEFICIENCY | MITOCHONDRIAL DNA DEPLETION SYNDROME",1,1,50.301,14.286,0.048835,1,0.082042
"3-HYDROXYISOBUTYRIC ACIDURIA",3,1,50.301,14.286,0.048835,1,0.082042
"ACYL COA DEHYDROGENASE 9 DEFICIENCY | PYRUVATE DEHYDROGENASE DEFICIENCY (E2)",2,1,50.301,14.286,0.048835,1,0.082042
"BIOTINIDASE DEFICIENCY",5,1,50.301,14.286,0.048835,1,0.082042
"CONGENITAL LACTIC ACIDOSIS",2,1,50.301,14.286,0.048835,1,0.082042
"ETHYLMALONIC ENCEPHALOPATHY (EPEMA)",2,1,50.301,14.286,0.048835,1,0.082042
"LEIGH`S SYNDROME, SUBACUTE NECROTIZING ENCEPHALOPATHY, SNE",2,1,50.301,14.286,0.048835,1,0.082042
"LIVER DISEASE, LIVER FAILURE, UNSPECIFIC",2,1,50.301,14.286,0.048835,1,0.082042
"METHANOL POISONING ",2,1,50.301,14.286,0.048835,1,0.082042
"MITOCHONDRIAL-ENCEPHALOPATHY-LACTIC ACIDOSIS-STROKE (MELAS)",2,1,50.301,14.286,0.048835,1,0.082042
"MYOCLONIC EPILEPSY AND RAGGED RED FIBER DISEASE (MERRF) | PYRUVATE DEHYDROGENASE DEFICIENCY (E1)",2,1,50.301,14.286,0.048835,1,0.082042
"PYRUVATE DEHYDROGENASE E3-BINDING PROTEIN DEFICIENCY",3,1,50.301,14.286,0.048835,1,0.082042
"SEPSIS, NEONATAL [DD]",2,1,50.301,14.286,0.048835,1,0.082042
"MEDIUM CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (MCAD)",10,3,40.237,14.286,0.049276,1,0.082042
"METHYLMALONIC ACIDURIA, CBLA TYPE",4,3,38.035,14.286,0.04938,1,0.082042
"SOTOS SYNDROME",2,2,48.451,14.286,0.049757,1,0.082042
"BETA-KETOTHIOLASE DEFICIENCY",8,2,44.825,14.286,0.05169,1,0.083591
"FRUCTOSE-1,6-DIPHOSPHATASE DEFICIENCY",5,3,38.784,14.286,0.051857,1,0.083591
"LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD)",5,3,38.784,14.286,0.051857,1,0.083591
"DIABETES MELLITUS (MODY), NON-INSULIN-DEPENDENT",19,12,34.526,14.286,0.053141,1,0.0836
"DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY ",4,3,32.467,14.286,0.053903,1,0.0836
"GROWTH HORMONE DEFICIENCY ",4,2,45.576,14.286,0.054904,1,0.0836
