"","p.value","-log10(p)","FDR","Tukey's HSD"
"4-guanidinobutanoate",9.3386e-06,5.0297,0.0040903,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",2.9056e-05,4.5368,0.0048423,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"homostachydrine*",3.3166e-05,4.4793,0.0048423,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"N-delta-acetylornithine",4.5143e-05,4.3454,0.0049432,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphingomyelin (d18:1/18:1, d18:2/18:0)",9.1013e-05,4.0409,0.0073321,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"homoarginine",0.00010044,3.9981,0.0073321,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"dehydroascorbate",0.00021636,3.6648,0.012058,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*",0.00024198,3.6162,0.012058,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"decanoylcarnitine",0.00027583,3.5594,0.012058,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"ergothioneine",0.00029871,3.5247,0.012058,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"3-hydroxybutyrylcarnitine (1)",0.000318,3.4976,0.012058,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"cytidine",0.00035279,3.4525,0.012058,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"alpha-tocopherol",0.00035788,3.4463,0.012058,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",0.00055401,3.2565,0.016986,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"pyridoxal",0.00060236,3.2201,0.016986,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"xanthine",0.00065676,3.1826,0.016986,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",0.00065929,3.1809,0.016986,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"3-phosphoglycerate",0.0007428,3.1291,0.017314,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"gamma-carboxyglutamate",0.00075787,3.1204,0.017314,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"stachydrine",0.0007906,3.102,0.017314,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"dihydoxyphenylalanine (L-DOPA)",0.00093512,3.0291,0.017924,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"2-hydroxybutyrate/2-hydroxyisobutyrate",0.00094926,3.0226,0.017924,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sebacate (decanedioate)",0.001008,2.9965,0.017924,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"phosphoenolpyruvate (PEP)",0.0010697,2.9707,0.017924,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"2-methylcitrate/homocitrate",0.0010743,2.9689,0.017924,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*",0.0011034,2.9573,0.017924,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)",0.0012087,2.9177,0.017924,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"hypoxanthine",0.0012142,2.9157,0.017924,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"uridine",0.0012529,2.9021,0.017924,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"imidazole lactate",0.0012674,2.8971,0.017924,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"heme",0.0012696,2.8963,0.017924,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"stearoyl sphingomyelin (d18:1/18:0)",0.0013095,2.8829,0.017924,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"isocitrate",0.0013692,2.8635,0.018174,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*",0.0014275,2.8454,0.01839,"ND_Veh-HFD_Veh"
