"","ND_Veh_1","ND_Veh_2","ND_Veh_3","ND_Veh_4","HFD_Veh_1","HFD_Veh_2","HFD_Veh_3","HFD_Veh_4","HFD_Tx_1","HFD_Tx_2","HFD_Tx_3","HFD_Tx_4"
"Label","0","0","0","0","1","1","1","1","2","2","2","2"
"1,2-dilinoleoyl-GPC (18:2/18:2)","-0.02250484","-0.01557986"," 0.36202031"," 0.08567070"," 0.07895932"," 0.21713345"," 0.18149145"," 0.22876787","-0.63797969"," 0.23273131","-0.44324043","-0.26746958"
"1,2-dioleoyl-GPC (18:1/18:1)*"," 0.10256758"," 0.09228409","-0.44324346","-0.01839041","-0.41649158","-0.08613821","-0.19366562","-0.28220963"," 0.28953372"," 0.15278393"," 0.24621306"," 0.55675654"
"1,2-dioleoyl-GPE (18:1/18:1)","-0.36402587","-0.33954628","-0.08190073","-0.32020994"," 0.05578280"," 0.22638776"," 0.06521224"," 0.19375792","-0.30692505"," 0.63597413"," 0.07285132"," 0.16264170"
"1,2-dipalmitoyl-GPC (16:0/16:0)","-0.022451696"," 0.284214662"," 0.657700731","-0.110632070"," 0.017639873","-0.152520527","-0.293960797","-0.253317383","-0.342299269"," 0.034917062","-0.004253489"," 0.184962902"
"1,2-distearoyl-GPC (18:0/18:0)"," 0.4549047"," 0.4917186","-0.4176955"," 0.3192093","-0.4188581","-0.4361261","-0.4695117","-0.3738537"," 0.4771915","-0.5011150"," 0.3752511"," 0.4988850"
"1,5-anhydroglucitol (1,5-AG)"," 0.27996257"," 0.42863336"," 0.45704883"," 0.24729458"," 0.09315122","-0.54295117"," 0.01815714","-0.51291734","-0.43348278"," 0.33842293","-0.30259845","-0.07072090"
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"," 0.07220319"," 0.11319896","-0.20156444"," 0.01756904","-0.52696034"," 0.15690117","-0.11283854","-0.23674999"," 0.47303966","-0.06794766"," 0.10341096"," 0.20973801"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*"," 0.4818940"," 0.4185385","-0.4145180"," 0.2241441","-0.3566187","-0.3415547","-0.5181060","-0.3898057"," 0.3480022","-0.3062831"," 0.4142837"," 0.4400237"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*","-0.24623936","-0.14175126","-0.58128501","-0.26927265"," 0.25989950"," 0.41871499"," 0.24142843"," 0.15809869","-0.32957727"," 0.38612763"," 0.02722914"," 0.07662718"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*"," 0.2888784"," 0.3811352"," 0.2777775"," 0.2411855","-0.6188648","-0.5993901","-0.1834730","-0.3121817"," 0.2631008","-0.2725174"," 0.1753588"," 0.3589908"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","-0.3582543","-0.1493172"," 0.1125382","-0.1003533"," 0.1724683"," 0.3607398"," 0.4415852"," 0.1751479","-0.5584148"," 0.3053853","-0.2628129","-0.1387122"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"," 0.15745168"," 0.26887682"," 0.10547082"," 0.14129558"," 0.02887723"," 0.09564106"," 0.10486692","-0.68130421"," 0.15786638","-0.73112318"," 0.19009462"," 0.16198627"
