"","201","203","204","206","207","208","209","243","213","215","217","218"
"Label","ND_Veh","ND_Veh","ND_Veh","ND_Veh","HFD_Veh","HFD_Veh","HFD_Veh","HFD_Veh","HFD_Tx","HFD_Tx","HFD_Tx","HFD_Tx"
"1,2-dilinoleoyl-GPC (18:2/18:2)","32115680","23411206","27184488","33082252"," 6959785"," 6426450"," 7345000"," 9843078"," 7258798"," 9286538"," 8106757"," 9917901"
"1,2-dioleoyl-GPC (18:1/18:1)*","132741768"," 94652480"," 33720400","100215360"," 15195066"," 14280182"," 15940232"," 18088672","114514272"," 24566752"," 84853176"," 96660232"
"1,2-dioleoyl-GPE (18:1/18:1)","23191172","17260656","13910642","20636596"," 7420265"," 6666161"," 6518864"," 9541907","18461024","16529866","24078552","23831892"
"1,2-dipalmitoyl-GPC (16:0/16:0)","219913136","191033744","135357392","174395824"," 40214876"," 25662664"," 28787720"," 36128764","132814000"," 40389620","125729120","123381808"
"1,2-distearoyl-GPC (18:0/18:0)","92410976","76396280"," 1385069","46334876","  607352","  403157","  434891","  764064","73913304","  442321","38667672","53887028"
"1,5-anhydroglucitol (1,5-AG)","3110843","2566371","1483537","2527224"," 467242"," 184221"," 378080"," 283684","1185180"," 582061","1028155","1112062"
"1-(1-enyl-oleoyl)-GPE (P-18:1)*","1737579.0","1442381.0"," 270504.0","1201991.0","  38229.0"," 295277.3"," 140834.0"," 111819.0","5181594.0"," 188809.0","1095499.0","1387355.0"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*","55849312","35855000"," 4523318","29433274"," 2210494"," 1609184"," 1434169"," 2210298","32286848"," 2404440","27964836","25583442"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*","117198440"," 95530000"," 31800634"," 95454616"," 38305088"," 32818548"," 32487524"," 35993256"," 77994264"," 44268240"," 91895800"," 85158312"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*","3776652","3293813","1494829","2862222"," 101270","  74732"," 217925"," 203890","2631263"," 207388","1684622","2159104"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","6662850","7254941","6868615","9305089","3407099","3507335","5038771","3635278","3293222","4407385","4552196","5086566"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*","15134026","16427810"," 5059961","11936744"," 1679568"," 1522750"," 1928014","  129475","11144210","  100860"," 9652163"," 7600146"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*","27787892","26757446","29891154","32196980"," 5562256"," 4926729"," 8852456"," 6584362","17915048"," 9859764","25063936","16784752"
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*","4310274.0","5647723.0"," 292327.0","2820787.0"," 637048.0"," 383731.1"," 587053.0"," 501969.2","3476386.0"," 606865.2","2783524.0","2101567.0"
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*","4940681","5781769","2466629","4004812"," 354133"," 224026"," 483346"," 360148","2869127"," 505287","2639445","2599048"
"1-(1-enyl-palmitoyl)-GPC (P-16:0)*","3236201.0","2468275.0"," 541304.0","1709413.0"," 927336.7"," 440058.8"," 556589.4"," 652796.1","2545960.0"," 513431.3","1361823.0","1401868.0"
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*","8914053","7563662","3894833","7437632","1364040"," 688942","1151854"," 742049","6244779","1373018","4834657","4729698"
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*","168867712","126762888"," 12699497","120483760"," 17147964"," 13888464"," 13881180"," 16440777","128864080"," 18115000","118679944","113176648"
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*","4550072","3836928","2380275","4842463","1359424","1155549","1452505","1479845","2000337","1517205","2830425","3432827"
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","12415182"," 8551091"," 1832366"," 7911057"," 1166501","  751854"," 1030357"," 1139598"," 7923673"," 1738610"," 6913014"," 7060490"
"1-(1-enyl-stearoyl)-GPE (P-18:0)*","3479968.0","2296250.0"," 237403.0","2081224.0","  85163.0"," 446327.5"," 116638.0"," 222899.0","7911004.0"," 154775.0","2071236.0","2282940.0"
"1-arachidonoyl-GPC (20:4)*","13276315"," 8498314"," 2303008"," 8557493"," 2012694"," 1243938"," 3166547","10212200","12292828"," 1854488"," 5737801"," 7153831"
"1-arachidonoyl-GPE (20:4)*","21513462","12097709"," 3432893","12946004"," 1839797"," 1580163"," 2032694"," 3479229","12129279"," 3297606"," 6922750","10782982"
"1-arachidonoyl-GPI (20:4)*","4480313.0","3281039.0"," 699598.0","3207561.0"," 458095.4"," 302718.0"," 414864.5"," 191793.0","5037460.0"," 259191.0","1801670.0","2081363.0"
"1-linolenoyl-GPC (18:3)*","266750.00","105303.00","139976.33"," 72372.00","117947.17"," 66194.25"," 66398.00","293253.00","274587.00","111536.57"," 54697.00"," 96857.00"
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*","17248814","11485435"," 5699310","12651518"," 3213206"," 2373123"," 2970343"," 4469627"," 9961161"," 3279494"," 8807057","10165654"
"1-linoleoyl-GPC (18:2)","19512952"," 9016301"," 8526712"," 8942565"," 7010675"," 4956255"," 9441919","26310348","17169604"," 7024301"," 6580542"," 7962338"
"1-linoleoyl-GPE (18:2)*","2711893","2080936","1840546","2280854"," 636136"," 659046"," 942986","1740722","1371424"," 962226"," 928408","1177564"
"1-linoleoylglycerol (18:2)","4878235","2133235","1946380","3017738"," 655613"," 685820"," 903551"," 610190","2773618"," 834263","1279857","1305449"
"1-methylhistidine","55690224","30101936"," 7366686","33667440"," 2268565"," 2399782"," 2063578"," 2680955","45189576"," 3197886","25172328","25354788"
"1-methylimidazoleacetate","2772853","1266156","1906193","3261380","1036218","1100836"," 853513","1214668","2274343","2199916","1781747","1435977"
"1-methylnicotinamide","1894317","2345484","3481628","2912185","5539245","5760346","5377189","8256360","2237655","6925304","1677424","2163999"
"1-oleoyl-2-linoleoyl-glycerol (18:1/18:2)","108207784"," 78032360"," 99084488"," 96652344","131956928"," 61879112"," 62780984"," 68500944"," 52947476"," 92320728"," 74465120"," 54602872"
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*","139787664","122431008","128541024","140621680"," 73340336"," 69789616"," 76202624","100176960"," 92323512"," 97599168"," 98115808","137780768"
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*","33252416","33925804","62068868","49943736","29671920","32983124","34592292","39445920","18810434","47029080","28948614","36203228"
"1-oleoyl-3-linoleoyl-glycerol (18:1/18:2)","622536576","392075616","475201088","462893632","409984576","241203424","267257808","269951584","349369600","321668288","443629696","349818848"
"1-oleoyl-GPC (18:1)","39164576","20934070","16958176","24861998"," 5847057"," 3101970"," 6758882","17481020","27294872"," 5022867","13019175","16085046"
"1-oleoyl-GPE (18:1)","13775114","11236918"," 9548917","11014578"," 1339780"," 1512719"," 1914450"," 2314462","16249917"," 3406520"," 7076975"," 8856108"
"1-oleoylglycerol (18:1)","6143520","2912170","4327320","4143301","1766293","2475711","3824483","1571451","7962861","5065860","3767305","3215984"
"1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*","18693520","13088871","11687098","15561174"," 5603541"," 4837215"," 5255697"," 7215193"," 8227782"," 5709672"," 8103362"," 8322807"
"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","11961549","10242325","11473050"," 7825783","24203458","12620480","14090384","14462727","16410925","17934212","17923280","13772984"
"1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*","30703440","24028258","27916840","16975178","55237736","31925934","43140416","36968176","57856716","42052416","65484908","56299828"
"1-palmitoleoyl-GPC (16:1)*","3380272","2613241","1136787","2035012"," 409015"," 249772"," 490139","1638123","3148274"," 331800","1481765","1451969"
"1-palmitoleoylglycerol (16:1)*","449040.00","117515.00","223020.00","257908.00","139901.67"," 88760.00","192119.00"," 92486.33","966968.00","104129.00","212382.40","143280.00"
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)","610618752","423540512","236045376","431603520"," 55249020"," 40245032"," 44441732"," 85169136","416235136"," 47096080","340790016","329584800"
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*","48301640","34598492","60054144","58394980","17847544","17935976","15596353","19287316","31165164","14202793","42136952","29114092"
"1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*","42600528","29625650","46353164","46028224","49357052","24807572","22567720","30133942","15636565","34925608","18789792","15607924"
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","549471616","485011872","399027904","516042720","185673232","161778736","178947792","292368096","316527008","188792624","270228800","306355616"
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)","30701890","32420562","48480344","43013584","25434804","27416888","27660696","29502848","12855361","29027772","19002456","19986956"
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","659940864","553224448","494894240","597597568"," 98306856"," 77830456"," 82759752","131051392","553576384","112040696","489524416","452510336"
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","23534906","20391566","28859838","27950108"," 9674345"," 8442743"," 9023076","10475643","16492634","13368946","21527592","17732208"
"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)","1441937"," 962706"," 508611"," 906592","  69210","  82259","  61994"," 104747"," 708539"," 119925"," 890532"," 725320"
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*","114736512","114012608"," 23783196"," 88501232"," 12261553"," 10889554"," 11156431"," 13416739"," 86448544"," 12818231"," 71442128"," 61200344"
