"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"ND_Veh_1",-5.0083,0.10346,-2.721,0.885,-1.2958,0.28604,-0.41803,1.8255,-1.846,-0.1319,-0.47776,2.0973e-15
"ND_Veh_2",-5.2326,0.01789,-1.8535,0.34525,0.30319,1.0186,1.0023,-0.20244,2.5112,0.39973,-0.85743,1.2685e-15
"ND_Veh_3",0.071186,6.7999,1.9494,-0.61298,-0.43329,-0.77982,-0.72123,0.80401,0.48032,0.1539,-0.13104,1.478e-15
"ND_Veh_4",-3.826,2.2826,-1.173,0.89765,1.0585,1.2463,0.49232,-1.4876,-0.57689,-0.46322,1.4938,1.746e-15
"HFD_Veh_1",5.141,-0.18149,-3.2607,-2.5527,-0.4972,-2.0709,0.001492,-0.90979,0.098428,-0.10127,0.17832,-9.541e-16
"HFD_Veh_2",5.6449,-1.0209,-0.15136,0.56105,3.2122,-0.12799,-0.37136,1.6873,0.26238,-1.0545,-0.022019,5.7419e-16
"HFD_Veh_3",5.7914,-0.66561,0.0079295,0.894,0.35292,0.91022,-1.0663,-0.39945,-0.40649,2.6328,-0.0010075,1.2941e-15
"HFD_Veh_4",5.2899,-0.70267,0.88844,3.1407,-1.8383,-1.3459,1.2879,-0.44414,0.34038,-0.64185,0.038532,1.9394e-15
"HFD_Tx_1",-5.1772,-2.6112,1.2527,0.21437,-0.38829,-0.63963,-3.1207,-0.91615,0.55215,-0.67638,0.040054,2.6537e-15
"HFD_Tx_2",5.2164,-0.74295,1.2439,-1.7555,-1.4224,2.9986,0.2063,-0.19175,-0.2277,-1.0403,-0.27112,2.3679e-15
"HFD_Tx_3",-3.7316,-0.48736,1.9406,-0.62583,1.4616,-0.89127,1.3821,-1.3703,-1.5589,0.11351,-1.0794,2.9986e-15
"HFD_Tx_4",-4.1791,-2.7917,1.8767,-1.3911,-0.51323,-0.60422,1.3252,1.6048,0.37112,0.8095,1.0891,1.7998e-15
