"","coef.mean","HFD_Tx","HFD_Veh","ND_Veh"
"homostachydrine*",59.603,100,9.8789,68.931
"N-delta-acetylornithine",58.391,93.815,15.309,66.048
"4-guanidinobutanoate",56.925,88.552,18.871,63.353
"stachydrine",48.799,73.603,19.307,53.485
"linolenate [alpha or gamma; (18:3n3 or 6)]",45.958,80.42,3.1239,54.331
"ergothioneine",45.045,80.874,0.27792,53.984
"stearidonate (18:4n3)",44.221,76.013,4.8604,51.79
"N6-carboxymethyllysine",43.201,76.2,2.1161,51.287
"trigonelline (N'-methylnicotinate)",42.721,61.713,20.599,45.852
"trimethylamine N-oxide",40.697,64.664,11.652,45.775
"hippurate",40.347,69.532,4.1925,47.316
"arachidonate (20:4n6)",40.232,62.539,13.399,44.757
"urate",39.614,57.048,19.34,42.453
"threonine",39.524,62.959,11.101,44.512
"alpha-tocopherol",39.497,53.901,23.325,41.265
"3-hydroxyisobutyrate",39.301,61.756,12.188,43.958
"beta-alanine",39.071,63.212,9.652,44.349
"flavin adenine dinucleotide (FAD)",37.015,55.621,14.929,40.494
"lysine",36.678,55.114,14.795,40.125
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)",36.671,50.66,20.82,38.532
"sphingomyelin (d18:1/15:0, d16:1/17:0)*",36.215,58.355,9.2685,41.023
"1,5-anhydroglucitol (1,5-AG)",36.196,53.273,16.116,39.199
"12,13-DiHOME",36.059,62.743,2.933,42.501
"stearoyl sphingomyelin (d18:1/18:0)",35.649,48.512,21.239,37.195
"sphingomyelin (d18:1/18:1, d18:2/18:0)",34.988,46.002,23.032,35.931
"methionine",34.959,60.003,3.9651,40.91
"2-hydroxybutyrate/2-hydroxyisobutyrate",34.889,52.361,14.161,38.144
"dihomo-linoleate (20:2n6)",34.646,54.209,11.062,38.668
"9,10-DiHOME",34.616,61.457,1.1539,41.236
"1,2-dioleoyl-GPC (18:1/18:1)*",34.404,53.917,10.866,38.429
"1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*",34.254,45.896,21.381,35.484
"eicosapentaenoate (EPA; 20:5n3)",34.003,55.195,8.1528,38.661
"S-adenosylhomocysteine (SAH)",33.711,48.777,16.148,36.208
"alanine",33.61,51.169,12.656,37.005
"3-(4-hydroxyphenyl)lactate",33.341,52.694,9.9306,37.4
"1,2-dilinoleoyl-GPC (18:2/18:2)",33.199,54.525,7.0975,37.973
"gamma-glutamylvaline",32.525,56.355,2.9706,38.25
"beta-hydroxyisovaleroylcarnitine",32.455,46.715,15.878,34.772
