"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8","Comp 9","Comp 10","Comp 11"
"213",-1.2206,-6.5175,-0.11385,-0.45252,-0.76638,0.79078,-1.0767,0.55162,1.9732,-0.95648,-1.5635
"215",-3.1378,1.4325,-1.7753,-0.5981,0.00058465,-1.3128,1.0637,-0.56862,0.34347,1.6236,-2.1493
"217",-0.57675,-4.8625,-2.0826,-0.9634,-1.6104,-0.62633,-0.39773,-1.2992,-1.0732,-0.318,2.165
"218",-1.9623,-6.355,-0.21191,1.3051,2.2288,0.48703,0.9031,1.0822,-1.1598,0.27247,0.57262
"207",-0.8746,4.2927,0.15466,-3.4885,1.4487,0.55058,-0.65762,0.71759,0.024841,0.27537,0.93604
"208",-2.0629,3.7256,1.1724,1.0386,0.024801,-1.1959,0.68315,0.53621,1.353,-2.167,1.4895
"209",-1.9666,3.8715,0.74463,0.85813,0.28355,1.3263,-0.20513,-2.2051,-1.0185,-1.2636,-1.03
"243",-1.8838,3.5121,0.99722,1.5278,-1.9266,0.52879,-0.85821,1.3991,-0.53027,1.9115,0.55469
"201",3.1165,-1.0435,2.5309,-0.81432,-0.58796,-0.98686,-0.0039706,0.88597,-1.8065,-1.0282,-1.6742
"203",2.807,-1.6393,2.4429,0.80857,1.2811,-0.71076,-0.98684,-1.4835,1.0363,1.6457,0.59214
"204",4.1458,3.4566,-4.1908,1.2949,0.66942,-0.047092,-0.74062,0.58845,0.042752,-0.50462,-0.37908
"206",3.616,0.12676,0.33171,-0.51632,-1.0457,1.1962,2.2769,-0.20471,0.8147,0.50931,0.486
