"","MeanDecreaseAccuracy"
"2-hydroxybutyrate/2-hydroxyisobutyrate",0.0052667
"arachidonate (20:4n6)",0.0039167
"3-hydroxyisobutyrate",0.0035667
"stearoyl sphingomyelin (d18:1/18:0)",0.0033333
"6-phosphogluconate",0.0033
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",0.0032833
"1,2-dioleoyl-GPC (18:1/18:1)*",0.0031357
"stachydrine",0.0031167
"N-delta-acetylornithine",0.0031
"phosphopantetheine",0.00295
"salicylate",0.0029167
"orotidine",0.0029095
"sphingomyelin (d18:1/15:0, d16:1/17:0)*",0.0029
"margarate (17:0)",0.0028
"pyroglutamine*",0.0027571
"gamma-tocopherol/beta-tocopherol",0.0026667
"lysine",0.0026024
"homostachydrine*",0.0025667
"flavin adenine dinucleotide (FAD)",0.0025333
"tiglylcarnitine",0.00245
"3-hydroxybutyrylcarnitine (1)",0.00245
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*",0.00245
"mannitol/sorbitol",0.0023667
"alanine",0.0023667
"myristoleate (14:1n5)",0.00235
"methylphosphate",0.0022333
"4-guanidinobutanoate",0.0022333
"15-methylpalmitate",0.0022
"laurylcarnitine",0.0021167
"decanoylcarnitine",0.0021
"1-palmitoyl-GPE (16:0)",0.0021
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*",0.0020833
"uridine",0.0020333
"glycerophosphoinositol*",0.0020333
"homoarginine",0.0020167
"N1-methyladenosine",0.002
"pyridoxal",0.0019167
"N-acetylserine",0.0019
"myristate (14:0)",0.00185
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",0.0018333
"trimethylamine N-oxide",0.00175
"gamma-aminobutyrate (GABA)",0.00175
"threonine",0.00175
"N-acetylaspartate (NAA)",0.0017333
"alpha-tocopherol",0.0017167
"proline",0.0017167
"glutamine",0.0017
"1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*",0.0017
"tauro-beta-muricholate",0.0015833
"acetylphosphate",0.0015833
"dihomo-linoleate (20:2n6)",0.0015
"spermidine",0.0014667
"1,2-dioleoyl-GPE (18:1/18:1)",0.0014167
"N-acetylmethionine",0.0014119
"isocitrate",0.0013667
"1-oleoyl-GPE (18:1)",0.0013667
"5-oxoproline",0.0013667
"gamma-glutamylvaline",0.0013333
"histidine",0.0013167
"dimethylarginine (SDMA + ADMA)",0.0013
"3-phosphoglycerate",0.0013
"stearate (18:0)",0.0012833
"beta-alanine",0.0012667
"cysteine sulfinic acid",0.0012333
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*",0.0011667
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*",0.0011667
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)",0.0011548
"docosahexaenoate (DHA; 22:6n3)",0.00115
"3-(4-hydroxyphenyl)lactate",0.00115
"xanthine",0.0011
"1-(1-enyl-palmitoyl)-GPC (P-16:0)*",0.0011
"citrate",0.0011
"beta-hydroxyisovaleroylcarnitine",0.0011
"10-heptadecenoate (17:1n7)",0.0010833
"1-stearoyl-GPE (18:0)",0.0010667
"15-HETE",0.00105
"1-stearoyl-GPS (18:0)*",0.0010333
"trigonelline (N'-methylnicotinate)",0.001
"3-hydroxybutyrate (BHBA)",0.001
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)",0.001
"1-linoleoyl-GPC (18:2)",0.001
"myristoylcarnitine",0.001
"betaine aldehyde",0.00095833
"taurocholate",0.00095
"N6-carboxymethyllysine",0.00095
"2-hydroxy-3-methylvalerate",0.00095
"aspartate",0.00093571
"heme",0.00091667
"asparagine",0.00091667
"retinol (Vitamin A)",9e-04
"N2-acetyllysine/N6-acetyllysine",9e-04
"hippurate",0.00086667
"imidazole lactate",0.00083333
"ergothioneine",0.00083333
"2-hydroxystearate",0.00081667
"dehydroascorbate",8e-04
"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)",8e-04
"methionine",0.00078333
"oleate/vaccenate (18:1)",0.00078333
"1-oleoylglycerol (18:1)",0.00078333
"sphingomyelin (d18:1/18:1, d18:2/18:0)",0.00075
"phosphoenolpyruvate (PEP)",0.00075
"2-methylcitrate/homocitrate",0.00075
"1-linolenoyl-GPC (18:3)*",0.00075
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)",0.00075
"gamma-glutamylisoleucine*",0.00073333
"UDP-N-acetylgalactosamine",7e-04
"thiamin (Vitamin B1)",7e-04
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",7e-04
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",7e-04
"cytidine",7e-04
"N-acetylalanine",0.00069048
"N-methyl-4-aminobutyric acid",0.00068571
"galactitol (dulcitol)",0.00067857
"betaine",0.00066667
"1,2-dilinoleoyl-GPC (18:2/18:2)",0.00066667
"urea",0.00065
"N-acetylneuraminate",0.00065
"guanosine",0.00065
"2'-deoxyinosine",0.00065
"O-sulfo-L-tyrosine",0.00064286
"dihydoxyphenylalanine (L-DOPA)",0.00063333
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)",0.00061905
"1-oleoyl-2-linoleoyl-glycerol (18:1/18:2)",6e-04
"phenylalanine",0.00058333
"glutarate (pentanedioate)",0.00058333
"12-HETE",0.00058333
"1-(1-enyl-stearoyl)-GPE (P-18:0)*",0.00058333
"glycine",0.00053333
"cysteine",0.00053333
"carnitine",0.00053333
"guanosine 5'- monophosphate (5'-GMP)",0.00051667
"phenol sulfate",5e-04
"N-acetylarginine",5e-04
"linoleoylcarnitine*",5e-04
"arabitol/xylitol",5e-04
"allantoin",5e-04
"adenosine 5'-diphosphoribose (ADP-ribose)",5e-04
"1-stearoyl-2-oleoyl-GPS (18:0/18:1)",5e-04
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)",5e-04
"1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*",5e-04
"1-methylhistidine",5e-04
"3-methylhistidine",0.00048333
"3-aminoisobutyrate",0.00045
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*",0.00045
"1-linoleoyl-GPE (18:2)*",0.00041667
"gulonic acid*",0.00041667
"alpha-ketoglutarate",0.00041667
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*",0.00041667
"tricosanoyl sphingomyelin (d18:1/23:0)*",4e-04
"sphinganine",4e-04
"saccharopine",4e-04
"ribulose 5-phosphate",4e-04
"phenyllactate (PLA)",4e-04
"pantothenate",4e-04
"malate",4e-04
"leucylglycine",4e-04
"dopamine sulfate (2)",4e-04
"cholesterol",4e-04
"arginine",4e-04
"butyrylcarnitine",4e-04
"adrenate (22:4n6)",0.00036667
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*",0.00034286
"1-palmitoyl-GPG (16:0)*",0.00034286
"pseudouridine",0.00033333
"ethylmalonate",0.00033333
"UDP-glucose",0.00033333
"pyridoxamine phosphate",0.00033333
"propionylcarnitine",0.00033333
"oleoyl ethanolamide",0.00033333
"mannose",0.00033333
"linoleate (18:2n6)",0.00033333
"guanine",0.00033333
"12,13-DiHOME",0.00033333
"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*",0.00033333
"1-linoleoylglycerol (18:2)",0.00033333
"putrescine",0.00033333
