"","d.value","stdev","rawp","q.value"
"4-guanidinobutanoate",4.8259,0.014954,0,0
"N-delta-acetylornithine",4.4205,0.02084,4.5662e-05,0.00062498
"homostachydrine*",4.2147,0.018119,6.8493e-05,0.00062498
"homoarginine",4.1566,0.024471,6.8493e-05,0.00062498
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)",3.8225,0.040334,0.00015982,0.0007222
"alpha-tocopherol",3.6703,0.031263,0.00015982,0.0007222
"dehydroascorbate",3.5768,0.025885,0.00022831,0.0007222
"N-acetylmethionine",3.5627,0.058716,0.00022831,0.0007222
"sphingomyelin (d18:1/18:1, d18:2/18:0)",3.5482,0.019843,0.00025114,0.0007222
"gamma-carboxyglutamate",3.545,0.038518,0.00025114,0.0007222
"stachydrine",3.5081,0.038582,0.00025114,0.0007222
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",3.4933,0.03399,0.00025114,0.0007222
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",3.4112,0.013841,0.00027397,0.0007222
"imidazole lactate",3.3592,0.043255,0.0002968,0.0007222
"heme",3.3591,0.043281,0.0002968,0.0007222
"orotidine",3.349,0.058382,0.00031963,0.00072914
"hypoxanthine",3.321,0.041963,0.0003653,0.00078429
"adenosine 5'-monophosphate (AMP)",3.1952,0.047414,0.00045662,0.00086536
"3-phosphoglycerate",3.16,0.0332,0.00054795,0.00086536
"decanoylcarnitine",3.1311,0.023891,0.00059361,0.00086536
"retinol (Vitamin A)",3.131,0.042909,0.00059361,0.00086536
"cytidine",3.1276,0.025748,0.00059361,0.00086536
"1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*",3.1249,0.022904,0.00061644,0.00086536
"glycerophosphoinositol*",3.1233,0.086715,0.00061644,0.00086536
"pyridoxal",3.1089,0.030353,0.00061644,0.00086536
"guanosine 5'- monophosphate (5'-GMP)",3.0795,0.055195,0.00061644,0.00086536
"arachidonoyl ethanolamide",3.0428,0.045103,0.00075342,0.0010185
"trigonelline (N'-methylnicotinate)",2.999,0.050464,0.00091324,0.0011904
"stearoyl sphingomyelin (d18:1/18:0)",2.9542,0.037225,0.0010274,0.0012239
"uridine 5'-monophosphate (UMP)",2.9527,0.040544,0.0010274,0.0012239
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)",2.9477,0.062931,0.0010502,0.0012239
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)",2.9416,0.042652,0.0010731,0.0012239
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)",2.9103,0.038226,0.0012785,0.001397
"3-hydroxybutyrylcarnitine (1)",2.9087,0.022925,0.0013014,0.001397
"betaine",2.8785,0.051321,0.001347,0.0014047
"isocitrate",2.853,0.036225,0.0015068,0.0014693
"phosphoenolpyruvate (PEP)",2.8481,0.033148,0.0015297,0.0014693
"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)",2.8454,0.03964,0.0015297,0.0014693
