"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"1,2-dilinoleoyl-GPC",0.071999,-0.024852,0.013827,-0.013659,0.027266,-0.046988,-0.0063594,-0.31633
"1,2-dioleoyl-GPC",-0.056239,-0.047085,0.08617,0.018758,0.015219,-0.031898,0.0079136,0.088972
"1,2-dioleoyl-GPE",0.030825,-0.022622,0.066302,0.029913,0.09897,-0.039878,0.035384,-0.35774
"1,2-dipalmitoyl-GPC",-0.008473,0.088828,0.12011,-0.053764,0.12778,-0.033261,0.038304,0.17883
"1,2-distearoyl-GPC",-0.085147,-0.0020572,-0.011574,-0.018866,-0.0027673,-0.0018807,-0.0050858,-0.1675
"1,5-anhydroglucitol",0.02073,0.067202,0.067204,0.1226,0.035954,0.00060546,-0.11441,-0.03561
"1-(1-enyl-oleoyl)-GPE",-0.039889,-0.065003,0.063494,-0.0086314,-0.056846,-0.00076544,0.040217,0.086004
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC",-0.0795,0.0067172,0.019068,-0.016392,0.024749,0.010005,0.028855,0.0012518
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE",0.049328,0.0043393,0.068293,-0.0389,0.040045,-0.020312,0.0057746,-0.018331
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC",-0.067155,-0.050773,0.0016192,0.032548,0.012999,0.01168,-0.085495,-0.012747
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE",0.061295,-0.01452,0.041344,-0.024554,0.014617,-0.028318,-0.056056,0.0033376
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC",-0.049428,0.054697,0.038019,-0.095493,-0.084458,0.032827,-0.089663,-0.018704
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE",0.032831,-0.045397,0.10541,0.0055516,0.072393,0.090155,-0.11759,-0.022698
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC",-0.067519,-0.017434,0.053755,0.032659,0.029226,0.037928,-0.14022,-0.02985
"1-(1-enyl-palmitoyl)-GPE",-0.037297,0.064302,0.087535,0.044853,-0.030302,0.035017,-0.093069,-0.0010476
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE",-0.073507,0.0047053,0.050706,-0.043209,0.01988,0.0049454,0.0052882,0.036168
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE",0.051418,-0.0084719,0.036534,-0.044834,0.050438,-0.061637,-0.063641,0.016086
"1-(1-enyl-stearoyl)-2-oleoyl-GPE",-0.063317,-0.013444,0.074101,0.054009,0.037746,0.022941,-0.11414,0.0081958
"1-(1-enyl-stearoyl)-GPE",-0.054931,-0.046878,0.016307,-0.019011,-0.044356,0.0082642,0.058655,-0.0093513
"1-arachidonoyl-GPC",0.012322,-0.095884,-0.13629,-0.0037469,-0.015665,0.020938,-0.026404,0.015353
"1-arachidonoyl-GPE",-0.020298,-0.11846,-0.012971,0.073545,0.024144,-0.11341,0.029591,0.016873
"1-arachidonoyl-GPI",-0.042001,0.016627,0.048021,-0.023573,-0.10602,0.017768,-0.023809,-0.03672
"1-linoleoyl-2-arachidonoyl-GPC",0.039922,-0.06086,-0.039313,-0.059888,0.043936,-0.065261,-0.027766,-0.0084913
"1-linoleoyl-GPC",0.047939,-0.058488,-0.073582,0.0086306,-0.032424,0.0095767,0.013763,0.0073645
