
 Univariate Analysis Result for each variable/metabolite

[NOTE]
    p-value is calculated with t-test as a default.
    p-value with (W) is calculated by the Wilcoxon Mann Whitney test


"Name","Mean (SD) of 
HFD_Tx","Mean (SD) of 
HFD_Veh","p-value","q-value (FDR)","Fold Change","HFD_Tx/HFD_Veh"
"1,2-dilinoleoyl-GPC","-0.272 (0.405)","0.272 (0.102)","0.0706 ","0.1642","1","Down"
"1,2-dioleoyl-GPC","0.294 (0.148)","-0.294 (0.236)","0.0286 (W)","0.1080","1","Up"
"1,2-dioleoyl-GPE","-0.013 (0.412)","0.013 (0.128)","0.9097 ","0.9313","1","Down"
"1,2-dipalmitoyl-GPC","0.112 (0.416)","-0.112 (0.378)","0.4566 ","0.5610","1","Up"
"1,2-distearoyl-GPC","0.313 (0.480)","-0.313 (0.034)","0.0796 ","0.1691","1","Up"
"1,5-anhydroglucitol","0.046 (0.364)","-0.046 (0.385)","0.7380 ","0.7970","1","Up"
"1-(1-enyl-oleoyl)-GPE","0.170 (0.229)","-0.170 (0.292)","0.1169 ","0.2095","1","Up"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC","0.324 (0.389)","-0.324 (0.088)","0.0412 ","0.1298","1","Up"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE","-0.169 (0.341)","0.169 (0.188)","0.1339 ","0.2301","1","Down"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC","0.290 (0.298)","-0.290 (0.235)","0.0225 ","0.1080","1","Up"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE","-0.236 (0.341)","0.236 (0.160)","0.0460 ","0.1346","1","Down"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC","0.091 (0.482)","-0.091 (0.321)","0.5551 ","0.6408","1","Up"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE","-0.048 (0.413)","0.048 (0.355)","0.7359 ","0.7970","1","Down"
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC","0.317 (0.273)","-0.317 (0.284)","0.0180 ","0.1080","1","Up"
"1-(1-enyl-palmitoyl)-GPE","0.200 (0.102)","-0.200 (0.379)","0.0881 ","0.1772","1","Up"
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE","0.293 (0.389)","-0.293 (0.154)","0.0312 ","0.1105","1","Up"
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE","-0.200 (0.357)","0.200 (0.128)","0.0789 ","0.1686","1","Down"
"1-(1-enyl-stearoyl)-2-oleoyl-GPE","0.335 (0.181)","-0.335 (0.257)","0.0286 (W)","0.1080","1","Up"
"1-(1-enyl-stearoyl)-GPE","0.201 (0.334)","-0.201 (0.194)","0.0822 ","0.1715","1","Up"
"1-arachidonoyl-GPC","-0.129 (0.151)","0.129 (0.455)","0.3232 ","0.4378","1","Down"
"1-arachidonoyl-GPE","0.154 (0.273)","-0.154 (0.377)","0.2333 ","0.3416","1","Up"
"1-arachidonoyl-GPI","0.123 (0.340)","-0.123 (0.255)","0.2903 ","0.3999","1","Up"
"1-linoleoyl-2-arachidonoyl-GPC","-0.203 (0.221)","0.203 (0.248)","0.0503 ","0.1390","1","Down"
"1-linoleoyl-GPC","-0.231 (0.217)","0.231 (0.240)","0.0291 ","0.1080","1","Down"
"1-linoleoyl-GPE","-0.257 (0.305)","0.257 (0.242)","0.0387 ","0.1292","1","Down"
"1-linoleoylglycerol","-0.183 (0.358)","0.183 (0.350)","0.1941 ","0.2941","1","Down"
"1-methylhistidine","0.290 (0.340)","-0.290 (0.136)","0.0194 ","0.1080","1","Up"
"1-methylimidazoleacetate","-0.144 (0.453)","0.144 (0.158)","0.2737 ","0.3812","1","Down"
"1-methylnicotinamide","-0.333 (0.436)","0.333 (0.079)","0.0530 ","0.1413","1","Down"
"1-oleoyl-2-linoleoyl-glycerol","-0.264 (0.376)","0.264 (0.133)","0.0378 ","0.1275","1","Down"
"1-oleoyl-2-linoleoyl-GPC","-0.250 (0.393)","0.250 (0.116)","0.0505 ","0.1390","1","Down"
