"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"1,2-dilinoleoyl-GPC (18:2/18:2)",1.2668,1.0764,1.0741,1.0739
"1,2-dioleoyl-GPC (18:1/18:1)*",1.3767,1.2291,1.2263,1.226
"1,2-dioleoyl-GPE (18:1/18:1)",0.13986,1.024,1.0258,1.0256
"1,2-dipalmitoyl-GPC (16:0/16:0)",0.0059962,0.025044,0.065093,0.065417
"1,2-distearoyl-GPC (18:0/18:0)",1.3803,1.2441,1.241,1.2406
"1,5-anhydroglucitol (1,5-AG)",0.082295,1.1912,1.205,1.2047
"1-(1-enyl-oleoyl)-GPE (P-18:1)*",0.77822,0.64941,0.64874,0.64857
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",1.3788,1.1634,1.1613,1.161
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*",0.86247,0.75498,0.75475,0.75459
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*",1.2969,1.0822,1.0826,1.0828
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*",1.0945,0.92353,0.92145,0.92146
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*",0.3218,1.2165,1.219,1.2187
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*",0.32345,0.73138,0.73287,0.73479
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*",1.2875,1.0868,1.0926,1.0931
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*",0.81981,0.72761,0.74653,0.74633
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*",1.2678,1.1035,1.1012,1.1009
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*",0.96751,0.80841,0.80636,0.80667
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)",1.3588,1.2233,1.2275,1.2277
"1-(1-enyl-stearoyl)-GPE (P-18:0)*",0.93162,0.84972,0.84952,0.84934
"1-arachidonoyl-GPC (20:4)*",0.60551,0.95213,0.94978,0.94975
"1-arachidonoyl-GPE (20:4)*",0.63781,0.74337,0.7447,0.74459
"1-arachidonoyl-GPI (20:4)*",0.52778,0.75826,0.76181,0.76177
"1-linolenoyl-GPC (18:3)*",1.1278,0.9529,0.95521,0.95618
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*",0.93234,0.94133,0.93991,0.93996
"1-linoleoyl-GPC (18:2)",1.0588,0.94999,0.94757,0.94731
"1-linoleoyl-GPE (18:2)*",1.1817,0.98719,0.98502,0.98484
"1-linoleoylglycerol (18:2)",0.9671,0.80814,0.81233,0.81224
"1-methylhistidine",1.3773,1.1588,1.1564,1.1561
"1-methylimidazoleacetate",0.76191,1.054,1.0552,1.0551
"1-methylnicotinamide",1.549,1.3021,1.2992,1.2989
"1-oleoyl-2-linoleoyl-glycerol (18:1/18:2)",1.1313,0.95948,0.9571,0.9569
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*",1.1855,1.0071,1.0052,1.005
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*",1.1204,0.98396,0.98195,0.98178
"1-oleoyl-3-linoleoyl-glycerol (18:1/18:2)",1.1493,0.9616,0.95915,0.9589
"1-oleoyl-GPC (18:1)",0.71285,0.97424,0.972,0.9718
"1-oleoyl-GPE (18:1)",0.93424,1.0436,1.0409,1.0407
"1-oleoylglycerol (18:1)",0.54171,0.97751,0.97928,0.97902
"1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*",1.4253,1.1943,1.1918,1.1915
"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*",1.2289,1.0312,1.0286,1.0284
"1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*",1.2085,1.0095,1.0076,1.0073
"1-palmitoleoyl-GPC (16:1)*",0.35222,0.94992,0.94755,0.94735
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)",0.72161,1.1009,1.0999,1.0997
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*",1.1778,1.0884,1.0875,1.0872
"1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*",1.2579,1.0606,1.0581,1.0579
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)",1.3675,1.1633,1.1612,1.1609
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)",1.2598,1.0563,1.0539,1.0536
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)",0.85649,0.83001,0.83724,0.8371
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",0.9724,0.928,0.92701,0.92685
"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)",1.1969,1.0099,1.014,1.0138
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*",0.93304,0.9815,0.97988,0.97963
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)",1.3629,1.2227,1.2197,1.2193
"1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*",1.2933,1.0868,1.0841,1.0838
"1-palmitoyl-GPC (16:0)",0.80354,0.8929,0.89079,0.89059
"1-palmitoyl-GPE (16:0)",0.97406,1.0227,1.0201,1.0199
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)",1.1292,1.0663,1.0661,1.0658
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)",1.0912,1.0159,1.0171,1.0169
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",1.7643,2.1856,2.1808,2.1802
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)",0.88476,0.73855,0.75271,0.75259
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*",1.1347,0.99024,0.98968,0.98942
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*",1.2422,1.0424,1.04,1.0398
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)",1.3344,1.1136,1.1122,1.112
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)",0.79641,1.5796,1.5793,1.5789
"1-stearoyl-2-oleoyl-GPS (18:0/18:1)",0.97848,0.81988,0.81835,0.819
"1-stearoyl-GPC (18:0)",0.43052,1.0003,0.99811,0.99784
"1-stearoyl-GPE (18:0)",1.0263,1.0271,1.0254,1.0252
"1-stearoyl-GPI (18:0)",1.0903,0.91793,0.91558,0.91548
"1-stearoyl-GPS (18:0)*",1.0983,0.9169,0.91456,0.91463
"10-heptadecenoate (17:1n7)",0.80164,0.87858,0.87635,0.87735
"10-nonadecenoate (19:1n9)",0.36755,0.92052,0.91875,0.91851
"12,13-DiHOME",1.1655,0.98936,0.9869,0.98696
"12-HETE",1.215,1.1191,1.1195,1.1192
"15-HETE",0.794,0.67227,0.67892,0.67892
"15-methylpalmitate",0.94119,0.90118,0.89891,0.89867
"16-hydroxypalmitate",1.1733,1.0145,1.0119,1.0118
