"","MeanDecreaseAccuracy"
"retinol (Vitamin A)",0.006
"hippurate",0.0056667
"flavin adenine dinucleotide (FAD)",0.005
"guanine",0.0046667
"succinate",0.0043333
"glycerophosphoethanolamine",0.0043333
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*",0.004
"1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*",0.004
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",0.0033333
"salicylate",0.0033333
"pyroglutamine*",0.0033333
"3-hydroxybutyrylcarnitine (1)",0.0033333
"1,2-dioleoyl-GPC (18:1/18:1)*",0.0033333
"beta-alanine",0.0031333
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",0.003
"citrate",0.003
"betaine aldehyde",0.003
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",0.003
"1-methylhistidine",0.003
"pseudouridine",0.0029333
"nicotinamide",0.0026667
"methionine",0.0026667
"lysine",0.0026667
"hexanoylglycine",0.0026667
"erythronate*",0.0026667
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)",0.0026667
"dehydroascorbate",0.0023333
"cysteine sulfinic acid",0.0023333
"5-oxoproline",0.0023333
"12-HETE",0.0023333
"methylsuccinate",0.002
"laurylcarnitine",0.002
"glutarate (pentanedioate)",0.002
"gamma-carboxyglutamate",0.002
"decanoylcarnitine",0.002
"alpha-ketoglutarate",0.002
"7-hydroxycholesterol (alpha or beta)",0.002
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)",0.002
"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*",0.002
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*",0.002
"cytidine 3'-monophosphate (3'-CMP)",0.0016
"xanthine",0.0013333
"trans-urocanate",0.0013333
"trans-4-hydroxyproline",0.0013333
"threonine",0.0013333
"threonate",0.0013333
"succinylcarnitine",0.0013333
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",0.0013333
"S-adenosylhomocysteine (SAH)",0.0013333
"isocitrate",0.0013333
"heme",0.0013333
"guanidinoacetate",0.0013333
"cytidine-5'-diphosphoethanolamine",0.0013333
"carnitine",0.0013333
"beta-guanidinopropanoate",0.0013333
"azelate (nonanedioate)",0.0013333
"arginine",0.0013333
"3-hydroxybutyrylcarnitine (2)",0.0013333
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)",0.0013333
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*",0.0013333
"1-palmitoyl-GPC (16:0)",0.0013333
