
 Univariate Analysis Result for each variable/metabolite

[NOTE]
    p-value is calculated with t-test as a default.
    p-value with (W) is calculated by the Wilcoxon Mann Whitney test


"Name","Mean (SD) of 
HFD_Tx","Mean (SD) of 
HFD_Veh","p-value","q-value (FDR)","Fold Change","HFD_Tx/HFD_Veh"
"1,2-dilinoleoyl-GPC (18:2/18:2)","-0.282 (0.395)","0.282 (0.057)","0.0633 ","0.1528","1","Down"
"1,2-dioleoyl-GPC (18:1/18:1)*","0.306 (0.224)","-0.306 (0.144)","0.0286 (W)","0.1143","1","Up"
"1,2-dioleoyl-GPE (18:1/18:1)","-0.031 (0.409)","0.031 (0.088)","0.7838 ","0.8358","1","Down"
"1,2-dipalmitoyl-GPC (16:0/16:0)","0.001 (0.352)","-0.001 (0.369)","0.9920 ","0.9920","1","Up"
"1,2-distearoyl-GPC (18:0/18:0)","0.307 (0.487)","-0.307 (0.043)","0.0853 ","0.1729","1","Up"
"1,5-anhydroglucitol (1,5-AG)","0.018 (0.386)","-0.018 (0.486)","0.9099 ","0.9359","1","Up"
"1-(1-enyl-oleoyl)-GPE (P-18:1)*","0.173 (0.241)","-0.173 (0.284)","0.1126 ","0.1956","1","Up"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*","0.307 (0.398)","-0.307 (0.099)","0.0502 ","0.1316","1","Up"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*","-0.192 (0.340)","0.192 (0.145)","0.0829 ","0.1728","1","Down"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*","0.289 (0.323)","-0.289 (0.226)","0.0264 ","0.1143","1","Up"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","-0.244 (0.333)","0.244 (0.122)","0.0336 ","0.1213","1","Down"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*","0.072 (0.482)","-0.072 (0.328)","0.6407 ","0.7188","1","Up"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*","-0.072 (0.392)","0.072 (0.272)","0.5681 ","0.6559","1","Down"
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*","0.287 (0.300)","-0.287 (0.254)","0.0267 ","0.1143","1","Up"
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*","0.182 (0.134)","-0.182 (0.422)","0.1508 ","0.2369","1","Up"
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*","0.282 (0.441)","-0.282 (0.130)","0.0497 ","0.1316","1","Up"
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*","-0.215 (0.363)","0.215 (0.067)","0.0286 (W)","0.1143","1","Down"
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","0.302 (0.233)","-0.302 (0.254)","0.0126 ","0.1143","1","Up"
"1-(1-enyl-stearoyl)-GPE (P-18:0)*","0.207 (0.358)","-0.207 (0.184)","0.0854 ","0.1729","1","Up"
"1-arachidonoyl-GPC (20:4)*","-0.135 (0.140)","0.135 (0.430)","0.2783 ","0.3685","1","Down"
"1-arachidonoyl-GPE (20:4)*","0.142 (0.335)","-0.142 (0.389)","0.3109 ","0.3998","1","Up"
"1-arachidonoyl-GPI (20:4)*","0.117 (0.360)","-0.117 (0.253)","0.3270 ","0.4164","1","Up"
"1-linolenoyl-GPC (18:3)*","-0.251 (0.324)","0.251 (0.219)","0.0426 ","0.1260","1","Down"
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*","-0.207 (0.236)","0.207 (0.181)","0.0286 (W)","0.1143","1","Down"
"1-linoleoyl-GPC (18:2)","-0.236 (0.198)","0.236 (0.234)","0.0286 (W)","0.1143","1","Down"
"1-linoleoyl-GPE (18:2)*","-0.263 (0.285)","0.263 (0.211)","0.0252 ","0.1143","1","Down"
"1-linoleoylglycerol (18:2)","-0.215 (0.329)","0.215 (0.296)","0.0995 ","0.1853","1","Down"
"1-methylhistidine","0.306 (0.386)","-0.306 (0.112)","0.0225 ","0.1143","1","Up"
"1-methylimidazoleacetate","-0.170 (0.463)","0.170 (0.137)","0.2100 ","0.3012","1","Down"
"1-methylnicotinamide","-0.345 (0.433)","0.345 (0.058)","0.0487 ","0.1316","1","Down"
"1-oleoyl-2-linoleoyl-glycerol (18:1/18:2)","-0.252 (0.338)","0.252 (0.143)","0.0336 ","0.1213","1","Down"
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*","-0.264 (0.390)","0.264 (0.065)","0.0714 ","0.1684","1","Down"
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*","-0.249 (0.397)","0.249 (0.066)","0.0851 ","0.1729","1","Down"
"1-oleoyl-3-linoleoyl-glycerol (18:1/18:2)","-0.256 (0.316)","0.256 (0.137)","0.0249 ","0.1143","1","Down"
"1-oleoyl-GPC (18:1)","-0.159 (0.137)","0.159 (0.404)","0.1878 ","0.2765","1","Down"
"1-oleoyl-GPE (18:1)","0.208 (0.222)","-0.208 (0.211)","0.0286 (W)","0.1143","1","Up"
"1-oleoylglycerol (18:1)","-0.121 (0.450)","0.121 (0.343)","0.4267 ","0.5247","1","Down"
"1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*","-0.317 (0.323)","0.317 (0.057)","0.0286 (W)","0.1143","1","Down"
"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","-0.273 (0.337)","0.273 (0.144)","0.0243 ","0.1143","1","Down"
"1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*","-0.269 (0.289)","0.269 (0.150)","0.0164 ","0.1143","1","Down"
"1-palmitoleoyl-GPC (16:1)*","-0.078 (0.225)","0.078 (0.394)","0.5156 ","0.6113","1","Down"
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)","0.161 (0.479)","-0.161 (0.206)","0.2639 ","0.3584","1","Up"
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*","-0.262 (0.227)","0.262 (0.132)","0.0286 (W)","0.1143","1","Down"
"1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*","-0.280 (0.358)","0.280 (0.120)","0.0251 ","0.1143","1","Down"
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","-0.304 (0.272)","0.304 (0.112)","0.0286 (W)","0.1143","1","Down"
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)","-0.280 (0.352)","0.280 (0.063)","0.0286 (W)","0.1143","1","Down"
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","0.191 (0.391)","-0.191 (0.221)","0.1403 ","0.2241","1","Up"
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","-0.216 (0.415)","0.216 (0.073)","0.1267 ","0.2100","1","Down"
"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)","0.266 (0.308)","-0.266 (0.170)","0.0231 ","0.1143","1","Up"
