"","p.value","-log10(p)","FDR","Tukey's HSD"
"equol sulfate",7.4878e-11,10.126,3.0475e-08,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"ergothioneine",9.5266e-09,8.0211,1.7898e-06,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"S-methylmethionine",1.3193e-08,7.8797,1.7898e-06,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"campesterol",1.8399e-08,7.7352,1.8721e-06,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"isobutyrylcarnitine",4.0824e-08,7.3891,3.1518e-06,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"methyl glucopyranoside (alpha + beta)",4.6463e-08,7.3329,3.1518e-06,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphingomyelin (d18:1/18:1, d18:2/18:0)",1.0316e-07,6.9865,5.9983e-06,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"pyroglutamine*",1.207e-07,6.9183,6.1406e-06,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"N-delta-acetylornithine",1.6219e-07,6.79,7.3345e-06,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"4-hydroxy-nonenal-glutathione",1.0042e-06,5.9982,4.0871e-05,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"retinal",1.5139e-06,5.8199,5.6016e-05,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"homostachydrine*",2.8089e-06,5.5515,9.527e-05,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"glycosyl-N-stearoyl-sphingosine",8.4479e-06,5.0733,0.00026448,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"N-acetyl-1-methylhistidine*",1.1426e-05,4.9421,0.00030198,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1,2-dilinoleoyl-GPC (18:2/18:2)",1.2819e-05,4.8922,0.00030198,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"beta-guanidinopropanoate",1.3311e-05,4.8758,0.00030198,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"trigonelline (N'-methylnicotinate)",1.3332e-05,4.8751,0.00030198,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"4-guanidinobutanoate",1.3355e-05,4.8743,0.00030198,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",1.9438e-05,4.7113,0.00041639,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"gamma-glutamylglycine",3.8992e-05,4.409,0.0007747,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)",3.9972e-05,4.3982,0.0007747,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"2-hydroxybutyrate/2-hydroxyisobutyrate",4.9043e-05,4.3094,0.0009073,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"N-palmitoyl-sphingosine (d18:1/16:0)",5.4633e-05,4.2625,0.00094493,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*",5.5721e-05,4.254,0.00094493,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*",6.3959e-05,4.1941,0.0010412,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"palmitoyl sphingomyelin (d18:1/16:0)",6.9836e-05,4.1559,0.0010932,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"alpha-tocopherol",8.6187e-05,4.0646,0.0012706,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"alpha-hydroxyisovalerate",8.8952e-05,4.0508,0.0012706,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",9.1025e-05,4.0408,0.0012706,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"homoarginine",9.3653e-05,4.0285,0.0012706,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"N1-methyladenosine",0.00010572,3.9758,0.0013881,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",0.00011863,3.9258,0.0015088,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphinganine",0.00015229,3.8173,0.0018783,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",0.00016754,3.7759,0.001963,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"stearidonate (18:4n3)",0.00016881,3.7726,0.001963,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"erythronate*",0.00019781,3.7038,0.0022278,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"13-HODE + 9-HODE",0.00020252,3.6935,0.0022278,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",0.00022171,3.6542,0.0023339,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"heme",0.00022364,3.6505,0.0023339,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-palmitoleoyl-GPC (16:1)*",0.00031118,3.507,0.0031663,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"arabonate/xylonate",0.0003342,3.476,0.0032916,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"adipoylcarnitine",0.00033967,3.4689,0.0032916,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"N-methylproline",0.00037222,3.4292,0.0035029,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"glutarylcarnitine (C5)",0.00037869,3.4217,0.0035029,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"2-aminoheptanoate",0.0004357,3.3608,0.0038642,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"gamma-glutamylalanine",0.00043674,3.3598,0.0038642,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1,5-anhydroglucitol (1,5-AG)",0.0004564,3.3407,0.003908,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"eicosapentaenoate (EPA; 20:5n3)",0.0004609,3.3364,0.003908,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphingomyelin (d18:1/15:0, d16:1/17:0)*",0.0005542,3.2563,0.0046033,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"palmitoylcholine",0.00076494,3.1164,0.0062266,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"ascorbate (Vitamin C)",0.00080163,3.096,0.0063974,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"3-ureidopropionate",0.00083902,3.0762,0.0064105,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"linolenate [alpha or gamma; (18:3n3 or 6)]",0.00084597,3.0726,0.0064105,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"N-acetylglucosaminylasparagine ",0.00085054,3.0703,0.0064105,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"biliverdin",0.00091018,3.0409,0.0067354,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"ribose",0.00092683,3.033,0.0067361,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"N-palmitoyl-sphinganine (d18:0/16:0)",0.00098543,3.0064,0.0070363,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-palmitoyl-2-linoleoyl-GPG (16:0/18:2)",0.0010212,2.9909,0.0071658,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"palmitoyl ethanolamide",0.0010755,2.9684,0.0074194,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"16-hydroxypalmitate",0.001196,2.9223,0.0081127,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"2-aminoadipate",0.0012334,2.9089,0.0082293,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"stachydrine",0.0012692,2.8965,0.0082406,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"malonylcarnitine",0.0012756,2.8943,0.0082406,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-oleoylglycerol (18:1)",0.0013598,2.8665,0.0085459,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*",0.0013648,2.8649,0.0085459,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"leucylglycine",0.001437,2.8426,0.0088613,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-methylhistidine",0.0015188,2.8185,0.0092263,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"glycerophosphoglycerol",0.0016014,2.7955,0.009585,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphingosine",0.0017464,2.7579,0.010301,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"dehydroascorbate",0.0019051,2.7201,0.011077,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-palmitoyl-GPE (16:0)",0.0019454,2.711,0.011152,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"threonate",0.0020899,2.6799,0.011814,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"methionine sulfoxide",0.002196,2.6584,0.012243,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"glutarate (pentanedioate)",0.0023093,2.6365,0.012701,"ND_Veh-HFD_Tx"
"phenol sulfate",0.0023932,2.621,0.012987,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"pipecolate",0.0025309,2.5967,0.013554,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"N-acetylglutamate",0.0026565,2.5757,0.014042,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"hypoxanthine",0.0030265,2.5191,0.015792,"ND_Veh-HFD_Veh"
"linoleoylcarnitine*",0.0032655,2.4861,0.016823,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)",0.0034835,2.458,0.017285,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"orotate",0.0035057,2.4552,0.017285,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"choline phosphate",0.0035229,2.4531,0.017285,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
