"","correlation","t-stat","p-value","FDR"
"equol sulfate",-0.98855,-20.719,1.5194e-09,6.1838e-07
"homostachydrine*",-0.96981,-12.577,1.8763e-07,3.8183e-05
"glycosyl-N-stearoyl-sphingosine",0.96192,11.129,5.9129e-07,8.0218e-05
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)",0.94578,9.2082,3.3672e-06,0.00034262
"homoarginine",0.92473,7.6826,1.6756e-05,0.0013639
"heme",0.9181,7.3253,2.5255e-05,0.0017025
"N-palmitoyl-sphingosine (d18:1/16:0)",0.91557,7.1994,2.9281e-05,0.0017025
"palmitoyl sphingomyelin (d18:1/16:0)",0.91196,7.0291,3.5877e-05,0.0018252
"eicosapentaenoate (EPA; 20:5n3)",-0.90455,-6.7089,5.3054e-05,0.0023992
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*",0.90129,6.579,6.2405e-05,0.0024672
"methyl glucopyranoside (alpha + beta)",-0.89993,-6.5265,6.668e-05,0.0024672
"N-acetylglucosaminylasparagine ",0.88759,6.0935,0.00011669,0.0037482
"sphingomyelin (d18:1/15:0, d16:1/17:0)*",0.88699,6.0741,0.00011972,0.0037482
"pyroglutamine*",-0.88339,-5.9608,0.00013921,0.0038442
"linolenate [alpha or gamma; (18:3n3 or 6)]",-0.88296,-5.9477,0.00014168,0.0038442
"2-aminoadipate",0.87874,5.822,0.00016785,0.0042697
"N-delta-acetylornithine",-0.87675,-5.7648,0.00018147,0.0043447
"gamma-glutamylglycine",-0.87325,-5.6671,0.00020749,0.0046917
"glutarylcarnitine (C5)",0.86852,5.5412,0.00024711,0.0049537
"sphingomyelin (d18:1/18:1, d18:2/18:0)",0.86779,5.5224,0.0002537,0.0049537
"13-HODE + 9-HODE",-0.86507,-5.4532,0.00027959,0.0049537
"leucylglycine",-0.86397,-5.4257,0.00029064,0.0049537
"1-palmitoyl-GPE (16:0)",-0.86392,-5.4246,0.00029111,0.0049537
"1-palmitoyl-2-linoleoyl-GPG (16:0/18:2)",-0.8633,-5.4091,0.00029755,0.0049537
"biliverdin",0.86265,5.3933,0.00030428,0.0049537
"1-palmitoleoyl-GPC (16:1)*",-0.85932,-5.3133,0.00034098,0.0051353
"glutarate (pentanedioate)",0.85931,5.3129,0.00034117,0.0051353
"threonate",0.85729,5.2657,0.00036504,0.0051353
"S-methylmethionine",-0.85722,-5.2641,0.0003659,0.0051353
"ergothioneine",-0.85171,-5.1399,0.0004378,0.0059205
"2-hydroxybutyrate/2-hydroxyisobutyrate",0.85033,5.1097,0.00045754,0.0059205
"campesterol",-0.84978,-5.0978,0.00046549,0.0059205
"N-acetylglutamate",0.84659,5.03,0.00051411,0.0062048
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",0.84633,5.0245,0.00051834,0.0062048
"1,2-dilinoleoyl-GPC (18:2/18:2)",-0.84365,-4.969,0.00056247,0.0062602
"adipoylcarnitine",0.8434,4.9639,0.00056672,0.0062602
"trigonelline (N'-methylnicotinate)",-0.84326,-4.9611,0.00056911,0.0062602
"1-oleoyl-GPE (18:1)",-0.83104,-4.7248,0.00081059,0.0086818
"palmitoyl ethanolamide",-0.82676,-4.6474,0.00091163,0.0095137
"pipecolate",-0.82541,-4.6235,0.00094546,0.0096201
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)",-0.82275,-4.5773,0.0010148,0.010074
"3-ureidopropionate",0.81852,4.5056,0.0011333,0.010982
"N-palmitoyl-sphinganine (d18:0/16:0)",0.8166,4.4738,0.0011904,0.011058
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",0.81643,4.4711,0.0011955,0.011058
"saccharopine",0.81223,4.4032,0.0013285,0.012016
"stearidonate (18:4n3)",-0.80947,-4.3596,0.001422,0.012342
"1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*",-0.80938,-4.3581,0.0014253,0.012342
"docosapentaenoate (n3 DPA; 22:5n3)",-0.80692,-4.3201,0.0015129,0.01278
"cystathionine",0.80612,4.3078,0.0015423,0.01278
"sphinganine",0.80538,4.2965,0.00157,0.01278
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)",0.80142,4.2373,0.0017239,0.013757
"hypotaurine",0.79797,4.1869,0.0018672,0.014615
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",0.79574,4.1549,0.0019646,0.014729
"alpha-tocopherol",0.79528,4.1483,0.0019854,0.014729
"1-linolenoyl-GPC (18:3)*",-0.79517,-4.1467,0.0019904,0.014729
"N2-acetyllysine/N6-acetyllysine",0.79056,4.0823,0.0022061,0.015719
"sedoheptulose-7-phosphate",0.79003,4.0751,0.002232,0.015719
"4-guanidinobutanoate",-0.78987,-4.0728,0.00224,0.015719
"beta-guanidinopropanoate",-0.78394,-3.993,0.0025469,0.01757
"6-oxopiperidine-2-carboxylic acid",0.78314,3.9825,0.0025904,0.017571
"2-aminoheptanoate",-0.78157,-3.9619,0.0026781,0.017869
"linoleate (18:2n6)",-0.77731,-3.9071,0.0029269,0.0188
"methionine sulfoxide",-0.77691,-3.9021,0.0029511,0.0188
"homocitrulline",0.77682,3.901,0.0029563,0.0188
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",0.7737,3.8618,0.0031511,0.019731
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)",0.77204,3.8413,0.0032582,0.020092
"alpha-hydroxyisovalerate",0.76648,3.7738,0.0036388,0.022104
"gamma-tocopherol/beta-tocopherol",0.76544,3.7614,0.0037135,0.022227
"isobutyrylcarnitine",-0.76294,-3.732,0.0038975,0.02299
"2-aminobutyrate",0.76044,3.703,0.0040885,0.023772
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)",0.75907,3.6872,0.0041961,0.024054
"2-oleoylglycerol (18:1)",0.7541,3.6309,0.0046055,0.025792
"serotonin",0.75386,3.6282,0.004626,0.025792
"leucylglutamine*",-0.7445,-3.5264,0.0054796,0.030138
"glutamate",0.74352,3.516,0.0055753,0.030256
"1,5-anhydroglucitol (1,5-AG)",-0.73365,-3.4142,0.006612,0.034883
"beta-hydroxyisovaleroylcarnitine",0.73361,3.4138,0.0066162,0.034883
"sphingosine",0.733,3.4076,0.0066852,0.034883
"1-linoleoyl-GPC (18:2)",-0.72923,-3.3701,0.0071203,0.036587
"pimeloylcarnitine",0.72863,3.3642,0.0071915,0.036587
"glucosamine-6-phosphate",0.72726,3.3507,0.0073571,0.036967
"12,13-DiHOME",-0.72642,-3.3425,0.0074594,0.037024
"butyrylglycine",-0.72464,-3.3253,0.0076788,0.037387
"glutamine",-0.72435,-3.3224,0.0077163,0.037387
