"","correlation","t-stat","p-value","FDR"
"erythronate*",0.87727,5.7795,0.00017786,0.04386
"palmitoylcholine",0.87224,5.6396,0.00021553,0.04386
"ribose",0.84551,5.0073,0.0005316,0.058811
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*",-0.83769,-4.8504,0.00067102,0.058811
"N-methylproline",-0.82709,-4.6533,0.00090343,0.058811
"uridine 5'-monophosphate (UMP)",-0.82545,-4.6243,0.00094439,0.058811
"1-methylhistidine",0.81553,4.4564,0.001223,0.058811
"glycerophosphoglycerol",0.81448,4.4392,0.001256,0.058811
"4-hydroxy-nonenal-glutathione",-0.81309,-4.4168,0.0013005,0.058811
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",-0.80658,-4.3149,0.0015252,0.061867
"gamma-glutamylalanine",-0.80272,-4.2566,0.0016721,0.061867
"kynurenine",0.78619,4.023,0.0024269,0.077878
"ethylmalonate",-0.78504,-4.0076,0.0024875,0.077878
"phenol sulfate",-0.77533,-3.8822,0.003048,0.085354
"guanosine 5'- monophosphate (5'-GMP)",-0.77378,-3.8628,0.0031457,0.085354
"adenosine 5'-monophosphate (AMP)",-0.76847,-3.7977,0.0034989,0.089002
"retinal",-0.76403,-3.7448,0.0038164,0.091369
"allantoin",0.75263,3.6146,0.004732,0.092809
"N-acetyl-1-methylhistidine*",0.7519,3.6066,0.0047954,0.092809
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*",-0.75077,-3.5941,0.0048958,0.092809
"myo-inositol",-0.74943,-3.5794,0.0050165,0.092809
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",-0.74739,-3.5574,0.0052041,0.092809
"hypoxanthine",0.74696,3.5527,0.0052447,0.092809
"3-hydroxybutyrate (BHBA)",0.74019,3.4811,0.0059105,0.10023
"N-acetylmethionine",-0.73314,-3.409,0.0066694,0.10545
"3-hydroxybutyrylcarnitine (1)",0.73255,3.403,0.0067366,0.10545
"glycerol",0.72401,3.3191,0.0077589,0.11696
"nervonate (24:1n9)*",-0.71758,-3.2581,0.0086018,0.12503
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",-0.71353,-3.2205,0.0091671,0.12866
"arabonate/xylonate",0.70438,3.138,0.010545,0.14306
"inosine 5'-monophosphate (IMP)",-0.70003,-3.0999,0.011252,0.14772
"3-methylcytidine",0.69641,3.0687,0.011867,0.15093
"gamma-glutamyl-epsilon-lysine",-0.67062,-2.8588,0.016991,0.20956
"malonylcarnitine",-0.66673,-2.8289,0.017884,0.21408
"adenylosuccinate",-0.66134,-2.7881,0.019181,0.22305
"glycerophosphoinositol*",0.6555,2.7448,0.020662,0.23355
"taurocyamine",0.65246,2.7226,0.021463,0.23355
"guanidinosuccinate",0.64986,2.7038,0.022168,0.23355
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*",-0.64909,-2.6983,0.022379,0.23355
"citrulline",-0.63524,-2.601,0.026444,0.25891
"N1-methyladenosine",0.63408,2.5931,0.026809,0.25891
"isobutyrylcarnitine",-0.62859,-2.5558,0.028577,0.25891
"linoleoylcarnitine*",-0.62829,-2.5538,0.028675,0.25891
"4-imidazoleacetate",-0.62685,-2.5442,0.029154,0.25891
"7-hydroxycholesterol (alpha or beta)",-0.62668,-2.5431,0.02921,0.25891
"16-hydroxypalmitate",-0.62652,-2.542,0.029263,0.25891
"argininosuccinate",0.62335,2.5209,0.030339,0.26127
"N-acetylglycine",0.6202,2.5002,0.031436,0.26127
"tricosanoyl sphingomyelin (d18:1/23:0)*",-0.62015,-2.4998,0.031455,0.26127
"choline",0.61398,2.4598,0.033687,0.26433
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",0.61207,2.4476,0.034401,0.26433
"stachydrine",-0.61027,-2.436,0.035085,0.26433
"1,2-dioleoyl-GPE (18:1/18:1)",-0.61022,-2.4358,0.035102,0.26433
"cytidine",0.60924,2.4295,0.035478,0.26433
"xanthine",0.60861,2.4256,0.035721,0.26433
"valine",0.60518,2.4039,0.037067,0.26622
"dehydroascorbate",-0.60463,-2.4005,0.037284,0.26622
"behenoyl sphingomyelin (d18:1/22:0)*",0.59682,2.3522,0.04049,0.28413
"3-phosphoglycerate",0.58621,2.2882,0.045154,0.31149
"N6,N6,N6-trimethyllysine",0.58299,2.2691,0.046645,0.31641
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*",-0.57977,-2.2502,0.048163,0.32135
"gamma-aminobutyrate (GABA)",-0.5731,-2.2115,0.051431,0.33762
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",0.57124,2.2008,0.052367,0.33831
"UDP-glucose",-0.56944,-2.1906,0.053283,0.33885
"betaine",-0.5643,-2.1615,0.055966,0.34556
"choline phosphate",-0.56417,-2.1608,0.056037,0.34556
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",0.55825,2.1278,0.059245,0.35599
"S-adenosylmethionine (SAM)",-0.55783,-2.1254,0.059478,0.35599
"beta-guanidinopropanoate",-0.5504,-2.0847,0.063695,0.37329
