"Query","Match","HMDB","PubChem","KEGG","Comment"
"1-linoleoyl-GPE (18:2)","NA","NA","NA","NA","0"
"1-palmitoyl-2-linoleoyl-GPG (16:0/18:2)","NA","NA","NA","NA","0"
"1-palmitoyl-GPE (16:0)","NA","NA","NA","NA","0"
"arabonate/xylonate","NA","NA","NA","NA","0"
"cytidine-5'-diphosphoethanolamine","NA","NA","NA","NA","0"
"glycerophosphoinositol","NA","NA","NA","NA","0"
"N1-methyladenosine","1-Methyladenosine","HMDB03331","27476","C02494","1"
"N6-carbamoylthreonyladenosine","N6-Carbamoyl-L-threonyladenosine","HMDB41623","161466","","1"
"xanthosine","Xanthosine","HMDB00299","64959","C01762","1"
"5-methyltetrahydrofolate (5MeTHF)","NA","NA","NA","NA","0"
"erythronate","Erythronic acid","HMDB00613","2781043","","1"
"pantothenate","Pantothenic acid","HMDB00210","988","C00864","1"
"stearidonate (18:4n3)","NA","NA","NA","NA","0"
"1-palmitoyl-GPI (16:0)","NA","NA","NA","NA","0"
"allantoin","Allantoin","HMDB00462","204","C01551","1"
"choline","Choline","HMDB00097","305","C00114","1"
"hypotaurine","Hypotaurine","HMDB00965","107812","C00519","1"
"palmitoylcholine","NA","NA","NA","NA","0"
"tricosanoyl sphingomyelin (d18:1/23:0)","NA","NA","NA","NA","0"
"2-palmitoleoyl-GPC (16:1)","NA","NA","NA","NA","0"
"cytidine 5'-diphosphocholine","Citicoline","HMDB01413","13804","C00307","1"
"4-hydroxy-nonenal-glutathione","NA","NA","NA","NA","0"
"isoleucine","(+/-)-erythro-Isoleucine","HMDB33923","791","C16434","1"
"pipecolate","Pipecolic acid","HMDB00070","849","C00408","1"
"retinal","Retinal","HMDB01358","638015","C00376","1"
