Sample,ND_Veh_1,ND_Veh_2,ND_Veh_3,ND_Veh_4,HFD_Veh_1,HFD_Veh_2,HFD_Veh_3,HFD_Veh_4,HFD_Tx_1,HFD_Tx_2,HFD_Tx_3,HFD_Tx_4
Label,0,0,0,0,1,1,1,1,2,2,2,2
"1,2-dilinoleoyl-GPC (18:2/18:2)","262,160,800","276,643,744","295,534,400","293,275,840","94,746,368","98,253,560","93,038,960","90,761,584","77,372,152","77,158,016","79,458,728","103,680,976"
"1,2-dioleoyl-GPC (18:1/18:1)*","77,419,768","75,428,520","104,828,032","74,427,312","81,635,088","67,308,168","66,044,524","74,330,928","85,334,960","85,339,144","91,974,928","118,313,968"
"1,2-dioleoyl-GPE (18:1/18:1)","13,794,540","15,756,597","16,900,126","13,081,402","14,531,169","9,212,878","12,441,484","9,913,509","12,519,979","10,203,123","16,119,095","12,255,286"
"1,2-dipalmitoyl-GPC (16:0/16:0)","653,527","531,568","587,766","601,376","593,277","490,393","569,719","522,470","698,249","658,557","698,871","580,571"
"1,5-anhydroglucitol (1,5-AG)","3,455,653","3,652,728","3,607,020","2,943,290","1,738,811","1,402,850","1,826,840","1,537,892","1,447,378","1,843,863","1,658,404","1,528,303"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,"3,056,380","2,451,583","4,027,041","3,327,299","5,581,408","5,414,131","5,077,544","3,888,500","4,113,477","4,883,004","6,344,206","5,364,413"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,"31,409,084","32,667,216","32,046,240","30,874,456","28,234,362","29,432,164","28,386,756","30,892,756","30,715,388","36,136,704","38,142,544","39,990,844"
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,"1,869,668","1,842,543","1,861,566","2,122,444","460,985","449,129","435,274","517,477",,"416,278","473,378","635,625"
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,"407,810","859,258","632,278","671,279","550,500","572,675","432,842","553,917","707,539","626,066","757,720","605,643"
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,"1,613,737","1,859,719","1,792,435","1,615,480","784,330","900,526","725,087","973,314","1,752,540","1,137,403","2,206,868","829,833"
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,"3,025,651","3,926,493","3,258,295","3,587,772","2,771,126","2,858,459","2,755,998","2,407,441","2,735,937","2,802,083","3,021,787","2,995,075"
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,"408,899","215,474","63,454","630,141","271,640","208,861","224,547","108,618","285,922","274,184","264,207","253,278"
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,"529,344","461,403","688,128","569,160","1,143,698","1,248,586","1,117,444","1,129,397","1,269,832","1,326,149","1,400,303","1,521,276"
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,"2,709,395","2,410,477","2,300,728","3,442,304","1,243,845","1,492,161","1,473,771","1,197,333","1,388,538","1,831,573","1,942,755","1,659,016"
1-(1-enyl-stearoyl)-GPE (P-18:0)*,"63,401","41,593",,"135,791","335,764","308,676","258,589","51,300","324,818","191,618","165,863",
1-(3-aminopropyl)-2-pyrrolidone,"2,956,716","1,720,568","2,500,191","4,516,116","5,009,968","3,665,732","2,071,640","3,398,479","2,793,631","4,861,576","3,281,816","2,959,697"
1-arachidonoyl-GPC (20:4)*,"8,354,068","11,790,245","5,467,101","17,043,404","12,286,422","17,615,560","10,051,733","10,300,207","12,275,205","7,354,120","12,868,940","11,291,479"
1-arachidonoyl-GPE (20:4)*,"6,372,766","7,890,272","9,347,774","7,343,790","13,797,684","9,121,273","8,514,057","7,784,944","6,022,983","5,979,862","7,746,072","9,692,587"
1-arachidonoyl-GPI (20:4)*,"17,711,222","21,654,626","9,186,584","29,350,432","18,775,082","17,078,068","14,796,110","18,070,612","13,171,135","8,591,959","15,423,982","9,879,705"
1-arachidonylglycerol (20:4),"1,402,926","741,746","574,126","1,286,613","1,273,046","914,147","1,409,780","1,247,753","602,191","888,202","2,875,649","1,252,205"
1-dihomo-linolenylglycerol (20:3),"504,900","334,865","209,940","513,651","285,914","368,032","332,277","441,561","156,780","228,040","726,928","387,275"
1-docosahexaenoylglycerol (22:6),"1,070,994","861,164","530,435","1,203,979","1,118,890","950,648","1,111,373","1,086,318","534,330","704,448","2,298,256","768,089"
1-linolenoyl-GPC (18:3)*,"3,533,344","4,305,049","3,542,520","3,824,952","3,107,982","2,712,077","2,177,509","3,177,241","1,833,226","1,592,723","1,701,245","2,405,622"
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*,"221,083,008","258,541,312","252,993,056","258,731,952","184,528,016","205,654,816","217,127,056","186,077,856","225,580,848","219,779,200","235,439,152","285,116,224"
1-linoleoyl-GPC (18:2),"17,960,244","26,239,322","12,048,382","32,066,130","13,992,260","17,464,052","10,768,215","11,703,599","8,847,632","8,853,465","10,084,563","10,659,063"
1-linoleoyl-GPE (18:2)*,"6,812,053","6,873,848","3,212,684","13,646,407","5,320,979","5,260,615","4,653,350","4,099,802","3,189,031","2,802,412","2,398,388","2,925,581"
1-linoleoyl-GPI (18:2)*,"911,300","983,368","375,127","1,577,350","481,394","364,678","222,286","343,202","208,620","81,459","132,046","115,018"
1-linoleoylglycerol (18:2),"23,372,778","12,116,295","10,266,840","23,434,468","18,722,788","15,873,900","16,694,969","18,189,174","9,825,403","6,332,561","28,093,540","8,373,989"
1-methylhistamine,"1,946,403","469,021","1,153,611","360,606","459,400","743,072","1,725,801","1,101,401","7,728,273","7,868,746","15,349,307","589,375"
1-methylhistidine,"42,216,984","32,551,016","34,223,588","43,100,048","68,958,848","66,893,024","56,966,908","65,571,644","40,996,464","45,868,928","47,357,300","31,765,438"
1-methylimidazoleacetate,"11,524,509","9,745,415","11,280,205","13,215,097","15,265,948","22,419,624","15,542,659","15,232,169","13,726,103","16,683,777","20,194,162","10,607,459"
1-methylnicotinamide,"3,551,847","7,694,808","4,414,969","2,737,805","2,922,156","3,007,956","5,850,929","2,600,418","1,760,673","5,977,191","7,158,447","5,676,805"
1-oleoyl-2-linoleoyl-glycerol (18:1/18:2),"51,011,636","50,821,352","52,787,220","27,928,082","52,533,072","44,601,256","66,775,872","56,832,040","39,086,784","26,572,940","76,297,704","36,727,080"
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,"270,381,920","355,424,608","395,580,064","307,955,584","203,826,400","193,771,216","212,715,168","195,729,696","223,564,336","195,432,144","239,063,456","252,786,976"
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,"137,209,056","159,876,272","155,034,736","152,889,056","90,801,776","77,969,240","95,510,048","96,048,136","82,952,144","85,279,056","72,487,432","96,988,480"
1-oleoyl-3-linoleoyl-glycerol (18:1/18:2),"702,731,968","567,935,808","704,862,912","424,835,008","675,109,504","587,066,240","801,249,024","749,444,352","565,369,600","387,062,528","793,245,056","449,596,000"
1-oleoyl-GPC (18:1),"29,430,576","29,066,512","30,506,812","33,420,792","26,999,016","24,653,964","24,599,370","26,711,354","22,715,272","16,109,823","23,810,378","25,773,744"
1-oleoyl-GPE (18:1),"21,538,358","19,515,640","19,150,420","22,982,276","16,103,222","14,188,310","14,093,488","17,973,948","11,404,397","8,279,801","8,587,479","11,117,454"
1-oleoyl-GPI (18:1)*,"3,043,015","1,572,018","669,921","6,582,107","1,035,033",,"1,237,540","1,165,588","1,796,993","658,257","904,174","904,642"
1-oleoylglycerol (18:1),"16,019,532","14,602,749","8,889,811","14,748,220","28,074,392","34,187,352","39,015,448","30,915,186","22,777,556","13,261,773","51,123,384","28,991,996"
1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,"234,720,992","333,956,736","321,945,504","270,052,544","129,406,592","102,984,904","111,843,968","112,449,288","101,381,520","98,710,600","109,797,504","116,211,848"
1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*,"33,607,656","16,335,839","38,356,848","11,342,576","30,876,604","26,444,922","28,805,608","41,481,536","28,590,688","25,136,296","55,197,504","16,121,894"
1-palmitoleoyl-GPC (16:1)*,"6,843,069","9,139,103","8,371,008","7,446,090","4,536,988","3,871,182","3,933,606","4,673,794","3,918,237","2,724,106","3,615,527","3,545,643"
1-palmitoleoylglycerol (16:1)*,"1,370,052","2,038,264","635,835","182,034","1,669,783","1,046,202","1,175,752","1,516,260","1,138,424","918,034","2,636,585",
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),"20,078,852","15,868,695","18,241,962","22,319,288","19,025,532","15,985,944","18,470,422","22,520,220","24,551,312","17,652,380","21,502,176","19,755,022"
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,"10,248,212","12,406,554","12,126,288","11,827,708","9,788,393","10,886,086","10,780,396","11,151,061","8,859,101","8,450,456","7,730,511","9,690,704"
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,"2,327,400","2,906,182","2,902,304","2,910,407","1,991,224","2,252,457","1,851,294","2,381,916","1,627,389","1,733,663","1,694,306","2,284,940"
1-palmitoyl-2-linolenoyl-GPC (16:0/18:3)*,"143,746,720","133,531,584","115,871,792","159,930,304","124,359,752","114,818,280","110,760,496","139,221,504","97,291,728","127,330,160","86,103,320","146,079,888"
1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*,"46,770,980","47,987,656","46,128,008","34,771,080","45,319,576","39,918,376","42,344,712","56,758,376","13,325,348","19,608,200","48,104,272","30,337,430"
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)*,"25,254,434","19,488,856","20,223,408","23,542,380","18,014,228","14,364,179","16,145,933","18,945,810","13,628,426","15,228,314","12,238,907","12,877,073"
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),"286,365,504","302,064,064","264,118,048","322,870,240","194,754,464","167,109,296","186,903,792","196,996,928","103,236,704","157,514,720","97,423,488","134,691,264"
1-palmitoyl-2-linoleoyl-GPG (16:0/18:2),"1,998,759","2,716,761","2,486,878","2,535,548","1,543,757","1,943,092","1,655,423","2,118,516","903,898","851,033","908,945","1,127,857"
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),"1,196,132","1,448,254","1,244,362","1,709,909","958,128","881,976","718,055","871,337","584,916","434,791","425,272","662,537"
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),"1,107,028,736","1,234,295,168","1,153,708,928","1,171,735,424","1,479,755,136","1,363,314,816","1,372,977,792","1,453,054,208","1,296,711,424","1,393,031,680","1,264,033,024","1,444,105,216"
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),"43,034,760","51,396,252","46,775,552","48,261,636","62,393,712","44,235,068","57,272,124","47,732,124","39,811,212","51,968,676","41,526,560","42,478,964"
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),"4,539,588","5,910,677","5,146,493","4,630,134","4,346,797","5,100,553","4,772,608","5,223,060","4,441,544","3,761,668","3,876,337","4,952,668"
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,"226,230","248,742","202,747","229,085","213,089","216,474","203,165","195,393","185,844","144,546","116,513","147,530"
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,"96,774,512","141,411,328","118,477,832","101,608,504","92,510,448","73,574,864","84,962,032","86,627,104","72,055,368","84,661,744","71,454,808","82,962,856"
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),"28,784,682","26,654,086","27,916,736","27,747,236","37,628,812","40,186,552","40,379,556","35,498,264","44,265,444","46,726,208","55,693,432","56,331,616"
1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*,"460,479,392","411,757,184","445,521,632","406,176,992","387,146,976","346,976,928","460,030,240","443,362,368","305,294,048","269,061,952","406,658,592","303,816,512"
1-palmitoyl-GPC (16:0),"370,196,480","313,401,632","290,570,496","360,262,272","264,097,264","276,237,344","237,785,952","297,791,296","208,982,048","200,238,096","225,671,872","248,382,768"
1-palmitoyl-GPE (16:0),"50,027,624","40,555,844","33,949,652","49,284,248","33,753,104","29,294,798","26,826,820","32,199,086","19,519,616","19,315,276","17,214,568","20,680,232"
1-palmitoyl-GPG (16:0)*,"937,746","665,092","247,337","1,347,614","445,018","487,727","315,698","561,964","305,992","220,420","275,659","255,746"
1-palmitoyl-GPI (16:0)*,"7,324,254","6,230,507","1,886,014","16,700,753","4,045,946","3,302,154","2,930,834","3,721,630","2,452,902","1,955,868","1,618,058","1,852,892"
1-palmitoyl-GPS (16:0)*,"4,897,812","2,755,502","774,531","6,518,475","1,112,324","1,128,004","863,664","1,101,890","1,334,621","877,762","720,534","1,043,772"
1-palmitoylglycerol (16:0),"18,568,536","19,035,900","10,225,839","18,622,616","20,214,270","15,151,864","15,742,538","18,099,348","10,520,569","13,469,369","30,588,514","16,272,999"
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),"7,361,973","4,629,404","8,604,594","8,250,800","10,684,134","11,593,647","11,191,862","11,671,234","10,998,491","9,744,073","12,494,271","11,939,947"
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),"26,880,644","31,914,312","30,416,568","30,294,500","36,418,148","37,180,436","35,889,888","35,886,092","32,711,624","31,834,096","28,790,266","36,239,012"
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),"27,492,220","27,616,124","30,698,960","29,258,180","32,591,098","32,951,008","31,093,502","36,231,240","31,888,466","28,440,318","32,316,786","34,212,380"
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),"4,392,729","4,545,870","5,170,524","4,099,430","6,395,954","6,337,404","6,314,691","10,325,668","6,041,838","6,690,331","10,859,194","7,392,972"
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,"1,424,785,024","1,489,856,512","1,467,399,424","1,555,152,256","1,210,443,904","1,240,161,408","1,323,208,832","1,193,232,896","1,078,517,632","1,310,847,488","1,218,538,880","1,272,378,240"
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,"291,663,360","293,584,768","241,384,464","320,577,632","225,376,320","208,800,032","248,149,632","235,495,696","168,223,568","225,673,584","138,199,536","213,786,208"
1-stearoyl-2-oleoyl-GPC (18:0/18:1),"149,902,544","183,107,072","174,636,000","166,782,592","235,671,328","222,797,024","239,400,352","225,980,896","196,032,128","218,353,280","240,789,632","257,611,584"
1-stearoyl-2-oleoyl-GPE (18:0/18:1),"16,015,786","19,233,478","16,556,750","18,767,972","23,369,928","16,736,549","20,789,522","20,149,336","16,316,107","19,442,200","18,050,360","19,417,202"
1-stearoyl-GPC (18:0),"154,795,648","144,155,936","140,852,976","162,749,968","162,049,728","168,137,600","165,426,864","170,923,200","114,019,576","128,649,352","152,190,240","152,206,160"
1-stearoyl-GPE (18:0),"48,927,348","41,995,480","36,597,064","53,823,388","45,601,304","39,523,888","34,606,144","46,093,372","26,956,362","23,721,374","18,800,896","29,360,124"
1-stearoyl-GPG (18:0),"109,930",,,,"403,697","363,571","230,094","113,533",,,"95,564",
1-stearoyl-GPI (18:0),"37,118,796","24,083,398","11,432,203","75,596,096","27,984,892","31,827,948","25,440,636","21,242,788","24,267,778","15,243,821","13,514,792","14,793,398"
1-stearoyl-GPS (18:0)*,"17,287,146","8,052,741","2,722,556","20,234,612","5,711,082","6,332,988","5,411,716","4,619,768","6,905,513","4,429,563","3,519,267","4,930,714"
10-heptadecenoate (17:1n7),"35,216,848","39,092,208","20,826,594","36,459,712","48,578,220","32,544,796","43,377,728","39,286,440","44,202,480","19,380,924","57,475,608","19,664,904"
10-nonadecenoate (19:1n9),"12,853,439","11,703,223","7,049,881","10,915,510","13,163,150","9,918,636","11,855,608","10,096,043","13,012,533","6,131,309","20,878,024","6,948,944"
10-undecenoate (11:1n1),"231,590","258,425","225,264","174,292","248,617","268,730","358,101","151,971","271,325","273,298","310,907","370,785"
"12,13-DiHOME","1,851,029","1,174,115","2,325,245","1,230,840","1,092,407","526,612","962,826","556,097","664,128","323,951","1,018,679","604,614"
13-HODE + 9-HODE,"44,184,828","28,233,068","39,760,996","34,998,576","12,206,267","7,219,235","14,041,453","7,637,777","9,478,963","3,455,756","13,059,329","5,209,658"
15-methylpalmitate,"9,591,465","9,391,197","6,782,402","11,204,251","17,681,848","10,482,515","12,249,436","12,414,770","13,846,343","8,988,545","18,572,910","9,529,921"
16-hydroxypalmitate,"1,769,994","2,302,195","2,109,960","1,962,996","1,256,411","1,029,078","1,191,045","1,031,932","1,155,360","1,059,911","1,263,927","1,345,835"
17-methylstearate,"2,142,369","2,299,792","1,351,011","3,367,587","2,769,418","2,202,001","1,911,275","1,739,069","2,314,907","1,564,224","3,371,589","1,404,578"
2'-deoxyadenosine 5'-monophosphate,"88,568","73,996","76,496","101,358","113,404","90,005","68,805","98,243","124,423","123,432","66,897","135,483"
2'-deoxycytidine,"1,870,835","1,523,286","1,772,355","1,244,277","1,298,121","1,330,050","1,537,802","1,536,661","1,303,219","1,486,581","1,303,174","1,473,788"
2'-deoxycytidine 5'-monophosphate,"1,206,520","731,030","1,058,777","1,112,088","1,146,364","1,104,667","1,189,654","1,166,998","998,639","1,063,914","1,041,198","1,231,898"
2'-deoxyguanosine,"115,679","124,860","104,896","78,224","136,998","84,010","100,053","119,588","112,114","78,572","87,849","72,738"
2'-deoxyinosine,"212,932","172,329","247,020","163,074","119,863","145,792","121,541","149,631","116,931","125,850","111,104","167,590"
2-aminoadipate,"85,241,320","97,542,064","146,232,240","62,277,516","170,622,256","254,547,968","552,141,312","129,019,832","505,292,992","437,709,920","452,976,896","580,318,464"
2-aminobutyrate,"80,038,216","64,901,948","66,187,436","81,468,696","125,389,624","117,034,016","125,109,552","91,316,096","114,097,576","118,878,544","99,192,352","112,074,760"
2-aminoheptanoate,"3,434,000","2,119,441","2,639,270","4,896,661","896,872","691,686","1,076,744","1,258,000","750,554","723,825","1,040,574","1,114,251"
2-aminooctanoate,"83,847","209,681","142,172","89,626","193,838","118,742","123,213","115,899","111,571","134,117",,"130,581"
2-arachidonoylglycerol (20:4),"1,329,217","569,098","390,850","1,320,095","715,926","628,624","662,438","694,810","705,599","731,679","1,844,008","894,388"
2-docosahexaenoylglycerol (22:6)*,"513,769","528,280","233,608","645,424","457,657","315,103","457,756","392,005","279,640","367,266","1,089,481","500,126"
2-hydroxy-3-methylvalerate,"61,165",,,"46,631","115,808","261,907","136,466","137,380","47,422",,"73,162","91,989"
2-hydroxyadipate,,"506,316",,"508,321","1,030,444",,"1,194,238","407,943","958,530","1,118,638",,"1,126,277"
2-hydroxybutyrate/2-hydroxyisobutyrate,"8,364,923","8,342,596","8,304,643","5,840,171","17,627,514","17,936,326","21,719,936","16,014,403","19,036,692","17,576,978","17,606,872","18,933,932"
2-hydroxyglutarate,"16,318,927","14,284,052","9,115,832","5,248,257","14,225,481","2,314,150","15,461,912","23,297,428","3,102,161","20,745,144","28,568,352","10,537,569"
2-hydroxystearate,"1,764,001","2,141,499","1,573,241","4,789,196","2,712,960","2,253,374","1,958,782","2,311,965","3,025,829",,"1,283,353","2,145,040"
2-linoleoylglycerol (18:2),"29,114,252","12,840,503","9,646,078","28,773,196","16,405,696","14,148,584","17,138,284","16,584,042","8,518,461","8,956,469","28,778,180","9,786,382"
2-methylbutyrylcarnitine (C5),"5,666,224","2,173,137","3,070,932","2,056,433","2,131,592","5,038,595","5,022,509","2,402,802","2,905,895","4,297,760","7,090,144","1,984,243"
2-methylbutyrylglycine,"6,003,991","2,330,525","3,673,942","5,221,172","6,772,343","3,275,655","3,751,352","3,848,743","2,716,665","2,932,934","3,152,147","2,155,763"
2-methylcitrate/homocitrate,"445,929","445,247","407,536","607,676","791,288","453,712","416,873","519,681","494,960","550,531","579,829","690,479"
2-oleoylglycerol (18:1),"19,291,512","10,184,596","6,691,579","13,833,972","22,900,968","22,199,688","20,789,104","26,558,820","17,380,144","17,608,414","53,392,176","20,513,574"
2-palmitoleoyl-GPC (16:1)*,"988,508","2,216,505","1,627,112","963,316","998,451","980,930","747,379","1,098,287","554,111","534,295","489,490","701,519"
2-palmitoleoylglycerol (16:1)*,"829,151","953,142",,"2,003,039","595,506","558,854","647,633","623,793","568,713","604,904","1,411,865",
2-palmitoyl-GPC (16:0)*,"5,299,064","4,534,666","2,741,296","8,421,655","3,434,889","4,022,814","3,639,310","3,028,404","3,411,523","3,530,234","4,201,358","3,814,249"
2-palmitoylglycerol (16:0),"7,334,981","4,004,519","3,372,094","3,064,774","4,403,532","2,813,424","4,026,615",,"3,853,645","5,294,168","10,241,988","10,405,934"
2-phosphoglycerate,"1,489,535","415,514","452,190","205,483","287,628","996,421","1,064,160","1,156,412","298,068","482,829","412,056","747,044"
2-stearoyl-GPE (18:0)*,"2,547,604","1,164,496","972,492","4,229,826","3,147,727","3,495,636","2,565,187","1,571,218","1,765,048","1,806,998","1,533,144","1,712,759"
3'-dephosphocoenzyme A,"883,330","2,227,254","2,208,474","921,033","1,797,929","2,147,260","2,045,068","1,801,546","1,439,472","1,388,915","1,485,792","1,707,018"
3-(4-hydroxyphenyl)lactate,"3,014,573","4,397,852","3,897,218","2,781,393","3,808,917","5,390,506","3,039,713","4,632,849","3,427,273","3,778,943","3,103,176","4,103,065"
3-aminoisobutyrate,"19,551,504","12,501,330","16,036,393","13,158,794","21,236,580","12,604,839","17,999,238","14,879,531","16,347,026","15,049,833","15,926,992","15,326,929"
3-hydroxy-3-methylglutarate,"4,370,503","2,760,467","2,666,414","6,010,639","13,636,020","3,873,303","3,046,674","4,762,452","2,129,170","2,835,485","3,468,050","3,762,513"
3-hydroxybutyrate (BHBA),"8,536,092","6,991,291","7,192,684","8,575,268","38,199,032","19,253,372","13,163,099","13,680,936","10,202,916","11,263,650","12,921,129","9,055,535"
3-hydroxybutyrylcarnitine (1),"24,161,988","24,517,218","27,770,480","16,231,998","50,633,520","52,587,496","39,305,480","25,033,930","17,178,182","24,786,286","32,279,560","21,587,278"
3-hydroxybutyrylcarnitine (2),"15,494,201","15,515,500","19,691,000","7,404,109","11,870,704","16,050,613","17,593,600","6,089,192","14,572,586","19,017,870","31,658,728","15,399,131"
3-hydroxyisobutyrate,"1,545,110","603,520","824,906","780,295","1,235,385","2,404,838","1,991,119","1,766,150","1,796,092","2,485,059","1,472,582","1,598,426"
3-hydroxymyristate,"1,648,542","792,218","894,732","839,959","1,073,382","1,106,776","1,084,553","952,432","1,213,280","1,262,573","1,319,108","1,110,595"
3-hydroxyoctanoate,"180,564","192,203","182,557","210,653",,"110,289",,,"396,521","113,045","129,203","118,506"
3-hydroxypalmitate,"4,832,950",,"1,948,770","8,124,794",,"3,171,918","3,813,166","3,708,375","9,905,394","9,552,163","3,995,125","4,236,535"
3-indoxyl sulfate,"708,614","312,787","423,752","457,264","696,024","358,195","496,260","224,763","210,440","369,296","643,645","312,509"
3-methylcytidine,"1,629,673","833,403","1,685,062","1,878,574","2,354,639","3,057,395","2,578,765","3,181,782","1,686,420","1,229,689","965,902","1,851,126"
3-methylhistidine,"60,217",,,"39,634","55,892","52,417","51,470","47,608","55,560",,"71,079",
3-phosphoglycerate,"1,393,375","586,125","151,943","342,817","917,780","1,588,085","1,098,673","2,091,962","409,142","706,037","545,248","1,123,625"
3-ureidopropionate,"27,606,036","4,821,777","7,066,017","9,708,669","66,229,692","26,468,820","78,875,448","50,046,588","43,743,604","69,705,464","75,873,440","59,557,256"
4-ethylphenylsulfate,"512,400","510,692","580,803","373,239",,"35,195",,"22,516",,,,
