Sample,ND_Veh_1,ND_Veh_2,ND_Veh_3,ND_Veh_4,HFD_Veh_1,HFD_Veh_2,HFD_Veh_3,HFD_Veh_4,HFD_Tx_1,HFD_Tx_2,HFD_Tx_3,HFD_Tx_4,Bsl_1,Bsl_2,Bsl_3,Bsl_4
Label,0,0,0,0,1,1,1,1,2,2,2,2,4,4,4,4
"1,2-dilinoleoyl-GPC (18:2/18:2)","279,265,568","296,465,792","240,899,520","229,560,688","199,720,688","149,474,528","229,702,528","168,998,016","239,706,304","247,097,424","157,084,288","264,475,296","90,372,672","129,974,032","110,351,704","167,137,872"
"1,2-dioleoyl-GPC (18:1/18:1)*","57,170,084","71,839,144","90,207,352","72,122,032","168,302,816","108,433,440","148,306,864","128,727,648","165,009,872","159,204,528","138,001,280","165,996,336","35,354,112","53,807,220","47,199,772","60,695,268"
"1,2-dioleoyl-GPE (18:1/18:1)","683,489","963,765","763,540","644,133","2,098,139","854,084","1,781,247","1,416,545","2,346,888","2,093,236","1,343,519","2,736,662","228,122","428,731","187,530","425,236"
"1,2-dipalmitoyl-GPC (16:0/16:0)","85,371,152","80,011,464","81,787,848","87,061,656","108,374,376","92,648,192","92,166,088","96,102,280","117,173,920","118,523,552","108,696,320","114,066,648","79,170,928","72,947,528","72,291,648","82,523,704"
"1,2-distearoyl-GPC (18:0/18:0)","6,241,768","5,552,510","5,319,363","5,567,101","11,834,677","14,952,917","15,954,212","15,053,843","12,299,958","11,502,500","13,257,074","12,239,990","3,153,970","3,276,830","3,496,081","4,994,349"
"1,5-anhydroglucitol (1,5-AG)","73,087,648","67,467,424","74,926,408","70,302,736","35,211,288","37,541,112","35,412,968","37,959,304","39,378,584","38,621,324","39,639,480","39,480,296","49,023,308","48,272,240","52,013,064","64,057,484"
1-(1-enyl-oleoyl)-GPE (P-18:1)*,"2,319,599","1,766,130","2,063,355","1,356,937","1,937,469","2,109,320","2,123,296","2,996,087","2,800,912","1,613,126","1,571,373","1,888,984","424,121","418,015","258,412","585,628"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,"15,436,051","12,136,107","14,406,550","14,214,602","32,091,768","23,548,492","28,007,504","22,899,948","21,893,590","18,103,732","20,055,730","19,651,604","9,007,695","8,978,910","9,114,460","10,499,559"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,"15,015,307","11,997,336","13,239,228","10,936,421","25,468,556","18,906,604","22,782,614","21,852,292","20,086,920","19,747,844","16,033,885","19,473,240","7,482,888","8,170,496","7,091,490","9,644,092"
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,"11,655,689","9,126,249","9,649,923","9,485,854","14,358,538","8,872,887","12,193,538","8,713,189","8,151,047","8,033,352","7,349,292","8,655,643","4,748,398","6,261,442","5,868,731","7,403,024"
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,"3,326,802","2,677,143","2,684,927","2,922,853","2,558,193","1,455,972","2,245,155","1,771,967","1,340,197","1,962,800","1,349,864","1,983,404","1,099,203","2,099,021","1,352,203","2,045,312"
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,"2,636,825","2,204,831","2,492,584","2,358,266","5,015,152","4,563,791","5,193,567","4,182,435","3,644,597","3,464,516","3,688,032","3,710,413","1,605,585","1,460,146","1,371,403","1,896,411"
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,"1,355,135","1,101,533","1,151,108","826,676","2,231,406","1,320,810","1,850,048",,"883,384","1,423,811","1,355,783","1,486,834","556,423","734,637","572,508","1,258,670"
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,,"151,830",,"330,772","486,488",,"284,715",,"365,281",,,"363,386",,"179,382",,
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,"3,597,893","3,009,321","3,368,783","3,018,540","6,616,235","5,950,586","6,622,485","5,605,342","6,605,334","8,150,532","5,886,059","6,573,068","2,025,116","1,836,540","1,910,993","2,249,584"
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,"2,908,015","2,535,825","2,676,603","2,759,400","3,367,403","3,549,824","3,849,776","3,038,378","2,209,653","2,064,788","2,158,273","2,109,016","1,487,783","1,747,877","1,627,875","1,985,290"
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,"4,537,829","4,008,655","4,439,660","3,720,809","4,213,412","4,636,348","4,861,285","5,413,573","4,800,438","3,318,477","3,525,875","3,413,162","1,743,355","1,636,003","1,110,560","1,985,485"
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,"19,023,248","14,871,595","15,062,525","13,805,207","36,545,216","30,424,108","36,240,376","34,245,224","31,959,258","33,983,856","28,921,132","29,332,340","8,666,767","10,060,105","8,853,362","11,897,634"
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,"6,523,087","5,775,788","5,395,787","4,912,256","6,626,298","3,725,716","5,964,599","5,244,819","3,577,080","4,554,350","3,763,558","4,342,796","1,948,975","3,281,658","2,784,026","3,674,885"
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),"808,124","550,057","572,686","500,832","2,096,397","1,325,985","1,618,374","1,500,398","1,424,545","1,577,662","1,325,193","1,787,541","185,613","350,048","203,989","381,880"
1-(1-enyl-stearoyl)-GPE (P-18:0)*,"1,448,703","1,105,245","1,049,995","957,423","1,711,728","2,047,973","2,908,563","3,027,345","2,362,542","1,742,917","1,867,519","2,283,072","533,290","751,285","435,000","697,946"
1-(3-aminopropyl)-2-pyrrolidone,"2,809,253","1,749,671","2,098,434","3,075,992","6,395,570","4,325,158","2,533,808","3,413,577","1,878,304","3,950,914","2,478,335","1,188,630","1,294,048","1,563,665","1,531,205","2,998,515"
1-arachidonoyl-GPA (20:4),"489,059","540,610","332,546","470,091","713,067","825,900","1,168,396","889,683","784,625","699,445","1,132,771","687,335","271,736","190,578","232,935","436,263"
1-arachidonoyl-GPC (20:4)*,"583,447,296","517,366,784","480,349,312","554,126,848","835,488,128","865,571,840","963,797,504","1,008,823,872","1,045,602,240","848,393,280","1,214,583,424","1,065,566,720","413,167,360","385,717,248","418,643,872","515,102,464"
1-arachidonoyl-GPE (20:4)*,"80,505,872","86,205,088","79,150,768","93,906,760","96,479,248","106,631,536","128,101,712","142,675,328","101,284,728","81,229,632","118,760,048","110,410,832","54,356,592","58,902,984","59,924,756","73,086,752"
