Sample,201,203,204,206,207,208,209,243,213,215,217,218
Label,ND_Veh,ND_Veh,ND_Veh,ND_Veh,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Tx,HFD_Tx,HFD_Tx,HFD_Tx
"1,2-dilinoleoyl-GPC (18:2/18:2)","32,115,680","23,411,206","27,184,488","33,082,252","6,959,785","6,426,450","7,345,000","9,843,078","7,258,798","9,286,538","8,106,757","9,917,901"
"1,2-dioleoyl-GPC (18:1/18:1)*","132,741,768","94,652,480","33,720,400","100,215,360","15,195,066","14,280,182","15,940,232","18,088,672","114,514,272","24,566,752","84,853,176","96,660,232"
"1,2-dioleoyl-GPE (18:1/18:1)","23,191,172","17,260,656","13,910,642","20,636,596","7,420,265","6,666,161","6,518,864","9,541,907","18,461,024","16,529,866","24,078,552","23,831,892"
"1,2-dipalmitoyl-GPC (16:0/16:0)","219,913,136","191,033,744","135,357,392","174,395,824","40,214,876","25,662,664","28,787,720","36,128,764","132,814,000","40,389,620","125,729,120","123,381,808"
"1,2-distearoyl-GPC (18:0/18:0)","92,410,976","76,396,280","1,385,069","46,334,876","607,352","403,157","434,891","764,064","73,913,304","442,321","38,667,672","53,887,028"
"1,5-anhydroglucitol (1,5-AG)","3,110,843","2,566,371","1,483,537","2,527,224","467,242","184,221","378,080","283,684","1,185,180","582,061","1,028,155","1,112,062"
1-(1-enyl-oleoyl)-GPE (P-18:1)*,"1,737,579","1,442,381","270,504","1,201,991","38,229",,"140,834","111,819","5,181,594","188,809","1,095,499","1,387,355"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,"55,849,312","35,855,000","4,523,318","29,433,274","2,210,494","1,609,184","1,434,169","2,210,298","32,286,848","2,404,440","27,964,836","25,583,442"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,"117,198,440","95,530,000","31,800,634","95,454,616","38,305,088","32,818,548","32,487,524","35,993,256","77,994,264","44,268,240","91,895,800","85,158,312"
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,"3,776,652","3,293,813",,"2,862,222","101,270","74,732","217,925","203,890","2,631,263","207,388","1,684,622","2,159,104"
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,"6,662,850","7,254,941","6,868,615","9,305,089","3,407,099","3,507,335","5,038,771","3,635,278","3,293,222","4,407,385","4,552,196","5,086,566"
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,"15,134,026","16,427,810","5,059,961","11,936,744",,,,"129,475","11,144,210","100,860","9,652,163","7,600,146"
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,"27,787,892","26,757,446","29,891,154","32,196,980","5,562,256","4,926,729","8,852,456","6,584,362","17,915,048","9,859,764","25,063,936","16,784,752"
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,"4,310,274","5,647,723","292,327","2,820,787",,,,,"3,476,386",,"2,783,524","2,101,567"
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,"4,940,681","5,781,769","2,466,629","4,004,812","354,133","224,026","483,346","360,148","2,869,127","505,287","2,639,445","2,599,048"
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,"3,236,201","2,468,275","541,304","1,709,413",,,,,"2,545,960",,"1,361,823","1,401,868"
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,"8,914,053","7,563,662","3,894,833","7,437,632","1,364,040","688,942","1,151,854","742,049","6,244,779","1,373,018","4,834,657","4,729,698"
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,"168,867,712","126,762,888","12,699,497","120,483,760","17,147,964","13,888,464","13,881,180","16,440,777","128,864,080","18,115,000","118,679,944","113,176,648"
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,"4,550,072","3,836,928","2,380,275","4,842,463","1,359,424","1,155,549","1,452,505","1,479,845","2,000,337","1,517,205","2,830,425","3,432,827"
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),"12,415,182","8,551,091","1,832,366","7,911,057","1,166,501","751,854",,"1,139,598","7,923,673","1,738,610","6,913,014","7,060,490"
1-(1-enyl-stearoyl)-GPE (P-18:0)*,"3,479,968","2,296,250","237,403","2,081,224","85,163",,"116,638","222,899","7,911,004","154,775","2,071,236","2,282,940"
1-(3-aminopropyl)-2-pyrrolidone,"521,077",,"96,400","101,732","456,379",,,,,,,
1-arachidonoyl-GPC (20:4)*,"13,276,315","8,498,314","2,303,008","8,557,493","2,012,694","1,243,938","3,166,547","10,212,200","12,292,828","1,854,488","5,737,801","7,153,831"
1-arachidonoyl-GPE (20:4)*,"21,513,462","12,097,709","3,432,893","12,946,004","1,839,797","1,580,163","2,032,694","3,479,229","12,129,279","3,297,606","6,922,750","10,782,982"
