Metabolites,q-value
glycine,0.3886
N-acetylglycine,0.096
sarcosine (N-Methylglycine),0.3453
dimethylglycine,0.4356
betaine,0.1604
serine,0.4087
N-acetylserine,0.1211
threonine,0.1237
N-acetylthreonine,0.4105
alanine,0.1458
N-acetylalanine,0.1174
aspartate,0.2712
asparagine,0.2963
N-acetylasparagine,0.2742
N-acetylaspartate (NAA),0.5087
N-methylalanine,0.4836
glutamate,0.2197
glutamine,0.3708
N-acetylglutamate,0.2944
N-acetylglutamine,0.3928
N-acetyl-aspartyl-glutamate (NAAG),0.4384
gamma-aminobutyrate (GABA),0.4044
pyroglutamine*,0.1941
S-1-pyrroline-5-carboxylate,0.441
histidine,0.0835
N-acetylhistidine,0.1799
1-methylhistidine,0.1883
3-methylhistidine,0.3251
N-acetyl-3-methylhistidine*,0.2108
N-acetyl-1-methylhistidine*,0.1211
trans-urocanate,0.352
cis-urocanate,0.3886
imidazole propionate,0.2722
imidazole lactate,0.3184
histamine,0.3184
1-methylimidazoleacetate,0.2355
4-imidazoleacetate,0.3439
lysine,0.2197
N6-acetyllysine,0.4511
"N6,N6,N6-trimethyllysine",0.1108
5-hydroxylysine,0.4521
2-aminoadipate,0.3509
2-oxoadipate,0.4349
glutarate (pentanedioate),0.2747
glutarylcarnitine (C5),0.1211
pipecolate,0.1212
"N2,N6-diacetyllysine",0.0835
6-oxopiperidine-2-carboxylic acid,0.3358
phenylalanine,0.1934
N-acetylphenylalanine,0.4712
phenylpyruvate,0.0747
phenyllactate (PLA),0.2092
phenylacetate,0.3886
phenylacetylglycine,0.4541
tyrosine,0.3596
N-acetyltyrosine,0.3904
4-hydroxycinnamate,0.1886
4-hydroxyphenylpyruvate,0.0835
3-(4-hydroxyphenyl)lactate,0.4075
homogentisate,0.3127
phenol sulfate,0.1642
p-cresol sulfate,0.1728
3-methoxytyrosine,0.1239
phenylpropionylglycine,0.1436
3-(3-hydroxyphenyl)propionate sulfate,0.269
3-phenylpropionate (hydrocinnamate),0.2871
thyroxine,0.1275
2-hydroxyphenylacetate,0.2187
p-cresol-glucuronide*,0.4511
4-hydroxycinnamate sulfate,0.1883
3-hydroxyphenylacetate sulfate,
tryptophan,0.3708
N-acetyltryptophan,0.1642
indolelactate,0.2642
indoleacetate,0.4669
indolepropionate,0.4829
3-indoxyl sulfate,0.2742
kynurenine,0.5075
kynurenate,0.3568
anthranilate,0.507
xanthurenate,0.4295
picolinate,0.4793
5-hydroxyindoleacetate,0.1883
serotonin,0.2108
indole-3-carboxylic acid,0.1883
C-glycosyltryptophan,0.507
N-acetylkynurenine (2),0.4105
leucine,0.5089
N-acetylleucine,0.3258
4-methyl-2-oxopentanoate,0.4826
isovalerylglycine,0.4037
isovalerylcarnitine,0.1642
beta-hydroxyisovaleroylcarnitine,0.3708
3-methylglutaconate,0.3453
alpha-hydroxyisovalerate,0.1237
methylsuccinate,0.1799
isoleucine,0.3184
N-acetylisoleucine,0.4899
3-methyl-2-oxovalerate,0.507
2-methylbutyrylcarnitine (C5),0.4306
2-methylbutyrylglycine,0.422
tiglylcarnitine,0.4698
tigloylglycine,0.1239
2-hydroxy-3-methylvalerate,0.0929
3-hydroxy-2-ethylpropionate,0.1728
ethylmalonate,0.0618
valine,0.3535
N-acetylvaline,0.3127
