,Fold Change,log2(FC)
glycerophosphoinositol*,76.151,6.2508
kynurenine,27.807,4.7974
betaine,24.334,4.6049
"1,2-distearoyl-GPC",19.56,4.2899
dehydroascorbate,12.802,3.6783
betaine aldehyde,9.6766,3.2745
pipecolate,9.3476,3.2246
methionine sulfoxide,9.2373,3.2075
orotate,8.7413,3.1279
hypotaurine,8.4718,3.0827
cysteine sulfinic acid,8.4005,3.0705
orotidine,8.3501,3.0618
cysteine,7.5865,2.9234
1-stearoyl-GPI,7.0852,2.8248
2-aminoadipate,6.9588,2.7988
5-methylthioadenosine,5.6021,2.486
glutarate,5.5628,2.4758
3-methylhistidine,5.3802,2.4277
argininosuccinate,5.0769,2.3439
1-stearoyl-GPS,4.9239,2.2998
dimethylarginine,4.7787,2.2566
pyridoxal,4.7652,2.2525
1-(1-enyl-stearoyl)-GPE,4.4165,2.1429
5-oxoproline,4.3522,2.1218
3-phosphoglycerate,4.1527,2.054
N-acetylneuraminate,3.6987,1.887
pyridoxamine phosphate,3.684,1.8813
phosphoenolpyruvate,3.6124,1.8529
"glutamate, gamma-methyl ester",3.5627,1.833
gamma-carboxyglutamate,3.4644,1.7926
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC,3.2418,1.6968
hypoxanthine,3.2099,1.6825
citrate,3.1635,1.6615
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC,3.1172,1.6403
1-(1-enyl-oleoyl)-GPE,2.9862,1.5783
putrescine,2.9405,1.5561
N-acetylmethionine,2.8664,1.5192
glycosyl-N-palmitoyl-sphingosine,2.8371,1.5044
1-methylhistidine,2.7843,1.4773
cytidine,2.7307,1.4493
glycine,2.7287,1.4482
N6-succinyladenosine,2.636,1.3983
histidine,2.6246,1.3921
dihydroxyacetone,2.5886,1.3722
adenine,2.5366,1.3429
sphingomyelin,2.4254,1.2782
1-(1-enyl-palmitoyl)-2-oleoyl-GPC,2.4037,1.2653
uridine,2.3486,1.2318
stearoylcarnitine,2.334,1.2228
threonine,2.2568,1.1743
12-HETE,2.2513,1.1708
oleamide,2.2339,1.1596
UDP-N-acetylgalactosamine,2.2285,1.156
1-palmitoyl-2-oleoyl-GPG,2.2107,1.1445
S-adenosylhomocysteine,2.1716,1.1187
inosine,2.159,1.1104
1-palmitoyl-2-stearoyl-GPC,2.0881,1.0622
"N6,N6,N6-trimethyllysine",2.058,1.0413
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",2.0152,1.0109
glycerate,2.0063,1.0045
1-stearoyl-2-arachidonoyl-GPC,2.002,1.0015
lysine,1.9837,0.98818
erythronate*,1.9663,0.9755
butyrylcarnitine,1.9635,0.97341
N-acetylasparagine,1.9006,0.92649
xanthine,1.8961,0.92301
valine,1.8764,0.90794
1-stearoyl-2-oleoyl-GPC,1.8739,0.90606
guanine,1.8478,0.88584
asparagine,1.8286,0.87075
N-acetylalanine,1.8143,0.85941
4-hydroxy-nonenal-glutathione,1.8107,0.85654
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC,1.7848,0.83578
mannose,1.7792,0.83127
phenylalanine,1.7692,0.8231
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE,1.7586,0.81439
alpha-hydroxyisovalerate,1.7363,0.79602
tyrosine,1.7256,0.7871
methylphosphate,1.7235,0.78535
myo-inositol,1.7202,0.78255
1-arachidonoyl-GPI,1.7089,0.77308
sarcosine,1.6981,0.76394
glutamine,1.6888,0.75602
glycerol 3-phosphate,1.6844,0.7522
1-stearoyl-2-oleoyl-GPS,1.6838,0.75168
flavin adenine dinucleotide,1.6781,0.74679
gamma-aminobutyrate,1.6757,0.74474
UDP-N-acetylglucosamine,1.6695,0.73943
N-acetylserine,1.6642,0.73487
fumarate,1.6564,0.72807
arginine,1.6527,0.72486
3-(4-hydroxyphenyl)lactate,1.6195,0.69555
1-(1-enyl-stearoyl)-2-oleoyl-GPE,1.6193,0.69538
trimethylamine N-oxide,1.6001,0.67816
UDP-glucose,1.5945,0.67307
glycerophosphoglycerol,1.5577,0.63938
N2-acetyllysine/N6-acetyllysine,1.5553,0.63717
N-acetylaspartate,1.5527,0.63481
glutamate,1.5492,0.63148
choline,1.5305,0.61401
15-HETE,1.5218,0.60575
1-oleoyl-GPE,1.5203,0.60436
threonate,1.5193,0.6034
prolylglycine,1.5092,0.59376
"1,2-dioleoyl-GPC",1.5085,0.59308
gamma-glutamylvaline,1.4997,0.58464
glutarylcarnitine,1.4794,0.56501
leucine,1.4743,0.56003
cytidine 5'-diphosphocholine,1.449,0.53506
1-palmitoyl-2-arachidonoyl-GPC,1.4452,0.5313
1-palmitoyl-GPE,1.4035,0.48905
methionine,1.3976,0.48299
1-palmitoyl-2-palmitoleoyl-GPC,1.3892,0.47425
lactate,1.3785,0.46307
acetylphosphate,1.3761,0.46058
methylmalonate,1.3705,0.45473
2'-deoxycytidine,1.3613,0.44499
