Label,FC
"1,2-dilinoleoyl-GPC ",0.222693685
"1,2-dioleoyl-GPC ",0.393367389
"1,2-dioleoyl-GPE ",0.425455816
"1,2-dipalmitoyl-GPC ",0.300177064
"1,2-distearoyl-GPC ",2.351520572
"1,5-anhydroglucitol ",0.399065116
1-(1-enyl-oleoyl)-GPE ,1.037421569
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC ,0.561638825
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE ,0.268975179
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC ,0.538189321
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE ,0.213855134
1-(1-enyl-palmitoyl)-2-oleoyl-GPC ,2.467503636
1-(1-enyl-palmitoyl)-2-oleoyl-GPE ,0.321754763
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC ,2.611597374
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC ,0.415215298
1-(1-enyl-palmitoyl)-GPC ,1.224303734
1-(1-enyl-palmitoyl)-GPE ,0.376055631
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE ,0.376377613
1-(1-enyl-stearoyl)-2-linoleoyl-GPE ,0.233062994
1-(1-enyl-stearoyl)-2-oleoyl-GPE ,0.567662101
1-(1-enyl-stearoyl)-GPE ,0.943108429
1-(3-aminopropyl)-2-pyrrolidone,0.040894287
1-arachidonoyl-GPC ,0.10518833
1-arachidonoyl-GPE ,0.33160126
1-arachidonoyl-GPI ,1.060603717
1-lignoceroyl-GPC ,1
1-linolenoyl-GPC ,0.030686994
1-linoleoyl-2-arachidonoyl-GPC ,0.231052698
1-linoleoyl-GPC ,0.106157637
1-linoleoyl-GPE ,0.174318758
1-linoleoyl-GPI ,3.522682927
1-linoleoylglycerol ,0.249918801
1-methylguanidine,1
1-methylhistidine,0.514047176
1-methylimidazoleacetate,0.380337447
1-methylnicotinamide,0.186325743
1-oleoyl-2-linoleoyl-glycerol ,0.223360608
1-oleoyl-2-linoleoyl-GPC ,0.230523048
1-oleoyl-2-linoleoyl-GPE ,0.243018182
1-oleoyl-3-linoleoyl-glycerol ,0.220040204
1-oleoyl-GPC ,0.138926494
1-oleoyl-GPE ,0.435390701
1-oleoyl-GPI ,3.08972468
1-oleoyl-GPS ,1.986941581
1-oleoylglycerol ,0.395047911
1-palmitoleoyl-2-linoleoyl-GPC ,0.195573193
1-palmitoleoyl-2-oleoyl-glycerol ,0.21805735
1-palmitoleoyl-3-oleoyl-glycerol ,0.209935283
1-palmitoleoyl-GPC ,0.127623662
1-palmitoleoylglycerol ,0.178032723
1-palmitoyl-2-arachidonoyl-GPC ,0.275395132
1-palmitoyl-2-arachidonoyl-GPE ,0.175975633
1-palmitoyl-2-linoleoyl-glycerol ,0.208206774
1-palmitoyl-2-linoleoyl-GPC ,0.180746614
1-palmitoyl-2-linoleoyl-GPE ,0.187951891
1-palmitoyl-2-oleoyl-GPC ,0.300755124
1-palmitoyl-2-oleoyl-GPE ,0.281045518
1-palmitoyl-2-oleoyl-GPG ,0.454366996
1-palmitoyl-2-palmitoleoyl-GPC ,0.31345477
1-palmitoyl-2-stearoyl-GPC ,0.410849924
1-palmitoyl-3-linoleoyl-glycerol ,0.220812467
1-palmitoyl-GPC ,0.152689787
1-palmitoyl-GPE ,0.316473385
1-palmitoyl-GPG ,3.118919773
1-palmitoyl-GPI ,1.377126707
1-stearoyl-2-arachidonoyl-GPC ,0.3724148
1-stearoyl-2-arachidonoyl-GPE ,0.210455144
1-stearoyl-2-arachidonoyl-GPI ,0.104835992
1-stearoyl-2-arachidonoyl-GPS ,0.254016998
1-stearoyl-2-linoleoyl-GPC ,0.255367443
1-stearoyl-2-linoleoyl-GPE ,0.201583457
1-stearoyl-2-oleoyl-GPC ,0.420263692
1-stearoyl-2-oleoyl-GPE ,0.400418457
1-stearoyl-2-oleoyl-GPS ,0.350275898
1-stearoyl-GPC ,0.207110023
1-stearoyl-GPE ,0.313907886
1-stearoyl-GPI ,0.943827318
1-stearoyl-GPS ,0.799936422
10-heptadecenoate ,0.330277671
10-nonadecenoate ,0.347732838
"12,13-DiHOME",0.250835749
12-HETE,0.592567924
15-HETE,0.366673996
15-methylpalmitate,0.277464954
16-hydroxypalmitate,0.14322835
17-methylstearate,0.237722981
2'-deoxycytidine,0.362986537
2'-deoxyguanosine,1.767111696
2'-deoxyinosine,1.580492645
2'-deoxyuridine,0.136707194
2-aminoadipate,1.04916266
2-aminoheptanoate,0.336315075
2-aminooctanoate,0.317634983
2-hydroxy-3-methylvalerate,2.834701362
2-hydroxyadipate,2.432411156
2-hydroxybutyrate/2-hydroxyisobutyrate,0.345400268
2-hydroxyglutarate,0.199456235
2-hydroxystearate,0.30518271
2-linoleoylglycerol ,0.110877594
2-methylbutyrylcarnitine ,0.248909522
2-methylbutyrylglycine,0.340056633
2-methylcitrate/homocitrate,2.680213138
2-methylmalonyl carnitine,4.674954724
2-oleoylglycerol ,0.473378635
2-palmitoleoyl-GPC ,0.235183331
2-palmitoyl-GPC ,0.181562217
2-stearoyl-GPE ,0.308976788
3-(4-hydroxyphenyl)lactate,0.417115063
3-aminoisobutyrate,0.336865917
3-hydroxy-3-methylglutarate,0.282846863
3-hydroxybutyrate ,0.12533536
3-hydroxybutyrylcarnitine ,0.076914307
3-hydroxyisobutyrate,0.699739175
3-indoxyl sulfate,0.265574174
3-methylcytidine,1.186884648
3-methylhistidine,0.844556109
3-phosphoglycerate,0.711094401
3-ureidopropionate,0.199758659
4-cholesten-3-one,0.242045137
4-ethylphenylsulfate,0.772466072
4-guanidinobutanoate,0.237404279
4-hydroxy-nonenal-glutathione,0.32293739
4-hydroxybutyrate ,1.109800688
4-imidazoleacetate,0.326346041
4-vinylphenol sulfate,12.47284526
5-aminovalerate,1.201101322
5-dodecenoate ,0.262144311
5-hydroxylysine,1.554093836
5-methylthioadenosine ,0.822574703
5-oxoproline,0.738807875
6-oxopiperidine-2-carboxylic acid,2.320568252
6-phosphogluconate,5.240451128
7-hydroxycholesterol ,0.202032232
7-methylguanine,0.321052768
"9,10-DiHOME",0.251695716
acetylcarnitine,0.261490952
acetylphosphate,0.336011782
aconitate [cis or trans],0.231774476
adenine,0.437926522
adenosine,0.284955346
adenosine 2'-monophosphate ,1.652912511
"adenosine 3',5'-diphosphate",0.765348775
adenosine 3'-monophosphate ,0.669393054
adenosine 5'-diphosphoribose ,0.209262306
adenosine 5'-monophosphate ,0.107428207
adrenate ,0.216856124
alanine,0.253208837
allantoin,0.192959611
alpha-hydroxyisocaproate,2.631116585
alpha-hydroxyisovalerate,0.358075515
alpha-ketoglutarate,0.104931757
alpha-tocopherol,0.18904603
anserine,0.469002369
arabitol/xylitol,1.082130966
arabonate/xylonate,2.179869575
arachidate ,0.248201742
arachidonate ,0.309600821
arachidonoyl ethanolamide,0.161766926
arginine,0.392846942
argininosuccinate,0.651886792
ascorbate ,0.070344048
asparagine,0.398888386
aspartate,0.303191356
azelate ,0.174229795
behenoyl sphingomyelin ,0.274019007
beta-alanine,0.37887849
beta-guanidinopropanoate,0.195739312
beta-hydroxyisovaleroylcarnitine,0.270855144
beta-muricholate,0.007647934
betaine,3.525339301
betaine aldehyde,1.434249778
butyrylcarnitine,0.365128023
C-glycosyltryptophan,0.448810478
campesterol,1
carboxyethyl-GABA,0.414841133
carnitine,0.217898851
carnosine,0.440493574
catechol sulfate,1
cholesterol,0.160109038
choline,0.381938976
choline phosphate,0.330613143
citrate,0.520280761
citrulline,0.334349661
corticosterone,0.446788974
creatine,0.294785152
creatine phosphate,0.232970796
creatinine,0.341954793
cystathionine,2.551146257
cysteine,0.866811913
cysteine s-sulfate,1.774678327
cysteine sulfinic acid,1.789186571
cystine,3.518122854
cytidine,0.55913022
cytidine 3'-monophosphate ,0.133881666
cytidine 5'-diphosphocholine,0.272920508
cytidine 5'-monophosphate ,0.248963761
cytidine 5'-monophospho-N-acetylneuraminic acid,0.251275727
cytidine-5'-diphosphoethanolamine,0.317980219
cytosine,0.229555913
decanoylcarnitine,0.084154612
dehydroascorbate,1.861472887
deoxycarnitine,0.263953529
dihomo-linoleate ,0.363206627
dihomo-linolenate ,0.330101122
dihydoxyphenylalanine ,0.12092023
dihydroxyacetone phosphate ,0.862348849
dimethyl sulfone,0.444461201
dimethylarginine ,0.680058936
dimethylglycine,0.249302472
docosadienoate ,0.244313012
docosahexaenoate ,0.278860049
docosapentaenoate ,0.250717126
dopamine sulfate ,2.273716445
eicosapentaenoate ,0.245841633
eicosenoate ,0.309358701
equol sulfate,0.238068807
ergothioneine,0.127524426
erucate ,0.222241098
erythronate,0.371560679
ethylmalonate,0.20389761
flavin adenine dinucleotide ,0.416451613
fructose,1.09120189
fumarate,0.350168696
galactitol ,1.439440994
galactonate,1.632486779
gamma-aminobutyrate ,0.425595842
gamma-carboxyglutamate,0.980442245
gamma-glutamyl-epsilon-lysine,0.3341919
gamma-glutamylalanine,0.293634311
gamma-glutamylglutamate,0.209226651
gamma-glutamylglutamine,0.256095128
gamma-glutamylglycine,1
gamma-glutamylhistidine,3.231966591
gamma-glutamylisoleucine,0.400757571
gamma-glutamylleucine,0.238192564
gamma-glutamylphenylalanine,3.304477612
gamma-glutamylvaline,0.369071867
gamma-tocopherol/beta-tocopherol,0.270858701
gluconate,2.335990273
glucose,0.271691684
glucuronate,0.287376319
glutamate,0.300485813
"glutamate, gamma-methyl ester",0.539526695
glutamine,0.396574842
glutarate ,0.939180272
glutarylcarnitine ,1.017759044
"glutathione, oxidized ",0.649798358
"glutathione, reduced ",0.08287948
glycerate,0.409190503
glycerol,0.237961651
glycerol 3-phosphate,0.432002242
glycerophosphoethanolamine,0.193180622
glycerophosphoglycerol,0.336377964
glycerophosphoinositol,9.070215585
glycerophosphorylcholine ,0.2846792
glycine,0.470823465
glycosyl-N-palmitoyl-sphingosine,0.641782304
glycosyl-N-stearoyl-sphingosine,1.355145929
glycylleucine,0.132474792
glycylvaline,0.229287135
guanidinoacetate,0.373947486
guanidinosuccinate,0.320161052
guanine,0.49587478
guanosine,0.419826785
guanosine 5'- monophosphate ,0.188573919
gulonic acid,0.175646155
heme,0.142728918
hexadecanedioate,0.22369773
hexanoylcarnitine,0.21377153
hexanoylglycine,0.234354556
hippurate,0.300016578
histamine,0.437437198
histidine,0.484932883
homoarginine,2.354698042
homocitrulline,0.807034927
homostachydrine,0.116310438
hypotaurine,1.140271603
hypoxanthine,0.649708955
imidazole lactate,0.189528359
imidazole propionate,0.231341552
indolelactate,1.604812245
inosine,0.46977355
inosine 5'-monophosphate ,0.44511482
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",0.479191905
isobutyrylcarnitine,0.42934936
isocitrate,0.112204333
isoleucine,0.245027005
isoleucylglycine,0.273309282
isovalerylcarnitine,0.466625884
isovalerylglycine,0.259805267
kynurenate,1.671481433
kynurenine,3.77541542
lactate,0.362677232
laurylcarnitine,0.124512633
leucine,0.295965038
leucylglycine,0.443609364
linoleate ,0.290717961
linolenate [alpha or gamma; (18:3n3 or 6)],0.242762176
linoleoylcarnitine,0.229427983
lysine,0.45662763
malate,0.273892517
malonylcarnitine,0.319103979
maltose,0.150889662
maltotriose,0.159297805
mannitol/sorbitol,0.478864011
mannose,0.714425301
margarate ,0.320600739
mead acid ,0.44072219
methionine,0.355377483
methionine sulfoxide,1.165390934
methyl glucopyranoside ,0.980403753
methylmalonate ,0.383129873
methylphosphate,0.404622072
methylsuccinate,1.012461642
myo-inositol,0.322464696
myristate ,0.225552478
myristoleate ,0.231423325
myristoylcarnitine,0.149426775
N-acetyl-aspartyl-glutamate ,2.223560517
N-acetyl-beta-alanine,1.932806497
N-acetyl-glucosamine 1-phosphate,2.070759625
N-acetylalanine,0.391354818
N-acetylarginine,1.344120553
N-acetylasparagine,0.601181205
N-acetylaspartate ,0.367223256
N-acetylglucosamine 6-phosphate,1.244367832
N-acetylglutamate,0.415170975
N-acetylglutamine,0.304748683
N-acetylglycine,0.12229919
N-acetylhistidine,0.625178751
N-acetylleucine,0.204072149
N-acetylmethionine,0.530414095
N-acetylneuraminate,0.60967088
N-acetylphenylalanine,1.291056741
N-acetylputrescine,1.527099573
N-acetylserine,0.386593569
N-acetyltaurine,0.300538978
N-acetylthreonine,0.259054686
N-alpha-acetylornithine,0.705629323
N-carbamoylaspartate,1.382588085
N-delta-acetylornithine,0.306894055
N-formylmethionine,0.124903076
N-formylphenylalanine,2.013066386
N-glycolylneuraminate,0.220578718
N-methyl-4-aminobutyric acid,0.192209411
N-monomethylarginine,2.732467747
N-palmitoyl-sphinganine ,0.327244406
N-palmitoyl-sphingosine ,0.268538412
N-palmitoyltaurine,2.543186555
N-stearoyltaurine,1.814565781
N1-Methyl-2-pyridone-5-carboxamide,0.26756061
N1-methyladenosine,1.711674993
N2-acetyllysine/N6-acetyllysine,1.171455051
"N6,N6,N6-trimethyllysine",0.41935076
N6-carboxymethyllysine,1.542667509
N6-succinyladenosine,0.86572107
nicotinamide,0.259196762
nicotinamide adenine dinucleotide ,1.204953325
nicotinamide riboside,2.20313236
nonadecanoate ,0.256689607
O-sulfo-L-tyrosine,1.544324948
octanoylcarnitine,0.034458626
oleamide,0.886030838
oleate/vaccenate ,0.359388771
oleoyl ethanolamide,0.286986913
oleoylcarnitine,0.256517458
ornithine,0.280307835
orotate,53.71551724
orotidine,1.208713836
oxalate ,0.332453393
p-cresol sulfate,0.214347882
p-cresol-glucuronide,0.445597385
palmitate ,0.275945746
palmitoleate ,0.267796314
palmitoyl dihydrosphingomyelin ,0.287578008
palmitoyl ethanolamide,0.231213756
palmitoyl sphingomyelin ,0.303980596
palmitoylcarnitine,0.198527877
pantothenate,0.176275673
phenol sulfate,0.932062914
phenylacetylglycine,0.310550578
phenylalanine,0.398970913
phenylalanylglycine,0.188831025
phenyllactate ,0.175148697
phosphate,0.327198192
phosphoenolpyruvate ,0.695918517
phosphoethanolamine,0.266863095
phosphopantetheine,0.119357247
pipecolate,1.255109856
pro-hydroxy-pro,0.322595343
proline,0.350401545
prolylglycine,0.247055828
propionylcarnitine,0.235395189
pseudouridine,0.197956188
putrescine,0.554297783
pyridoxal,0.822525465
pyridoxamine,0.558623923
