Metabolites,q-value
glycine,0.0111
N-acetylglycine,0.0791
sarcosine (N-Methylglycine),0.0188
dimethylglycine,0.0141
betaine,0.0108
betaine aldehyde,0.0108
serine,0.0108
N-acetylserine,0.0108
threonine,0.0108
N-acetylthreonine,0.0108
alanine,0.0108
N-acetylalanine,0.0108
aspartate,0.0111
asparagine,0.0108
N-acetylasparagine,0.0108
N-acetylaspartate (NAA),0.0108
glutamate,0.0118
glutamine,0.0108
N-acetylglutamate,0.0172
N-acetylglutamine,0.0131
N-acetyl-aspartyl-glutamate (NAAG),0.0398
gamma-aminobutyrate (GABA),0.0108
carboxyethyl-GABA,0.0126
"glutamate, gamma-methyl ester",0.0131
pyroglutamine*,0.0485
N-methyl-4-aminobutyric acid,0.0402
gamma-carboxyglutamate,0.0108
histidine,0.0108
N-acetylhistidine,0.0108
1-methylhistidine,0.0108
3-methylhistidine,0.0108
trans-urocanate,0.0804
imidazole propionate,0.0512
imidazole lactate,0.0263
histamine,0.0121
1-methylimidazoleacetate,0.0108
4-imidazoleacetate,0.0304
lysine,0.0108
N2-acetyllysine/N6-acetyllysine,0.0108
"N6,N6,N6-trimethyllysine",0.0108
5-hydroxylysine,0.0227
saccharopine,0.0114
2-aminoadipate,0.0108
glutarate (pentanedioate),0.0108
glutarylcarnitine (C5),0.0121
pipecolate,0.0114
5-aminovalerate,0.0280
6-oxopiperidine-2-carboxylic acid,0.0122
phenylalanine,0.0108
N-acetylphenylalanine,0.0386
phenyllactate (PLA),0.0254
phenylacetylglycine,0.0117
tyrosine,0.0108
3-(4-hydroxyphenyl)lactate,0.0108
phenol sulfate,0.0116
p-cresol sulfate,0.0151
dihydoxyphenylalanine (L-DOPA),0.0142
dopamine sulfate (2),0.0132
p-cresol-glucuronide*,0.0108
N-formylphenylalanine,0.0227
tryptophan,0.0235
indolelactate,0.0108
3-indoxyl sulfate,0.0253
kynurenine,0.0108
kynurenate,0.0235
C-glycosyltryptophan,0.0108
leucine,0.0111
N-acetylleucine,0.0169
isovalerylglycine,0.0808
isovalerylcarnitine,0.0108
beta-hydroxyisovaleroylcarnitine,0.0108
alpha-hydroxyisovalerate,0.0110
methylsuccinate,0.0250
isoleucine,0.0118
2-methylbutyrylcarnitine (C5),0.0108
2-methylbutyrylglycine,0.0415
tiglylcarnitine,0.0227
2-hydroxy-3-methylvalerate,0.0124
ethylmalonate,0.0115
valine,0.0108
isobutyrylcarnitine,0.0108
3-hydroxyisobutyrate,0.0121
alpha-hydroxyisocaproate,0.0124
methionine,0.0108
N-acetylmethionine,0.0108
N-formylmethionine,0.0118
methionine sulfoxide,0.0108
S-adenosylmethionine (SAM),0.0114
S-adenosylhomocysteine (SAH),0.0108
cystathionine,0.0252
cysteine,0.0133
cystine,0.0114
cysteine s-sulfate,0.0227
cysteine sulfinic acid,0.0108
hypotaurine,0.0108
taurine,0.0108
N-acetyltaurine,0.0108
taurocyamine,0.0422
2-hydroxybutyrate/2-hydroxyisobutyrate,0.0108
arginine,0.0108
urea,0.0108
ornithine,0.0121
proline,0.0108
citrulline,0.0108
argininosuccinate,0.0124
homoarginine,0.0131
homocitrulline,0.0108
dimethylarginine (SDMA + ADMA),0.0108
N-acetylarginine,0.0279
N-delta-acetylornithine,0.0163
N-alpha-acetylornithine,0.0131
trans-4-hydroxyproline,0.0117
pro-hydroxy-pro,0.0144
N-monomethylarginine,0.0114
creatine,0.0142
creatinine,0.0108
creatine phosphate,0.0770
guanidinoacetate,0.0108
putrescine,0.0108
spermidine,0.0108
5-methylthioadenosine (MTA),0.0108
N-acetylputrescine,0.0128
1-methylguanidine,
4-guanidinobutanoate,0.0111
guanidinosuccinate,0.0227
"glutathione, reduced (GSH)",0.0117
"glutathione, oxidized (GSSG)",0.0255
5-oxoproline,0.0108
4-hydroxy-nonenal-glutathione,0.0239
gamma-glutamylalanine,0.0144
gamma-glutamylglutamate,0.0660
gamma-glutamylglutamine,0.0149
gamma-glutamylglycine,
gamma-glutamylhistidine,0.0304
gamma-glutamylisoleucine*,0.0124
gamma-glutamylleucine,0.0398
gamma-glutamyl-epsilon-lysine,0.0108
gamma-glutamylphenylalanine,0.0398
gamma-glutamylvaline,0.0108
carnosine,0.0114
anserine,0.0146
glycylleucine,0.0121
glycylvaline,0.0108
isoleucylglycine,0.0110
leucylglycine,0.0382
phenylalanylglycine,0.0362
prolylglycine,0.0169
tyrosylglycine,0.0191
valylglycine,0.0108
"1,5-anhydroglucitol (1,5-AG)",0.0108
glucose,0.0133
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",0.0108
dihydroxyacetone phosphate (DHAP),0.0118
3-phosphoglycerate,0.0108
phosphoenolpyruvate (PEP),0.0108
lactate,0.0108
glycerate,0.0108
6-phosphogluconate,0.0131
ribulose 5-phosphate,0.0108
sedoheptulose-7-phosphate,0.0108
ribose,0.0121
ribitol,0.0271
ribonate,0.0128
arabitol/xylitol,0.0220
arabonate/xylonate,0.0114
maltotriose,0.0780
maltose,0.0480
sucrose,0.0651
fructose,0.0155
mannitol/sorbitol,0.0116
mannose,0.0108
galactitol (dulcitol),0.0305
galactonate,0.0108
UDP-glucose,0.0108
UDP-galactose,0.0108
UDP-glucuronate,0.0177
UDP-N-acetylglucosamine,0.0108
UDP-N-acetylgalactosamine,0.0108
cytidine 5'-monophospho-N-acetylneuraminic acid,0.0119
glucuronate,0.0118
N-acetylglucosamine 6-phosphate,0.0289
N-acetyl-glucosamine 1-phosphate,0.0228
N-acetylneuraminate,0.0108
erythronate*,0.0111
N6-carboxymethyllysine,0.0333
citrate,0.0108
aconitate [cis or trans],0.0169
isocitrate,0.0401
alpha-ketoglutarate,0.0621
succinylcarnitine,0.0108
succinate,0.0131
fumarate,0.0110
malate,0.0118
2-methylcitrate/homocitrate,0.0114
acetylphosphate,0.0108
phosphate,0.0108
5-dodecenoate (12:1n7),0.0266
myristate (14:0),0.0279
myristoleate (14:1n5),0.0158
palmitate (16:0),0.0111
palmitoleate (16:1n7),0.0148
