Metabolites,q-value
glycine,0.018
N-acetylglycine,0.0328
sarcosine (N-Methylglycine),0.0895
dimethylglycine,0.018
betaine,0.0182
betaine aldehyde,0.0404
serine,0.018
N-acetylserine,0.018
threonine,0.0219
N-acetylthreonine,0.018
alanine,0.018
N-acetylalanine,0.018
aspartate,0.018
asparagine,0.018
N-acetylasparagine,0.0828
N-acetylaspartate (NAA),0.018
glutamate,0.018
glutamine,0.018
N-acetylglutamate,0.023
N-acetylglutamine,0.0382
N-acetyl-aspartyl-glutamate (NAAG),0.0679
gamma-aminobutyrate (GABA),0.0182
carboxyethyl-GABA,0.1081
"glutamate, gamma-methyl ester",0.018
pyroglutamine*,0.018
N-methyl-4-aminobutyric acid,0.0891
gamma-carboxyglutamate,0.1307
histidine,0.018
N-acetylhistidine,0.1263
1-methylhistidine,0.0182
3-methylhistidine,0.1132
trans-urocanate,0.0185
imidazole propionate,0.0509
imidazole lactate,0.018
histamine,0.0459
1-methylimidazoleacetate,0.02
4-imidazoleacetate,0.0187
lysine,0.0185
N2-acetyllysine/N6-acetyllysine,0.0658
"N6,N6,N6-trimethyllysine",0.018
5-hydroxylysine,0.0278
saccharopine,0.0184
2-aminoadipate,0.1392
glutarate (pentanedioate),0.1234
glutarylcarnitine (C5),0.0891
pipecolate,0.0969
5-aminovalerate,0.0589
6-oxopiperidine-2-carboxylic acid,0.0185
phenylalanine,0.018
N-acetylphenylalanine,0.0276
phenyllactate (PLA),0.0934
phenylacetylglycine,0.0184
tyrosine,0.018
3-(4-hydroxyphenyl)lactate,0.0213
phenol sulfate,0.0945
p-cresol sulfate,0.018
dihydoxyphenylalanine (L-DOPA),0.1286
dopamine sulfate (2),0.0373
p-cresol-glucuronide*,0.0573
N-formylphenylalanine,0.0409
tryptophan,0.018
indolelactate,0.0663
3-indoxyl sulfate,0.018
kynurenine,0.0185
kynurenate,0.024
C-glycosyltryptophan,0.0219
leucine,0.018
N-acetylleucine,0.018
isovalerylglycine,0.018
isovalerylcarnitine,0.0281
beta-hydroxyisovaleroylcarnitine,0.018
alpha-hydroxyisovalerate,0.018
methylsuccinate,0.1333
isoleucine,0.018
2-methylbutyrylcarnitine (C5),0.018
2-methylbutyrylglycine,0.1041
tiglylcarnitine,0.0364
2-hydroxy-3-methylvalerate,0.018
ethylmalonate,0.0825
valine,0.018
isobutyrylcarnitine,0.0234
3-hydroxyisobutyrate,0.0899
alpha-hydroxyisocaproate,0.018
methionine,0.018
N-acetylmethionine,0.018
N-formylmethionine,0.0484
methionine sulfoxide,0.0804
S-adenosylmethionine (SAM),0.1368
S-adenosylhomocysteine (SAH),0.0288
cystathionine,0.0384
cysteine,0.1392
cystine,0.0182
cysteine s-sulfate,0.0382
cysteine sulfinic acid,0.05
hypotaurine,0.0851
taurine,0.018
N-acetyltaurine,0.018
taurocyamine,0.0182
2-hydroxybutyrate/2-hydroxyisobutyrate,0.0184
arginine,0.0196
urea,0.0184
ornithine,0.018
proline,0.018
citrulline,0.018
argininosuccinate,0.09
homoarginine,0.0217
homocitrulline,0.1452
dimethylarginine (SDMA + ADMA),0.0987
N-acetylarginine,0.0184
N-delta-acetylornithine,0.0459
N-alpha-acetylornithine,0.1306
trans-4-hydroxyproline,0.018
pro-hydroxy-pro,0.0373
N-monomethylarginine,0.018
creatine,0.0183
creatinine,0.0184
creatine phosphate,0.018
guanidinoacetate,0.0183
putrescine,0.018
spermidine,0.018
5-methylthioadenosine (MTA),0.1064
N-acetylputrescine,0.0373
1-methylguanidine,
4-guanidinobutanoate,0.018
guanidinosuccinate,0.0825
"glutathione, reduced (GSH)",0.018
"glutathione, oxidized (GSSG)",0.0223
5-oxoproline,0.0556
4-hydroxy-nonenal-glutathione,0.0261
gamma-glutamylalanine,0.018
gamma-glutamylglutamate,0.0388
gamma-glutamylglutamine,0.0376
gamma-glutamylglycine,
gamma-glutamylhistidine,0.0303
gamma-glutamylisoleucine*,0.1452
gamma-glutamylleucine,0.0606
gamma-glutamyl-epsilon-lysine,0.0205
gamma-glutamylphenylalanine,0.0568
gamma-glutamylvaline,0.018
carnosine,0.0226
anserine,0.0234
glycylleucine,0.0538
glycylvaline,0.018
isoleucylglycine,0.018
leucylglycine,0.0633
phenylalanylglycine,0.018
prolylglycine,0.018
tyrosylglycine,0.0855
valylglycine,0.0195
"1,5-anhydroglucitol (1,5-AG)",0.02
glucose,0.018
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",0.0361
dihydroxyacetone phosphate (DHAP),0.1456
3-phosphoglycerate,0.0524
phosphoenolpyruvate (PEP),0.0467
lactate,0.018
glycerate,0.018
6-phosphogluconate,0.0271
ribulose 5-phosphate,0.018
sedoheptulose-7-phosphate,0.018
ribose,0.0276
ribitol,0.0182
ribonate,0.0219
arabitol/xylitol,0.018
arabonate/xylonate,0.0187
maltotriose,0.018
maltose,0.018
sucrose,0.018
fructose,0.0825
mannitol/sorbitol,0.1239
mannose,0.1392
galactitol (dulcitol),0.0272
galactonate,0.0578
UDP-glucose,0.1163
UDP-galactose,0.018
UDP-glucuronate,0.018
UDP-N-acetylglucosamine,0.018
UDP-N-acetylgalactosamine,0.0268
cytidine 5'-monophospho-N-acetylneuraminic acid,0.018
glucuronate,0.018
N-acetylglucosamine 6-phosphate,0.0459
N-acetyl-glucosamine 1-phosphate,0.0373
N-acetylneuraminate,0.0273
erythronate*,0.018
N6-carboxymethyllysine,0.0435
citrate,0.0187
aconitate [cis or trans],0.018
isocitrate,0.018
alpha-ketoglutarate,0.018
succinylcarnitine,0.018
succinate,0.018
fumarate,0.018
malate,0.018
2-methylcitrate/homocitrate,0.0233
acetylphosphate,0.018
phosphate,0.018
5-dodecenoate (12:1n7),0.018
myristate (14:0),0.018
myristoleate (14:1n5),0.018
palmitate (16:0),0.018
palmitoleate (16:1n7),0.018
margarate (17:0),0.0184
10-heptadecenoate (17:1n7),0.0184
stearate (18:0),0.018
nonadecanoate (19:0),0.018
10-nonadecenoate (19:1n9),0.0199
arachidate (20:0),0.018
eicosenoate (20:1),0.0184
erucate (22:1n9),0.018
oleate/vaccenate (18:1),0.0196
stearidonate (18:4n3),0.018
eicosapentaenoate (EPA; 20:5n3),0.018
docosapentaenoate (n3 DPA; 22:5n3),0.018
docosahexaenoate (DHA; 22:6n3),0.018
linoleate (18:2n6),0.018
linolenate [alpha or gamma; (18:3n3 or 6)],0.018
dihomo-linolenate (20:3n3 or n6),0.0184
arachidonate (20:4n6),0.018
adrenate (22:4n6),0.0569
docosapentaenoate (n6 DPA; 22:5n6),0.0205
docosadienoate (22:2n6),0.018
dihomo-linoleate (20:2n6),0.0219
mead acid (20:3n9),0.0223
15-methylpalmitate,0.018
17-methylstearate,0.018
2-hydroxyglutarate,0.018
2-hydroxyadipate,0.0198
azelate (nonanedioate),0.018
sebacate (decanedioate),0.018
tetradecanedioate,0.018
hexadecanedioate,0.018
oleamide,0.0536
2-aminoheptanoate,0.0187
2-aminooctanoate,0.1193
malonylcarnitine,0.0183
2-methylmalonyl carnitine,0.063
butyrylcarnitine,0.0522
propionylcarnitine,0.018
methylmalonate (MMA),0.0184
hexanoylglycine,0.0455
acetylcarnitine,0.018
3-hydroxybutyrylcarnitine (1),0.018
3-hydroxybutyrylcarnitine (2),0.018
hexanoylcarnitine,0.018
octanoylcarnitine,0.018
decanoylcarnitine,0.018
laurylcarnitine,0.018
myristoylcarnitine,0.018
palmitoylcarnitine,0.018
stearoylcarnitine,0.018
linoleoylcarnitine*,0.018
oleoylcarnitine,0.018
deoxycarnitine,0.018
carnitine,0.018
3-hydroxybutyrate (BHBA),0.018
4-hydroxybutyrate (GHB),0.0679
2-hydroxystearate,0.018
16-hydroxypalmitate,0.018
"12,13-DiHOME",0.018
"9,10-DiHOME",0.018
12-HETE,0.0297
15-HETE,0.018
oleoyl ethanolamide,0.0184
palmitoyl ethanolamide,0.018
stearoyl ethanolamide,0.018
arachidonoyl ethanolamide,0.018
N-stearoyltaurine,0.0432
N-palmitoyltaurine,0.0431
myo-inositol,0.018
choline,0.018
choline phosphate,0.018
cytidine 5'-diphosphocholine,0.018
glycerophosphorylcholine (GPC),0.018
phosphoethanolamine,0.018
cytidine-5'-diphosphoethanolamine,0.0184
glycerophosphoethanolamine,0.018
trimethylamine N-oxide,0.1456
glycerophosphoinositol*,0.018
"1,2-dipalmitoyl-GPC (16:0/16:0)",0.018
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),0.018
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),0.018
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),0.018
1-stearoyl-2-oleoyl-GPC (18:0/18:1),0.018
"1,2-dioleoyl-GPC (18:1/18:1)*",0.0182
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),0.018
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,0.018
