"","overlap_ecc1_t47d"
"1","Vamp1"
"2","Atp4b"
"3","Rac1"
"4","Arhgef28"
"5","Aspn"
"6","Prkch"
"7","SCARNA4"
"8","Snord65"
"9","Hmx3"
"10","Ntpcr"
"11","Snora70"
"12","U3"
"13","Snora3"
"14","Scarb1"
"15","SNORD77"
"16","Snora26"
"17","Snora64"
"18","U6"
"19","Lrpprc"
"20","Tgfa"
"21","Crispld2"
"22","Snord37"
"23","Cds1"
"24","Tmprss15"
"25","Tmco4"
"26","Arhgef10l"
"27","Snord12"
"28","Metap2"
"29","Tcap"
"30","Tlk1"
"31","Tnfrsf21"
"32","Capza2"
"33","Mtmr11"
"34","Pla2r1"
"35","Tomm20"
"36","Hmga2"
"37","Lonrf2"
"38","Twist2"
"39","Psmg4"
"40","Sigmar1"
"41","Esx1"
"42","Pgpep1l"
"43","Zmiz1"
"44","Cldn8"
"45","Crtac1"
"46","Txnrd1"
"47","Sbf1"
"48","Mef2a"
"49","Snx18"
"50","Clic4"
"51","Zfhx3"
"52","Mpped2"
"53","Kptn"
"54","Chrm4"
"55","Lgals2"
"56","Apba1"
"57","Abca13"
"58","Adcy5"
"59","Mixl1"
"60","Sag"
"61","Syde2"
"62","Magea5"
"63","Gfod2"
"64","Trim47"
"65","Scn7a"
"66","Syt4"
"67","Lrrc25"
"68","Rgcc"
"69","Sult1a1"
"70","Kcna3"
"71","Cd207"
"72","Oxsr1"
"73","Mrpl41"
"74","Rab31"
"75","Mat1a"
"76","F13b"
"77","Dyrk1a"
"78","Tbl1xr1"
"79","Gpr179"
"80","Thumpd2"
"81","Clip1"
"82","Lipn"
"83","Otogl"
"84","Tnrc6b"
"85","Fam124a"
"86","Efcab10"
"87","Ctr9"
"88","Rapgef6"
"89","Xpo7"
"90","Kcnf1"
"91","Erh"
"92","Mef2b"
"93","Unc13b"
"94","Ccl28"
"95","Vit"
"96","Unc5d"
"97","Spns2"
"98","Gpr160"
"99","Hlf"
"100","Mcmbp"
"101","Guca1b"
"102","Kpna3"
"103","Il17a"
"104","Aqp7"
"105","B3gnt8"
"106","Ier5"
"107","Atl2"
"108","Ly75"
"109","Nrg3"
"110","Mtmr7"
"111","Pmm2"
"112","Tmprss13"
"113","Camkk1"
"114","Fcgbp"
"115","Eif3b"
"116","Ptpn20"
"117","Foxj2"
"118","Syt12"
"119","Chac2"
"120","Mtus2"
"121","Slc35e4"
"122","Gab1"
"123","Sp1"
"124","Pam"
"125","Col19a1"
"126","Podnl1"
"127","Actbl2"
"128","Cdc123"
"129","Fermt3"
"130","Apol6"
"131","Loxhd1"
"132","Papd5"
"133","Ap1m1"
"134","Arfgap3"
"135","Phldb2"
"136","Otud7b"
"137","Ftcd"
"138","Sftpa1"
"139","Col1a2"
"140","Wisp3"
"141","Ext1"
"142","Ncam2"
"143","Hyi"
"144","Ryr1"
"145","Tnfsf15"
"146","Prdm1"
"147","Ppp1r12a"
"148","Pif1"
"149","Myrfl"
"150","Rab3c"
"151","Hnf4g"
"152","Slc38a9"
"153","Ppif"
"154","Iqce"
"155","Grik4"
"156","Map4k4"
"157","Abca3"
