"","overlap_genes_ecc1"
"1","Ckm"
"2","Tmem233"
"3","Pgr"
"4","Cpne6"
"5","Samd3"
"6","Sftpa1"
"7","Gbx2"
"8","Clec4f"
"9","Gal"
"10","Grin3a"
"11","Krt1"
"12","Aadacl2"
"13","F9"
"14","Cnga1"
"15","Pga5"
"16","Tm4sf20"
"17","Tcap"
"18","Sp7"
"19","Mat1a"
"20","Kcnj1"
"21","Mst1"
"22","Apoa1"
"23","Acsm1"
"24","Spon1"
"25","Il12a"
"26","Accsl"
"27","Xirp1"
"28","Lmod3"
"29","Disp2"
"30","Serpina11"
"31","Gfra3"
"32","Prodh2"
"33","Ascl2"
"34","Plekhd1"
"35","Ccl28"
"36","Fam184a"
"37","Gpha2"
"38","Dync1i1"
"39","Lef1"
"40","Slc30a2"
"41","Klc3"
"42","Kcnj12"
"43","Glyatl3"
"44","Mpped1"
"45","Orm2"
"46","Necab2"
"47","Stmnd1"
"48","Ano7"
"49","Mfi2"
"50","Cel"
"51","Igf2bp1"
"52","Cemip"
"53","Mcmdc2"
"54","Drd4"
"55","Nell2"
"56","Cdkl4"
"57","Kcnk12"
"58","Foxj1"
"59","Csrnp3"
"60","Magea5"
"61","Zg16"
"62","Npas3"
"63","Spag16"
"64","Ntsr2"
"65","Wif1"
"66","Loxhd1"
"67","Tmem215"
"68","Cbln4"
"69","Krt73"
"70","Figla"
"71","Slc24a4"
"72","Cplx4"
"73","Rph3a"
"74","Caps2"
"75","Izumo1r"
"76","Otogl"
"77","Spdef"
"78","Tmem212"
"79","Kcnh8"
