external_gene_name	log2FoldChange.HFGTX_vs_HFVeh	padj.HFGTX_vs_HFVeh
Rnf17	-4.53806688025887	0.043946459110376
Tcf7	-4.77717480902677	0.0184399610381204
Vwf	1.64872810657007	0.0370255096398376
Ncan	-4.31648248571762	8.00562060145232e-06
Inmt	3.91190494429813	2.87116398532414e-14
Prodh	1.29917926543126	0.0318609227299549
Gpx5	-27.1658203416227	2.02968324721538e-12
Zbtb32	-1.96236463170411	0.0476952890234639
Fut1	-7.56347928024643	0.00965288426578986
Nedd8	-0.818919643377239	0.0318609227299549
Aldh1a2	-1.3382514910314	0.0319267791294091
Lypd8	-8.42568153274889	0.00296516698771038
Adam28	-13.8666253647368	0.0432885123268043
Nkiras2	-0.706308850662623	0.0330419631716792
Ctgf	1.18955832884217	0.00851002096536529
Avpr1a	1.16742405580652	0.0303611056108508
Agr2	-6.92001101464193	0.0352056985666577
Ntsr2	-4.95146268633506	0.00719456418879156
Rasl10b	2.22248221300364	0.00618852883177692
Gas2l2	-3.36004358314861	0.0166846193354356
P2rx1	2.627123380784	0.027803519356565
Top2a	-2.63814965832422	0.0206840379309247
Gadd45g	1.17357005493401	0.00851002096536529
Ctsl	-0.814765380392108	0.0319267791294091
Rnase10	-10.0684725449916	0.000393797222402174
Spry2	0.724394206345683	0.0238388856873129
Cela1	-1.68124917070115	0.00142182738566371
Lcn9	-26.2200689026043	7.44654819844602e-06
Slc5a7	-4.63414596200649	0.000155779598528136
Cyp1b1	1.26906764848799	0.0352056985666577
Itfg3	-0.665724471198235	0.00851002096536529
Clpsl2	-24.9720102583377	2.78197229412836e-08
Baiap2	-0.959206537959364	0.00109382110961914
Map3k7cl	2.21024279099174	1.69253752521031e-05
Pfkfb4	-1.57600936764502	0.0467373465960593
Smad7	1.3736982812425	0.0481929197554221
2810459M11Rik	-3.37803717674193	0.0241320542317277
Cfh	1.60756449169405	0.00858631962768287
Il1rn	-3.1325330657784	0.0116492276800401
Slc20a1	1.17982527263401	0.00851002096536529
9230104L09Rik	-8.41062687500265	0.00140079491280975
Prpf38b	0.708256013194879	0.0167596954502062
Prdx1	0.768321625609747	0.00305368608337647
Dusp16	0.754320463183236	0.0300430087283809
Nr2f2	1.37627942963645	0.000811528047885976
Fgf13	-2.86757945110927	0.00142182738566371
Slc38a5	-6.35444162122586	0.00543437539173852
Ednra	1.23596860763707	0.0353155319289409
Acta1	2.74781246551773	0.0354784651936473
Ldlr	1.21880579194552	0.0448494302344683
Slco2a1	1.28443311527032	0.0126460786194477
Cdkl4	-4.35221411411598	0.000535187985772599
Irf2bpl	0.639589588465807	0.0352056985666577
Ly6g5c	-9.43513506282477	0.00195821877305656
Ubd	-3.07931776440444	0.00865815913806004
Pkig	-0.640699096496503	0.00531091881808248
Lcn8	-11.7022466717337	0.000641533196679891
Psma8	-5.18732368098603	0.0318609227299549
Cst11	-26.1448021977511	7.44654819844602e-06
Sh2d4b	2.07757931747848	0.0482388480341546
Spon1	2.18341605289885	1.68336888072319e-14
Pi4kb	0.796416942601125	0.00281775955540915
Ptchd3	-5.37314768798089	0.0318609227299549
Vasn	1.06597001708883	0.00340926385638916
Snrnp25	-0.983901465380118	0.0476952890234639
Pik3r1	1.69032493678712	0.0353155319289409
Mapk1ip1	0.68311948274893	0.00631155702770709
Armc5	0.450820352263049	0.038936627821819
C1galt1	1.02556135576086	0.00147235669027611
Golga7b	-2.4103021723942	0.0173707456718346
Teddm1b	-15.2034574752269	0.000789951514873762
Ly6g5b	-8.69041412374404	0.00136820110417456
Ddx28	0.742906769801409	0.0424458328035998
Adra1a	1.31866213668369	0.0357580352078245
Clec14a	1.67490566548016	0.0287615412403184
Teddm2	-7.35978487374405	0.000344983207144445
Gjb4	-4.90429944447303	0.00526718369111052
Foxc2	1.89217551162808	0.018334542166054
Teddm1a	-13.1809551698763	2.89134492498461e-05
Rnase2a	-4.26291583475801	0.00445186035312324
Lcn10	-25.6830727775003	8.1642280391174e-06
Hexim1	0.830216433062006	0.0141677064803421
Sorl1	-1.18044592720358	0.0357580352078245
Mmp12	-1.80177922020411	0.0370255096398376
Grem2	4.3274762375063	6.03361593705721e-07
Mest	-2.11128691641397	0.0432885123268043
Dock8	-1.59583867038826	0.0353155319289409
Repin1	0.767893488156498	0.0330419631716792
Clca3a1	2.51185112666987	0.00296516698771038
Gulp1	2.13191089644741	0.047332433981413
Spag11b	-11.2191155206529	0.0476952890234639
Rrs1	0.957246042144496	0.0312893486124718
Bcl9l	0.780812700431673	0.00211578599377974
Hspbp1	-0.906317478478194	0.0370255096398376
Cryba4	-9.03173196116279	0.00549571589754642
Gm15386	-9.18999613050691	0.00310220115885278
Tnfrsf13c	-3.58554742043353	0.0101835366207806
Tmem200b	1.37038822694416	0.0303611056108508
Defb25	-11.187419603811	0.00724718085038276
Ano3	-6.07400857628135	0.0267089496989822
Fign	1.56771763124338	0.00667064559344055
9230113P08Rik	-12.4038207118952	0.015898844278391
C7	1.7221638093813	0.000535187985772599
Gm4846	-26.4569128977757	1.07278052697341e-08
Col6a5	2.01976889853164	1.92322395701201e-05
Gm5627	-3.31317863838406	0.0318609227299549
Gm7694	-1.05495459012285	0.00071117822120513
Pcdhga4	-1.82785386252212	0.0169932985408642
