User file and parameters: User file: WebGestalt_Liver_HFGTXvsHFVeh.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for all enriched CC GO category are listed in this table. For each GO category, the first row lists its sub-root
(cellular component), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


cellular component	external side of plasma membrane	GO:0009897
C=259;O=25;E=9.99;R=2.50;rawP=2.59e-05;adjP=0.0001
Serpina5	NA	268591	ENSMUSG00000041550	Serpina5	serine (or cysteine) peptidase inhibitor, clade A, member 5

H2-Eb1	NA	14969	ENSMUSG00000060586	H2-Eb1	histocompatibility 2, class II antigen E beta

Cd55	NA	13136	ENSMUSG00000026399	Cd55	CD55 antigen

Kdr	NA	16542	ENSMUSG00000062960	Kdr	kinase insert domain protein receptor

Ctsb	NA	13030	ENSMUSG00000021939	Ctsb	cathepsin B

Cxcl12	NA	20315	ENSMUSG00000061353	Cxcl12	chemokine (C-X-C motif) ligand 12

Fcer1g	NA	14127	ENSMUSG00000058715	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide

Fcgr1	NA	14129	ENSMUSG00000015947	Fcgr1	Fc receptor, IgG, high affinity I

Abcg1	NA	11307	ENSMUSG00000024030	Abcg1	ATP-binding cassette, sub-family G (WHITE), member 1

Anpep	NA	16790	ENSMUSG00000039062	Anpep	alanyl (membrane) aminopeptidase

H2-D1	NA	14964	ENSMUSG00000073411	H2-D1	histocompatibility 2, D region locus 1

Itga5	NA	16402	ENSMUSG00000000555	Itga5	integrin alpha 5 (fibronectin receptor alpha)

Cd1d1	NA	12479	ENSMUSG00000028076	Cd1d1	CD1d1 antigen

Sdc1	NA	20969	ENSMUSG00000020592	Sdc1	syndecan 1

Tfrc	NA	22042	ENSMUSG00000022797	Tfrc	transferrin receptor

Vcam1	NA	22329	ENSMUSG00000027962	Vcam1	vascular cell adhesion molecule 1

Fcgr4	NA	246256	ENSMUSG00000059089	Fcgr4	Fc receptor, IgG, low affinity IV

Cd79b	NA	15985	ENSMUSG00000040592	Cd79b	CD79B antigen

H2-Ab1	NA	14961	ENSMUSG00000073421	H2-Ab1	histocompatibility 2, class II antigen A, beta 1

Ccr5	NA	12774	ENSMUSG00000079227	Ccr5	chemokine (C-C motif) receptor 5

Rtn4rl1	NA	237847	ENSMUSG00000045287	Rtn4rl1	reticulon 4 receptor-like 1

Itgal	NA	16408	ENSMUSG00000030830	Itgal	integrin alpha L

Cd74	NA	16149	ENSMUSG00000024610	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)

Icam1	NA	15894	ENSMUSG00000037405	Icam1	intercellular adhesion molecule 1

Cd48	NA	12506	ENSMUSG00000015355	Cd48	CD48 antigen


cellular component	non-membrane-bounded organelle	GO:0043228
C=2892;O=150;E=111.50;R=1.35;rawP=8.26e-05;adjP=0.0003
Ywhaz	NA	22631	ENSMUSG00000022285	Ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide

Atf4	NA	11911	ENSMUSG00000042406	Atf4	activating transcription factor 4

Arpc2	NA	76709	ENSMUSG00000006304	Arpc2	actin related protein 2/3 complex, subunit 2

Adar	NA	56417	ENSMUSG00000027951	Adar	adenosine deaminase, RNA-specific

Ewsr1	NA	14030	ENSMUSG00000009079	Ewsr1	Ewing sarcoma breakpoint region 1

Nr1i3	NA	12355	ENSMUSG00000005677	Nr1i3	nuclear receptor subfamily 1, group I, member 3

Adh4	NA	26876	ENSMUSG00000037797	Adh4	alcohol dehydrogenase 4 (class II), pi polypeptide

Suds3	NA	71954	ENSMUSG00000066900	Suds3	suppressor of defective silencing 3 homolog (S. cerevisiae)

Pes1	NA	64934	ENSMUSG00000020430	Pes1	pescadillo homolog 1, containing BRCT domain (zebrafish)

Rusc1	NA	72296	ENSMUSG00000041263	Rusc1	RUN and SH3 domain containing 1

Mrps5	NA	77721	ENSMUSG00000027374	Mrps5	mitochondrial ribosomal protein S5

Gys2	NA	232493	ENSMUSG00000030244	Gys2	glycogen synthase 2

Ip6k2	NA	76500	ENSMUSG00000032599	Ip6k2	inositol hexaphosphate kinase 2

Mrpl40	NA	18100	ENSMUSG00000022706	Mrpl40	mitochondrial ribosomal protein L40

Aif1	NA	11629	ENSMUSG00000024397	Aif1	allograft inflammatory factor 1

Mid1ip1	NA	68041	ENSMUSG00000008035	Mid1ip1	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))

Rpl14	NA	67115	ENSMUSG00000025794	Rpl14	ribosomal protein L14

H2afj	NA	232440	ENSMUSG00000060032	H2afj	H2A histone family, member J

Oasl1	NA	231655	ENSMUSG00000041827	Oasl1	2'-5' oligoadenylate synthetase-like 1

Tubb5	NA	22154	ENSMUSG00000001525	Tubb5	tubulin, beta 5 class I

Xpo1	NA	103573	ENSMUSG00000020290	Xpo1	exportin 1, CRM1 homolog (yeast)

Baiap2	NA	108100	ENSMUSG00000025372	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2

Tuba1b	NA	22143	ENSMUSG00000023004	Tuba1b	tubulin, alpha 1B

Klhl7	NA	52323	ENSMUSG00000028986	Klhl7	kelch-like 7 (Drosophila)

Exosc4	NA	109075	ENSMUSG00000034259	Exosc4	exosome component 4

Jmy	NA	57748	ENSMUSG00000021690	Jmy	junction-mediating and regulatory protein

Tpm2	NA	22004	ENSMUSG00000028464	Tpm2	tropomyosin 2, beta

Mtss1	NA	211401	ENSMUSG00000022353	Mtss1	metastasis suppressor 1

