User file and parameters: User file: WebGestalt_Liver_HFGTXvsHFVeh.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for all enriched MF GO category are listed in this table. For each GO category, the first row lists its sub-root
(molecular function), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


molecular function	carboxylic acid binding	GO:0031406
C=189;O=17;E=7.20;R=2.36;rawP=0.0009;adjP=0.0032
Folr2	NA	14276	ENSMUSG00000032725	Folr2	folate receptor 2 (fetal)

Acox1	NA	11430	ENSMUSG00000020777	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl

Serpina5	NA	268591	ENSMUSG00000041550	Serpina5	serine (or cysteine) peptidase inhibitor, clade A, member 5

Dpys	NA	64705	ENSMUSG00000022304	Dpys	dihydropyrimidinase

Dgat1	NA	13350	ENSMUSG00000022555	Dgat1	diacylglycerol O-acyltransferase 1

Gclc	NA	14629	ENSMUSG00000032350	Gclc	glutamate-cysteine ligase, catalytic subunit

Aldh5a1	NA	214579	ENSMUSG00000035936	Aldh5a1	aldhehyde dehydrogenase family 5, subfamily A1

Gpx4	NA	625249	ENSMUSG00000075706	Gpx4	glutathione peroxidase 4

Ddah1	NA	69219	ENSMUSG00000028194	Ddah1	dimethylarginine dimethylaminohydrolase 1

Axl	NA	26362	ENSMUSG00000002602	Axl	AXL receptor tyrosine kinase

Alox5ap	NA	11690	ENSMUSG00000060063	Alox5ap	arachidonate 5-lipoxygenase activating protein

Gas6	NA	14456	ENSMUSG00000031451	Gas6	growth arrest specific 6

Fabp5	NA	16592	ENSMUSG00000027533	Fabp5	fatty acid binding protein 5, epidermal

Mut	NA	17850	ENSMUSG00000023921	Mut	methylmalonyl-Coenzyme A mutase

Tat	NA	234724	ENSMUSG00000001670	Tat	tyrosine aminotransferase

Ptgds	NA	19215	ENSMUSG00000015090	Ptgds	prostaglandin D2 synthase (brain)

Ugt1a1	NA	394436	ENSMUSG00000089960	Ugt1a1	UDP glucuronosyltransferase 1 family, polypeptide A1


molecular function	cytoskeletal protein binding	GO:0008092
C=605;O=38;E=23.04;R=1.65;rawP=0.0019;adjP=0.0060
B9d2	NA	232987	ENSMUSG00000063439	B9d2	B9 protein domain 2

Arpc2	NA	76709	ENSMUSG00000006304	Arpc2	actin related protein 2/3 complex, subunit 2

Synpo	NA	104027	ENSMUSG00000043079	Synpo	synaptopodin

