User file and parameters: User file: WebGestalt_Liver_HFGTXvsHFVeh.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for each enriched GO category are listed in this table. For each GO category, the first row lists its sub-root
(biological process, molecular function, or cellular component), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


biological process	metabolic process	GO:0008152
C=9069;O=518;E=345.90;R=1.50;rawP=4.15e-32;adjP=5.79e-29
Pitrm1	NA	Pitrm1	pitrilysin metallepetidase 1	69617	ENSMUSG00000021193

Chpt1	NA	Chpt1	choline phosphotransferase 1	212862	ENSMUSG00000060002

Oplah	NA	Oplah	5-oxoprolinase (ATP-hydrolysing)	75475	ENSMUSG00000022562

Ewsr1	NA	Ewsr1	Ewing sarcoma breakpoint region 1	14030	ENSMUSG00000009079

Avpi1	NA	Avpi1	arginine vasopressin-induced 1	69534	ENSMUSG00000018821

Dpm3	NA	Dpm3	dolichyl-phosphate mannosyltransferase polypeptide 3	68563	ENSMUSG00000042737

Scp2	NA	Scp2	sterol carrier protein 2, liver	20280	ENSMUSG00000028603

Adcy9	NA	Adcy9	adenylate cyclase 9	11515	ENSMUSG00000005580

Phkg2	NA	Phkg2	phosphorylase kinase, gamma 2 (testis)	68961	ENSMUSG00000030815

Yars	NA	Yars	tyrosyl-tRNA synthetase	107271	ENSMUSG00000028811

Mid1ip1	NA	Mid1ip1	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	68041	ENSMUSG00000008035

Pdpr	NA	Pdpr	pyruvate dehydrogenase phosphatase regulatory subunit	319518	ENSMUSG00000033624

Tuba1b	NA	Tuba1b	tubulin, alpha 1B	22143	ENSMUSG00000023004

Exosc4	NA	Exosc4	exosome component 4	109075	ENSMUSG00000034259

Klhl7	NA	Klhl7	kelch-like 7 (Drosophila)	52323	ENSMUSG00000028986

Tpm2	NA	Tpm2	tropomyosin 2, beta	22004	ENSMUSG00000028464

Upk3b	NA	Upk3b	uroplakin 3B	100647	ENSMUSG00000042985

Cmklr1	NA	Cmklr1	chemokine-like receptor 1	14747	ENSMUSG00000042190

Sptssa	NA	Sptssa	serine palmitoyltransferase, small subunit A	104725	ENSMUSG00000044408

Cpeb3	NA	Cpeb3	cytoplasmic polyadenylation element binding protein 3	208922	ENSMUSG00000039652

Usp50	NA	Usp50	ubiquitin specific peptidase 50	75083	ENSMUSG00000027364

Chac1	NA	Chac1	ChaC, cation transport regulator 1	69065	ENSMUSG00000027313

Mlxipl	NA	Mlxipl	MLX interacting protein-like	58805	ENSMUSG00000005373

Smarca2	NA	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	67155	ENSMUSG00000024921

Vnn1	NA	Vnn1	vanin 1	22361	ENSMUSG00000037440

Med12	NA	Med12	mediator of RNA polymerase II transcription, subunit 12 homolog (yeast)	59024	ENSMUSG00000079487

Dnase1l3	NA	Dnase1l3	deoxyribonuclease 1-like 3	13421	ENSMUSG00000025279

Calcoco1	NA	Calcoco1	calcium binding and coiled coil domain 1	67488	ENSMUSG00000023055

Gstm3	NA	Gstm3	glutathione S-transferase, mu 3	14864	ENSMUSG00000004038

C1qb	NA	C1qb	complement component 1, q subcomponent, beta polypeptide	12260	ENSMUSG00000036905

Sars	NA	Sars	seryl-aminoacyl-tRNA synthetase	20226	ENSMUSG00000068739

Adrb1	NA	Adrb1	adrenergic receptor, beta 1	11554	ENSMUSG00000035283

Pfkfb3	NA	Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	170768	ENSMUSG00000026773

Ecm1	NA	Ecm1	extracellular matrix protein 1	13601	ENSMUSG00000028108

Serpina6	NA	Serpina6	serine (or cysteine) peptidase inhibitor, clade A, member 6	12401	ENSMUSG00000060807

Egr1	NA	Egr1	early growth response 1	13653	ENSMUSG00000038418

Decr2	NA	Decr2	2-4-dienoyl-Coenzyme A reductase 2, peroxisomal	26378	ENSMUSG00000036775

Fkbp1a	NA	Fkbp1a	FK506 binding protein 1a	14225	ENSMUSG00000032966

Nags	NA	Nags	N-acetylglutamate synthase	217214	ENSMUSG00000048217

Ndufs1	NA	Ndufs1	NADH dehydrogenase (ubiquinone) Fe-S protein 1	227197	ENSMUSG00000025968

Ppib	NA	Ppib	peptidylprolyl isomerase B	19035	ENSMUSG00000032383

Pigg	NA	Pigg	phosphatidylinositol glycan anchor biosynthesis, class G	433931	ENSMUSG00000029263

Rasl11b	NA	Rasl11b	RAS-like, family 11, member B	68939	ENSMUSG00000049907

Rps6ka1	NA	Rps6ka1	ribosomal protein S6 kinase polypeptide 1	20111	ENSMUSG00000003644

Eif4a2	NA	Eif4a2	eukaryotic translation initiation factor 4A2	13682	ENSMUSG00000022884

Foxo3	NA	Foxo3	forkhead box O3	56484	ENSMUSG00000048756

Ugt1a6a	NA	Ugt1a6a	UDP glucuronosyltransferase 1 family, polypeptide A6A	94284	ENSMUSG00000054545

Ncf1	NA	Ncf1	neutrophil cytosolic factor 1	17969	ENSMUSG00000015950

Plcl1	NA	Plcl1	phospholipase C-like 1	227120	ENSMUSG00000038349

Dgat1	NA	Dgat1	diacylglycerol O-acyltransferase 1	13350	ENSMUSG00000022555

Kdr	NA	Kdr	kinase insert domain protein receptor	16542	ENSMUSG00000062960

Chd1l	NA	Chd1l	chromodomain helicase DNA binding protein 1-like	68058	ENSMUSG00000028089

Acsl1	NA	Acsl1	acyl-CoA synthetase long-chain family member 1	14081	ENSMUSG00000018796

Cyb561d2	NA	Cyb561d2	cytochrome b-561 domain containing 2	56368	ENSMUSG00000037190

Bckdhb	NA	Bckdhb	branched chain ketoacid dehydrogenase E1, beta polypeptide	12040	ENSMUSG00000032263

Serpina1e	NA	Serpina1e	serine (or cysteine) peptidase inhibitor, clade A, member 1E	20704	ENSMUSG00000072849

C1qtnf1	NA	C1qtnf1	C1q and tumor necrosis factor related protein 1	56745	ENSMUSG00000017446

Lpl	NA	Lpl	lipoprotein lipase	16956	ENSMUSG00000015568

B3galt1	NA	B3galt1	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1	26877	ENSMUSG00000034780

Lipe	NA	Lipe	lipase, hormone sensitive	16890	ENSMUSG00000003123

Mrpl15	NA	Mrpl15	mitochondrial ribosomal protein L15	27395	ENSMUSG00000033845

Csf1r	NA	Csf1r	colony stimulating factor 1 receptor	12978	ENSMUSG00000024621

Setdb2	NA	Setdb2	SET domain, bifurcated 2	239122	ENSMUSG00000071350

Ppp1r3c	NA	Ppp1r3c	protein phosphatase 1, regulatory (inhibitor) subunit 3C	53412	ENSMUSG00000067279

Arsg	NA	Arsg	arylsulfatase G	74008	ENSMUSG00000020604

Fubp1	NA	Fubp1	far upstream element (FUSE) binding protein 1	51886	ENSMUSG00000028034

Cyp3a25	NA	Cyp3a25	cytochrome P450, family 3, subfamily a, polypeptide 25	56388	ENSMUSG00000029630

Sorbs1	NA	Sorbs1	sorbin and SH3 domain containing 1	20411	ENSMUSG00000025006

Prtn3	NA	Prtn3	proteinase 3	19152	ENSMUSG00000057729

Upp2	NA	Upp2	uridine phosphorylase 2	76654	ENSMUSG00000026839

Ube2i	NA	Ube2i	ubiquitin-conjugating enzyme E2I	22196	ENSMUSG00000015120

Enpp5	NA	Enpp5	ectonucleotide pyrophosphatase/phosphodiesterase 5	83965	ENSMUSG00000023960

Aass	NA	Aass	aminoadipate-semialdehyde synthase	30956	ENSMUSG00000029695

Ces1c	NA	Ces1c	carboxylesterase 1C	13884	ENSMUSG00000057400

Ccs	NA	Ccs	copper chaperone for superoxide dismutase	12460	ENSMUSG00000034108

Aco1	NA	Aco1	aconitase 1	11428	ENSMUSG00000028405

Sumo3	NA	Sumo3	SMT3 suppressor of mif two 3 homolog 3 (yeast)	20610	ENSMUSG00000020265

Otub1	NA	Otub1	OTU domain, ubiquitin aldehyde binding 1	107260	ENSMUSG00000024767

Kdm3b	NA	Kdm3b	KDM3B lysine (K)-specific demethylase 3B	277250	ENSMUSG00000038773

Med6	NA	Med6	mediator of RNA polymerase II transcription, subunit 6 homolog (yeast)	69792	ENSMUSG00000002679

Ogt	NA	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	108155	ENSMUSG00000034160

Ier3	NA	Ier3	immediate early response 3	15937	ENSMUSG00000003541

Psen2	NA	Psen2	presenilin 2	19165	ENSMUSG00000010609

Mrpl41	NA	Mrpl41	mitochondrial ribosomal protein L41	107733	ENSMUSG00000036850

P2ry1	NA	P2ry1	purinergic receptor P2Y, G-protein coupled 1	18441	ENSMUSG00000027765

Park7	NA	Park7	Parkinson disease (autosomal recessive, early onset) 7	57320	ENSMUSG00000028964

Neu2	NA	Neu2	neuraminidase 2	23956	ENSMUSG00000079434

Dohh	NA	Dohh	deoxyhypusine hydroxylase/monooxygenase	102115	ENSMUSG00000078440

Zfp36	NA	Zfp36	zinc finger protein 36	22695	ENSMUSG00000044786

Nrbp1	NA	Nrbp1	nuclear receptor binding protein 1	192292	ENSMUSG00000029148

Mmp14	NA	Mmp14	matrix metallopeptidase 14 (membrane-inserted)	17387	ENSMUSG00000000957

Nnt	NA	Nnt	nicotinamide nucleotide transhydrogenase	18115	NULL

Chka	NA	Chka	choline kinase alpha	12660	ENSMUSG00000024843

Acot12	NA	Acot12	acyl-CoA thioesterase 12	74156	ENSMUSG00000021620

