User data and parameters: User data: WebGestalt_Liver_HFGTXvsHFVeh.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for each enriched gene sets are listed in this table. For each gene set, the first row lists its gene set
name, and corresponding Gene Set ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the gene set are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


Transcrription Target	mmu_GGGCGGR_V$SP1_Q6	DB_ID:1837
C=2704;O=180;E=44.82;R=4.02;rawP=3.06e-58;adjP=1.60e-55
Rela	NA	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	19697	ENSMUSG00000024927

Ywhaz	NA	Ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	22631	ENSMUSG00000022285

Tmem141	NA	Tmem141	transmembrane protein 141	51875	ENSMUSG00000026939

Per1	NA	Per1	period homolog 1 (Drosophila)	18626	ENSMUSG00000020893

Arrdc2	NA	Arrdc2	arrestin domain containing 2	70807	ENSMUSG00000002910

Rusc1	NA	Rusc1	RUN and SH3 domain containing 1	72296	ENSMUSG00000041263

Paqr9	NA	Paqr9	progestin and adipoQ receptor family member IX	75552	ENSMUSG00000064225

Tfeb	NA	Tfeb	transcription factor EB	21425	ENSMUSG00000023990

Yars	NA	Yars	tyrosyl-tRNA synthetase	107271	ENSMUSG00000028811

Slc43a2	NA	Slc43a2	solute carrier family 43, member 2	215113	ENSMUSG00000038178

Ip6k2	NA	Ip6k2	inositol hexaphosphate kinase 2	76500	ENSMUSG00000032599

Usf1	NA	Usf1	upstream transcription factor 1	22278	ENSMUSG00000026641

Fkbp11	NA	Fkbp11	FK506 binding protein 11	66120	ENSMUSG00000003355

Rpl14	NA	Rpl14	ribosomal protein L14	67115	ENSMUSG00000025794

Mfsd5	NA	Mfsd5	major facilitator superfamily domain containing 5	106073	ENSMUSG00000045665

Ccng2	NA	Ccng2	cyclin G2	12452	ENSMUSG00000029385

Pdpr	NA	Pdpr	pyruvate dehydrogenase phosphatase regulatory subunit	319518	ENSMUSG00000033624

Slc7a8	NA	Slc7a8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	50934	ENSMUSG00000022180

Ugp2	NA	Ugp2	UDP-glucose pyrophosphorylase 2	216558	ENSMUSG00000001891

Xpo1	NA	Xpo1	exportin 1, CRM1 homolog (yeast)	103573	ENSMUSG00000020290

Atp6v0b	NA	Atp6v0b	ATPase, H+ transporting, lysosomal V0 subunit B	114143	ENSMUSG00000033379

Nrp2	NA	Nrp2	neuropilin 2	18187	ENSMUSG00000025969

