User file and parameters: User file: WebGestalt_Liver_HFGTXvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for all enriched BP GO category are listed in this table. For each GO category, the first row lists its sub-root
(biological process), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


biological process	positive regulation of NF-kappaB transcription factor activity	GO:0051092
C=84;O=8;E=2.11;R=3.79;rawP=0.0012;adjP=0.0046
Tgfb1	NA	21803	ENSMUSG00000002603	Tgfb1	transforming growth factor, beta 1

Rela	NA	19697	ENSMUSG00000024927	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)

Ticam1	NA	106759	ENSMUSG00000047123	Ticam1	toll-like receptor adaptor molecule 1

Map3k13	NA	71751	ENSMUSG00000033618	Map3k13	mitogen-activated protein kinase kinase kinase 13

Cth	NA	107869	ENSMUSG00000028179	Cth	cystathionase (cystathionine gamma-lyase)

Cat	NA	12359	ENSMUSG00000027187	Cat	catalase

Prdx3	NA	11757	ENSMUSG00000024997	Prdx3	peroxiredoxin 3

Icam1	NA	15894	ENSMUSG00000037405	Icam1	intercellular adhesion molecule 1


biological process	osteoclast differentiation	GO:0030316
C=59;O=8;E=1.48;R=5.40;rawP=0.0001;adjP=0.0007
Epha2	NA	13836	ENSMUSG00000006445	Epha2	Eph receptor A2

Trf	NA	22041	ENSMUSG00000090639,ENSMUSG00000032554ENSMUSG00000090639,ENSMUSG00000032554	Trf	transferrin

Itgb3	NA	16416	ENSMUSG00000020689	Itgb3	integrin beta 3

Csf1	NA	12977	ENSMUSG00000014599	Csf1	colony stimulating factor 1 (macrophage)

Csf1r	NA	12978	ENSMUSG00000024621	Csf1r	colony stimulating factor 1 receptor

Mapk14	NA	26416	ENSMUSG00000053436	Mapk14	mitogen-activated protein kinase 14

Chuk	NA	12675	ENSMUSG00000025199	Chuk	conserved helix-loop-helix ubiquitous kinase

Ocstamp	NA	74614	ENSMUSG00000027670	Ocstamp	osteoclast stimulatory transmembrane protein


biological process	positive regulation of catabolic process	GO:0009896
C=134;O=11;E=3.36;R=3.27;rawP=0.0006;adjP=0.0026
Acsl5	NA	433256	ENSMUSG00000024981	Acsl5	acyl-CoA synthetase long-chain family member 5

Aadac	NA	67758	ENSMUSG00000027761	Aadac	arylacetamide deacetylase (esterase)

Psen2	NA	19165	ENSMUSG00000010609	Psen2	presenilin 2

Plekhf1	NA	72287	ENSMUSG00000074170	Plekhf1	pleckstrin homology domain containing, family F (with FYVE domain) member 1

Gclc	NA	14629	ENSMUSG00000032350	Gclc	glutamate-cysteine ligase, catalytic subunit

Apoa4	NA	11808	ENSMUSG00000032080	Apoa4	apolipoprotein A-IV

Apoc2	NA	11813	ENSMUSG00000002992	Apoc2	apolipoprotein C-II

Larp1	NA	73158	ENSMUSG00000037331	Larp1	La ribonucleoprotein domain family, member 1

Tnfrsf1b	NA	21938	ENSMUSG00000028599	Tnfrsf1b	tumor necrosis factor receptor superfamily, member 1b

Plk3	NA	12795	ENSMUSG00000028680	Plk3	polo-like kinase 3

Mapk15	NA	332110	ENSMUSG00000063704	Mapk15	mitogen-activated protein kinase 15


biological process	cell proliferation	GO:0008283
C=1327;O=63;E=33.32;R=1.89;rawP=9.37e-07;adjP=1.76e-05
Ecm1	NA	13601	ENSMUSG00000028108	Ecm1	extracellular matrix protein 1

Rela	NA	19697	ENSMUSG00000024927	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)

Grn	NA	14824	ENSMUSG00000034708	Grn	granulin

Fgf21	NA	56636	ENSMUSG00000030827	Fgf21	fibroblast growth factor 21

Bmp7	NA	12162	ENSMUSG00000008999	Bmp7	bone morphogenetic protein 7

Zbtb16	NA	235320	ENSMUSG00000066687	Zbtb16	zinc finger and BTB domain containing 16

Dct	NA	13190	ENSMUSG00000022129	Dct	dopachrome tautomerase

Tgm2	NA	21817	ENSMUSG00000037820	Tgm2	transglutaminase 2, C polypeptide

Crip2	NA	68337	ENSMUSG00000006356	Crip2	cysteine rich protein 2

Slc11a1	NA	18173	ENSMUSG00000026177	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1

Tnfrsf1b	NA	21938	ENSMUSG00000028599	Tnfrsf1b	tumor necrosis factor receptor superfamily, member 1b

Prdx3	NA	11757	ENSMUSG00000024997	Prdx3	peroxiredoxin 3

Pes1	NA	64934	ENSMUSG00000020430	Pes1	pescadillo homolog 1, containing BRCT domain (zebrafish)

Lrrc32	NA	434215	ENSMUSG00000090958	Lrrc32	leucine rich repeat containing 32

Ccnd2	NA	12444	ENSMUSG00000000184	Ccnd2	cyclin D2

Vim	NA	22352	ENSMUSG00000026728	Vim	vimentin

Epha2	NA	13836	ENSMUSG00000006445	Epha2	Eph receptor A2

Hcls1	NA	15163	ENSMUSG00000022831	Hcls1	hematopoietic cell specific Lyn substrate 1

Prdx1	NA	18477	ENSMUSG00000028691	Prdx1	peroxiredoxin 1

Lrp5	NA	16973	ENSMUSG00000024913	Lrp5	low density lipoprotein receptor-related protein 5

