User file and parameters: User file: WebGestalt_Liver_HFGTXvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for all enriched CC GO category are listed in this table. For each GO category, the first row lists its sub-root
(cellular component), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


cellular component	cytoplasm	GO:0005737
C=8408;O=367;E=215.64;R=1.70;rawP=1.30e-36;adjP=1.95e-34
Ywhag	NA	22628	ENSMUSG00000051391	Ywhag	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide

Rela	NA	19697	ENSMUSG00000024927	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)

Paip1	NA	218693	ENSMUSG00000025451	Paip1	polyadenylate binding protein-interacting protein 1

Grn	NA	14824	ENSMUSG00000034708	Grn	granulin

Extl1	NA	56219	ENSMUSG00000028838	Extl1	exostoses (multiple)-like 1

Chpt1	NA	212862	ENSMUSG00000060002	Chpt1	choline phosphotransferase 1

Hagh	NA	14651	ENSMUSG00000024158	Hagh	hydroxyacyl glutathione hydrolase

Serpinh1	NA	12406	ENSMUSG00000070436	Serpinh1	serine (or cysteine) peptidase inhibitor, clade H, member 1

Hmgcs1	NA	208715	ENSMUSG00000093930	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1

Acot11	NA	329910	ENSMUSG00000034853	Acot11	acyl-CoA thioesterase 11

Stab2	NA	192188	ENSMUSG00000035459	Stab2	stabilin 2

Tm7sf2	NA	73166	ENSMUSG00000024799	Tm7sf2	transmembrane 7 superfamily member 2

Shroom1	NA	71774	ENSMUSG00000018387	Shroom1	shroom family member 1

Ston1	NA	77057	ENSMUSG00000033855	Ston1	stonin 1

Srp14	NA	20813	ENSMUSG00000009549	Srp14	signal recognition particle 14

Blvrb	NA	233016	ENSMUSG00000040466	Blvrb	biliverdin reductase B (flavin reductase (NADPH))

Ccnd2	NA	12444	ENSMUSG00000000184	Ccnd2	cyclin D2

Phkg2	NA	68961	ENSMUSG00000030815	Phkg2	phosphorylase kinase, gamma 2 (testis)

Abhd6	NA	66082	ENSMUSG00000025277	Abhd6	abhydrolase domain containing 6

Entpd5	NA	12499	ENSMUSG00000021236	Entpd5	ectonucleoside triphosphate diphosphohydrolase 5

Mid1ip1	NA	68041	ENSMUSG00000008035	Mid1ip1	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))

St6gal1	NA	20440	ENSMUSG00000022885	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1

Vps37c	NA	107305	ENSMUSG00000048832	Vps37c	vacuolar protein sorting 37C (yeast)

Rmnd1	NA	66084	ENSMUSG00000019763	Rmnd1	required for meiotic nuclear division 1 homolog (S. cerevisiae)

Ccng2	NA	12452	ENSMUSG00000029385	Ccng2	cyclin G2

Bdh2	NA	69772	ENSMUSG00000028167	Bdh2	3-hydroxybutyrate dehydrogenase, type 2

Tgfb1	NA	21803	ENSMUSG00000002603	Tgfb1	transforming growth factor, beta 1

Sidt2	NA	214597	ENSMUSG00000034908	Sidt2	SID1 transmembrane family, member 2

Slc7a8	NA	50934	ENSMUSG00000022180	Slc7a8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8

Ugp2	NA	216558	ENSMUSG00000001891	Ugp2	UDP-glucose pyrophosphorylase 2

Baiap2	NA	108100	ENSMUSG00000025372	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2

Sema6d	NA	214968	ENSMUSG00000027200	Sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D

Apoa1bp	NA	246703	ENSMUSG00000028070	Apoa1bp	apolipoprotein A-I binding protein

