User file and parameters: User file: WebGestalt_Liver_HFVvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for all enriched CC GO category are listed in this table. For each GO category, the first row lists its sub-root
(cellular component), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


cellular component	non-membrane-bounded organelle	GO:0043228
C=2892;O=145;E=92.65;R=1.57;rawP=2.05e-08;adjP=1.42e-07
Cript	NA	56724	ENSMUSG00000024146	Cript	cysteine-rich PDZ-binding protein

Rpl4	NA	67891	ENSMUSG00000032399	Rpl4	ribosomal protein L4

Ccrn4l	NA	12457	ENSMUSG00000023087	Ccrn4l	CCR4 carbon catabolite repression 4-like (S. cerevisiae)

Adar	NA	56417	ENSMUSG00000027951	Adar	adenosine deaminase, RNA-specific

Mapk14	NA	26416	ENSMUSG00000053436	Mapk14	mitogen-activated protein kinase 14

Nr1i3	NA	12355	ENSMUSG00000005677	Nr1i3	nuclear receptor subfamily 1, group I, member 3

Mrpl9	NA	78523	ENSMUSG00000028140	Mrpl9	mitochondrial ribosomal protein L9

Wipf3	NA	330319	ENSMUSG00000086040	Wipf3	WAS/WASL interacting protein family, member 3

Ip6k2	NA	76500	ENSMUSG00000032599	Ip6k2	inositol hexaphosphate kinase 2

Pitpnm2	NA	19679	ENSMUSG00000029406	Pitpnm2	phosphatidylinositol transfer protein, membrane-associated 2

Rpa2	NA	19891	ENSMUSG00000028884	Rpa2	replication protein A2

Fnta	NA	14272	ENSMUSG00000015994	Fnta	farnesyltransferase, CAAX box, alpha

Tfb2m	NA	15278	ENSMUSG00000026492	Tfb2m	transcription factor B2, mitochondrial

Rpl14	NA	67115	ENSMUSG00000025794	Rpl14	ribosomal protein L14

Ep300	NA	328572	ENSMUSG00000055024	Ep300	E1A binding protein p300

Tnks	NA	21951	ENSMUSG00000031529	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase

Tuba1b	NA	22143	ENSMUSG00000023004	Tuba1b	tubulin, alpha 1B

Dctn1	NA	13191	ENSMUSG00000031865	Dctn1	dynactin 1

Pno1	NA	66249	ENSMUSG00000020116	Pno1	partner of NOB1 homolog (S. cerevisiae)

Mrpl46	NA	67308	ENSMUSG00000030612	Mrpl46	mitochondrial ribosomal protein L46

Kalrn	NA	545156	ENSMUSG00000061751	Kalrn	kalirin, RhoGEF kinase

Cetn2	NA	26370	ENSMUSG00000031347	Cetn2	centrin 2

Smarca2	NA	67155	ENSMUSG00000024921	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2

Mrpl50	NA	28028	ENSMUSG00000044018	Mrpl50	mitochondrial ribosomal protein L50

Sall1	NA	58198	ENSMUSG00000031665	Sall1	sal-like 1 (Drosophila)

Flot1	NA	14251	ENSMUSG00000059714	Flot1	flotillin 1

Stat1	NA	20846	ENSMUSG00000026104	Stat1	signal transducer and activator of transcription 1

Sept9	NA	53860	ENSMUSG00000059248	Sept9	septin 9

Cenpv	NA	73139	ENSMUSG00000018509	Cenpv	centromere protein V

Vcl	NA	22330	ENSMUSG00000021823	Vcl	vinculin

Banf1	NA	23825	ENSMUSG00000024844	Banf1	barrier to autointegration factor 1

Numa1	NA	101706	ENSMUSG00000066306	Numa1	nuclear mitotic apparatus protein 1

Fgd6	NA	13998	ENSMUSG00000020021	Fgd6	FYVE, RhoGEF and PH domain containing 6

Foxk1	NA	17425	ENSMUSG00000056493	Foxk1	forkhead box K1

Gabarap	NA	56486	ENSMUSG00000018567	Gabarap	gamma-aminobutyric acid receptor associated protein

Dbi	NA	13167	ENSMUSG00000026385	Dbi	diazepam binding inhibitor

Rpsa	NA	16785	ENSMUSG00000032518	Rpsa	ribosomal protein SA

Ttll8	NA	239591	ENSMUSG00000022388	Ttll8	tubulin tyrosine ligase-like family, member 8

Nme1	NA	18102	ENSMUSG00000037601	Nme1	NME/NM23 nucleoside diphosphate kinase 1

Thap7	NA	69009	ENSMUSG00000022760	Thap7	THAP domain containing 7

Npm1	NA	18148	ENSMUSG00000057113	Npm1	nucleophosmin 1

Nr1d1	NA	217166	ENSMUSG00000020889	Nr1d1	nuclear receptor subfamily 1, group D, member 1

Mrps14	NA	64659	ENSMUSG00000058267	Mrps14	mitochondrial ribosomal protein S14

Palld	NA	72333	ENSMUSG00000058056	Palld	palladin, cytoskeletal associated protein

Il1r1	NA	16177	ENSMUSG00000026072	Il1r1	interleukin 1 receptor, type I

Cstb	NA	13014	ENSMUSG00000005054	Cstb	cystatin B

H2afz	NA	51788	ENSMUSG00000037894	H2afz	H2A histone family, member Z

Tubb4b	NA	227613	ENSMUSG00000036752	Tubb4b	tubulin, beta 4B class IVB

Fam96b	NA	68523	ENSMUSG00000031879	Fam96b	family with sequence similarity 96, member B

Frmd4b	NA	232288	ENSMUSG00000030064	Frmd4b	FERM domain containing 4B

Shank3	NA	58234	ENSMUSG00000022623	Shank3	SH3/ankyrin domain gene 3

Pop5	NA	117109	ENSMUSG00000060152	Pop5	processing of precursor 5, ribonuclease P/MRP family (S. cerevisiae)

Nubp2	NA	26426	ENSMUSG00000039183	Nubp2	nucleotide binding protein 2

Mrpl12	NA	56282	ENSMUSG00000039640	Mrpl12	mitochondrial ribosomal protein L12

Arpc4	NA	68089	ENSMUSG00000079426	Arpc4	actin related protein 2/3 complex, subunit 4

Mbd6	NA	110962	ENSMUSG00000025409	Mbd6	methyl-CpG binding domain protein 6

Kif1c	NA	16562	ENSMUSG00000020821	Kif1c	kinesin family member 1C

Dnmbp	NA	71972	ENSMUSG00000025195	Dnmbp	dynamin binding protein

Rfc5	NA	72151	ENSMUSG00000029363	Rfc5	replication factor C (activator 1) 5

Rps19bp1	NA	66538	ENSMUSG00000051518	Rps19bp1	ribosomal protein S19 binding protein 1

Dtnbp1	NA	94245	ENSMUSG00000057531	Dtnbp1	dystrobrevin binding protein 1

Cnot3	NA	232791	ENSMUSG00000035632	Cnot3	CCR4-NOT transcription complex, subunit 3

