User file and parameters: User file: WebGestalt_Liver_HFVvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for all enriched MF GO category are listed in this table. For each GO category, the first row lists its sub-root
(molecular function), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


molecular function	hydrogen ion transmembrane transporter activity	GO:0015078
C=82;O=15;E=2.64;R=5.69;rawP=4.80e-08;adjP=1.08e-06
Uqcrq	NA	22272	ENSMUSG00000044894	Uqcrq	ubiquinol-cytochrome c reductase, complex III subunit VII

Atp6v0e	NA	11974	ENSMUSG00000015575	Atp6v0e	ATPase, H+ transporting, lysosomal V0 subunit E

Atp5g1	NA	11951	ENSMUSG00000006057	Atp5g1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c1 (subunit 9)

Atp5g3	NA	228033	ENSMUSG00000018770	Atp5g3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)

Cox6a1	NA	12861	ENSMUSG00000041697	Cox6a1	cytochrome c oxidase, subunit VI a, polypeptide 1

Uqcrh	NA	66576	ENSMUSG00000063882	Uqcrh	ubiquinol-cytochrome c reductase hinge protein

Atp6v1e1	NA	11973	ENSMUSG00000019210	Atp6v1e1	ATPase, H+ transporting, lysosomal V1 subunit E1

Cox7b	NA	66142	ENSMUSG00000031231	Cox7b	cytochrome c oxidase subunit VIIb

Cox8a	NA	12868	ENSMUSG00000035885	Cox8a	cytochrome c oxidase, subunit VIIIa

Uqcr11	NA	66594	ENSMUSG00000020163	Uqcr11	ubiquinol-cytochrome c reductase, complex III subunit XI

Atp5f1	NA	11950	ENSMUSG00000000563	Atp5f1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1

Atp6v0d1	NA	11972	ENSMUSG00000013160	Atp6v0d1	ATPase, H+ transporting, lysosomal V0 subunit D1

Atp6v0b	NA	114143	ENSMUSG00000033379	Atp6v0b	ATPase, H+ transporting, lysosomal V0 subunit B

Cox4i1	NA	12857	ENSMUSG00000031818	Cox4i1	cytochrome c oxidase subunit IV isoform 1

Cox7a2l	NA	20463	ENSMUSG00000024248	Cox7a2l	cytochrome c oxidase subunit VIIa polypeptide 2-like


molecular function	DNA binding	GO:0003677
C=1763;O=87;E=56.72;R=1.53;rawP=4.27e-05;adjP=0.0003
Phb	NA	18673	ENSMUSG00000038845	Phb	prohibitin

Zbtb43	NA	71834	ENSMUSG00000026788	Zbtb43	zinc finger and BTB domain containing 43

Per1	NA	18626	ENSMUSG00000020893	Per1	period homolog 1 (Drosophila)

Mafb	NA	16658	ENSMUSG00000074622	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)

Adar	NA	56417	ENSMUSG00000027951	Adar	adenosine deaminase, RNA-specific

Ahdc1	NA	230793	ENSMUSG00000037692	Ahdc1	AT hook, DNA binding motif, containing 1

Nr1i3	NA	12355	ENSMUSG00000005677	Nr1i3	nuclear receptor subfamily 1, group I, member 3

Fosl2	NA	14284	ENSMUSG00000029135	Fosl2	fos-like antigen 2

Esrrg	NA	26381	ENSMUSG00000026610	Esrrg	estrogen-related receptor gamma

Notch1	NA	18128	ENSMUSG00000026923	Notch1	notch 1

Klf11	NA	194655	ENSMUSG00000020653	Klf11	Kruppel-like factor 11

Chrac1	NA	93696	ENSMUSG00000068391	Chrac1	chromatin accessibility complex 1

Ankrd33b	NA	67434	ENSMUSG00000022237	Ankrd33b	ankyrin repeat domain 33B

Hnf1a	NA	21405	ENSMUSG00000029556	Hnf1a	HNF1 homeobox A

Eif4g1	NA	208643	ENSMUSG00000045983	Eif4g1	eukaryotic translation initiation factor 4, gamma 1

Rpa2	NA	19891	ENSMUSG00000028884	Rpa2	replication protein A2

Ep300	NA	328572	ENSMUSG00000055024	Ep300	E1A binding protein p300

Zfp36l2	NA	12193	ENSMUSG00000045817	Zfp36l2	zinc finger protein 36, C3H type-like 2

Crebzf	NA	233490	ENSMUSG00000051451	Crebzf	CREB/ATF bZIP transcription factor

Cxxc1	NA	74322	ENSMUSG00000024560	Cxxc1	CXXC finger 1 (PHD domain)

Nfil3	NA	18030	ENSMUSG00000056749	Nfil3	nuclear factor, interleukin 3, regulated

Zfp507	NA	668501	ENSMUSG00000044452	Zfp507	zinc finger protein 507

Thap2	NA	66816	ENSMUSG00000020137	Thap2	THAP domain containing, apoptosis associated protein 2

Klf12	NA	16597	ENSMUSG00000072294	Klf12	Kruppel-like factor 12

Rev1	NA	56210	ENSMUSG00000026082	Rev1	REV1 homolog (S. cerevisiae)

Junb	NA	16477	ENSMUSG00000052837	Junb	Jun-B oncogene

Bhlhe40	NA	20893	ENSMUSG00000030103	Bhlhe40	basic helix-loop-helix family, member e40

Kdm6b	NA	216850	ENSMUSG00000018476	Kdm6b	KDM1 lysine (K)-specific demethylase 6B

Rad54l2	NA	81000	ENSMUSG00000040661	Rad54l2	RAD54 like 2 (S. cerevisiae)

Zfp750	NA	319530	ENSMUSG00000039238	Zfp750	zinc finger protein 750

Ppara	NA	19013	ENSMUSG00000022383	Ppara	peroxisome proliferator activated receptor alpha

Mlxipl	NA	58805	ENSMUSG00000005373	Mlxipl	MLX interacting protein-like

Smarca2	NA	67155	ENSMUSG00000024921	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2

Irf2	NA	16363	ENSMUSG00000031627	Irf2	interferon regulatory factor 2

Sall1	NA	58198	ENSMUSG00000031665	Sall1	sal-like 1 (Drosophila)

Stat1	NA	20846	ENSMUSG00000026104	Stat1	signal transducer and activator of transcription 1

Foxo1	NA	56458	ENSMUSG00000044167	Foxo1	forkhead box O1

Zfp445	NA	235682	ENSMUSG00000047036	Zfp445	zinc finger protein 445

Banf1	NA	23825	ENSMUSG00000024844	Banf1	barrier to autointegration factor 1

Gtf3c6	NA	67371	ENSMUSG00000019837	Gtf3c6	general transcription factor IIIC, polypeptide 6, alpha

Foxk1	NA	17425	ENSMUSG00000056493	Foxk1	forkhead box K1

Zfp574	NA	232976	ENSMUSG00000045252	Zfp574	zinc finger protein 574

Ddx1	NA	104721	ENSMUSG00000037149	Ddx1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1

Hlf	NA	217082	ENSMUSG00000003949	Hlf	hepatic leukemia factor

Mbd1	NA	17190	ENSMUSG00000024561	Mbd1	methyl-CpG binding domain protein 1

Zhx2	NA	387609	ENSMUSG00000071757	Zhx2	zinc fingers and homeoboxes 2

Nme1	NA	18102	ENSMUSG00000037601	Nme1	NME/NM23 nucleoside diphosphate kinase 1

Etv3	NA	27049	ENSMUSG00000003382	Etv3	ets variant gene 3

Thap7	NA	69009	ENSMUSG00000022760	Thap7	THAP domain containing 7

Npm1	NA	18148	ENSMUSG00000057113	Npm1	nucleophosmin 1

Nr1d1	NA	217166	ENSMUSG00000020889	Nr1d1	nuclear receptor subfamily 1, group D, member 1

Rbl2	NA	19651	ENSMUSG00000031666	Rbl2	retinoblastoma-like 2

Zkscan1	NA	74570	ENSMUSG00000029729	Zkscan1	zinc finger with KRAB and SCAN domains 1

H2afz	NA	51788	ENSMUSG00000037894	H2afz	H2A histone family, member Z

Gtf2h5	NA	66467	ENSMUSG00000034345	Gtf2h5	general transcription factor IIH, polypeptide 5

Zbtb16	NA	235320	ENSMUSG00000066687	Zbtb16	zinc finger and BTB domain containing 16

Cry2	NA	12953	ENSMUSG00000068742	Cry2	cryptochrome 2 (photolyase-like)

Tmem18	NA	211986	ENSMUSG00000043061	Tmem18	transmembrane protein 18

Ppard	NA	19015	ENSMUSG00000002250	Ppard	peroxisome proliferator activator receptor delta

Tead1	NA	21676	ENSMUSG00000055320	Tead1	TEA domain family member 1

Nfe2l1	NA	18023	ENSMUSG00000038615	Nfe2l1	nuclear factor, erythroid derived 2,-like 1

Mbd6	NA	110962	ENSMUSG00000025409	Mbd6	methyl-CpG binding domain protein 6

Nfib	NA	18028	ENSMUSG00000008575	Nfib	nuclear factor I/B

Abl1	NA	11350	ENSMUSG00000026842	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase

Lig3	NA	16882	ENSMUSG00000020697	Lig3	ligase III, DNA, ATP-dependent

Cnbp	NA	12785	ENSMUSG00000030057	Cnbp	cellular nucleic acid binding protein

