User file and parameters: User file: WebGestalt_Liver_HFVvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for each enriched GO category are listed in this table. For each GO category, the first row lists its sub-root
(biological process, molecular function, or cellular component), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


biological process	metabolic process	GO:0008152
C=9069;O=492;E=286.22;R=1.72;rawP=1.28e-53;adjP=1.49e-50
Vgll4	NA	Vgll4	vestigial like 4 (Drosophila)	232334	ENSMUSG00000030315

Zbtb43	NA	Zbtb43	zinc finger and BTB domain containing 43	71834	ENSMUSG00000026788

Pitrm1	NA	Pitrm1	pitrilysin metallepetidase 1	69617	ENSMUSG00000021193

Pmvk	NA	Pmvk	phosphomevalonate kinase	68603	ENSMUSG00000027952

Dhrs13	NA	Dhrs13	dehydrogenase/reductase (SDR family) member 13	70451	ENSMUSG00000020834

Oplah	NA	Oplah	5-oxoprolinase (ATP-hydrolysing)	75475	ENSMUSG00000022562

Hmgcs1	NA	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	208715	ENSMUSG00000093930

Acot11	NA	Acot11	acyl-CoA thioesterase 11	329910	ENSMUSG00000034853

Tm7sf2	NA	Tm7sf2	transmembrane 7 superfamily member 2	73166	ENSMUSG00000024799

Avpi1	NA	Avpi1	arginine vasopressin-induced 1	69534	ENSMUSG00000018821

Dido1	NA	Dido1	death inducer-obliterator 1	23856	ENSMUSG00000038914

Srp14	NA	Srp14	signal recognition particle 14	20813	ENSMUSG00000009549

Plce1	NA	Plce1	phospholipase C, epsilon 1	74055	ENSMUSG00000024998

Usp33	NA	Usp33	ubiquitin specific peptidase 33	170822	ENSMUSG00000025437

Scp2	NA	Scp2	sterol carrier protein 2, liver	20280	ENSMUSG00000028603

Dpm3	NA	Dpm3	dolichyl-phosphate mannosyltransferase polypeptide 3	68563	ENSMUSG00000042737

Adcy9	NA	Adcy9	adenylate cyclase 9	11515	ENSMUSG00000005580

Ndufaf2	NA	Ndufaf2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 2	75597	ENSMUSG00000068184

Ip6k2	NA	Ip6k2	inositol hexaphosphate kinase 2	76500	ENSMUSG00000032599

Zfyve1	NA	Zfyve1	zinc finger, FYVE domain containing 1	217695	ENSMUSG00000042628

Fkbp11	NA	Fkbp11	FK506 binding protein 11	66120	ENSMUSG00000003355

Rap1b	NA	Rap1b	RAS related protein 1b	215449	ENSMUSG00000052681

Fnta	NA	Fnta	farnesyltransferase, CAAX box, alpha	14272	ENSMUSG00000015994

Rpa2	NA	Rpa2	replication protein A2	19891	ENSMUSG00000028884

Il6ra	NA	Il6ra	interleukin 6 receptor, alpha	16194	ENSMUSG00000027947

Cdc34	NA	Cdc34	cell division cycle 34	216150	ENSMUSG00000020307

Tnks	NA	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	21951	ENSMUSG00000031529

Pdpr	NA	Pdpr	pyruvate dehydrogenase phosphatase regulatory subunit	319518	ENSMUSG00000033624

Cox8a	NA	Cox8a	cytochrome c oxidase, subunit VIIIa	12868	ENSMUSG00000035885

Klf12	NA	Klf12	Kruppel-like factor 12	16597	ENSMUSG00000072294

Tuba1b	NA	Tuba1b	tubulin, alpha 1B	22143	ENSMUSG00000023004

Nop10	NA	Nop10	NOP10 ribonucleoprotein homolog (yeast)	66181	ENSMUSG00000027133

Nek4	NA	Nek4	NIMA (never in mitosis gene a)-related expressed kinase 4	23955	ENSMUSG00000021918

Sardh	NA	Sardh	sarcosine dehydrogenase	192166	ENSMUSG00000009614

Cyp2r1	NA	Cyp2r1	cytochrome P450, family 2, subfamily r, polypeptide 1	244209	ENSMUSG00000030670

Ugt1a7c	NA	Ugt1a7c	UDP glucuronosyltransferase 1 family, polypeptide A7C	394432	ENSMUSG00000090124

Psma2	NA	Psma2	proteasome (prosome, macropain) subunit, alpha type 2	19166	ENSMUSG00000015671

Kalrn	NA	Kalrn	kalirin, RhoGEF kinase	545156	ENSMUSG00000061751

Eif2s2	NA	Eif2s2	eukaryotic translation initiation factor 2, subunit 2 (beta)	67204	ENSMUSG00000074656

Sptssa	NA	Sptssa	serine palmitoyltransferase, small subunit A	104725	ENSMUSG00000044408

Sec61b	NA	Sec61b	Sec61 beta subunit	66212	ENSMUSG00000053317

Mlxipl	NA	Mlxipl	MLX interacting protein-like	58805	ENSMUSG00000005373

Uqcr11	NA	Uqcr11	ubiquinol-cytochrome c reductase, complex III subunit XI	66594	ENSMUSG00000020163

Gstm4	NA	Gstm4	glutathione S-transferase, mu 4	14865	ENSMUSG00000027890

Smarca2	NA	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	67155	ENSMUSG00000024921

Aldh1a7	NA	Aldh1a7	aldehyde dehydrogenase family 1, subfamily A7	26358	ENSMUSG00000024747

Med12	NA	Med12	mediator of RNA polymerase II transcription, subunit 12 homolog (yeast)	59024	ENSMUSG00000079487

Cenpv	NA	Cenpv	centromere protein V	73139	ENSMUSG00000018509

Lypla1	NA	Lypla1	lysophospholipase 1	18777	ENSMUSG00000025903

Mdp1	NA	Mdp1	magnesium-dependent phosphatase 1	67881	ENSMUSG00000002329

Foxo1	NA	Foxo1	forkhead box O1	56458	ENSMUSG00000044167

Erbb3	NA	Erbb3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	13867	ENSMUSG00000018166

Gstm3	NA	Gstm3	glutathione S-transferase, mu 3	14864	ENSMUSG00000004038

Atp5g1	NA	Atp5g1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c1 (subunit 9)	11951	ENSMUSG00000006057

Sars	NA	Sars	seryl-aminoacyl-tRNA synthetase	20226	ENSMUSG00000068739

Foxk1	NA	Foxk1	forkhead box K1	17425	ENSMUSG00000056493

Cox7b	NA	Cox7b	cytochrome c oxidase subunit VIIb	66142	ENSMUSG00000031231

Grpel1	NA	Grpel1	GrpE-like 1, mitochondrial	17713	ENSMUSG00000029198

Dnase2a	NA	Dnase2a	deoxyribonuclease II alpha	13423	ENSMUSG00000003812

Hlf	NA	Hlf	hepatic leukemia factor	217082	ENSMUSG00000003949

Dbi	NA	Dbi	diazepam binding inhibitor	13167	ENSMUSG00000026385

Lpin1	NA	Lpin1	lipin 1	14245	ENSMUSG00000020593

Mtmr4	NA	Mtmr4	myotubularin related protein 4	170749	ENSMUSG00000018401

Pdia6	NA	Pdia6	protein disulfide isomerase associated 6	71853	ENSMUSG00000020571

Ttll8	NA	Ttll8	tubulin tyrosine ligase-like family, member 8	239591	ENSMUSG00000022388

Pfkfb3	NA	Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	170768	ENSMUSG00000026773

Sik3	NA	Sik3	SIK family kinase 3	70661	ENSMUSG00000034135

Npm1	NA	Npm1	nucleophosmin 1	18148	ENSMUSG00000057113

Mrps14	NA	Mrps14	mitochondrial ribosomal protein S14	64659	ENSMUSG00000058267

Pkdcc	NA	Pkdcc	protein kinase domain containing, cytoplasmic	106522	ENSMUSG00000024247

Ugt1a9	NA	Ugt1a9	UDP glucuronosyltransferase 1 family, polypeptide A9	394434	ENSMUSG00000090175

Gsto1	NA	Gsto1	glutathione S-transferase omega 1	14873	ENSMUSG00000025068

Gpam	NA	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	14732	ENSMUSG00000024978

Cstb	NA	Cstb	cystatin B	13014	ENSMUSG00000005054

Gtf2h5	NA	Gtf2h5	general transcription factor IIH, polypeptide 5	66467	ENSMUSG00000034345

