User data and parameters: User data: WebGestalt_Liver_HFVvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for each enriched gene sets are listed in this table. For each gene set, the first row lists its gene set
name, and corresponding Gene Set ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the gene set are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


Transcrription Target	mmu_GGGCGGR_V$SP1_Q6	DB_ID:1837
C=2704;O=152;E=36.97;R=4.11;rawP=1.32e-50;adjP=6.60e-48
Tmem141	NA	Tmem141	transmembrane protein 141	51875	ENSMUSG00000026939

Zbtb43	NA	Zbtb43	zinc finger and BTB domain containing 43	71834	ENSMUSG00000026788

Pmvk	NA	Pmvk	phosphomevalonate kinase	68603	ENSMUSG00000027952

Per1	NA	Per1	period homolog 1 (Drosophila)	18626	ENSMUSG00000020893

Hmgcs1	NA	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	208715	ENSMUSG00000093930

Acot11	NA	Acot11	acyl-CoA thioesterase 11	329910	ENSMUSG00000034853

Tm7sf2	NA	Tm7sf2	transmembrane 7 superfamily member 2	73166	ENSMUSG00000024799

Arrdc2	NA	Arrdc2	arrestin domain containing 2	70807	ENSMUSG00000002910

Srp14	NA	Srp14	signal recognition particle 14	20813	ENSMUSG00000009549

Ip6k2	NA	Ip6k2	inositol hexaphosphate kinase 2	76500	ENSMUSG00000032599

Fkbp11	NA	Fkbp11	FK506 binding protein 11	66120	ENSMUSG00000003355

Fnta	NA	Fnta	farnesyltransferase, CAAX box, alpha	14272	ENSMUSG00000015994

Zfyve21	NA	Zfyve21	zinc finger, FYVE domain containing 21	68520	ENSMUSG00000021286

Tfb2m	NA	Tfb2m	transcription factor B2, mitochondrial	15278	ENSMUSG00000026492

Rpl14	NA	Rpl14	ribosomal protein L14	67115	ENSMUSG00000025794

Ep300	NA	Ep300	E1A binding protein p300	328572	ENSMUSG00000055024

Zfand2b	NA	Zfand2b	zinc finger, AN1 type domain 2B	68818	ENSMUSG00000026197

Tnks	NA	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	21951	ENSMUSG00000031529

Pdpr	NA	Pdpr	pyruvate dehydrogenase phosphatase regulatory subunit	319518	ENSMUSG00000033624

Isca2	NA	Isca2	iron-sulfur cluster assembly 2 homolog (S. cerevisiae)	74316	ENSMUSG00000021241

Atp6v0b	NA	Atp6v0b	ATPase, H+ transporting, lysosomal V0 subunit B	114143	ENSMUSG00000033379

Tob2	NA	Tob2	transducer of ERBB2, 2	57259	ENSMUSG00000048546

Junb	NA	Junb	Jun-B oncogene	16477	ENSMUSG00000052837

Mtch2	NA	Mtch2	mitochondrial carrier homolog 2 (C. elegans)	56428	ENSMUSG00000027282

Col27a1	NA	Col27a1	collagen, type XXVII, alpha 1	373864	ENSMUSG00000045672

Eif2s2	NA	Eif2s2	eukaryotic translation initiation factor 2, subunit 2 (beta)	67204	ENSMUSG00000074656

Ppara	NA	Ppara	peroxisome proliferator activated receptor alpha	19013	ENSMUSG00000022383

Smarca2	NA	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	67155	ENSMUSG00000024921

Sall1	NA	Sall1	sal-like 1 (Drosophila)	58198	ENSMUSG00000031665

Lgals1	NA	Lgals1	lectin, galactose binding, soluble 1	16852	ENSMUSG00000068220

Flot1	NA	Flot1	flotillin 1	14251	ENSMUSG00000059714

Med12	NA	Med12	mediator of RNA polymerase II transcription, subunit 12 homolog (yeast)	59024	ENSMUSG00000079487

Ostc	NA	Ostc	oligosaccharyltransferase complex subunit	66357	ENSMUSG00000041084

Vcl	NA	Vcl	vinculin	22330	ENSMUSG00000021823

Numa1	NA	Numa1	nuclear mitotic apparatus protein 1	101706	ENSMUSG00000066306

Erbb3	NA	Erbb3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	13867	ENSMUSG00000018166

Kcnk5	NA	Kcnk5	potassium channel, subfamily K, member 5	16529	ENSMUSG00000023243

Gabarap	NA	Gabarap	gamma-aminobutyric acid receptor associated protein	56486	ENSMUSG00000018567

Grpel1	NA	Grpel1	GrpE-like 1, mitochondrial	17713	ENSMUSG00000029198

Ap2a1	NA	Ap2a1	adaptor protein complex AP-2, alpha 1 subunit	11771	ENSMUSG00000060279

Mtmr4	NA	Mtmr4	myotubularin related protein 4	170749	ENSMUSG00000018401

Pdia6	NA	Pdia6	protein disulfide isomerase associated 6	71853	ENSMUSG00000020571

Pfkfb3	NA	Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	170768	ENSMUSG00000026773

Npm1	NA	Npm1	nucleophosmin 1	18148	ENSMUSG00000057113

Nr1d1	NA	Nr1d1	nuclear receptor subfamily 1, group D, member 1	217166	ENSMUSG00000020889

Mrps14	NA	Mrps14	mitochondrial ribosomal protein S14	64659	ENSMUSG00000058267

Dctpp1	NA	Dctpp1	dCTP pyrophosphatase 1	66422	ENSMUSG00000042462

H2afz	NA	H2afz	H2A histone family, member Z	51788	ENSMUSG00000037894

Cdh2	NA	Cdh2	cadherin 2	12558	ENSMUSG00000024304

Dalrd3	NA	Dalrd3	DALR anticodon binding domain containing 3	67789	ENSMUSG00000019039

Cry2	NA	Cry2	cryptochrome 2 (photolyase-like)	12953	ENSMUSG00000068742

Nubp2	NA	Nubp2	nucleotide binding protein 2	26426	ENSMUSG00000039183

Rab11a	NA	Rab11a	RAB11a, member RAS oncogene family	53869	ENSMUSG00000004771

Vps29	NA	Vps29	vacuolar protein sorting 29 (S. pombe)	56433	ENSMUSG00000029462

Nfe2l1	NA	Nfe2l1	nuclear factor, erythroid derived 2,-like 1	18023	ENSMUSG00000038615

Arpc4	NA	Arpc4	actin related protein 2/3 complex, subunit 4	68089	ENSMUSG00000079426

Mbd6	NA	Mbd6	methyl-CpG binding domain protein 6	110962	ENSMUSG00000025409

Kif1c	NA	Kif1c	kinesin family member 1C	16562	ENSMUSG00000020821

Dera	NA	Dera	2-deoxyribose-5-phosphate aldolase homolog (C. elegans)	232449	ENSMUSG00000030225

Foxo3	NA	Foxo3	forkhead box O3	56484	ENSMUSG00000048756

Rps19bp1	NA	Rps19bp1	ribosomal protein S19 binding protein 1	66538	ENSMUSG00000051518

Timp3	NA	Timp3	tissue inhibitor of metalloproteinase 3	21859	ENSMUSG00000020044

Csad	NA	Csad	cysteine sulfinic acid decarboxylase	246277	ENSMUSG00000023044

Ppap2b	NA	Ppap2b	phosphatidic acid phosphatase type 2B	67916	ENSMUSG00000028517

Cnot3	NA	Cnot3	CCR4-NOT transcription complex, subunit 3	232791	ENSMUSG00000035632

Klf13	NA	Klf13	Kruppel-like factor 13	50794	ENSMUSG00000052040

Elovl1	NA	Elovl1	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1	54325	ENSMUSG00000006390

Nxt1	NA	Nxt1	NTF2-related export protein 1	56488	ENSMUSG00000036992

Hspe1	NA	Hspe1	heat shock protein 1 (chaperonin 10)	15528	ENSMUSG00000073676

Tuba1c	NA	Tuba1c	tubulin, alpha 1C	22146	ENSMUSG00000043091

St3gal5	NA	St3gal5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	20454	ENSMUSG00000056091

Flii	NA	Flii	flightless I homolog (Drosophila)	14248	ENSMUSG00000002812

Rras	NA	Rras	Harvey rat sarcoma oncogene, subgroup R	20130	ENSMUSG00000038387

Phf12	NA	Phf12	PHD finger protein 12	268448	ENSMUSG00000037791

Hhex	NA	Hhex	hematopoietically expressed homeobox	15242	ENSMUSG00000024986

Mgst3	NA	Mgst3	microsomal glutathione S-transferase 3	66447	ENSMUSG00000026688

Eif1	NA	Eif1	eukaryotic translation initiation factor 1	20918	ENSMUSG00000035530

Cdkn1a	NA	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	12575	ENSMUSG00000023067

Gapdh	NA	Gapdh	glyceraldehyde-3-phosphate dehydrogenase	14433	ENSMUSG00000057666

Ube2b	NA	Ube2b	ubiquitin-conjugating enzyme E2B	22210	ENSMUSG00000020390

Pdia3	NA	Pdia3	protein disulfide isomerase associated 3	14827	ENSMUSG00000027248

Acat2	NA	Acat2	acetyl-Coenzyme A acetyltransferase 2	110460	ENSMUSG00000023832

Mrps17	NA	Mrps17	mitochondrial ribosomal protein S17	66258	ENSMUSG00000034211

Ndufa8	NA	Ndufa8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8	68375	ENSMUSG00000026895

Sar1a	NA	Sar1a	SAR1 gene homolog A (S. cerevisiae)	20224	ENSMUSG00000020088

Mrps7	NA	Mrps7	mitchondrial ribosomal protein S7	50529	ENSMUSG00000046756

Thbd	NA	Thbd	thrombomodulin	21824	ENSMUSG00000074743

Mvd	NA	Mvd	mevalonate (diphospho) decarboxylase	192156	ENSMUSG00000006517

Osbpl3	NA	Osbpl3	oxysterol binding protein-like 3	71720	ENSMUSG00000029822

Mafb	NA	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	16658	ENSMUSG00000074622

Pde6d	NA	Pde6d	phosphodiesterase 6D, cGMP-specific, rod, delta	18582	ENSMUSG00000026239

Pprc1	NA	Pprc1	peroxisome proliferative activated receptor, gamma, coactivator-related 1	226169	ENSMUSG00000055491

Notch1	NA	Notch1	notch 1	18128	ENSMUSG00000026923

Copz1	NA	Copz1	coatomer protein complex, subunit zeta 1	56447	ENSMUSG00000060992

Klf11	NA	Klf11	Kruppel-like factor 11	194655	ENSMUSG00000020653

Sep15	NA	Sep15	selenoprotein	93684	ENSMUSG00000037072

Pfkfb2	NA	Pfkfb2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	18640	ENSMUSG00000026409

Eif4g1	NA	Eif4g1	eukaryotic translation initiation factor 4, gamma 1	208643	ENSMUSG00000045983

Zfp36l2	NA	Zfp36l2	zinc finger protein 36, C3H type-like 2	12193	ENSMUSG00000045817

Ywhaq	NA	Ywhaq	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	22630	ENSMUSG00000076432

Actn4	NA	Actn4	actinin alpha 4	60595	ENSMUSG00000054808

Mkl2	NA	Mkl2	MKL/myocardin-like 2	239719	ENSMUSG00000009569

Dopey1	NA	Dopey1	dopey family member 1	320615	ENSMUSG00000034973

Trib1	NA	Trib1	tribbles homolog 1 (Drosophila)	211770	ENSMUSG00000032501

Ndufa13	NA	Ndufa13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13	67184	ENSMUSG00000036199

Rev1	NA	Rev1	REV1 homolog (S. cerevisiae)	56210	ENSMUSG00000026082

Prrc2a	NA	Prrc2a	proline-rich coiled-coil 2A	53761	ENSMUSG00000024393

Hnrnpul1	NA	Hnrnpul1	heterogeneous nuclear ribonucleoprotein U-like 1	232989	ENSMUSG00000040725

Bhlhe40	NA	Bhlhe40	basic helix-loop-helix family, member e40	20893	ENSMUSG00000030103

Rnd2	NA	Rnd2	Rho family GTPase 2	11858	ENSMUSG00000001313

Rnf44	NA	Rnf44	ring finger protein 44	105239	ENSMUSG00000034928

Slc16a2	NA	Slc16a2	solute carrier family 16 (monocarboxylic acid transporters), member 2	20502	ENSMUSG00000033965

Bcl9l	NA	Bcl9l	B cell CLL/lymphoma 9-like	80288	ENSMUSG00000063382

Ccne1	NA	Ccne1	cyclin E1	12447	ENSMUSG00000002068

Selk	NA	Selk	selenoprotein K	80795	ENSMUSG00000042682

Hsph1	NA	Hsph1	heat shock 105kDa/110kDa protein 1	15505	ENSMUSG00000029657

Aprt	NA	Aprt	adenine phosphoribosyl transferase	11821	ENSMUSG00000006589

Mrpl43	NA	Mrpl43	mitochondrial ribosomal protein L43	94067	ENSMUSG00000025208

Lrp1	NA	Lrp1	low density lipoprotein receptor-related protein 1	16971	ENSMUSG00000040249

Atxn2l	NA	Atxn2l	ataxin 2-like	233871	ENSMUSG00000032637

Cpt1a	NA	Cpt1a	carnitine palmitoyltransferase 1a, liver	12894	ENSMUSG00000024900

Qrich1	NA	Qrich1	glutamine-rich 1	69232	ENSMUSG00000006673

Tmed5	NA	Tmed5	transmembrane emp24 protein transport domain containing 5	73130	ENSMUSG00000063406

Dgcr6	NA	Dgcr6	DiGeorge syndrome critical region gene 6	13353	ENSMUSG00000003531

Dock4	NA	Dock4	dedicator of cytokinesis 4	238130	ENSMUSG00000035954

Brd2	NA	Brd2	bromodomain containing 2	14312	ENSMUSG00000024335

Rnf123	NA	Rnf123	ring finger protein 123	84585	ENSMUSG00000041528

Mrpl1	NA	Mrpl1	mitochondrial ribosomal protein L1	94061	ENSMUSG00000029486

Nfib	NA	Nfib	nuclear factor I/B	18028	ENSMUSG00000008575

Ppp1r3b	NA	Ppp1r3b	protein phosphatase 1, regulatory (inhibitor) subunit 3B	244416	ENSMUSG00000046794

Lig3	NA	Lig3	ligase III, DNA, ATP-dependent	16882	ENSMUSG00000020697

Abl1	NA	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	11350	ENSMUSG00000026842

Ap1s1	NA	Ap1s1	adaptor protein complex AP-1, sigma 1	11769	ENSMUSG00000004849

Jun	NA	Jun	Jun oncogene	16476	ENSMUSG00000052684

Lmo4	NA	Lmo4	LIM domain only 4	16911	ENSMUSG00000028266

Pgrmc1	NA	Pgrmc1	progesterone receptor membrane component 1	53328	ENSMUSG00000006373

Gata6	NA	Gata6	GATA binding protein 6	14465	ENSMUSG00000005836

Smpd3	NA	Smpd3	sphingomyelin phosphodiesterase 3, neutral	58994	ENSMUSG00000031906

Ahr	NA	Ahr	aryl-hydrocarbon receptor	11622	ENSMUSG00000019256

Atp5g3	NA	Atp5g3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	228033	ENSMUSG00000018770

Ptrh2	NA	Ptrh2	peptidyl-tRNA hydrolase 2	217057	ENSMUSG00000072582

Rgs16	NA	Rgs16	regulator of G-protein signaling 16	19734	ENSMUSG00000026475

Irf2bpl	NA	Irf2bpl	interferon regulatory factor 2 binding protein-like	238330	ENSMUSG00000034168

Cdcp1	NA	Cdcp1	CUB domain containing protein 1	109332	ENSMUSG00000035498

Cct3	NA	Cct3	chaperonin containing Tcp1, subunit 3 (gamma)	12462	ENSMUSG00000001416

Aldh2	NA	Aldh2	aldehyde dehydrogenase 2, mitochondrial	11669	ENSMUSG00000029455

Bag6	NA	Bag6	BCL2-associated athanogene 6	224727	ENSMUSG00000024392

Pls3	NA	Pls3	plastin 3 (T-isoform)	102866	ENSMUSG00000016382

Fkbp5	NA	Fkbp5	FK506 binding protein 5	14229	ENSMUSG00000024222

Bhmt2	NA	Bhmt2	betaine-homocysteine methyltransferase 2	64918	ENSMUSG00000042118

Zfp36l1	NA	Zfp36l1	zinc finger protein 36, C3H type-like 1	12192	ENSMUSG00000021127

Pabpc1	NA	Pabpc1	poly(A) binding protein, cytoplasmic 1	18458	ENSMUSG00000022283


Transcrription Target	mmu_GGGAGGRR_V$MAZ_Q6	DB_ID:1815
C=2104;O=109;E=28.76;R=3.79;rawP=8.04e-33;adjP=2.01e-30
Vgll4	NA	Vgll4	vestigial like 4 (Drosophila)	232334	ENSMUSG00000030315

Sar1a	NA	Sar1a	SAR1 gene homolog A (S. cerevisiae)	20224	ENSMUSG00000020088

Sorbs1	NA	Sorbs1	sorbin and SH3 domain containing 1	20411	ENSMUSG00000025006

Tns1	NA	Tns1	tensin 1	21961	ENSMUSG00000055322

Pmvk	NA	Pmvk	phosphomevalonate kinase	68603	ENSMUSG00000027952

Per1	NA	Per1	period homolog 1 (Drosophila)	18626	ENSMUSG00000020893

Kdm4a	NA	Kdm4a	lysine (K)-specific demethylase 4A	230674	ENSMUSG00000033326

Acot11	NA	Acot11	acyl-CoA thioesterase 11	329910	ENSMUSG00000034853

Nr1i3	NA	Nr1i3	nuclear receptor subfamily 1, group I, member 3	12355	ENSMUSG00000005677

Pik3ap1	NA	Pik3ap1	phosphoinositide-3-kinase adaptor protein 1	83490	ENSMUSG00000025017

Spry4	NA	Spry4	sprouty homolog 4 (Drosophila)	24066	ENSMUSG00000024427

Dusp14	NA	Dusp14	dual specificity phosphatase 14	56405	ENSMUSG00000018648

Hsd11b1	NA	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1	15483	ENSMUSG00000016194

Pprc1	NA	Pprc1	peroxisome proliferative activated receptor, gamma, coactivator-related 1	226169	ENSMUSG00000055491

Esrrg	NA	Esrrg	estrogen-related receptor gamma	26381	ENSMUSG00000026610

Notch1	NA	Notch1	notch 1	18128	ENSMUSG00000026923

Micall1	NA	Micall1	microtubule associated monoxygenase, calponin and LIM domain containing -like 1	27008	ENSMUSG00000033039

Zfyve1	NA	Zfyve1	zinc finger, FYVE domain containing 1	217695	ENSMUSG00000042628

Hnf1a	NA	Hnf1a	HNF1 homeobox A	21405	ENSMUSG00000029556

Eif4g1	NA	Eif4g1	eukaryotic translation initiation factor 4, gamma 1	208643	ENSMUSG00000045983

C4b	NA	C4b	complement component 4B (Chido blood group)	12268	ENSMUSG00000073418

Tfb2m	NA	Tfb2m	transcription factor B2, mitochondrial	15278	ENSMUSG00000026492

Ep300	NA	Ep300	E1A binding protein p300	328572	ENSMUSG00000055024

Rai1	NA	Rai1	retinoic acid induced 1	19377	ENSMUSG00000062115

Ywhaq	NA	Ywhaq	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	22630	ENSMUSG00000076432

Cox8a	NA	Cox8a	cytochrome c oxidase, subunit VIIIa	12868	ENSMUSG00000035885

F5	NA	F5	coagulation factor V	14067	ENSMUSG00000026579

Prss8	NA	Prss8	protease, serine, 8 (prostasin)	76560	ENSMUSG00000030800

Trib1	NA	Trib1	tribbles homolog 1 (Drosophila)	211770	ENSMUSG00000032501

Klf12	NA	Klf12	Kruppel-like factor 12	16597	ENSMUSG00000072294

Tob2	NA	Tob2	transducer of ERBB2, 2	57259	ENSMUSG00000048546

Junb	NA	Junb	Jun-B oncogene	16477	ENSMUSG00000052837

Pno1	NA	Pno1	partner of NOB1 homolog (S. cerevisiae)	66249	ENSMUSG00000020116

Fchsd2	NA	Fchsd2	FCH and double SH3 domains 2	207278	ENSMUSG00000030691

Prrc2a	NA	Prrc2a	proline-rich coiled-coil 2A	53761	ENSMUSG00000024393

Hnrnpul1	NA	Hnrnpul1	heterogeneous nuclear ribonucleoprotein U-like 1	232989	ENSMUSG00000040725

Map3k13	NA	Map3k13	mitogen-activated protein kinase kinase kinase 13	71751	ENSMUSG00000033618

Bhlhe40	NA	Bhlhe40	basic helix-loop-helix family, member e40	20893	ENSMUSG00000030103

Col27a1	NA	Col27a1	collagen, type XXVII, alpha 1	373864	ENSMUSG00000045672

Smarca2	NA	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	67155	ENSMUSG00000024921

Rnf44	NA	Rnf44	ring finger protein 44	105239	ENSMUSG00000034928

Ptprf	NA	Ptprf	protein tyrosine phosphatase, receptor type, F	19268	ENSMUSG00000033295

Lgals1	NA	Lgals1	lectin, galactose binding, soluble 1	16852	ENSMUSG00000068220

Sall1	NA	Sall1	sal-like 1 (Drosophila)	58198	ENSMUSG00000031665

Slc16a2	NA	Slc16a2	solute carrier family 16 (monocarboxylic acid transporters), member 2	20502	ENSMUSG00000033965

Bcl9l	NA	Bcl9l	B cell CLL/lymphoma 9-like	80288	ENSMUSG00000063382

Vcl	NA	Vcl	vinculin	22330	ENSMUSG00000021823

Srrm4	NA	Srrm4	serine/arginine repetitive matrix 4	68955	ENSMUSG00000063919

Ccne1	NA	Ccne1	cyclin E1	12447	ENSMUSG00000002068

Foxo1	NA	Foxo1	forkhead box O1	56458	ENSMUSG00000044167

Galnt4	NA	Galnt4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4	14426	ENSMUSG00000090035

Erbb3	NA	Erbb3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	13867	ENSMUSG00000018166

Gabarap	NA	Gabarap	gamma-aminobutyric acid receptor associated protein	56486	ENSMUSG00000018567

Grpel1	NA	Grpel1	GrpE-like 1, mitochondrial	17713	ENSMUSG00000029198

Tceb1	NA	Tceb1	transcription elongation factor B (SIII), polypeptide 1	67923	ENSMUSG00000079658

Lrp1	NA	Lrp1	low density lipoprotein receptor-related protein 1	16971	ENSMUSG00000040249

Atxn2l	NA	Atxn2l	ataxin 2-like	233871	ENSMUSG00000032637

Slc6a9	NA	Slc6a9	solute carrier family 6 (neurotransmitter transporter, glycine), member 9	14664	ENSMUSG00000028542

Nr1d1	NA	Nr1d1	nuclear receptor subfamily 1, group D, member 1	217166	ENSMUSG00000020889

Qrich1	NA	Qrich1	glutamine-rich 1	69232	ENSMUSG00000006673

H2afz	NA	H2afz	H2A histone family, member Z	51788	ENSMUSG00000037894

Cdh2	NA	Cdh2	cadherin 2	12558	ENSMUSG00000024304

Dock4	NA	Dock4	dedicator of cytokinesis 4	238130	ENSMUSG00000035954

Atp1a1	NA	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	11928	ENSMUSG00000033161

Brd2	NA	Brd2	bromodomain containing 2	14312	ENSMUSG00000024335

Snrk	NA	Snrk	SNF related kinase	20623	ENSMUSG00000038145

Mbd6	NA	Mbd6	methyl-CpG binding domain protein 6	110962	ENSMUSG00000025409

Epha2	NA	Epha2	Eph receptor A2	13836	ENSMUSG00000006445

Kif1c	NA	Kif1c	kinesin family member 1C	16562	ENSMUSG00000020821

Pdzk1ip1	NA	Pdzk1ip1	PDZK1 interacting protein 1	67182	ENSMUSG00000028716

Lig3	NA	Lig3	ligase III, DNA, ATP-dependent	16882	ENSMUSG00000020697

Abl1	NA	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	11350	ENSMUSG00000026842

Jun	NA	Jun	Jun oncogene	16476	ENSMUSG00000052684

Foxo3	NA	Foxo3	forkhead box O3	56484	ENSMUSG00000048756

Ap1s1	NA	Ap1s1	adaptor protein complex AP-1, sigma 1	11769	ENSMUSG00000004849

Ddx6	NA	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	13209	ENSMUSG00000032097

Lmo4	NA	Lmo4	LIM domain only 4	16911	ENSMUSG00000028266

Hsd17b2	NA	Hsd17b2	hydroxysteroid (17-beta) dehydrogenase 2	15486	ENSMUSG00000031844

Mafg	NA	Mafg	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)	17134	ENSMUSG00000051510

Vegfb	NA	Vegfb	vascular endothelial growth factor B	22340	ENSMUSG00000024962

Inhbe	NA	Inhbe	inhibin beta E	16326	ENSMUSG00000047492

Csad	NA	Csad	cysteine sulfinic acid decarboxylase	246277	ENSMUSG00000023044

Tacc2	NA	Tacc2	transforming, acidic coiled-coil containing protein 2	57752	ENSMUSG00000030852

Cnot3	NA	Cnot3	CCR4-NOT transcription complex, subunit 3	232791	ENSMUSG00000035632

Dusp6	NA	Dusp6	dual specificity phosphatase 6	67603	ENSMUSG00000019960

Smpd3	NA	Smpd3	sphingomyelin phosphodiesterase 3, neutral	58994	ENSMUSG00000031906

Hspe1	NA	Hspe1	heat shock protein 1 (chaperonin 10)	15528	ENSMUSG00000073676

Atp5g3	NA	Atp5g3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	228033	ENSMUSG00000018770

Irf2bpl	NA	Irf2bpl	interferon regulatory factor 2 binding protein-like	238330	ENSMUSG00000034168

Dock6	NA	Dock6	dedicator of cytokinesis 6	319899	ENSMUSG00000032198

Rras	NA	Rras	Harvey rat sarcoma oncogene, subgroup R	20130	ENSMUSG00000038387

Pigo	NA	Pigo	phosphatidylinositol glycan anchor biosynthesis, class O	56703	ENSMUSG00000028454

Serp1	NA	Serp1	stress-associated endoplasmic reticulum protein 1	28146	ENSMUSG00000027808

Cic	NA	Cic	capicua homolog (Drosophila)	71722	ENSMUSG00000005442

Phf12	NA	Phf12	PHD finger protein 12	268448	ENSMUSG00000037791

Bag6	NA	Bag6	BCL2-associated athanogene 6	224727	ENSMUSG00000024392

Pls3	NA	Pls3	plastin 3 (T-isoform)	102866	ENSMUSG00000016382

Prox1	NA	Prox1	prospero-related homeobox 1	19130	ENSMUSG00000010175

Atp2a2	NA	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	11938	ENSMUSG00000029467

Eif1	NA	Eif1	eukaryotic translation initiation factor 1	20918	ENSMUSG00000035530

Hectd1	NA	Hectd1	HECT domain containing 1	207304	ENSMUSG00000035247

Bnip3l	NA	Bnip3l	BCL2/adenovirus E1B interacting protein 3-like	12177	ENSMUSG00000022051

