User data and parameters: User data: WebGestalt_Liver_HFVvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for each enriched gene sets are listed in this table. For each target, the first row lists its gene set
name, and corresponding Gene Set ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the gene set are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


microRNA Target	mmu_GTGCCTT,MIR-506	DB_ID:491
C=666;O=41;E=9.10;R=4.50;rawP=2.18e-15;adjP=2.62e-13
Acadvl	NA	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11370	ENSMUSG00000018574

Sbno2	NA	Sbno2	strawberry notch homolog 2 (Drosophila)	216161	ENSMUSG00000035673

Palld	NA	Palld	palladin, cytoskeletal associated protein	72333	ENSMUSG00000058056

Apba3	NA	Apba3	amyloid beta (A4) precursor protein-binding, family A, member 3	57267	ENSMUSG00000004931

Gpam	NA	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	14732	ENSMUSG00000024978

Cdh2	NA	Cdh2	cadherin 2	12558	ENSMUSG00000024304

Ndst1	NA	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	15531	ENSMUSG00000054008

Tecpr2	NA	Tecpr2	tectonin beta-propeller repeat containing 2	104859	ENSMUSG00000021275

Mapk14	NA	Mapk14	mitogen-activated protein kinase 14	26416	ENSMUSG00000053436

Myh9	NA	Myh9	myosin, heavy polypeptide 9, non-muscle	17886	ENSMUSG00000022443

Atp1a1	NA	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	11928	ENSMUSG00000033161

Tead1	NA	Tead1	TEA domain family member 1	21676	ENSMUSG00000055320

Maml1	NA	Maml1	mastermind like 1 (Drosophila)	103806	ENSMUSG00000050567

Adcy9	NA	Adcy9	adenylate cyclase 9	11515	ENSMUSG00000005580

Arhgef37	NA	Arhgef37	Rho guanine nucleotide exchange factor (GEF) 37	328967	ENSMUSG00000045094

Epha2	NA	Epha2	Eph receptor A2	13836	ENSMUSG00000006445

Mylk	NA	Mylk	myosin, light polypeptide kinase	107589	ENSMUSG00000022836

Vamp7	NA	Vamp7	vesicle-associated membrane protein 7	20955	NULL

Iqgap2	NA	Iqgap2	IQ motif containing GTPase activating protein 2	544963	ENSMUSG00000021676

Ddx6	NA	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	13209	ENSMUSG00000032097

Lmo4	NA	Lmo4	LIM domain only 4	16911	ENSMUSG00000028266

Actn4	NA	Actn4	actinin alpha 4	60595	ENSMUSG00000054808

Btg2	NA	Btg2	B cell translocation gene 2, anti-proliferative	12227	ENSMUSG00000020423

Thap2	NA	Thap2	THAP domain containing, apoptosis associated protein 2	66816	ENSMUSG00000020137

Stk35	NA	Stk35	serine/threonine kinase 35	67333	ENSMUSG00000037885

Gata6	NA	Gata6	GATA binding protein 6	14465	ENSMUSG00000005836

Klf13	NA	Klf13	Kruppel-like factor 13	50794	ENSMUSG00000052040

Smpd3	NA	Smpd3	sphingomyelin phosphodiesterase 3, neutral	58994	ENSMUSG00000031906

Fchsd2	NA	Fchsd2	FCH and double SH3 domains 2	207278	ENSMUSG00000030691

Ahr	NA	Ahr	aryl-hydrocarbon receptor	11622	ENSMUSG00000019256

Raph1	NA	Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	77300	ENSMUSG00000026014

Kank1	NA	Kank1	KN motif and ankyrin repeat domains 1	107351	ENSMUSG00000032702

Irf2bpl	NA	Irf2bpl	interferon regulatory factor 2 binding protein-like	238330	ENSMUSG00000034168

Flot1	NA	Flot1	flotillin 1	14251	ENSMUSG00000059714

Tmed1	NA	Tmed1	transmembrane emp24 domain containing 1	17083	ENSMUSG00000032180

Sept9	NA	Sept9	septin 9	53860	ENSMUSG00000059248

Serp1	NA	Serp1	stress-associated endoplasmic reticulum protein 1	28146	ENSMUSG00000027808

Numa1	NA	Numa1	nuclear mitotic apparatus protein 1	101706	ENSMUSG00000066306

Zfp36l1	NA	Zfp36l1	zinc finger protein 36, C3H type-like 1	12192	ENSMUSG00000021127

Htatip2	NA	Htatip2	HIV-1 tat interactive protein 2, homolog (human)	53415	ENSMUSG00000039745

Ptpn11	NA	Ptpn11	protein tyrosine phosphatase, non-receptor type 11	19247	ENSMUSG00000043733


microRNA Target	mmu_CAGTGTT,MIR-141,MIR-200A	DB_ID:469
C=295;O=24;E=4.03;R=5.95;rawP=4.64e-12;adjP=1.86e-10
Slc6a9	NA	Slc6a9	solute carrier family 6 (neurotransmitter transporter, glycine), member 9	14664	ENSMUSG00000028542

Slc23a2	NA	Slc23a2	solute carrier family 23 (nucleobase transporters), member 2	54338	ENSMUSG00000027340

Ptges3	NA	Ptges3	prostaglandin E synthase 3 (cytosolic)	56351	ENSMUSG00000071072

Bhlhe40	NA	Bhlhe40	basic helix-loop-helix family, member e40	20893	ENSMUSG00000030103

Cdc42bpb	NA	Cdc42bpb	CDC42 binding protein kinase beta	217866	ENSMUSG00000021279

Kalrn	NA	Kalrn	kalirin, RhoGEF kinase	545156	ENSMUSG00000061751

H2afz	NA	H2afz	H2A histone family, member Z	51788	ENSMUSG00000037894

Irf2bpl	NA	Irf2bpl	interferon regulatory factor 2 binding protein-like	238330	ENSMUSG00000034168

Rnf44	NA	Rnf44	ring finger protein 44	105239	ENSMUSG00000034928

Esrrg	NA	Esrrg	estrogen-related receptor gamma	26381	ENSMUSG00000026610

Lypla1	NA	Lypla1	lysophospholipase 1	18777	ENSMUSG00000025903

Epha2	NA	Epha2	Eph receptor A2	13836	ENSMUSG00000006445

Tram1	NA	Tram1	translocating chain-associating membrane protein 1	72265	ENSMUSG00000025935

Kif1c	NA	Kif1c	kinesin family member 1C	16562	ENSMUSG00000020821

Jun	NA	Jun	Jun oncogene	16476	ENSMUSG00000052684

Atp2a2	NA	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	11938	ENSMUSG00000029467

Fkbp5	NA	Fkbp5	FK506 binding protein 5	14229	ENSMUSG00000024222

Bace1	NA	Bace1	beta-site APP cleaving enzyme 1	23821	ENSMUSG00000032086

Hlf	NA	Hlf	hepatic leukemia factor	217082	ENSMUSG00000003949

Glrx	NA	Glrx	glutaredoxin	93692	ENSMUSG00000021591

Rtn4rl1	NA	Rtn4rl1	reticulon 4 receptor-like 1	237847	ENSMUSG00000045287

Stk35	NA	Stk35	serine/threonine kinase 35	67333	ENSMUSG00000037885

Errfi1	NA	Errfi1	ERBB receptor feedback inhibitor 1	74155	ENSMUSG00000028967

Gata6	NA	Gata6	GATA binding protein 6	14465	ENSMUSG00000005836


microRNA Target	mmu_CTGAGCC,MIR-24	DB_ID:539
C=218;O=21;E=2.98;R=7.05;rawP=4.08e-12;adjP=1.86e-10
Slc26a10	NA	Slc26a10	solute carrier family 26, member 10	216441	ENSMUSG00000040441

Nek9	NA	Nek9	NIMA (never in mitosis gene a)-related expressed kinase 9	217718	ENSMUSG00000034290

Per1	NA	Per1	period homolog 1 (Drosophila)	18626	ENSMUSG00000020893

Smcr8	NA	Smcr8	Smith-Magenis syndrome chromosome region, candidate 8 homolog (human)	237782	ENSMUSG00000049323

Ndst1	NA	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	15531	ENSMUSG00000054008

Amotl2	NA	Amotl2	angiomotin-like 2	56332	ENSMUSG00000032531

Ptprf	NA	Ptprf	protein tyrosine phosphatase, receptor type, F	19268	ENSMUSG00000033295

Adcy9	NA	Adcy9	adenylate cyclase 9	11515	ENSMUSG00000005580

Ip6k2	NA	Ip6k2	inositol hexaphosphate kinase 2	76500	ENSMUSG00000032599

Mbd6	NA	Mbd6	methyl-CpG binding domain protein 6	110962	ENSMUSG00000025409

Cct3	NA	Cct3	chaperonin containing Tcp1, subunit 3 (gamma)	12462	ENSMUSG00000001416

Rap1b	NA	Rap1b	RAS related protein 1b	215449	ENSMUSG00000052681

Per2	NA	Per2	period homolog 2 (Drosophila)	18627	ENSMUSG00000055866

Tmem9	NA	Tmem9	transmembrane protein 9	66241	ENSMUSG00000026411

Kdm5c	NA	Kdm5c	lysine (K)-specific demethylase 5C	20591	ENSMUSG00000025332

Tmcc2	NA	Tmcc2	transmembrane and coiled-coil domains 2	68875	ENSMUSG00000042066

Mafg	NA	Mafg	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)	17134	ENSMUSG00000051510

Dusp16	NA	Dusp16	dual specificity phosphatase 16	70686	ENSMUSG00000030203

Prss8	NA	Prss8	protease, serine, 8 (prostasin)	76560	ENSMUSG00000030800

Tob2	NA	Tob2	transducer of ERBB2, 2	57259	ENSMUSG00000048546

Nek4	NA	Nek4	NIMA (never in mitosis gene a)-related expressed kinase 4	23955	ENSMUSG00000021918


microRNA Target	mmu_CAGTATT,MIR-200B,MIR-200C,MIR-429	DB_ID:458
C=437;O=28;E=5.97;R=4.69;rawP=2.42e-11;adjP=7.26e-10
Slc23a2	NA	Slc23a2	solute carrier family 23 (nucleobase transporters), member 2	54338	ENSMUSG00000027340

Sptssa	NA	Sptssa	serine palmitoyltransferase, small subunit A	104725	ENSMUSG00000044408

Sbf1	NA	Sbf1	SET binding factor 1	77980	ENSMUSG00000036529

Ndst1	NA	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	15531	ENSMUSG00000054008

Kank1	NA	Kank1	KN motif and ankyrin repeat domains 1	107351	ENSMUSG00000032702

Amotl2	NA	Amotl2	angiomotin-like 2	56332	ENSMUSG00000032531

Slc16a2	NA	Slc16a2	solute carrier family 16 (monocarboxylic acid transporters), member 2	20502	ENSMUSG00000033965

Fn1	NA	Fn1	fibronectin 1	14268	ENSMUSG00000026193

Esrrg	NA	Esrrg	estrogen-related receptor gamma	26381	ENSMUSG00000026610

Tead1	NA	Tead1	TEA domain family member 1	21676	ENSMUSG00000055320

Bag6	NA	Bag6	BCL2-associated athanogene 6	224727	ENSMUSG00000024392

Rap1b	NA	Rap1b	RAS related protein 1b	215449	ENSMUSG00000052681

Pls3	NA	Pls3	plastin 3 (T-isoform)	102866	ENSMUSG00000016382

Crkl	NA	Crkl	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	12929	ENSMUSG00000006134

Foxk1	NA	Foxk1	forkhead box K1	17425	ENSMUSG00000056493

Atp2a2	NA	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	11938	ENSMUSG00000029467

Tceb1	NA	Tceb1	transcription elongation factor B (SIII), polypeptide 1	67923	ENSMUSG00000079658

Fam118b	NA	Fam118b	family with sequence similarity 118, member B	109229	ENSMUSG00000050471

Hlf	NA	Hlf	hepatic leukemia factor	217082	ENSMUSG00000003949

Mafg	NA	Mafg	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)	17134	ENSMUSG00000051510

Klf12	NA	Klf12	Kruppel-like factor 12	16597	ENSMUSG00000072294

Ints8	NA	Ints8	integrator complex subunit 8	72656	ENSMUSG00000040738

Ppap2b	NA	Ppap2b	phosphatidic acid phosphatase type 2B	67916	ENSMUSG00000028517

Lrp1	NA	Lrp1	low density lipoprotein receptor-related protein 1	16971	ENSMUSG00000040249

Errfi1	NA	Errfi1	ERBB receptor feedback inhibitor 1	74155	ENSMUSG00000028967

Rev1	NA	Rev1	REV1 homolog (S. cerevisiae)	56210	ENSMUSG00000026082

Npm1	NA	Npm1	nucleophosmin 1	18148	ENSMUSG00000057113

Ube2b	NA	Ube2b	ubiquitin-conjugating enzyme E2B	22210	ENSMUSG00000020390


microRNA Target	mmu_TTTGCAC,MIR-19A,MIR-19B	DB_ID:475
C=485;O=29;E=6.63;R=4.37;rawP=5.57e-11;adjP=1.34e-09
Pde7b	NA	Pde7b	phosphodiesterase 7B	29863	ENSMUSG00000019990

Vgll4	NA	Vgll4	vestigial like 4 (Drosophila)	232334	ENSMUSG00000030315

Tbc1d8	NA	Tbc1d8	TBC1 domain family, member 8	54610	ENSMUSG00000003134

Inhbb	NA	Inhbb	inhibin beta-B	16324	ENSMUSG00000037035

Sptssa	NA	Sptssa	serine palmitoyltransferase, small subunit A	104725	ENSMUSG00000044408

Ppara	NA	Ppara	peroxisome proliferator activated receptor alpha	19013	ENSMUSG00000022383

Ccrn4l	NA	Ccrn4l	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	12457	ENSMUSG00000023087

Mapk14	NA	Mapk14	mitogen-activated protein kinase 14	26416	ENSMUSG00000053436

Smarca2	NA	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	67155	ENSMUSG00000024921

St3gal5	NA	St3gal5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	20454	ENSMUSG00000056091

Usp33	NA	Usp33	ubiquitin specific peptidase 33	170822	ENSMUSG00000025437

Adcy9	NA	Adcy9	adenylate cyclase 9	11515	ENSMUSG00000005580

Spata2	NA	Spata2	spermatogenesis associated 2	263876	ENSMUSG00000047030

