User file and parameters: User file: WebGestal_WAT_HFGTXvsHFVeh.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for all enriched BP GO category are listed in this table. For each GO category, the first row lists its sub-root
(biological process), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


biological process	muscle tissue development	GO:0060537
C=342;O=7;E=1.40;R=4.98;rawP=0.0005;adjP=0.0035
Smad7	NA	17131	ENSMUSG00000025880	Smad7	SMAD family member 7

Foxc2	NA	14234	ENSMUSG00000046714	Foxc2	forkhead box C2

Nr2f2	NA	11819	ENSMUSG00000030551	Nr2f2	nuclear receptor subfamily 2, group F, member 2

Aldh1a2	NA	19378	ENSMUSG00000013584	Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2

Acta1	NA	11459	ENSMUSG00000031972	Acta1	actin, alpha 1, skeletal muscle

Bcl9l	NA	80288	ENSMUSG00000063382	Bcl9l	B cell CLL/lymphoma 9-like

Pik3r1	NA	18708	ENSMUSG00000041417	Pik3r1	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)


biological process	single-multicellular organism process	GO:0044707
C=5889;O=39;E=24.19;R=1.61;rawP=0.0007;adjP=0.0042
Tnfrsf13c	NA	72049	ENSMUSG00000068105	Tnfrsf13c	tumor necrosis factor receptor superfamily, member 13c

Avpr1a	NA	54140	ENSMUSG00000020123	Avpr1a	arginine vasopressin receptor 1A

Aldh1a2	NA	19378	ENSMUSG00000013584	Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2

Rasl10b	NA	276952	ENSMUSG00000020684	Rasl10b	RAS-like, family 10, member B

Pik3r1	NA	18708	ENSMUSG00000041417	Pik3r1	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)

Ncan	NA	13004	ENSMUSG00000002341	Ncan	neurocan

Ednra	NA	13617	ENSMUSG00000031616	Ednra	endothelin receptor type A

Gadd45g	NA	23882	ENSMUSG00000021453	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma

Zbtb32	NA	58206	ENSMUSG00000006310	Zbtb32	zinc finger and BTB domain containing 32

Hexim1	NA	192231	ENSMUSG00000048878	Hexim1	hexamethylene bis-acetamide inducible 1

Ctgf	NA	14219	ENSMUSG00000019997	Ctgf	connective tissue growth factor

