User file and parameters: User file: WebGestalt_WAT_HFGTXvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for each enriched GO category are listed in this table. For each GO category, the first row lists its sub-root
(biological process, molecular function, or cellular component), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


biological process	metabolic process	GO:0008152
C=9069;O=292;E=214.38;R=1.36;rawP=1.31e-11;adjP=1.10e-08
Serpinf2	NA	Serpinf2	serine (or cysteine) peptidase inhibitor, clade F, member 2	18816	ENSMUSG00000038224

Etv1	NA	Etv1	ets variant gene 1	14009	ENSMUSG00000004151

Hsp90ab1	NA	Hsp90ab1	heat shock protein 90 alpha (cytosolic), class B member 1	15516	ENSMUSG00000023944

Arhgef10l	NA	Arhgef10l	Rho guanine nucleotide exchange factor (GEF) 10-like	72754	ENSMUSG00000040964

Cfh	NA	Cfh	complement component factor h	12628	ENSMUSG00000026365

H2-DMb2	NA	H2-DMb2	histocompatibility 2, class II, locus Mb2	15000	ENSMUSG00000037548

Bmyc	NA	Bmyc	brain expressed myelocytomatosis oncogene	107771	ENSMUSG00000049086

Lrrc32	NA	Lrrc32	leucine rich repeat containing 32	434215	ENSMUSG00000090958

Pcsk5	NA	Pcsk5	proprotein convertase subtilisin/kexin type 5	18552	ENSMUSG00000024713

Galnt6	NA	Galnt6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6	207839	ENSMUSG00000037280

Fkbp11	NA	Fkbp11	FK506 binding protein 11	66120	ENSMUSG00000003355

H13	NA	H13	histocompatibility 13	14950	ENSMUSG00000019188

Metap1d	NA	Metap1d	methionyl aminopeptidase type 1D (mitochondrial)	66559	ENSMUSG00000041921

Uba7	NA	Uba7	ubiquitin-like modifier activating enzyme 7	74153	ENSMUSG00000032596

St6gal1	NA	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1	20440	ENSMUSG00000022885

Mrpl47	NA	Mrpl47	mitochondrial ribosomal protein L47	74600	ENSMUSG00000037531

Litaf	NA	Litaf	LPS-induced TN factor	56722	ENSMUSG00000022500

Foxp2	NA	Foxp2	forkhead box P2	114142	ENSMUSG00000029563

Slc5a7	NA	Slc5a7	solute carrier family 5 (choline transporter), member 7	63993	ENSMUSG00000023945

Nudt3	NA	Nudt3	nudix (nucleotide diphosphate linked moiety X)-type motif 3	56409	ENSMUSG00000024213

Flt3l	NA	Flt3l	FMS-like tyrosine kinase 3 ligand	14256	ENSMUSG00000089989

Mlxipl	NA	Mlxipl	MLX interacting protein-like	58805	ENSMUSG00000005373

Aldh1a7	NA	Aldh1a7	aldehyde dehydrogenase family 1, subfamily A7	26358	ENSMUSG00000024747

Mettl17	NA	Mettl17	methyltransferase like 17	52535	ENSMUSG00000004561

Rbm11	NA	Rbm11	RNA binding motif protein 11	224344	ENSMUSG00000032940

Ctsl	NA	Ctsl	cathepsin L	13039	ENSMUSG00000021477

Alpl	NA	Alpl	alkaline phosphatase, liver/bone/kidney	11647	ENSMUSG00000028766

Fut1	NA	Fut1	fucosyltransferase 1	14343	ENSMUSG00000008461

Faah	NA	Faah	fatty acid amide hydrolase	14073	ENSMUSG00000034171

Gpc1	NA	Gpc1	glypican 1	14733	ENSMUSG00000034220

Rnh1	NA	Rnh1	ribonuclease/angiogenin inhibitor 1	107702	ENSMUSG00000038650

Cndp2	NA	Cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)	66054	ENSMUSG00000024644

Etv5	NA	Etv5	ets variant gene 5	104156	ENSMUSG00000013089

Snrnp25	NA	Snrnp25	small nuclear ribonucleoprotein 25 (U11/U12)	78372	ENSMUSG00000040767

Xylb	NA	Xylb	xylulokinase homolog (H. influenzae)	102448	ENSMUSG00000035769

Nans	NA	Nans	N-acetylneuraminic acid synthase (sialic acid synthase)	94181	ENSMUSG00000028334

Inmt	NA	Inmt	indolethylamine N-methyltransferase	21743	ENSMUSG00000003477

Myl6	NA	Myl6	myosin, light polypeptide 6, alkali, smooth muscle and non-muscle	17904	ENSMUSG00000090841

Pou3f1	NA	Pou3f1	POU domain, class 3, transcription factor 1	18991	ENSMUSG00000090125

Lox	NA	Lox	lysyl oxidase	16948	ENSMUSG00000024529

Hgfac	NA	Hgfac	hepatocyte growth factor activator	54426	ENSMUSG00000029102

Calca	NA	Calca	calcitonin/calcitonin-related polypeptide, alpha	12310	ENSMUSG00000030669

St3gal2	NA	St3gal2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	20444	ENSMUSG00000031749

Trpm6	NA	Trpm6	transient receptor potential cation channel, subfamily M, member 6	225997	ENSMUSG00000024727

Rasl11b	NA	Rasl11b	RAS-like, family 11, member B	68939	ENSMUSG00000049907

Acss1	NA	Acss1	acyl-CoA synthetase short-chain family member 1	68738	ENSMUSG00000027452

Rptor	NA	Rptor	regulatory associated protein of MTOR, complex 1	74370	ENSMUSG00000025583

Rps19	NA	Rps19	ribosomal protein S19	20085	ENSMUSG00000040952

Smpdl3b	NA	Smpdl3b	sphingomyelin phosphodiesterase, acid-like 3B	100340	ENSMUSG00000028885

Pmel	NA	Pmel	premelanosome protein	20431	ENSMUSG00000025359

Hs3st3b1	NA	Hs3st3b1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	54710	ENSMUSG00000070407

Pla2g4f	NA	Pla2g4f	phospholipase A2, group IVF	271844	ENSMUSG00000046971

Gpx6	NA	Gpx6	glutathione peroxidase 6	75512	ENSMUSG00000004341

Pnn	NA	Pnn	pinin	18949	ENSMUSG00000020994

Cryz	NA	Cryz	crystallin, zeta	12972	ENSMUSG00000028199

Map2k2	NA	Map2k2	mitogen-activated protein kinase kinase 2	26396	ENSMUSG00000035027

Pdrg1	NA	Pdrg1	p53 and DNA damage regulated 1	68559	ENSMUSG00000027472

Ngf	NA	Ngf	nerve growth factor	18049	ENSMUSG00000027859

Hhex	NA	Hhex	hematopoietically expressed homeobox	15242	ENSMUSG00000024986

Pkn3	NA	Pkn3	protein kinase N3	263803	ENSMUSG00000026785

Lss	NA	Lss	lanosterol synthase	16987	ENSMUSG00000033105

Srebf2	NA	Srebf2	sterol regulatory element binding factor 2	20788	ENSMUSG00000022463

Akr1a1	NA	Akr1a1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	58810	ENSMUSG00000028692

Ccnl1	NA	Ccnl1	cyclin L1	56706	ENSMUSG00000027829

Rnpep	NA	Rnpep	arginyl aminopeptidase (aminopeptidase B)	215615	ENSMUSG00000041926

Clu	NA	Clu	clusterin	12759	ENSMUSG00000022037

Ddx5	NA	Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	13207	ENSMUSG00000020719

Klc3	NA	Klc3	kinesin light chain 3	232943	ENSMUSG00000040714

Rasl10b	NA	Rasl10b	RAS-like, family 10, member B	276952	ENSMUSG00000020684

