User data and parameters: User data: WebGestalt_WAT_HFGTXvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for the enriched KEGG pathways are listed in this table. For each pathway, the first row lists its KEGG pathway
name, and corresponding KEGG ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the pathway are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


KEGG pathway	Metabolic pathways	01100
C=1184;O=46;E=12.09;R=3.80;rawP=1.94e-14;adjP=5.24e-13
Nsdhl	NA	Nsdhl	NAD(P) dependent steroid dehydrogenase-like	18194	ENSMUSG00000031349

Galnt12	NA	Galnt12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12	230145	ENSMUSG00000039774

Xylb	NA	Xylb	xylulokinase homolog (H. influenzae)	102448	ENSMUSG00000035769

Gcnt1	NA	Gcnt1	glucosaminyl (N-acetyl) transferase 1, core 2	14537	ENSMUSG00000038843

Ampd3	NA	Ampd3	adenosine monophosphate deaminase 3	11717	ENSMUSG00000005686

B4galt1	NA	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	14595	ENSMUSG00000028413

Pafah2	NA	Pafah2	platelet-activating factor acetylhydrolase 2	100163	ENSMUSG00000037366

Nans	NA	Nans	N-acetylneuraminic acid synthase (sialic acid synthase)	94181	ENSMUSG00000028334

B4galnt1	NA	B4galnt1	beta-1,4-N-acetyl-galactosaminyl transferase 1	14421	ENSMUSG00000006731

Gaa	NA	Gaa	glucosidase, alpha, acid	14387	ENSMUSG00000025579

Pla2g5	NA	Pla2g5	phospholipase A2, group V	18784	ENSMUSG00000041193

Atp6v1a	NA	Atp6v1a	ATPase, H+ transporting, lysosomal V1 subunit A	11964	ENSMUSG00000052459

St3gal2	NA	St3gal2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	20444	ENSMUSG00000031749

Lap3	NA	Lap3	leucine aminopeptidase 3	66988	ENSMUSG00000039682

Galnt6	NA	Galnt6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6	207839	ENSMUSG00000037280

Aldoc	NA	Aldoc	aldolase C, fructose-bisphosphate	11676	ENSMUSG00000017390

Qdpr	NA	Qdpr	quinoid dihydropteridine reductase	110391	ENSMUSG00000015806

Man1a	NA	Man1a	mannosidase 1, alpha	17155	ENSMUSG00000003746

