User data and parameters: User data: WebGestalt_WAT_HFGTXvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for each enriched gene sets are listed in this table. For each target, the first row lists its gene set
name, and corresponding Gene Set ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the gene set are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


microRNA Target	mmu_GTGCCTT,MIR-506	DB_ID:491
C=666;O=27;E=6.80;R=3.97;rawP=2.14e-09;adjP=1.41e-07
Nebl	NA	Nebl	nebulette	74103	ENSMUSG00000053702

Palld	NA	Palld	palladin, cytoskeletal associated protein	72333	ENSMUSG00000058056

Fam174b	NA	Fam174b	family with sequence similarity 174, member B	100038347	ENSMUSG00000078670

Amot	NA	Amot	angiomotin	27494	ENSMUSG00000041688

Plp2	NA	Plp2	proteolipid protein 2	18824	ENSMUSG00000031146

Phf6	NA	Phf6	PHD finger protein 6	70998	ENSMUSG00000025626

Wsb1	NA	Wsb1	WD repeat and SOCS box-containing 1	78889	ENSMUSG00000017677

B4galt1	NA	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	14595	ENSMUSG00000028413

Shc4	NA	Shc4	SHC (Src homology 2 domain containing) family, member 4	271849	ENSMUSG00000035109

Anks1b	NA	Anks1b	ankyrin repeat and sterile alpha motif domain containing 1B	77531	ENSMUSG00000096382

Rsrc2	NA	Rsrc2	arginine/serine-rich coiled-coil 2	208606	ENSMUSG00000029422

Galnt9	NA	Galnt9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9	231605	ENSMUSG00000033316

Arhgef40	NA	Arhgef40	Rho guanine nucleotide exchange factor (GEF) 40	268739	ENSMUSG00000004562

Atp2b4	NA	Atp2b4	ATPase, Ca++ transporting, plasma membrane 4	381290	ENSMUSG00000026463

Ubxn1	NA	Ubxn1	UBX domain protein 1	225896	ENSMUSG00000071655

Zkscan3	NA	Zkscan3	zinc finger with KRAB and SCAN domains 3	72739	ENSMUSG00000021327

Slc9a2	NA	Slc9a2	solute carrier family 9 (sodium/hydrogen exchanger), member 2	226999	ENSMUSG00000026062

Grasp	NA	Grasp	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	56149	ENSMUSG00000000531

Egr2	NA	Egr2	early growth response 2	13654	ENSMUSG00000037868

Ddx6	NA	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	13209	ENSMUSG00000032097

Serinc2	NA	Serinc2	serine incorporator 2	230779	ENSMUSG00000023232

Pde4b	NA	Pde4b	phosphodiesterase 4B, cAMP specific	18578	ENSMUSG00000028525

Galnt10	NA	Galnt10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10	171212	ENSMUSG00000020520

Pip4k2c	NA	Pip4k2c	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma	117150	ENSMUSG00000025417

Gria2	NA	Gria2	glutamate receptor, ionotropic, AMPA2 (alpha 2)	14800	ENSMUSG00000033981

Prpf38b	NA	Prpf38b	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	66921	ENSMUSG00000027881

Tpst2	NA	Tpst2	protein-tyrosine sulfotransferase 2	22022	ENSMUSG00000029344


microRNA Target	mmu_TGTTTAC,MIR-30A-5P,MIR-30C,MIR-30D,MIR-30B,MIR-30E-5P	DB_ID:446
C=540;O=24;E=5.52;R=4.35;rawP=2.87e-09;adjP=1.41e-07
Adamts6	NA	Adamts6	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6	108154	ENSMUSG00000046169

Ddit4	NA	Ddit4	DNA-damage-inducible transcript 4	74747	ENSMUSG00000020108

Rab8a	NA	Rab8a	RAB8A, member RAS oncogene family	17274	ENSMUSG00000003037

Ppid	NA	Ppid	peptidylprolyl isomerase D (cyclophilin D)	67738	ENSMUSG00000027804

Phf6	NA	Phf6	PHD finger protein 6	70998	ENSMUSG00000025626

Pnn	NA	Pnn	pinin	18949	ENSMUSG00000020994

Ednra	NA	Ednra	endothelin receptor type A	13617	ENSMUSG00000031616

Runx2	NA	Runx2	runt related transcription factor 2	12393	ENSMUSG00000039153

Mbnl3	NA	Mbnl3	muscleblind-like 3 (Drosophila)	171170	ENSMUSG00000036109

