User file and parameters: User file: WebGestal_WAT_HFVvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for each enriched GO category are listed in this table. For each GO category, the first row lists its sub-root
(biological process, molecular function, or cellular component), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


biological process	sexual reproduction	GO:0019953
C=483;O=17;E=3.58;R=4.74;rawP=1.30e-07;adjP=5.33e-05
Sycp2	NA	Sycp2	synaptonemal complex protein 2	320558	ENSMUSG00000060445

Spata6	NA	Spata6	spermatogenesis associated 6	67946	ENSMUSG00000034401

B4galt1	NA	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	14595	ENSMUSG00000028413

Creb3l4	NA	Creb3l4	cAMP responsive element binding protein 3-like 4	78284	ENSMUSG00000027938

Ybx2	NA	Ybx2	Y box protein 2	53422	ENSMUSG00000018554

Atp1a4	NA	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	27222	ENSMUSG00000007107

Celf3	NA	Celf3	CUGBP, Elav-like family member 3	78784	ENSMUSG00000028137

Pdilt	NA	Pdilt	protein disulfide isomerase-like, testis expressed	71830	ENSMUSG00000030968

Hyal5	NA	Hyal5	hyaluronoglucosaminidase 5	74468	ENSMUSG00000029678

Ddx4	NA	Ddx4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	13206	ENSMUSG00000021758

Zan	NA	Zan	zonadhesin	22635	ENSMUSG00000079173

Zp3r	NA	Zp3r	zona pellucida 3 receptor	22789	ENSMUSG00000042554

Ddx25	NA	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	30959	ENSMUSG00000032101

Tssk5	NA	Tssk5	testis-specific serine kinase 5	73542	ENSMUSG00000060794

Sept4	NA	Sept4	septin 4	18952	ENSMUSG00000020486

Mtl5	NA	Mtl5	metallothionein-like 5, testis-specific (tesmin)	17771	ENSMUSG00000024905

Adrm1	NA	Adrm1	adhesion regulating molecule 1	56436	ENSMUSG00000039041


biological process	male gamete generation	GO:0048232
C=316;O=12;E=2.34;R=5.12;rawP=4.55e-06;adjP=0.0006
Celf3	NA	Celf3	CUGBP, Elav-like family member 3	78784	ENSMUSG00000028137

Pdilt	NA	Pdilt	protein disulfide isomerase-like, testis expressed	71830	ENSMUSG00000030968

Spata6	NA	Spata6	spermatogenesis associated 6	67946	ENSMUSG00000034401

Ddx4	NA	Ddx4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	13206	ENSMUSG00000021758

Creb3l4	NA	Creb3l4	cAMP responsive element binding protein 3-like 4	78284	ENSMUSG00000027938

Ddx25	NA	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	30959	ENSMUSG00000032101

Tssk5	NA	Tssk5	testis-specific serine kinase 5	73542	ENSMUSG00000060794

Sept4	NA	Sept4	septin 4	18952	ENSMUSG00000020486

Ybx2	NA	Ybx2	Y box protein 2	53422	ENSMUSG00000018554

Mtl5	NA	Mtl5	metallothionein-like 5, testis-specific (tesmin)	17771	ENSMUSG00000024905

Atp1a4	NA	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	27222	ENSMUSG00000007107

Adrm1	NA	Adrm1	adhesion regulating molecule 1	56436	ENSMUSG00000039041


biological process	spermatogenesis	GO:0007283
C=315;O=12;E=2.34;R=5.14;rawP=4.41e-06;adjP=0.0006
Celf3	NA	Celf3	CUGBP, Elav-like family member 3	78784	ENSMUSG00000028137

Pdilt	NA	Pdilt	protein disulfide isomerase-like, testis expressed	71830	ENSMUSG00000030968

Spata6	NA	Spata6	spermatogenesis associated 6	67946	ENSMUSG00000034401

Ddx4	NA	Ddx4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	13206	ENSMUSG00000021758

Creb3l4	NA	Creb3l4	cAMP responsive element binding protein 3-like 4	78284	ENSMUSG00000027938

Ddx25	NA	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	30959	ENSMUSG00000032101

Tssk5	NA	Tssk5	testis-specific serine kinase 5	73542	ENSMUSG00000060794

Sept4	NA	Sept4	septin 4	18952	ENSMUSG00000020486

Ybx2	NA	Ybx2	Y box protein 2	53422	ENSMUSG00000018554

Mtl5	NA	Mtl5	metallothionein-like 5, testis-specific (tesmin)	17771	ENSMUSG00000024905

Atp1a4	NA	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	27222	ENSMUSG00000007107

Adrm1	NA	Adrm1	adhesion regulating molecule 1	56436	ENSMUSG00000039041


biological process	metabolic process	GO:0008152
C=9069;O=96;E=67.28;R=1.43;rawP=8.00e-06;adjP=0.0008
F2r	NA	F2r	coagulation factor II (thrombin) receptor	14062	ENSMUSG00000048376

Ftmt	NA	Ftmt	ferritin mitochondrial	67634	ENSMUSG00000024510

Samd4	NA	Samd4	sterile alpha motif domain containing 4	74480	ENSMUSG00000021838

Pkig	NA	Pkig	protein kinase inhibitor, gamma	18769	ENSMUSG00000035268

Ppid	NA	Ppid	peptidylprolyl isomerase D (cyclophilin D)	67738	ENSMUSG00000027804

Nrarp	NA	Nrarp	Notch-regulated ankyrin repeat protein	67122	ENSMUSG00000078202

Set	NA	Set	SET nuclear oncogene	56086	ENSMUSG00000054766

Cpz	NA	Cpz	carboxypeptidase Z	242939	ENSMUSG00000036596

Zbtb32	NA	Zbtb32	zinc finger and BTB domain containing 32	58206	ENSMUSG00000006310

Casc5	NA	Casc5	cancer susceptibility candidate 5	76464	ENSMUSG00000027326

Zdhhc2	NA	Zdhhc2	zinc finger, DHHC domain containing 2	70546	ENSMUSG00000039470

Celf3	NA	Celf3	CUGBP, Elav-like family member 3	78784	ENSMUSG00000028137

H13	NA	H13	histocompatibility 13	14950	ENSMUSG00000019188

Bcl11a	NA	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	14025	ENSMUSG00000000861

Inpp4b	NA	Inpp4b	inositol polyphosphate-4-phosphatase, type II	234515	ENSMUSG00000037940

Ndufs6	NA	Ndufs6	NADH dehydrogenase (ubiquinone) Fe-S protein 6	407785	ENSMUSG00000021606

Pln	NA	Pln	phospholamban	18821	ENSMUSG00000038583

Sept4	NA	Sept4	septin 4	18952	ENSMUSG00000020486

Pdgfra	NA	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	18595	ENSMUSG00000029231

Uprt	NA	Uprt	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)	331487	ENSMUSG00000073016

Fahd1	NA	Fahd1	fumarylacetoacetate hydrolase domain containing 1	68636	ENSMUSG00000045316

Irf2bp1	NA	Irf2bp1	interferon regulatory factor 2 binding protein 1	272359	ENSMUSG00000044030

Adrm1	NA	Adrm1	adhesion regulating molecule 1	56436	ENSMUSG00000039041

Prss46	NA	Prss46	protease, serine, 46	74306	ENSMUSG00000049719

Psma8	NA	Psma8	proteasome (prosome, macropain) subunit, alpha type, 8	73677	ENSMUSG00000036743

Tub	NA	Tub	tubby candidate gene	22141	ENSMUSG00000031028

Ensa	NA	Ensa	endosulfine alpha	56205	ENSMUSG00000038619

Slc5a7	NA	Slc5a7	solute carrier family 5 (choline transporter), member 7	63993	ENSMUSG00000023945

Il7r	NA	Il7r	interleukin 7 receptor	16197	ENSMUSG00000003882

Bhlhe40	NA	Bhlhe40	basic helix-loop-helix family, member e40	20893	ENSMUSG00000030103

Hipk4	NA	Hipk4	homeodomain interacting protein kinase 4	233020	ENSMUSG00000040424

Spry2	NA	Spry2	sprouty homolog 2 (Drosophila)	24064	ENSMUSG00000022114

Arid3b	NA	Arid3b	AT rich interactive domain 3B (BRIGHT-like)	56380	ENSMUSG00000004661

Creb3l4	NA	Creb3l4	cAMP responsive element binding protein 3-like 4	78284	ENSMUSG00000027938

Pycrl	NA	Pycrl	pyrroline-5-carboxylate reductase-like	66194	ENSMUSG00000022571

Gfpt1	NA	Gfpt1	glutamine fructose-6-phosphate transaminase 1	14583	ENSMUSG00000029992

Aurkb	NA	Aurkb	aurora kinase B	20877	ENSMUSG00000020897

Cdc42bpg	NA	Cdc42bpg	CDC42 binding protein kinase gamma (DMPK-like)	240505	ENSMUSG00000024769

Abca17	NA	Abca17	ATP-binding cassette, sub-family A (ABC1), member 17	381072	ENSMUSG00000035435

Notch2	NA	Notch2	notch 2	18129	ENSMUSG00000027878

