Sample,Tissue,Diet,Treatment
Sample001,Liver,Normal,vehicle
Sample002,Liver,Normal,vehicle
Sample003,Liver,Normal,vehicle
Sample004,Liver,High Fat,vehicle
Sample005,Liver,High Fat,vehicle
Sample006,Liver,High Fat,vehicle
Sample007,Liver,High Fat,GTX-878
Sample008,Liver,High Fat,GTX-879
Sample009,Liver,High Fat,GTX-880
Sample010,WAT,Normal,vehicle
Sample011,WAT,Normal,vehicle
Sample012,WAT,Normal,vehicle
Sample013,WAT,High Fat,vehicle
Sample014,WAT,High Fat,vehicle
Sample015,WAT,High Fat,vehicle
Sample016,WAT,High Fat,GTX-878
Sample017,WAT,High Fat,GTX-879
Sample018,WAT,High Fat,GTX-880
