"","space","start","end","width","peak","feature","names","strand","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_name","V1","V2","V3","V5","V6","V7","V8","V9"
"1","1",1009019,1009439,421,"peak1","ENSG00000231702","peak1 ENSG00000231702","-",1008076,1008229,"upstream",-790,790,"NearestStart","RP11-54O7.10","chr1",1009019,1009439,319,".",508.03,-1,-1
"2","1",11434354,11434883,530,"peak10","ENSG00000224338","peak10 ENSG00000224338","-",11425257,11425821,"upstream",-8533,8533,"NearestStart","RP11-149P14.1","chr1",11434354,11434883,357,".",567.18,-1,-1
"3","1",117401569,117401860,292,"peak100","ENSG00000198162","peak100 ENSG00000198162","+",117367449,117528872,"inside",34120,34120,"NearestStart","MAN1A2","chr1",117401569,117401860,78,".",124.78,-1,-1
"4","1",117422331,117422749,419,"peak101","ENSG00000198162","peak101 ENSG00000198162","+",117367449,117528872,"inside",54882,54882,"NearestStart","MAN1A2","chr1",117422331,117422749,150,".",239.31,-1,-1
"5","1",117555920,117556163,244,"peak102","ENSG00000226755","peak102 ENSG00000226755","+",117549415,117549922,"downstream",6505,5998,"NearestStart","VPS25P1","chr1",117555920,117556163,98,".",155.78,-1,-1
"6","1",118659538,118659888,351,"peak103","ENSG00000226126","peak103 ENSG00000226126","-",118614333,118615646,"upstream",-43892,43892,"NearestStart","PSMC1P12","chr1",118659538,118659888,84,".",133.53,-1,-1
"7","1",120333332,120333776,445,"peak104","ENSG00000223804","peak104 ENSG00000223804","-",120267334,120341871,"inside",8539,8095,"NearestStart","CH17-472G23.2","chr1",120333332,120333776,179,".",285.54,-1,-1
"8","1",147189094,147189514,421,"peak105","ENSG00000180867","peak105 ENSG00000180867","+",147178113,147179622,"downstream",10981,9472,"NearestStart","PDIA3P1","chr1",147189094,147189514,67,".",107.06,-1,-1
"9","1",149209507,149209730,224,"peak106","ENSG00000274265","peak106 ENSG00000274265","+",149176022,149251013,"inside",33485,33485,"NearestStart","CH17-189H20.1","chr1",149209507,149209730,112,".",179.47,-1,-1
"10","1",152715552,152716222,671,"peak107","ENSG00000198854","peak107 ENSG00000198854","+",152719522,152720470,"upstream",-3970,3300,"NearestStart","C1orf68","chr1",152715552,152716222,254,".",404.85,-1,-1
"11","1",153483480,153483843,364,"peak108","ENSG00000263841","peak108 ENSG00000263841","-",153500463,153500764,"downstream",17284,16620,"NearestStart","RN7SL44P","chr1",153483480,153483843,76,".",121.27,-1,-1
"12","1",154163021,154163457,437,"peak109","ENSG00000264384","peak109 ENSG00000264384","-",154166245,154166549,"downstream",3528,2788,"NearestStart","RN7SL431P","chr1",154163021,154163457,246,".",391.03,-1,-1
"13","1",12660351,12660631,281,"peak11","ENSG00000204518","peak11 ENSG00000204518","+",12644547,12667086,"inside",15804,6455,"NearestStart","AADACL4","chr1",12660351,12660631,65,".",104.46,-1,-1
"14","1",154946050,154946315,266,"peak110","ENSG00000268154","peak110 ENSG00000268154","-",154950210,154950492,"downstream",4442,3895,"NearestStart","Metazoa_SRP","chr1",154946050,154946315,64,".",102.21,-1,-1
"15","1",157998652,157998959,308,"peak111","ENSG00000183853","peak111 ENSG00000183853","+",157993273,158100262,"inside",5379,5379,"NearestStart","KIRREL","chr1",157998652,157998959,85,".",135.45,-1,-1
"16","1",158786968,158787189,222,"peak112","ENSG00000229724","peak112 ENSG00000229724","+",158796014,158796213,"upstream",-9046,8825,"NearestStart","OR2AQ1P","chr1",158786968,158787189,102,".",163.34,-1,-1
"17","1",159870255,159870503,249,"peak113","ENSG00000256029","peak113 ENSG00000256029","-",159857900,159873053,"inside",2798,2550,"NearestStart","RP11-190A12.7","chr1",159870255,159870503,69,".",109.98,-1,-1
"18","1",159886027,159886381,355,"peak114","ENSG00000256029","peak114 ENSG00000256029","-",159857900,159873053,"upstream",-12974,12974,"NearestStart","RP11-190A12.7","chr1",159886027,159886381,76,".",122.1,-1,-1
"19","1",161205972,161206224,253,"peak115","ENSG00000158859","peak115 ENSG00000158859","-",161184308,161199056,"upstream",-6916,6916,"NearestStart","ADAMTS4","chr1",161205972,161206224,70,".",112.75,-1,-1
"20","1",161367823,161368146,324,"peak116","ENSG00000188931","peak116 ENSG00000188931","-",161364731,161367874,"overlapStart",51,51,"NearestStart","CFAP126","chr1",161367823,161368146,65,".",104.7,-1,-1
"21","1",162129173,162129637,465,"peak117","ENSG00000266144","peak117 ENSG00000266144","+",162157107,162157182,"upstream",-27934,27470,"NearestStart","MIR4654","chr1",162129173,162129637,442,".",703.17,-1,-1
"22","1",162693964,162694185,222,"peak118","ENSG00000162733","peak118 ENSG00000162733","+",162631373,162787400,"inside",62591,62591,"NearestStart","DDR2","chr1",162693964,162694185,71,".",113.39,-1,-1
"23","1",164548567,164548911,345,"peak119","ENSG00000185630","peak119 ENSG00000185630","+",164555584,164899296,"upstream",-7017,6673,"NearestStart","PBX1","chr1",164548567,164548911,91,".",145.97,-1,-1
"24","1",14753460,14753739,280,"peak12","ENSG00000235829","peak12 ENSG00000235829","-",14692129,14692613,"upstream",-60847,60847,"NearestStart","TBCAP2","chr1",14753460,14753739,65,".",104.31,-1,-1
"25","1",164559844,164560200,357,"peak120","ENSG00000185630","peak120 ENSG00000185630","+",164555584,164899296,"inside",4260,4260,"NearestStart","PBX1","chr1",164559844,164560200,70,".",112.28,-1,-1
"26","1",164567909,164568314,406,"peak121","ENSG00000185630","peak121 ENSG00000185630","+",164555584,164899296,"inside",12325,12325,"NearestStart","PBX1","chr1",164567909,164568314,129,".",205.56,-1,-1
