User file and parameters: User file: WebGestalt_Liver_HFGTXvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for all enriched MF GO category are listed in this table. For each GO category, the first row lists its sub-root
(molecular function), category name, and corresponding GO ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


molecular function	carboxylic acid binding	GO:0031406
C=189;O=15;E=4.72;R=3.18;rawP=8.63e-05;adjP=0.0006
Pparg	NA	19016	ENSMUSG00000000440	Pparg	peroxisome proliferator activated receptor gamma

Scarb1	NA	20778	ENSMUSG00000037936	Scarb1	scavenger receptor class B, member 1

Folr2	NA	14276	ENSMUSG00000032725	Folr2	folate receptor 2 (fetal)

Gsta4	NA	14860	ENSMUSG00000032348	Gsta4	glutathione S-transferase, alpha 4

Phyh	NA	16922	ENSMUSG00000026664	Phyh	phytanoyl-CoA hydroxylase

Otc	NA	18416	ENSMUSG00000031173	Otc	ornithine transcarbamylase

Mgst1	NA	56615	ENSMUSG00000008540	Mgst1	microsomal glutathione S-transferase 1

Gclc	NA	14629	ENSMUSG00000032350	Gclc	glutamate-cysteine ligase, catalytic subunit

Ddah1	NA	69219	ENSMUSG00000028194	Ddah1	dimethylarginine dimethylaminohydrolase 1

Gpx4	NA	625249	ENSMUSG00000075706	Gpx4	glutathione peroxidase 4

Cyp26a1	NA	13082	ENSMUSG00000024987	Cyp26a1	cytochrome P450, family 26, subfamily a, polypeptide 1

Axl	NA	26362	ENSMUSG00000002602	Axl	AXL receptor tyrosine kinase

Stx3	NA	20908	ENSMUSG00000041488	Stx3	syntaxin 3

Ptgds	NA	19215	ENSMUSG00000015090	Ptgds	prostaglandin D2 synthase (brain)

Alox5ap	NA	11690	ENSMUSG00000060063	Alox5ap	arachidonate 5-lipoxygenase activating protein


molecular function	antioxidant activity	GO:0016209
C=54;O=7;E=1.35;R=5.19;rawP=0.0004;adjP=0.0020
Mgst1	NA	56615	ENSMUSG00000008540	Mgst1	microsomal glutathione S-transferase 1

Prdx1	NA	18477	ENSMUSG00000028691	Prdx1	peroxiredoxin 1

Gpx4	NA	625249	ENSMUSG00000075706	Gpx4	glutathione peroxidase 4

Sep15	NA	93684	ENSMUSG00000037072	Sep15	selenoprotein

Apoa4	NA	11808	ENSMUSG00000032080	Apoa4	apolipoprotein A-IV

Cat	NA	12359	ENSMUSG00000027187	Cat	catalase

Prdx3	NA	11757	ENSMUSG00000024997	Prdx3	peroxiredoxin 3


molecular function	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0016705
C=168;O=25;E=4.20;R=5.96;rawP=7.97e-13;adjP=3.35e-11
Cyp2c37	NA	13096	ENSMUSG00000042248	Cyp2c37	cytochrome P450, family 2. subfamily c, polypeptide 37

Cyp17a1	NA	13074	ENSMUSG00000003555	Cyp17a1	cytochrome P450, family 17, subfamily a, polypeptide 1

Cyp51	NA	13121	ENSMUSG00000001467	Cyp51	cytochrome P450, family 51

Cyp3a25	NA	56388	ENSMUSG00000029630	Cyp3a25	cytochrome P450, family 3, subfamily a, polypeptide 25

Cyp2c54	NA	404195	ENSMUSG00000067225	Cyp2c54	cytochrome P450, family 2, subfamily c, polypeptide 54

Cyp2r1	NA	244209	ENSMUSG00000030670	Cyp2r1	cytochrome P450, family 2, subfamily r, polypeptide 1

Scd2	NA	20250	ENSMUSG00000025203	Scd2	stearoyl-Coenzyme A desaturase 2

Phyh	NA	16922	ENSMUSG00000026664	Phyh	phytanoyl-CoA hydroxylase

Kmo	NA	98256	ENSMUSG00000039783	Kmo	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)

Cyp2c55	NA	72082	ENSMUSG00000025002	Cyp2c55	cytochrome P450, family 2, subfamily c, polypeptide 55

Cyp2j6	NA	13110	ENSMUSG00000052914	Cyp2j6	cytochrome P450, family 2, subfamily j, polypeptide 6

Gpx4	NA	625249	ENSMUSG00000075706	Gpx4	glutathione peroxidase 4

Cyp2c29	NA	13095	ENSMUSG00000003053	Cyp2c29	cytochrome P450, family 2, subfamily c, polypeptide 29

Prdx3	NA	11757	ENSMUSG00000024997	Prdx3	peroxiredoxin 3

Cyp26a1	NA	13082	ENSMUSG00000024987	Cyp26a1	cytochrome P450, family 26, subfamily a, polypeptide 1

Bbox1	NA	170442	ENSMUSG00000041660	Bbox1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1 (gamma-butyrobetaine hydroxylase)

Cyp3a11	NA	13112	ENSMUSG00000056035	Cyp3a11	cytochrome P450, family 3, subfamily a, polypeptide 11

Cyp4a10	NA	13117	ENSMUSG00000066072	Cyp4a10	cytochrome P450, family 4, subfamily a, polypeptide 10

Prdx1	NA	18477	ENSMUSG00000028691	Prdx1	peroxiredoxin 1

Sc5d	NA	235293	ENSMUSG00000032018	Sc5d	sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) homolog (S. cerevisae)

Sep15	NA	93684	ENSMUSG00000037072	Sep15	selenoprotein

Cyp2c50	NA	107141	ENSMUSG00000054827	Cyp2c50	cytochrome P450, family 2, subfamily c, polypeptide 50

Moxd1	NA	59012	ENSMUSG00000020000	Moxd1	monooxygenase, DBH-like 1

Cyp2a12	NA	13085	ENSMUSG00000060407	Cyp2a12	cytochrome P450, family 2, subfamily a, polypeptide 12

Cyp4a12a	NA	277753	ENSMUSG00000066071	Cyp4a12a	cytochrome P450, family 4, subfamily a, polypeptide 12a


molecular function	heterocyclic compound binding	GO:1901363
C=4592;O=154;E=114.74;R=1.34;rawP=3.89e-05;adjP=0.0003
Rela	NA	19697	ENSMUSG00000024927	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)

Paip1	NA	218693	ENSMUSG00000025451	Paip1	polyadenylate binding protein-interacting protein 1

Nt5c3	NA	107569	ENSMUSG00000029780	Nt5c3	5'-nucleotidase, cytosolic III

Ckb	NA	12709	ENSMUSG00000001270	Ckb	creatine kinase, brain

Aatk	NA	11302	ENSMUSG00000025375	Aatk	apoptosis-associated tyrosine kinase

Kmo	NA	98256	ENSMUSG00000039783	Kmo	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)

Mapk14	NA	26416	ENSMUSG00000053436	Mapk14	mitogen-activated protein kinase 14

Bach1	NA	12013	ENSMUSG00000025612	Bach1	BTB and CNC homology 1

Cybb	NA	13058	ENSMUSG00000015340	Cybb	cytochrome b-245, beta polypeptide

Hsd11b1	NA	15483	ENSMUSG00000016194	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1

Unc50	NA	67387	ENSMUSG00000026111	Unc50	unc-50 homolog (C. elegans)

Srp14	NA	20813	ENSMUSG00000009549	Srp14	signal recognition particle 14

Blvrb	NA	233016	ENSMUSG00000040466	Blvrb	biliverdin reductase B (flavin reductase (NADPH))

Phkg2	NA	68961	ENSMUSG00000030815	Phkg2	phosphorylase kinase, gamma 2 (testis)

Chrac1	NA	93696	ENSMUSG00000068391	Chrac1	chromatin accessibility complex 1

Dntt	NA	21673	ENSMUSG00000025014	Dntt	deoxynucleotidyltransferase, terminal

Bdh2	NA	69772	ENSMUSG00000028167	Bdh2	3-hydroxybutyrate dehydrogenase, type 2

Ugp2	NA	216558	ENSMUSG00000001891	Ugp2	UDP-glucose pyrophosphorylase 2

Apoa1bp	NA	246703	ENSMUSG00000028070	Apoa1bp	apolipoprotein A-I binding protein

Abcb11	NA	27413	ENSMUSG00000027048	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11

Yme1l1	NA	27377	ENSMUSG00000026775	Yme1l1	YME1-like 1 (S. cerevisiae)

