User data and parameters: User data: WebGestal_WAT_HFVvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for each enriched gene sets are listed in this table. For each target, the first row lists its gene set
name, and corresponding Gene Set ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the gene set are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


microRNA Target	mmu_TTGGAGA,MIR-515-5P,MIR-519E	DB_ID:477
C=134;O=5;E=0.43;R=11.67;rawP=7.57e-05;adjP=0.0005
Donson	NA	Donson	downstream neighbor of SON	60364	ENSMUSG00000022960

Slc4a4	NA	Slc4a4	solute carrier family 4 (anion exchanger), member 4	54403	ENSMUSG00000060961

Notch2	NA	Notch2	notch 2	18129	ENSMUSG00000027878

Cmtm6	NA	Cmtm6	CKLF-like MARVEL transmembrane domain containing 6	67213	ENSMUSG00000032434

Pdgfra	NA	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	18595	ENSMUSG00000029231


microRNA Target	mmu_GTGCCTT,MIR-506	DB_ID:491
C=666;O=10;E=2.13;R=4.70;rawP=6.37e-05;adjP=0.0005
Kif21b	NA	Kif21b	kinesin family member 21B	16565	ENSMUSG00000041642

Plp2	NA	Plp2	proteolipid protein 2	18824	ENSMUSG00000031146

B4galt1	NA	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	14595	ENSMUSG00000028413

Ddx6	NA	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	13209	ENSMUSG00000032097

Bcl11a	NA	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	14025	ENSMUSG00000000861

Pde4b	NA	Pde4b	phosphodiesterase 4B, cAMP specific	18578	ENSMUSG00000028525

Rsrc2	NA	Rsrc2	arginine/serine-rich coiled-coil 2	208606	ENSMUSG00000029422

Irf2bpl	NA	Irf2bpl	interferon regulatory factor 2 binding protein-like	238330	ENSMUSG00000034168

Sfrp5	NA	Sfrp5	secreted frizzled-related sequence protein 5	54612	ENSMUSG00000018822

Zdhhc2	NA	Zdhhc2	zinc finger, DHHC domain containing 2	70546	ENSMUSG00000039470


microRNA Target	mmu_TTGCACT,MIR-130A,MIR-301,MIR-130B	DB_ID:455
C=370;O=7;E=1.18;R=5.92;rawP=0.0002;adjP=0.0008
Cltc	NA	Cltc	clathrin, heavy polypeptide (Hc)	67300	ENSMUSG00000047126

Nrarp	NA	Nrarp	Notch-regulated ankyrin repeat protein	67122	ENSMUSG00000078202

Ldlr	NA	Ldlr	low density lipoprotein receptor	16835	ENSMUSG00000032193

Sox5	NA	Sox5	SRY-box containing gene 5	20678	ENSMUSG00000041540

