"","space","start","end","width","peak","feature","names","strand","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_name","V1","V2","V3","V5","V6","V7","V8","V9"
"1","1",856206,856759,554,"peak1","ENSG00000234711","peak1 ENSG00000234711","+",873292,874349,"upstream",-17086,16533,"NearestStart","TUBB8P11","chr1",856206,856759,419,".",1354.83,-1,-1
"2","1",972530,972925,396,"peak10","ENSG00000187583","peak10 ENSG00000187583","+",966497,975865,"inside",6033,2940,"NearestStart","PLEKHN1","chr1",972530,972925,44,".",142.4,-1,-1
"3","1",10890988,10891412,425,"peak100","ENSG00000225158","peak100 ENSG00000225158","+",10895761,10895998,"upstream",-4773,4349,"NearestStart","HSPE1P24","chr1",10890988,10891412,104,".",338.91,-1,-1
"4","1",238805484,238805951,468,"peak1000","ENSG00000224783","peak1000 ENSG00000224783","-",238777049,238779200,"upstream",-26284,26284,"NearestStart","MIPEPP2","chr1",238805484,238805951,156,".",505.22,-1,-1
"5","1",238838467,238839016,550,"peak1001","ENSG00000224783","peak1001 ENSG00000224783","-",238777049,238779200,"upstream",-59267,59267,"NearestStart","MIPEPP2","chr1",238838467,238839016,874,".",2828.62,-1,-1
"6","1",238839183,238839542,360,"peak1002","ENSG00000224783","peak1002 ENSG00000224783","-",238777049,238779200,"upstream",-59983,59983,"NearestStart","MIPEPP2","chr1",238839183,238839542,46,".",150.8,-1,-1
"7","1",240021305,240021691,387,"peak1003","ENSG00000155816","peak1003 ENSG00000155816","+",240014348,240475189,"inside",6957,6957,"NearestStart","FMN2","chr1",240021305,240021691,31,".",102.21,-1,-1
"8","1",244517087,244517393,307,"peak1004","ENSG00000179397","peak1004 ENSG00000179397","+",244454377,244641177,"inside",62710,62710,"NearestStart","C1orf101","chr1",244517087,244517393,70,".",227.96,-1,-1
"9","1",245397829,245398492,664,"peak1005","ENSG00000221165","peak1005 ENSG00000221165","+",245370334,245370419,"downstream",27495,27410,"NearestStart","AL359983.1","chr1",245397829,245398492,35,".",114.37,-1,-1
"10","1",245423747,245424250,504,"peak1006","ENSG00000221165","peak1006 ENSG00000221165","+",245370334,245370419,"downstream",53413,53328,"NearestStart","AL359983.1","chr1",245423747,245424250,97,".",316.83,-1,-1
"11","1",245425077,245425512,436,"peak1007","ENSG00000221165","peak1007 ENSG00000221165","+",245370334,245370419,"downstream",54743,54658,"NearestStart","AL359983.1","chr1",245425077,245425512,36,".",118.46,-1,-1
"12","1",245497636,245497981,346,"peak1008","ENSG00000238224","peak1008 ENSG00000238224","-",245614773,245615145,"downstream",117509,116792,"NearestStart","RP11-522M21.2","chr1",245497636,245497981,37,".",119.75,-1,-1
"13","1",245499496,245500405,910,"peak1009","ENSG00000238224","peak1009 ENSG00000238224","-",245614773,245615145,"downstream",115649,114368,"NearestStart","RP11-522M21.2","chr1",245499496,245500405,958,".",3100,-1,-1
"14","1",10895933,10896183,251,"peak101","ENSG00000225158","peak101 ENSG00000225158","+",10895761,10895998,"overlapEnd",172,65,"NearestStart","HSPE1P24","chr1",10895933,10896183,57,".",185.54,-1,-1
"15","1",245534524,245534915,392,"peak1010","ENSG00000238224","peak1010 ENSG00000238224","-",245614773,245615145,"downstream",80621,79858,"NearestStart","RP11-522M21.2","chr1",245534524,245534915,43,".",139.76,-1,-1
"16","1",245558830,245559256,427,"peak1011","ENSG00000238224","peak1011 ENSG00000238224","-",245614773,245615145,"downstream",56315,55517,"NearestStart","RP11-522M21.2","chr1",245558830,245559256,96,".",312.78,-1,-1
"17","1",246229757,246230355,599,"peak1012","ENSG00000202184","peak1012 ENSG00000202184","-",246189014,246189118,"upstream",-40639,40639,"NearestStart","RNU6-1283P","chr1",246229757,246230355,259,".",840.55,-1,-1
"18","1",246310939,246311241,303,"peak1013","ENSG00000230184","peak1013 ENSG00000230184","-",246321663,246322438,"downstream",11499,10422,"NearestStart","SMYD3-IT1","chr1",246310939,246311241,37,".",120.92,-1,-1
"19","1",246382757,246383231,475,"peak1014","ENSG00000280657","peak1014 ENSG00000280657","-",245749563,246355081,"upstream",-27676,27676,"NearestStart","SMYD3","chr1",246382757,246383231,70,".",227.96,-1,-1
"20","1",246431172,246431690,519,"peak1015","ENSG00000207326","peak1015 ENSG00000207326","-",246426006,246426119,"upstream",-5053,5053,"NearestStart","Y_RNA","chr1",246431172,246431690,285,".",924.52,-1,-1
"21","1",246772167,246772579,413,"peak1016","ENSG00000260855","peak1016 ENSG00000260855","+",246772301,246775772,"overlapStart",-134,134,"NearestStart","RP11-439E19.10","chr1",246772167,246772579,37,".",121.46,-1,-1
"22","1",247267516,247267982,467,"peak1017","ENSG00000197617","peak1017 ENSG00000197617","+",247256072,247257143,"downstream",11444,10373,"NearestStart","VN1R5","chr1",247267516,247267982,304,".",986.08,-1,-1
"23","1",247276344,247276830,487,"peak1018","ENSG00000202079","peak1018 ENSG00000202079","+",247294835,247294941,"upstream",-18491,18005,"NearestStart","Y_RNA","chr1",247276344,247276830,33,".",109.26,-1,-1
"24","1",11306311,11306761,451,"peak102","ENSG00000238199","peak102 ENSG00000238199","-",11278616,11279351,"upstream",-26960,26960,"NearestStart","UBE2V2P3","chr1",11306311,11306761,36,".",116.81,-1,-1
"25","1",11352817,11353132,316,"peak103","ENSG00000224338","peak103 ENSG00000224338","-",11425257,11425821,"downstream",73004,72125,"NearestStart","RP11-149P14.1","chr1",11352817,11353132,59,".",192.19,-1,-1
"26","1",11399934,11400504,571,"peak104","ENSG00000224338","peak104 ENSG00000224338","-",11425257,11425821,"downstream",25887,24753,"NearestStart","RP11-149P14.1","chr1",11399934,11400504,174,".",562.56,-1,-1
"27","1",11434381,11434894,514,"peak105","ENSG00000224338","peak105 ENSG00000224338","-",11425257,11425821,"upstream",-8560,8560,"NearestStart","RP11-149P14.1","chr1",11434381,11434894,449,".",1452.88,-1,-1
